feature_4,feature_2,feature_5,feature_6,feature_8,feature_3,feature_1,feature_7,target
35,148,0,336,50,72,6,627,1
29,85,0,266,31,66,1,351,0
0,183,0,233,32,64,8,672,1
23,89,94,281,21,66,1,167,0
35,137,168,431,33,40,0,2288,1
0,116,0,256,30,74,5,201,0
32,78,88,31,26,50,3,248,1
0,115,0,353,29,0,10,134,0
45,197,543,305,53,70,2,158,1
0,125,0,0,54,96,8,232,1
0,110,0,376,30,92,4,191,0
0,168,0,38,34,74,10,537,1
0,139,0,271,57,80,10,1441,0
23,189,846,301,59,60,1,398,1
19,166,175,258,51,72,5,587,1
0,100,0,30,32,0,7,484,1
47,118,230,458,31,84,0,551,1
0,107,0,296,31,74,7,254,1
38,103,83,433,33,30,1,183,0
30,115,96,346,32,70,1,529,1
41,126,235,393,27,88,3,704,0
0,99,0,354,50,84,8,388,0
0,196,0,398,41,90,7,451,1
35,119,0,29,29,80,9,263,1
33,143,146,366,51,94,11,254,1
26,125,115,311,41,70,10,205,1
0,147,0,394,43,76,7,257,1
15,97,140,232,22,66,1,487,0
19,145,110,222,57,82,13,245,0
0,117,0,341,38,92,5,337,0
26,109,0,36,60,75,5,546,0
36,158,245,316,28,76,3,851,1
11,88,54,248,22,58,3,267,0
0,92,0,199,28,92,6,188,0
31,122,0,276,45,78,10,512,0
33,103,192,24,33,60,4,966,0
0,138,0,332,35,76,11,42,0
37,102,0,329,46,76,9,665,1
42,90,0,382,27,68,2,503,1
47,111,207,371,56,72,4,139,1
25,180,70,34,26,64,3,271,0
0,133,0,402,37,84,7,696,0
18,106,0,227,48,92,7,235,0
24,171,240,454,54,110,9,721,1
0,159,0,274,40,64,7,294,0
39,180,0,42,25,66,0,1893,1
0,146,0,297,29,56,1,564,0
27,71,0,28,22,70,2,586,0
32,103,0,391,31,66,7,344,1
0,105,0,0,24,0,7,305,0
11,103,82,194,22,80,1,491,0
15,101,36,242,26,50,1,526,0
21,88,23,244,30,66,5,342,0
34,176,300,337,58,90,8,467,1
42,150,342,347,42,66,7,718,0
10,73,0,23,21,50,1,248,0
39,187,304,377,41,68,7,254,1
60,100,110,468,31,88,0,962,0
0,146,0,405,44,82,0,1781,0
41,105,142,415,22,64,0,173,0
0,84,0,0,21,0,2,304,0
0,133,0,329,39,72,8,27,1
0,44,0,25,36,62,5,587,0
34,141,128,254,24,58,2,699,0
0,114,0,328,42,66,7,258,1
27,99,0,29,32,74,5,203,0
30,109,0,325,38,88,0,855,1
0,109,0,427,54,92,2,845,0
13,95,38,196,25,66,1,334,0
27,146,100,289,27,85,4,189,0
20,100,90,329,28,66,2,867,1
35,139,140,286,26,64,5,411,0
0,126,0,434,42,90,13,583,1
20,129,270,351,23,86,4,231,0
30,79,0,32,22,75,1,396,0
20,0,0,247,22,48,1,14,0
0,62,0,326,41,78,7,391,0
33,95,0,377,27,72,5,37,0
0,131,0,432,26,0,0,27,1
22,112,0,25,24,66,2,307,0
13,113,0,224,22,44,3,14,0
0,74,0,0,22,0,2,102,0
26,83,71,293,36,78,7,767,0
28,101,0,246,22,65,0,237,0
0,137,0,488,37,108,5,227,1
29,110,125,324,27,74,2,698,0
54,106,0,366,45,72,13,178,0
25,100,71,385,26,68,2,324,0
32,136,110,371,43,70,15,153,1
19,107,0,265,24,68,1,165,0
0,80,0,191,21,55,1,258,0
15,123,176,32,34,80,4,443,0
40,81,48,467,42,78,7,261,0
0,134,0,238,60,72,4,277,1
18,142,64,247,21,82,2,761,0
27,144,228,339,40,72,6,255,0
28,92,0,316,24,62,2,13,0
18,71,76,204,22,48,1,323,0
30,93,64,287,23,50,6,356,0
51,122,220,497,31,90,1,325,1
0,163,0,39,33,72,1,1222,1
0,151,0,261,22,60,1,179,0
0,125,0,225,21,96,0,262,0
18,81,40,266,24,72,1,283,0
0,85,0,396,27,65,2,93,0
29,126,152,287,21,56,1,801,0
0,96,0,224,27,122,1,207,0
28,144,140,295,37,58,4,287,0
31,83,18,343,25,58,3,336,0
25,95,36,374,24,85,0,247,1
33,171,135,333,24,72,3,199,1
26,155,495,34,46,62,8,543,1
34,89,37,312,23,76,1,192,0
0,76,0,34,25,62,4,391,0
32,160,175,305,39,54,7,588,1
0,146,0,312,61,92,4,539,1
0,124,0,34,38,74,5,22,1
0,78,0,337,25,48,5,654,0
23,97,0,282,22,60,4,443,0
15,99,51,232,21,76,4,223,0
56,162,100,532,25,76,0,759,1
39,111,0,342,24,64,6,26,0
30,107,100,336,23,74,2,404,0
0,132,0,268,69,80,5,186,0
0,113,0,333,23,76,0,278,1
42,88,99,55,26,30,1,496,1
30,120,135,429,30,70,3,452,0
36,118,94,333,23,58,1,261,0
24,117,145,345,40,88,1,403,1
0,105,0,279,62,84,0,741,1
14,173,168,297,33,70,4,361,1
0,122,0,333,33,56,9,1114,1
37,170,225,345,30,64,3,356,1
31,84,0,383,39,74,8,457,0
13,96,49,211,26,68,2,647,0
20,125,140,338,31,60,2,88,0
26,100,50,308,21,70,0,597,0
25,93,92,287,22,60,0,532,0
0,129,0,312,29,80,0,703,0
29,105,325,369,28,72,5,159,0
0,128,0,211,55,78,3,268,0
30,106,0,395,38,82,5,286,0
26,108,63,325,22,52,2,318,0
0,108,0,324,42,66,10,272,1
31,154,284,328,23,62,4,237,0
23,102,0,0,21,75,0,572,0
37,57,0,328,41,80,9,96,0
35,106,119,305,34,64,2,14,0
0,147,0,337,65,78,5,218,0
17,90,0,273,22,70,2,85,0
50,136,204,374,24,74,1,399,0
0,114,0,219,37,65,4,432,0
28,156,155,343,42,86,9,1189,1
42,153,485,406,23,82,1,687,0
0,188,0,479,43,78,8,137,1
44,152,0,50,36,88,7,337,1
15,99,94,246,21,52,2,637,0
21,109,135,252,23,56,1,833,0
19,88,53,29,22,74,2,229,0
41,163,114,409,47,72,17,817,1
38,151,0,297,36,90,4,294,0
40,102,105,372,45,74,7,204,0
34,114,285,442,27,80,0,167,0
23,100,0,297,21,64,2,368,0
0,131,0,316,32,88,0,743,1
18,104,156,299,41,74,6,722,1
25,148,0,325,22,66,3,256,0
0,120,0,296,34,68,4,709,0
0,110,0,319,29,66,4,471,0
12,111,78,284,29,90,3,495,0
0,102,0,308,36,82,6,18,1
23,134,130,354,29,70,6,542,1
23,87,0,289,25,0,2,773,0
42,79,48,435,23,60,1,678,0
24,75,55,297,33,64,2,37,0
42,179,130,327,36,72,8,719,1
0,85,0,312,42,78,6,382,0
46,129,130,671,26,110,0,319,1
0,143,0,45,47,78,5,19,0
0,130,0,391,37,82,5,956,1
0,87,0,232,32,80,6,84,0
18,119,92,349,23,64,0,725,0
20,0,23,277,21,74,1,299,0
0,73,0,268,27,60,5,268,0
0,141,0,276,40,74,4,244,0
28,194,0,359,41,68,7,745,1
36,181,495,301,60,68,8,615,1
41,128,58,32,33,98,1,1321,1
39,109,114,279,31,76,8,64,1
35,139,160,316,25,80,5,361,1
0,111,0,226,21,62,3,142,0
44,123,94,331,40,70,9,374,0
0,159,0,304,36,66,7,383,1
0,135,0,523,40,0,11,578,1
20,85,0,244,42,55,8,136,0
41,158,210,394,29,84,5,395,1
0,105,0,243,21,58,1,187,0
13,107,48,229,23,62,3,678,1
44,109,99,348,26,64,4,905,1
27,148,318,309,29,60,4,15,1
16,113,0,31,21,80,0,874,0
0,138,0,401,28,82,1,236,0
20,108,0,273,32,68,0,787,0
16,99,44,204,27,70,2,235,0
32,103,190,377,55,72,6,324,0
28,111,0,239,27,72,5,407,0
29,196,280,375,57,76,8,605,1
0,162,0,377,52,104,5,151,1
27,96,87,332,21,64,1,289,0
33,184,0,355,41,84,7,355,1
22,81,0,277,25,60,2,29,0
54,147,0,428,24,85,0,375,0
31,179,0,342,60,95,7,164,0
26,140,130,426,24,65,0,431,1
32,112,175,342,36,82,9,26,1
40,151,271,418,38,70,12,742,1
41,109,129,358,25,62,5,514,1
30,125,120,30,32,68,6,464,0
22,85,0,29,32,74,5,1224,1
0,112,0,378,41,66,5,261,1
29,177,478,346,21,60,0,1072,1
0,158,0,316,66,90,2,805,1
0,119,0,252,37,0,7,209,0
33,142,190,288,61,60,7,687,0
15,100,56,236,26,66,1,666,0
27,87,32,346,22,78,1,101,0
0,101,0,357,26,76,0,198,0
38,162,0,372,24,52,3,652,1
39,197,744,367,31,70,4,2329,0
31,117,53,452,24,80,0,89,0
0,142,0,44,22,86,4,645,1
37,134,370,462,46,80,6,238,1
25,79,37,254,22,80,1,583,0
0,122,0,35,29,68,4,394,0
28,74,45,297,23,68,3,293,0
0,171,0,436,26,72,4,479,1
21,181,192,359,51,84,7,586,1
27,179,0,441,23,90,0,686,1
21,164,0,308,32,84,9,831,1
0,104,0,184,27,76,0,582,0
24,91,0,292,21,64,1,192,0
32,91,88,331,22,70,4,446,0
0,139,0,256,22,54,3,402,1
22,119,176,271,33,50,6,1318,1
35,146,194,382,29,76,2,329,0
15,184,0,30,49,85,9,1213,1
0,122,0,312,41,68,10,258,0
33,165,680,523,23,90,0,427,0
33,124,402,354,34,70,9,282,0
19,111,0,301,23,86,1,143,0
0,106,0,312,42,52,9,38,0
0,129,0,28,27,84,2,284,0
14,90,55,244,24,80,2,249,0
32,86,0,358,25,68,0,238,0
7,92,258,276,44,62,12,926,1
35,113,0,336,21,64,1,543,1
39,111,0,301,30,56,3,557,0
22,114,0,287,25,68,2,92,0
16,193,375,259,24,50,1,655,0
28,155,150,333,51,76,11,1353,1
15,191,130,309,34,68,3,299,0
0,141,0,30,27,0,3,761,1
32,95,0,321,24,70,4,612,0
15,142,0,324,63,80,3,2,0
0,123,0,32,35,62,4,226,1
18,96,67,336,43,74,5,997,0
0,138,0,363,25,0,0,933,1
42,128,0,40,24,64,2,1101,0
0,102,0,251,21,52,0,78,0
0,146,0,275,28,0,2,24,1
37,101,0,456,38,86,10,1136,1
32,108,56,252,21,62,2,128,0
0,122,0,23,40,78,3,254,0
50,71,45,332,21,78,1,422,0
0,106,0,342,52,70,13,251,0
52,100,57,405,25,70,2,677,0
