feature_49,feature_56,feature_42,feature_68,feature_40,feature_1,feature_2,feature_37,feature_61,feature_33,feature_11,feature_52,feature_58,feature_29,target
0.02607,0.00401,0.00902,0.0,0.00501,0,100217,0.00652,0.03559,0.02456,0.001,0.00501,0.00401,0.01003,1
0.02917,0.00136,0.01425,0.0,0.0095,0,100220,0.00475,0.03596,0.01289,0.00204,0.00204,0.00136,0.01425,1
0.01789,0.00864,0.01419,0.00144,0.01851,0,100755,0.00967,0.02489,0.01892,0.01028,0.01604,0.00926,0.01728,1
0.01358,0.00627,0.02089,0.0,0.02037,0,100880,0.00522,0.01671,0.02663,0.0094,0.00783,0.00261,0.01201,1
0.01796,0.0095,0.012,0.00131,0.02593,0,100887,0.01191,0.01734,0.00797,0.00473,0.01174,0.00578,0.01205,1
0.03546,0.00398,0.02844,0.00209,0.03527,0,101029,0.0036,0.00171,0.01119,0.01782,0.00683,0.00322,0.01232,1
0.01348,0.00888,0.01315,0.0,0.02728,0,101688,0.00066,0.00822,0.00986,0.01052,0.01512,0.0069,0.01216,1
0.01535,0.01499,0.01607,0.00071,0.01535,0,101764,0.005,0.01107,0.01464,0.00893,0.01071,0.00714,0.01142,1
0.01519,0.00207,0.0,0.00138,0.00104,0,101947,0.02313,0.00311,0.02969,0.00069,0.00173,0.00311,0.01139,1
0.02077,0.00634,0.02111,0.00103,0.02158,0,10249,0.0089,0.00411,0.00271,0.0186,0.01517,0.00578,0.00731,1
0.02035,0.0066,0.02106,0.00112,0.02232,0,10253,0.00855,0.00416,0.00271,0.01889,0.01473,0.00551,0.00719,1
0.0204,0.00641,0.0215,0.00086,0.02233,0,10254,0.00828,0.00403,0.00283,0.01806,0.01473,0.00593,0.00729,1
0.01994,0.00641,0.02271,0.00094,0.02271,0,10255,0.00728,0.00378,0.00283,0.01821,0.01486,0.00525,0.00683,1
0.01464,0.00437,0.03776,0.00077,0.03622,0,10256,0.00822,0.00205,0.00205,0.01952,0.01156,0.00385,0.00565,1
0.02346,0.0055,0.0189,0.0005,0.02172,0,10263,0.00704,0.0066,0.00361,0.01887,0.01365,0.00284,0.00687,1
0.01545,0.0024,0.02611,0.00107,0.01759,0,10266,0.00506,0.00373,0.00346,0.01092,0.01439,0.00213,0.00799,1
0.03366,0.00996,0.01548,0.00043,0.01045,0,10272,0.01486,0.00542,0.00789,0.01454,0.01213,0.01002,0.00769,1
0.03183,0.00579,0.00482,0.00096,0.00405,0,10279,0.01582,0.00174,0.01157,0.00907,0.00328,0.00328,0.00791,1
0.02589,0.00714,0.00618,0.00113,0.00499,0,10280,0.0169,0.00441,0.01287,0.00724,0.00408,0.00539,0.00765,1
0.0112,0.0014,0.02706,0.0,0.01727,0,10288,0.00467,0.00093,0.00047,0.00467,0.0098,0.0014,0.00653,1
0.01259,0.00197,0.02098,0.00074,0.01579,0,10290,0.0074,0.00346,0.00271,0.00814,0.01752,0.00197,0.00666,1
0.02464,0.00643,0.00855,0.00063,0.00471,0,10295,0.01687,0.01255,0.02205,0.01146,0.00463,0.00745,0.01059,1
0.01909,0.00872,0.00699,0.00073,0.00381,0,10298,0.01592,0.00328,0.03621,0.00437,0.00886,0.00683,0.01148,1
0.01941,0.00447,0.00285,0.00051,0.00167,0,10316,0.01722,0.00418,0.03219,0.00399,0.00384,0.00572,0.01185,1
0.01655,0.00159,0.0005,0.001,0.00065,0,10317,0.01821,0.00328,0.03144,0.00067,0.00056,0.00345,0.01121,1
0.01644,0.00305,0.00266,0.00072,0.00271,0,10320,0.01696,0.0024,0.02495,0.0054,0.00171,0.00501,0.0103,1
0.02593,0.00556,0.01422,0.00057,0.01288,0,10326,0.01482,0.00987,0.02005,0.01323,0.00531,0.00666,0.01022,1
0.02747,0.00755,0.02373,0.00036,0.01955,0,10331,0.01071,0.00755,0.01439,0.0178,0.00819,0.00773,0.0099,1
0.01601,0.01336,0.02507,0.00079,0.0172,0,10334,0.01138,0.00807,0.0164,0.01654,0.01845,0.01052,0.01111,1
0.01881,0.01452,0.02341,0.00034,0.01188,0,10340,0.01269,0.00585,0.01572,0.01081,0.01552,0.01185,0.01075,1
0.02684,0.0036,0.00975,0.0009,0.01304,0,10353,0.01649,0.0051,0.01649,0.00795,0.00465,0.00765,0.00885,1
0.0172,0.00437,0.01632,0.00117,0.01457,0,103603,0.00612,0.0172,0.02332,0.01545,0.00816,0.01224,0.01312,1
0.03018,0.01087,0.01156,0.00157,0.01282,0,10366,0.02393,0.00915,0.01009,0.00926,0.00574,0.00702,0.01519,1
0.02734,0.00613,0.0198,0.00074,0.01734,0,10370,0.00972,0.00924,0.00757,0.01343,0.0137,0.0066,0.0076,1
0.01925,0.00906,0.00302,0.00038,0.00831,0,103722,0.00982,0.00189,0.0034,0.00113,0.00793,0.00302,0.01133,1
0.01831,0.00499,0.02553,0.00166,0.03385,0,10373,0.00222,0.01165,0.01332,0.00499,0.00999,0.00333,0.00721,1
0.02795,0.01431,0.01431,0.00068,0.02386,0,103782,0.01159,0.01227,0.00954,0.00886,0.0075,0.01159,0.01159,1
0.0218,0.00424,0.01333,0.00101,0.01857,0,103881,0.00868,0.01454,0.00909,0.00909,0.00949,0.00363,0.00444,1
0.02531,0.01047,0.02356,0.00087,0.01745,0,103898,0.00262,0.0096,0.01745,0.00175,0.0096,0.00698,0.01222,1
0.0324,0.01009,0.02479,3e-05,0.01753,0,103901,0.00637,0.00754,0.0093,0.01233,0.00854,0.00806,0.01398,1
0.02838,0.00275,0.02243,0.0,0.01648,0,103908,0.00366,0.01236,0.01693,0.01556,0.00915,0.00229,0.0151,1
0.02819,0.00273,0.01842,0.0,0.01523,0,103915,0.00455,0.01364,0.01592,0.01683,0.01137,0.00205,0.01455,1
0.01958,0.0027,0.01902,0.00092,0.01873,0,103919,0.00532,0.011,0.0232,0.02441,0.00944,0.01029,0.02299,1
0.01458,0.01238,0.01989,0.00137,0.01781,0,10392,0.0134,0.01123,0.01388,0.01232,0.01675,0.01264,0.01146,1
0.02648,0.01121,0.00504,0.00081,0.00796,0,103920,0.01966,0.01284,0.01186,0.00747,0.00617,0.00877,0.00682,1
0.02479,0.00346,0.02063,0.0,0.02093,0,103922,0.00513,0.01212,0.01919,0.0113,0.00773,0.00365,0.01409,1
0.01549,0.00516,0.03356,0.0,0.01484,0,103926,0.00452,0.01291,0.01226,0.01355,0.01807,0.00549,0.01291,1
0.02356,0.01146,0.01777,0.00109,0.01622,0,103930,0.01272,0.00702,0.00942,0.01034,0.01426,0.01197,0.01478,1
0.01791,0.0059,0.03247,0.0,0.01389,0,103931,0.00358,0.01512,0.01251,0.00817,0.01441,0.00484,0.01424,1
0.01893,0.00719,0.00235,0.00139,0.00288,0,10397,0.02598,0.00368,0.01875,0.00305,0.00302,0.01134,0.01385,1
0.03051,0.00232,0.00913,0.00047,0.01344,0,10398,0.00705,0.01247,0.0156,0.01268,0.00634,0.0047,0.01075,1
0.02352,0.00543,0.01032,0.00155,0.00556,0,10401,0.01617,0.01365,0.02761,0.0078,0.00549,0.00958,0.01228,1
0.02497,0.00788,0.02234,0.00854,0.01643,0,10406,0.0092,0.01314,0.00986,0.00986,0.01577,0.00329,0.03088,1
0.01415,0.00858,0.01501,0.00086,0.02144,0,10408,0.01329,0.01415,0.01887,0.01715,0.01544,0.00257,0.03173,1
0.01517,0.01072,0.0089,0.00081,0.01416,0,104263,0.00688,0.02487,0.02427,0.01537,0.01193,0.00283,0.01153,1
0.03745,0.00422,0.00212,0.00132,0.00357,0,10449,0.02324,0.00634,0.00598,0.00256,0.0038,0.00861,0.00896,1
0.05079,0.00427,0.00549,0.00061,0.00386,0,10450,0.01503,0.0044,0.0063,0.00549,0.0044,0.00447,0.00745,1
0.04389,0.00906,0.00956,0.00093,0.00975,0,10454,0.02102,0.00366,0.00147,0.01127,0.01013,0.01096,0.00723,1
0.0483,0.01078,0.01088,0.00065,0.01362,0,10455,0.01572,0.00316,0.00129,0.01067,0.01092,0.0085,0.00728,1
0.03726,0.00822,0.00683,0.00043,0.00886,0,10456,0.02562,0.00491,0.00203,0.00651,0.00897,0.01238,0.00822,1
0.01995,0.01377,0.01678,0.00032,0.02485,0,104580,0.0076,0.00697,0.00412,0.01156,0.01472,0.00317,0.00507,1
0.01396,0.01566,0.00834,0.00017,0.01873,0,104581,0.01498,0.01107,0.01039,0.00954,0.01669,0.01243,0.00971,1
0.04374,0.00922,0.01309,0.0006,0.01309,0,10462,0.01012,0.00506,0.00417,0.01101,0.00982,0.00774,0.0122,1
0.03267,0.00921,0.01789,0.00071,0.01566,0,10464,0.00846,0.00518,0.00433,0.01109,0.01048,0.00705,0.00919,1
0.04195,0.00763,0.01615,0.0009,0.01436,0,104664,0.00381,0.00673,0.00426,0.01368,0.00965,0.01099,0.01144,1
0.03599,0.01547,0.01784,0.00067,0.01625,0,10468,0.01628,0.00176,0.00119,0.00917,0.01313,0.01136,0.00795,1
0.02563,0.01073,0.01753,0.00107,0.01264,0,10484,0.01335,0.00608,0.00966,0.0093,0.0192,0.01073,0.01478,1
0.0135,0.0105,0.01725,0.0,0.02401,0,10490,0.0105,0.003,0.003,0.00825,0.00675,0.00675,0.00825,1
0.02272,0.00327,0.00873,0.00112,0.00898,0,10493,0.0091,0.04227,0.02001,0.00424,0.00312,0.00237,0.01537,1
0.02662,0.01042,0.01947,0.00187,0.01596,0,10506,0.01047,0.00705,0.01162,0.0085,0.0123,0.00626,0.01188,1
0.04083,0.0092,0.02161,0.00055,0.02052,0,10507,0.0081,0.00639,0.0133,0.00629,0.0081,0.0068,0.00992,1
0.03188,0.00791,0.0094,0.00065,0.01853,0,10510,0.00687,0.00888,0.01335,0.0105,0.00758,0.00998,0.01231,1
0.03951,0.0053,0.01712,0.00094,0.01771,0,10515,0.00621,0.00553,0.01153,0.01373,0.00618,0.00331,0.01147,1
0.028,0.00593,0.01314,0.00095,0.01996,0,10519,0.00562,0.00993,0.01383,0.00977,0.01019,0.00701,0.01279,1
0.02606,0.00946,0.01299,0.00102,0.02143,0,10521,0.00551,0.0064,0.00837,0.01218,0.00987,0.00918,0.01245,1
0.02582,0.0092,0.01391,0.00102,0.02071,0,10522,0.00586,0.00707,0.00778,0.01144,0.00982,0.00979,0.01261,1
0.03217,0.00851,0.01079,0.00322,0.01873,0,10524,0.00833,0.00814,0.01258,0.0106,0.01003,0.00719,0.01466,1
0.02819,0.00426,0.01073,0.00179,0.01363,0,10527,0.00888,0.01024,0.01406,0.00605,0.00938,0.00413,0.01271,1
0.03643,0.00818,0.01338,0.0,0.0223,0,10528,0.00967,0.00595,0.01561,0.01413,0.00967,0.00743,0.01041,1
0.03273,0.00432,0.0259,0.0,0.0277,0,10529,0.00899,0.00504,0.01475,0.01079,0.00719,0.00827,0.01043,1
0.02135,0.01401,0.01401,0.0012,0.02162,0,10530,0.00667,0.00894,0.01161,0.01121,0.01348,0.01081,0.01401,1
0.03313,0.00823,0.00555,0.00077,0.01072,0,10532,0.00747,0.01015,0.01312,0.00718,0.00622,0.00823,0.01254,1
0.02981,0.008,0.01381,0.00137,0.01422,0,10533,0.00738,0.00909,0.01162,0.01306,0.00677,0.00595,0.01107,1
