feature_18,feature_76,feature_13,feature_68,feature_49,feature_45,feature_47,feature_77,target
2.308745322,0.128185603,0.402698444,0.18885166,0.354604528,0.84272515,1.443090669,1.67565235,0
2.043036519,0.1311187,0.385986773,0.200403601,0.354548277,0.847614612,1.439459795,1.743609645,0
2.017983547,0.127431075,0.381002487,0.193684548,0.386086771,0.856165847,1.52436418,1.926426587,0
2.132754174,0.146901093,0.37708701,0.192111873,0.290679519,0.760233521,1.612382051,1.700563438,0
2.013696791,0.148379919,0.363502081,0.205604228,0.309345015,0.768112919,1.645807259,1.839730218,0
1.968275306,0.14218043,0.363892996,0.190469457,0.332367081,0.77969457,1.634615385,1.816388575,0
2.01257071,0.157498978,0.37115022,0.181610135,0.266857376,0.70224765,1.773845525,1.528483858,0
1.85703317,0.159409283,0.358875921,0.191561181,0.288607595,0.681940928,1.795780591,1.652658228,0
1.822070766,0.158235497,0.337006961,0.186377762,0.294112569,0.710808011,1.805248619,1.834599448,0
1.783249243,0.192333633,0.368314834,0.189523381,0.24977518,0.637927158,1.926596223,1.516861511,0
1.756132171,0.193054604,0.3794851,0.190769934,0.275416952,0.662097327,1.902901531,1.613548092,0
1.690812721,0.195528744,0.361405575,0.194819021,0.287319612,0.675065058,2.001656021,1.722971374,0
1.737701486,0.214088398,0.340590329,0.203314917,0.244889503,0.589502762,1.904005525,1.426933702,0
1.686083457,0.22528477,0.36030502,0.190127971,0.254957109,0.611165799,1.972577697,1.500070314,0
1.655781475,0.224212034,0.325734237,0.193839542,0.269770774,0.626361032,1.959455587,1.613896848,0
1.711026056,0.163994829,0.383630208,0.178474467,0.294117647,0.908532644,0.94272786,1.297220427,0
1.525172891,0.15820598,0.346196404,0.176079734,0.380730897,0.893488372,0.963388704,1.363189369,0
1.521097628,0.15854319,0.342112521,0.174248578,0.400961278,0.885729759,0.975494178,1.404481451,0
1.654792988,0.195738683,0.3769116,0.195655778,0.283037639,0.890399602,0.9568065,1.170038136,0
1.333063209,0.16997737,0.323824959,0.188165284,0.353029922,0.85944179,0.97837566,1.272986338,0
1.403411069,0.159939582,0.337278107,0.179575396,0.362339515,0.857766216,1.000503482,1.279936226,0
1.671169073,0.239907346,0.388448999,0.194352526,0.243437017,0.804103243,0.954555482,1.178248401,0
1.516289593,0.197067118,0.369457014,0.192329385,0.323068246,0.768527919,0.963338973,1.219966159,0
1.347339527,0.183547103,0.327702703,0.181888545,0.312030075,0.717713401,0.937748784,1.246130031,0
1.393823449,0.233123804,0.356654824,0.218912271,0.251571468,0.787100301,0.98305548,1.077480186,0
1.531773633,0.206741266,0.416376857,0.177128821,0.29121179,0.746724891,0.929039301,1.144377729,0
1.216848259,0.243806306,0.327664098,0.181869369,0.313907658,0.740990991,0.958333333,1.238457207,0
1.260097919,0.267758702,0.309669523,0.225862341,0.170105528,0.704835407,0.902031816,0.981414396,0
1.213021492,0.217620723,0.32806574,0.182283339,0.232651103,0.684521906,0.853693636,0.994403582,0
1.125960061,0.208285574,0.301382488,0.174553791,0.239233666,0.62682168,0.890453578,1.030948092,0
1.603736388,,0.348291401,0.211461573,0.676686905,1.223801767,0.605804827,1.649982724,0
1.854728447,,0.36270414,0.222265284,0.637341343,1.216306559,0.61268288,1.63898847,0
1.956427426,,0.368386306,0.227445703,0.590310006,1.200436235,0.603165027,1.564924819,0
1.661240974,,0.335699425,0.207185323,0.598989964,1.15195295,0.724477402,1.68222208,0
1.861592565,,0.354684753,0.213443994,0.576849975,1.149328434,0.731500253,1.660352255,0
1.983516484,,0.365384615,0.222425685,0.529756455,1.118903742,0.73362632,1.61081609,0
1.594967046,,0.325344518,0.220722364,0.577617658,1.084002189,0.776267785,1.727380518,0
1.849892009,,0.344800987,0.206508463,0.520851509,1.026522422,0.740359449,1.650846275,0
1.995498991,,0.361011951,0.217879489,0.485214708,1.070797977,0.748350047,1.555326991,0
1.685093404,,0.344452917,0.223523899,0.551077788,0.983950328,0.785731022,1.655576382,0
1.856333774,,0.3518973,0.21987046,0.52475133,0.995373583,0.815752949,1.681702521,0
1.997731998,,0.371763372,0.225881057,0.442951542,0.99030837,0.780726872,1.585792952,0
1.623518687,,0.347082954,0.223418945,0.529549848,0.934824634,0.785832643,1.615575808,0
1.767787692,,0.360558225,0.220316269,0.482980434,0.951755562,0.778745645,1.561913696,0
1.915388087,,0.365072202,0.212156863,0.442745098,0.934901961,0.775163399,1.530457516,0
1.586725178,,0.324300603,0.219493154,0.534110017,1.327948595,0.900372328,1.680398751,0
1.745405405,,0.324864865,0.229048613,0.521085595,1.365404116,0.874500447,1.720906651,0
1.940245478,,0.336024978,0.229796528,0.519772388,1.31641568,0.848373376,1.645763881,0
1.601646435,,0.32928701,0.216361511,0.50377873,1.193611219,0.925126607,1.699259836,0
1.730094655,,0.33672049,0.228727077,0.498810711,1.231489296,0.910764981,1.705363309,0
1.868248773,,0.343426077,0.234359634,0.514411075,1.229820713,0.935244724,1.68242681,0
1.485279358,,0.316159251,0.216818136,0.472585639,1.060021971,0.950364526,1.653051034,0
1.662129566,,0.339076499,0.226788137,0.482942431,1.008528785,0.921593332,1.653808878,0
1.805461902,,0.343391773,0.237870165,0.507668564,1.075528118,0.953795698,1.607118742,0
1.335804133,,0.311769991,0.248646507,0.548395616,0.826752938,0.894361548,1.739865311,0
1.355973997,,0.317193454,0.262048986,0.549644456,0.843824072,0.907426916,1.718461944,0
1.342643501,,0.329228062,0.260564313,0.546165055,0.880646443,0.90952444,1.690157637,0
1.25770235,,0.307049608,0.260582011,0.527116402,0.826388889,0.940806878,1.73015873,0
1.343824385,,0.316053954,0.255589513,0.529676693,0.825961074,0.905742319,1.633585331,0
1.342633638,,0.322033898,0.24515302,0.509053036,0.821182503,0.88831918,1.613042782,0
1.171963947,,0.283088235,0.239624578,0.45035929,1.282226133,0.892726206,1.817861857,0
1.253401573,,0.296217701,0.232931727,0.444249726,1.27192406,0.876159182,1.769404892,0
1.302758018,,0.298390116,0.238160554,0.435677159,1.231374531,0.874314178,1.723144672,0
