feature_77,feature_47,feature_12,feature_18,feature_44,feature_62,feature_9,feature_32,feature_49,feature_40,feature_66,feature_2,feature_27,feature_31,feature_50,feature_45,feature_53,feature_8,feature_11,feature_38,feature_71,feature_36,feature_43,feature_5,feature_26,feature_58,feature_55,feature_64,feature_73,feature_42,feature_33,diagnosis
1.67565235,1.443090669,0.306381721,2.308745322,0.182150472,0.247537821,0.232223754,3.037620642,0.354604528,0.394721292,1.044979186,0.747193224,0.264526295,0.453909789,1.339069956,0.84272515,0.18885166,2.373744337,0.687906244,0.448099271,0.106305209,0.825192043,0.294169785,5.990151664,1.537226709,0.115290892,0.144989339,2.014874607,0.427099198,0.482863896,0.369509553,0
1.743609645,1.439459795,0.299051088,2.043036519,0.182086309,0.257632205,0.226972108,2.921882488,0.354548277,0.368254577,1.009883059,0.689063548,0.25572702,0.430940286,1.306323088,0.847614612,0.184570009,2.292149909,0.69500623,0.420876066,0.106592156,0.761717627,0.276430557,5.685037861,1.509249497,0.118234503,0.150470868,2.004605195,0.441581289,0.454519314,0.342279306,0
1.926426587,1.52436418,0.291276067,2.017983547,0.18438769,0.255343022,0.230246795,2.944136216,0.386086771,0.363879855,0.996847617,0.730246795,0.259613545,0.423187297,1.279600342,0.856165847,0.190532165,2.283336522,0.677348383,0.404629807,0.108303056,0.757030802,0.256648173,5.622058542,1.501243543,0.117760205,0.145330199,2.016830519,0.435776875,0.447197245,0.343696193,0
1.700563438,1.612382051,0.296728655,2.132754174,0.161767701,0.251103116,0.207004208,2.500203611,0.290679519,0.366770734,0.990224696,0.61707615,0.259535768,0.410614904,1.19876451,0.760233521,0.185323468,2.152300801,0.583276775,0.386860323,0.103183762,0.746979775,0.398534003,4.97950319,1.419709515,0.117439413,0.14065576,1.957233046,0.391690992,0.442649654,0.344509298,0
1.839730218,1.645807259,0.286961192,2.013696791,0.16020025,0.25177305,0.192157916,2.456559688,0.309345015,0.35155096,0.997774997,0.617429838,0.250704982,0.398549752,1.206994855,0.768112919,0.188221388,2.134013697,0.550960118,0.360816436,0.104783757,0.691956493,0.393447026,4.718678663,1.35987646,0.116047838,0.141983034,2.009108608,0.434153803,0.419094938,0.329125822,0
1.816388575,1.634615385,0.289823901,1.968275306,0.162330317,0.244485294,0.195187525,2.467132679,0.332367081,0.347224089,0.920178167,0.62817583,0.250840167,0.391047184,1.12344457,0.77969457,0.183823529,2.14128243,0.566339562,0.354214276,0.106476244,0.674418605,0.382578304,4.807635435,1.447909665,0.115243213,0.13956448,2.003535068,0.439833145,0.412824304,0.327597795,0
1.528483858,1.773845525,0.299654305,2.01257071,0.145565999,0.238005721,0.195788812,2.288812068,0.266857376,0.360307982,1.028769922,0.573695789,0.261470773,0.405562539,1.03228443,0.70224765,0.181610135,2.012413576,0.509899434,0.368950346,0.097834083,0.757542426,0.465116279,4.473130107,1.364236329,0.114752758,0.142787086,1.861708214,0.406293421,0.420490258,0.345380264,0
1.652658228,1.795780591,0.283015971,1.85703317,0.147848101,0.241434599,0.18980344,2.281173219,0.288607595,0.338298526,0.943544304,0.564035627,0.250614251,0.375460688,1.152067511,0.681940928,0.182869198,2.007985258,0.501074939,0.340141278,0.099493671,0.695178133,0.44041769,4.268734644,1.316646192,0.116202532,0.140168776,1.969451477,0.382531646,0.39296683,0.328163391,0
1.834599448,1.805248619,0.266966357,1.822070766,0.150120856,0.236015193,0.180684455,2.139211137,0.294112569,0.312064965,0.94690953,0.538428074,0.230423434,0.351218097,1.107907459,0.710808011,0.178522099,1.861513921,0.476653132,0.32337587,0.105145028,0.636890951,0.421693735,4.063950116,1.252030162,0.116799033,0.137776243,1.958736188,0.435687155,0.357598608,0.309164733,0
1.516861511,1.926596223,0.324117053,1.783249243,0.14006295,0.244829137,0.188092836,1.922906155,0.24977518,0.358627649,0.970323741,0.499293643,0.257719475,0.380423814,0.930980216,0.637927158,0.171088129,1.717860747,0.455499495,0.357214934,0.09330036,0.742078708,0.505751766,3.598587286,1.248234107,0.126573741,0.12443795,1.818907374,0.414793165,0.426034309,0.373965691,0
1.613548092,1.902901531,0.290289884,1.756132171,0.144505369,0.250628284,0.185282789,1.957834989,0.275416952,0.341374417,0.940370117,0.513277924,0.266166633,0.418812082,0.899017592,0.662097327,0.183801691,1.724508413,0.461179809,0.343807014,0.094356865,0.693087371,0.513277924,3.66105818,1.231096696,0.119716701,0.128169979,1.861549006,0.385423806,0.406649098,0.34684776,0
1.722971374,2.001656021,0.27718885,1.690812721,0.142299503,0.249704282,0.190223793,1.887711033,0.287319612,0.330977621,0.911521173,0.499411072,0.243423636,0.368080094,0.967707594,0.675065058,0.17411876,1.672555948,0.447192776,0.326266196,0.098414952,0.666274048,0.501570475,3.466627405,1.20691009,0.115448308,0.135557133,1.913532056,0.442394133,0.384766392,0.333922261,0
1.426933702,1.904005525,0.272137325,1.737701486,0.12679558,0.277624309,0.171027842,1.749214988,0.244889503,0.32593678,0.997237569,0.482101737,0.273812016,0.366338706,0.944060773,0.589502762,0.175276243,1.508687461,0.471844254,0.353150513,0.097651934,0.690391459,0.464098807,3.349591794,1.149047519,0.126657459,0.123756906,1.760635359,0.440331492,0.466610844,0.322378062,0
1.500070314,1.972577697,0.284261809,1.686083457,0.134298973,0.252003938,0.179834781,1.770599449,0.254957109,0.329379369,0.980874701,0.485914001,0.239779708,0.367295065,0.929545774,0.611165799,0.174377725,1.50900233,0.463249312,0.337216691,0.094642104,0.68904893,0.462825673,3.349290405,1.137894514,0.123892561,0.142314724,1.792434257,0.422162846,0.403728024,0.339970345,0
1.613896848,1.959455587,0.266173752,1.655781475,0.12277937,0.249283668,0.176422263,1.710002054,0.269770774,0.30971452,0.942406877,0.46231259,0.230642842,0.356541384,0.903581662,0.626361032,0.173352436,1.444239063,0.426987061,0.323475046,0.099140401,0.657013761,0.458410351,3.287122612,1.125898542,0.118481375,0.130372493,1.764756447,0.446561605,0.369069624,0.326966523,0
1.297220427,0.94272786,0.355365818,1.711026056,0.201228184,0.233484163,0.19446489,2.620197262,0.294117647,0.523332843,1.177892696,0.862652731,0.272044752,0.421610481,1.347123465,0.908532644,0.192243051,2.277491535,1.081554541,0.540850876,0.138655462,0.872368615,0.225084646,6.067569557,1.463712645,0.13697479,0.129411765,1.68332256,0.440142211,0.54659208,0.387163256,0
1.363189369,0.963388704,0.331950207,1.525172891,0.187840532,0.235149502,0.174688797,2.422959889,0.380730897,0.474965422,1.115681063,0.807053942,0.246473029,0.389626556,1.150631229,0.893488372,0.191827243,2.118810512,1.07593361,0.478838174,0.111362126,0.818118949,0.216459198,5.595573997,1.393914246,0.136345515,0.134219269,1.693820598,0.454352159,0.482710927,0.362102351,0
1.404481451,0.975494178,0.326668505,1.521097628,0.183455185,0.237544002,0.171400993,2.415471594,0.400961278,0.457253172,1.044476036,0.802537231,0.24310535,0.393546608,1.176617926,0.885729759,0.186704576,2.10728075,1.065637066,0.457391065,0.112036285,0.831081081,0.193188086,5.548400441,1.378240485,0.133563499,0.139859193,1.791835906,0.45450853,0.464423607,0.35314396,0
1.170038136,0.9568065,0.358261843,1.654792988,0.205355662,0.229646825,0.190973517,2.328422231,0.283037639,0.497762029,1.09053225,0.770234987,0.274897426,0.416822081,1.188028519,0.890399602,0.188028519,2.259045132,0.977620291,0.503543454,0.111507213,0.876725103,0.232935472,4.975195822,1.3461395,0.130658266,0.13753938,1.6362129,0.458547505,0.538791496,0.398358821,0
1.272986338,0.97837566,0.306320908,1.333063209,0.168971587,0.22864806,0.16191248,2.00713128,0.353029922,0.4273906,1.020870003,0.678768233,0.229659643,0.364343598,1.092615875,0.85944179,0.182549661,1.975688817,0.838573744,0.409562399,0.100578325,0.764829822,0.204862237,4.313938412,1.179578606,0.14231833,0.12672869,1.65702791,0.42502724,0.435008104,0.327066451,0
1.279936226,1.000503482,0.324399582,1.403411069,0.166736595,0.227993623,0.174556213,2.112077967,0.362339515,0.432822833,1.047243434,0.716672468,0.234075879,0.382004873,1.113535286,0.857766216,0.182092809,2.127044901,0.871388792,0.416637661,0.110682219,0.831534981,0.213713888,4.571179951,1.251827358,0.131408912,0.133506755,1.652261475,0.439456239,0.449356074,0.36407936,0
1.178248401,0.954555482,0.343269679,1.671169073,0.1732848,0.237480697,0.182114578,2.078947368,0.243437017,0.505822077,1.178138098,0.69958081,0.274336283,0.424778761,1.105559232,0.804103243,0.193470108,2.091057289,0.886353051,0.505356311,0.104897419,0.909874243,0.281089893,4.449231486,1.267582673,0.130266931,0.135120229,1.562761968,0.407346128,0.55193293,0.4035864,0
1.219966159,0.963338973,0.34638009,1.516289593,0.159954879,0.236999436,0.176696833,2.043438914,0.323068246,0.484162896,1.118668923,0.690271493,0.263348416,0.411085973,0.988832487,0.768527919,0.181725888,2.045475113,0.850452489,0.446832579,0.112351946,0.883936652,0.25520362,4.229411765,1.261312217,0.14393683,0.147772138,1.611957135,0.471517202,0.554298643,0.381447964,0
1.246130031,0.937748784,0.317356419,1.347339527,0.15247678,0.231203008,0.168074324,1.910261824,0.312030075,0.421030405,0.979544449,0.641891892,0.226351351,0.378378378,0.982529854,0.717713401,0.166850951,1.940878378,0.822212838,0.406461149,0.1036046,0.836993243,0.228673986,4.020692568,1.17504223,0.129478107,0.121295887,1.582706767,0.444272446,0.448902027,0.357896959,0
1.077480186,0.98305548,0.334244329,1.393823449,0.165345723,0.245285597,0.178190763,1.766329598,0.251571468,0.491117792,1.154413774,0.561355562,0.26591965,0.376878929,1.017627767,0.787100301,0.169171905,1.783820716,0.711943154,0.494124078,0.10426346,0.891773709,0.318939601,3.558895873,1.094014758,0.099754031,0.132959825,1.574883848,0.430308828,0.547144028,0.399836021,0
1.144377729,0.929039301,0.402782169,1.531773633,0.15010917,0.255049127,0.202023396,2.034144799,0.29121179,0.562440721,1.068367904,0.701865318,0.296553905,0.46095479,0.895469432,0.746724891,0.165938865,2.082832754,0.839076826,0.550742966,0.097980349,1.035093266,0.39203288,4.109705975,1.314890926,0.133324236,0.125545852,1.554312227,0.40625,0.596901676,0.447992412,0
1.238457207,0.958333333,0.317565772,1.216848259,0.152730856,0.244650901,0.178049429,1.705022588,0.313907658,0.450969971,1.027167793,0.583045442,0.243954292,0.395163433,0.926238739,0.740990991,0.154279279,1.800956683,0.733988839,0.439808663,0.110078829,0.854371512,0.30029232,3.381344672,1.117193728,0.137528153,0.132460586,1.584881757,0.389358108,0.478341749,0.386925326,0
0.981414396,0.902031816,0.301407589,1.260097919,0.156717593,0.245077965,0.1624847,1.421052632,0.170105528,0.480110159,1.103323358,0.540085679,0.237760098,0.365361077,0.711608127,0.704835407,0.155930068,1.414932681,0.685740514,0.486842105,0.075444952,0.82619339,0.330171359,2.873623011,0.971848225,0.117341314,0.113718696,1.402583084,0.411245865,0.549571603,0.382802938,0
0.994403582,0.853693636,0.300252845,1.213021492,0.135913016,0.233290694,0.162136536,1.512958281,0.232651103,0.474399494,1.030060761,0.564791403,0.236409608,0.389380531,0.699712184,0.684521906,0.152542373,1.487357775,0.686156764,0.500316056,0.091461465,0.882743363,0.340391909,2.978824273,0.961125158,0.13559322,0.12120243,1.403901503,0.40821874,0.520859671,0.408343869,0
1.030948092,0.890453578,0.280798771,1.125960061,0.142459473,0.235467496,0.169892473,1.421198157,0.239233666,0.459293395,1.009988538,0.556374808,0.224270353,0.366513057,0.770754871,0.62682168,0.146880629,1.462365591,0.695852535,0.470660522,0.09317177,0.871889401,0.32688172,2.847004608,0.976036866,0.128541019,0.125102342,1.42492222,0.361061077,0.494930876,0.361290323,0
1.649982724,0.605804827,0.348666917,1.603736388,0.248877042,0.303667506,0.232256853,2.747559144,0.676686905,0.488265115,1.180117479,0.954187007,0.271216673,0.442921517,1.951280912,1.223801767,0.202872797,1.765114532,1.022812617,0.538302666,0.148773385,0.799380398,0.214513706,5.915039429,1.533420954,0.119354361,0.185793968,2.221383089,0.54124093,0.527037176,0.358148704,0
1.63898847,0.61268288,0.353873908,1.854728447,0.248037981,0.320414688,0.259020129,2.801842005,0.637341343,0.506551462,1.066127313,0.962020509,0.27535131,0.46268515,2.060217033,1.216306559,0.205745567,1.807823775,1.053551082,0.563520699,0.14766011,0.823205469,0.234523357,5.975028485,1.563330801,0.124939444,0.18922585,2.215773665,0.525966476,0.537124953,0.395366502,0
