feature_18,feature_76,feature_13,feature_68,feature_49,feature_45,feature_47,feature_77,feature_3,feature_33,feature_53,feature_21,feature_46,feature_9,feature_31,feature_66,feature_73,feature_36,feature_75,feature_16,feature_62,feature_48,feature_54,feature_56,feature_57,feature_40,feature_8,feature_67,feature_61,feature_41,feature_28,feature_26,feature_64,feature_71,feature_32,feature_30,feature_4,feature_55,feature_43,feature_19,feature_65,feature_12,feature_52,feature_15,feature_22,feature_38,feature_25,feature_20,feature_42,feature_27,feature_69,feature_17,feature_50,feature_63,feature_44,feature_60,feature_72,feature_2,feature_34,feature_5,feature_1,feature_35,target
2.308745322,0.128185603,0.402698444,0.18885166,0.354604528,0.84272515,1.443090669,1.67565235,0.4301753,0.369509553,0.18885166,0.416289147,0.192608387,0.232223754,0.453909789,1.044979186,0.427099198,0.825192043,0.131790029,0.605672641,0.247537821,0.29469997,0.106305209,0.176667682,0.125190375,0.394721292,2.373744337,0.831556503,0.430957458,0.339570613,0.319676975,1.537226709,2.014874607,0.106305209,3.037620642,0.165845972,2.81632854,0.144989339,0.294169785,0.44159937,0.108234339,0.306381721,0.159102447,1.022060272,0.369608036,0.448099271,3.685247193,0.859365767,0.482863896,0.264526295,0.122652046,1.877683671,1.339069956,1.603309981,0.182150472,0.14275561,0.108335872,0.747193224,0.458538507,5.990151664,0.503643884,0.335335828,0
2.043036519,0.1311187,0.385986773,0.200403601,0.354548277,0.847614612,1.439459795,1.743609645,0.411770344,0.342279306,0.184570009,0.400364229,0.194815275,0.226972108,0.430940286,1.009883059,0.441581289,0.761717627,0.13510297,0.587558708,0.257632205,0.294059816,0.106592156,0.178309014,0.13427507,0.368254577,2.292149909,0.849270413,0.457156163,0.321959168,0.304418672,1.509249497,2.004605195,0.106592156,2.921882488,0.157193521,2.789514042,0.150470868,0.276430557,0.445221892,0.109748525,0.299051088,0.158128945,0.956675932,0.356177514,0.420876066,3.48528707,0.834659254,0.454519314,0.25572702,0.11668219,1.725773986,1.306323088,1.671737556,0.182086309,0.142036635,0.10431543,0.689063548,0.423559858,5.685037861,0.51461708,0.324834659,0
2.017983547,0.127431075,0.381002487,0.193684548,0.386086771,0.856165847,1.52436418,1.926426587,0.418308781,0.343696193,0.190532165,0.399846949,0.200737337,0.230246795,0.423187297,0.996847617,0.435776875,0.757030802,0.133361829,0.602448823,0.255343022,0.301880744,0.108303056,0.176212866,0.132560376,0.363879855,2.283336522,0.846708698,0.510472323,0.3130859,0.3117467,1.501243543,2.016830519,0.108303056,2.944136216,0.160895351,2.687201071,0.145330199,0.256648173,0.467667878,0.108196196,0.291276067,0.148696303,1.003634972,0.36808877,0.404629807,3.571455902,0.814329443,0.447197245,0.259613545,0.118508228,1.731872967,1.279600342,1.663549904,0.18438769,0.142444967,0.106219278,0.730246795,0.425004783,5.622058542,0.509183088,0.324851731,0
2.132754174,0.146901093,0.37708701,0.192111873,0.290679519,0.760233521,1.612382051,1.700563438,0.358626307,0.344509298,0.185323468,0.385638659,0.184169439,0.207004208,0.410614904,0.990224696,0.391690992,0.746979775,0.147444165,0.520293199,0.251103116,0.29638178,0.103183762,0.163804222,0.123209558,0.366770734,2.152300801,0.833276763,0.430995859,0.328491923,0.279218135,1.419709515,1.957233046,0.103183762,2.500203611,0.162209855,2.466947197,0.14065576,0.398534003,0.477670694,0.119883239,0.296728655,0.16611228,0.875390254,0.362970001,0.386860323,2.970137098,0.727704629,0.442649654,0.259535768,0.13278121,1.566852179,1.19876451,1.484624262,0.161767701,0.145068223,0.111261965,0.61707615,0.429211348,4.97950319,0.442106692,0.330120809,0
2.013696791,0.148379919,0.363502081,0.205604228,0.309345015,0.768112919,1.645807259,1.839730218,0.358802202,0.329125822,0.188221388,0.367530549,0.185718259,0.192157916,0.398549752,0.997774997,0.434153803,0.691956493,0.140314282,0.507989795,0.25177305,0.29682937,0.104783757,0.167709637,0.136837714,0.35155096,2.134013697,0.878667779,0.481226533,0.312206258,0.273667249,1.35987646,2.009108608,0.104783757,2.456559688,0.154827447,2.36578488,0.141983034,0.393447026,0.483416141,0.119524406,0.286961192,0.16068697,0.864912045,0.355310863,0.360816436,2.896334094,0.687793742,0.419094938,0.250704982,0.129954109,1.480059084,1.206994855,1.534835211,0.16020025,0.140870533,0.110693923,0.617429838,0.408755203,4.718678663,0.434940244,0.313414798,0
1.968275306,0.14218043,0.363892996,0.190469457,0.332367081,0.77969457,1.634615385,1.816388575,0.36738809,0.327597795,0.183823529,0.36940449,0.186792986,0.195187525,0.391047184,0.920178167,0.439833145,0.674418605,0.140766403,0.521306627,0.244485294,0.28803733,0.106476244,0.174844457,0.130514706,0.347224089,2.14128243,0.843679299,0.478577489,0.303132141,0.284043554,1.447909665,2.003535068,0.106476244,2.467132679,0.156875924,2.38593897,0.13956448,0.382578304,0.495899987,0.120687217,0.289823901,0.150593891,0.85912085,0.357171663,0.354214276,2.956983466,0.672402205,0.412824304,0.250840167,0.131575226,1.538244388,1.12344457,1.507777149,0.162330317,0.13645362,0.109445701,0.62817583,0.404489851,4.807635435,0.447506385,0.296276381,0
2.01257071,0.157498978,0.37115022,0.181610135,0.266857376,0.70224765,1.773845525,1.528483858,0.342708988,0.345380264,0.181610135,0.395977373,0.177033102,0.195788812,0.405562539,1.028769922,0.406293421,0.757542426,0.156681651,0.485386549,0.238005721,0.292194524,0.097834083,0.15185942,0.115978749,0.360307982,2.012413576,0.798283613,0.415529219,0.329352608,0.276241358,1.364236329,1.861708214,0.097834083,2.288812068,0.162162162,2.334223759,0.142787086,0.465116279,0.497485858,0.117041275,0.299654305,0.149816101,0.844280327,0.359522313,0.368950346,2.599622879,0.646134507,0.420490258,0.261470773,0.141806293,1.494814582,1.03228443,1.338782182,0.145565999,0.144830405,0.111483449,0.573695789,0.427561282,4.473130107,0.428032684,0.333909491,0
1.85703317,0.159409283,0.358875921,0.191561181,0.288607595,0.681940928,1.795780591,1.652658228,0.327702703,0.328163391,0.182869198,0.360718673,0.174599156,0.18980344,0.375460688,0.943544304,0.382531646,0.695178133,0.155611814,0.478501229,0.241434599,0.288523207,0.099493671,0.158734177,0.119578059,0.338298526,2.007985258,0.843966245,0.451139241,0.298525799,0.265356265,1.316646192,1.969451477,0.099493671,2.281173219,0.159551597,2.260135135,0.140168776,0.44041769,0.48955774,0.116877637,0.283015971,0.154514768,0.818642506,0.360718673,0.340141278,2.550214988,0.628071253,0.39296683,0.250614251,0.141012658,1.409398034,1.152067511,1.386075949,0.147848101,0.13443038,0.113080169,0.564035627,0.407248157,4.268734644,0.416922604,0.322788698,0
1.822070766,0.158235497,0.337006961,0.186377762,0.294112569,0.710808011,1.805248619,1.834599448,0.317720418,0.309164733,0.178522099,0.326566125,0.167472376,0.180684455,0.351218097,0.94690953,0.435687155,0.636890951,0.152710635,0.458961717,0.236015193,0.294457873,0.105145028,0.160393646,0.123964088,0.312064965,1.861513921,0.83218232,0.455973757,0.279292343,0.252610209,1.252030162,1.958736188,0.105145028,2.139211137,0.154147332,2.125725058,0.137776243,0.421693735,0.464472158,0.11386395,0.266966357,0.148653315,0.748259861,0.328886311,0.32337587,2.434599768,0.600638051,0.357598608,0.230423434,0.139589088,1.341792343,1.107907459,1.404178177,0.150120856,0.132596685,0.105490331,0.538428074,0.378480278,4.063950116,0.386310905,0.294518561,0
1.783249243,0.192333633,0.368314834,0.189523381,0.24977518,0.637927158,1.926596223,1.516861511,0.362462159,0.373965691,0.171088129,0.335418769,0.175584532,0.188092836,0.380423814,0.970323741,0.414793165,0.742078708,0.188848921,0.44419778,0.244829137,0.301821043,0.09330036,0.150629496,0.117580935,0.358627649,1.717860747,0.803394784,0.410971223,0.336024218,0.301513623,1.248234107,1.818907374,0.09330036,1.922906155,0.174369324,2.096266398,0.12443795,0.505751766,0.493037336,0.13995054,0.324117053,0.166254496,0.743491423,0.392129162,0.357214934,2.169929364,0.570534813,0.426034309,0.257719475,0.183678058,1.355398587,0.930980216,1.288669065,0.14006295,0.148156475,0.116906475,0.499293643,0.433501514,3.598587286,0.380827447,0.394349142,0
