feature_41,feature_42,feature_77,feature_45,feature_76,feature_69,feature_73,feature_37,target
0.339570613,0.482863896,1.67565235,0.84272515,0.128185603,0.122652046,0.427099198,0.576915501,1
0.321959168,0.454519314,1.743609645,0.847614612,0.1311187,0.11668219,0.441581289,0.545097287,1
0.3130859,0.447197245,1.926426587,0.856165847,0.127431075,0.118508228,0.435776875,0.543619667,1
0.328491923,0.442649654,1.700563438,0.760233521,0.146901093,0.13278121,0.391690992,0.54676259,1
0.312206258,0.419094938,1.839730218,0.768112919,0.148379919,0.129954109,0.434153803,0.536860481,1
0.303132141,0.412824304,1.816388575,0.77969457,0.14218043,0.131575226,0.439833145,0.539723081,1
0.329352608,0.420490258,1.528483858,0.70224765,0.157498978,0.141806293,0.406293421,0.558610937,1
0.298525799,0.39296683,1.652658228,0.681940928,0.159409283,0.141012658,0.382531646,0.525030713,1
0.279292343,0.357598608,1.834599448,0.710808011,0.158235497,0.139589088,0.435687155,0.484918794,1
0.336024218,0.426034309,1.516861511,0.637927158,0.192333633,0.183678058,0.414793165,0.553178607,1
0.323535374,0.406649098,1.613548092,0.662097327,0.193054604,0.168037469,0.385423806,0.54672613,1
0.319199058,0.384766392,1.722971374,0.675065058,0.195528744,0.166311805,0.442394133,0.529053789,1
0.332426209,0.466610844,1.426933702,0.589502762,0.214088398,0.200276243,0.440331492,0.528155746,1
0.321965685,0.403728024,1.500070314,0.611165799,0.22528477,0.196034313,0.422162846,0.524041517,1
0.336414048,0.369069624,1.613896848,0.626361032,0.224212034,0.183954155,0.446561605,0.519203122,1
0.407478286,0.54659208,1.297220427,0.908532644,0.163994829,0.13852618,0.440142211,0.796702488,1
0.36473029,0.482710927,1.363189369,0.893488372,0.15820598,0.132093023,0.454352159,0.66417704,1
0.35452289,0.464423607,1.404481451,0.885729759,0.15854319,0.131126455,0.45450853,0.611141754,1
0.4000373,0.538791496,1.170038136,0.890399602,0.195738683,0.157685293,0.458547505,0.774337934,1
0.337439222,0.435008104,1.272986338,0.85944179,0.16997737,0.169139217,0.42502724,0.605024311,1
0.342151062,0.449356074,1.279936226,0.857766216,0.159939582,0.14349249,0.439456239,0.617298991,1
0.433628319,0.55193293,1.178248401,0.804103243,0.239907346,0.167879991,0.407346128,0.828598044,1
0.413800905,0.554298643,1.219966159,0.768527919,0.197067118,0.167399887,0.471517202,0.720135747,1
0.349873311,0.448902027,1.246130031,0.717713401,0.183547103,0.155462185,0.444272446,0.633657095,1
0.441104127,0.547144028,1.077480186,0.787100301,0.233123804,0.19363214,0.430308828,0.838480459,1
0.5042681,0.596901676,1.144377729,0.746724891,0.206741266,0.222434498,0.40625,0.859943092,1
0.410045177,0.478341749,1.238457207,0.740990991,0.243806306,0.179757883,0.389358108,0.672601648,1
0.485312118,0.549571603,0.981414396,0.704835407,0.267758702,0.196251378,0.411245865,0.827111383,1
0.455436157,0.520859671,0.994403582,0.684521906,0.217620723,0.17396866,0.40821874,0.800252845,1
0.428571429,0.494930876,1.030948092,0.62682168,0.208285574,0.165875225,0.361061077,0.681105991,1
0.368757041,0.527037176,1.649982724,1.223801767,,0.127400168,0.54124093,0.645043184,1
0.388340296,0.537124953,1.63898847,1.216306559,,0.134822207,0.525966476,0.678598557,1
0.405639913,0.574931623,1.564924819,1.200436235,,0.124327084,0.508214219,0.730547958,1
0.354546567,0.479133521,1.68222208,1.15195295,,0.145496388,0.561720898,0.639823767,1
0.387967847,0.500879176,1.660352255,1.149328434,,0.148314749,0.534845413,0.694297915,1
0.406218781,0.532342657,1.61081609,1.118903742,,0.136727095,0.512116218,0.767357642,1
0.357549431,0.46929299,1.727380518,1.084002189,,0.158974827,0.560105801,0.645895746,1
0.387226165,0.478093181,1.650846275,1.026522422,,0.169342174,0.506979585,0.711045973,1
0.412851156,0.523513891,1.555326991,1.070797977,,0.161052541,0.516842376,0.786745305,1
0.39306138,0.48532215,1.655576382,0.983950328,,0.172446111,0.583997188,0.694052612,1
0.407211629,0.492731735,1.681702521,0.995373583,,0.193499884,0.574485311,0.735699453,1
0.434889435,0.542997543,1.585792952,0.99030837,,0.176872247,0.532929515,0.815346815,1
0.383090246,0.434822242,1.615575808,0.934824634,,0.187793427,0.520022093,0.715360073,1
0.412948982,0.482955845,1.561913696,0.951755562,,0.171535781,0.547038328,0.773507207,1
0.436371841,0.528880866,1.530457516,0.934901961,,0.180653595,0.557124183,0.84183213,1
