feature_41,feature_42,feature_77,feature_45,feature_76,feature_69,feature_73,feature_37,feature_72,feature_68,feature_58,feature_63,feature_71,feature_39,feature_33,feature_11,target
0.339570613,0.482863896,1.67565235,0.84272515,0.128185603,0.122652046,0.427099198,0.576915501,0.108335872,0.18885166,0.115290892,1.603309981,0.106305209,0.58627142,0.369509553,0.687906244,1
0.321959168,0.454519314,1.743609645,0.847614612,0.1311187,0.11668219,0.441581289,0.545097287,0.10431543,0.200403601,0.118234503,1.671737556,0.106592156,0.545097287,0.342279306,0.69500623,1
0.3130859,0.447197245,1.926426587,0.856165847,0.127431075,0.118508228,0.435776875,0.543619667,0.106219278,0.193684548,0.117760205,1.663549904,0.108303056,0.552994069,0.343696193,0.677348383,1
0.328491923,0.442649654,1.700563438,0.760233521,0.146901093,0.13278121,0.391690992,0.54676259,0.111261965,0.192111873,0.117439413,1.484624262,0.103183762,0.547848514,0.344509298,0.583276775,1
0.312206258,0.419094938,1.839730218,0.768112919,0.148379919,0.129954109,0.434153803,0.536860481,0.110693923,0.205604228,0.116047838,1.534835211,0.104783757,0.512823956,0.329125822,0.550960118,1
0.303132141,0.412824304,1.816388575,0.77969457,0.14218043,0.131575226,0.439833145,0.539723081,0.109445701,0.190469457,0.115243213,1.507777149,0.106476244,0.51431644,0.327597795,0.566339562,1
0.329352608,0.420490258,1.528483858,0.70224765,0.157498978,0.141806293,0.406293421,0.558610937,0.111483449,0.181610135,0.114752758,1.338782182,0.097834083,0.544626021,0.345380264,0.509899434,1
0.298525799,0.39296683,1.652658228,0.681940928,0.159409283,0.141012658,0.382531646,0.525030713,0.113080169,0.191561181,0.116202532,1.386075949,0.099493671,0.50982801,0.328163391,0.501074939,1
0.279292343,0.357598608,1.834599448,0.710808011,0.158235497,0.139589088,0.435687155,0.484918794,0.105490331,0.186377762,0.116799033,1.404178177,0.105145028,0.479988399,0.309164733,0.476653132,1
0.336024218,0.426034309,1.516861511,0.637927158,0.192333633,0.183678058,0.414793165,0.553178607,0.116906475,0.189523381,0.126573741,1.288669065,0.09330036,0.530978809,0.373965691,0.455499495,1
0.323535374,0.406649098,1.613548092,0.662097327,0.193054604,0.168037469,0.385423806,0.54672613,0.131254284,0.190769934,0.119716701,1.326707791,0.094356865,0.524021893,0.34684776,0.461179809,1
0.319199058,0.384766392,1.722971374,0.675065058,0.195528744,0.166311805,0.442394133,0.529053789,0.125266146,0.194819021,0.115448308,1.30305181,0.098414952,0.505300353,0.333922261,0.447192776,1
