feature_41,feature_42,feature_77,feature_45,feature_76,feature_69,feature_73,feature_37,feature_72,feature_68,feature_58,feature_63,feature_71,feature_39,feature_33,feature_11,feature_18,feature_61,feature_25,feature_44,feature_67,feature_16,feature_22,feature_49,feature_38,feature_4,feature_13,feature_26,feature_21,feature_36,feature_46,target
0.339570613,0.482863896,1.67565235,0.84272515,0.128185603,0.122652046,0.427099198,0.576915501,0.108335872,0.18885166,0.115290892,1.603309981,0.106305209,0.58627142,0.369509553,0.687906244,2.308745322,0.430957458,3.685247193,0.182150472,0.831556503,0.605672641,0.369608036,0.354604528,0.448099271,2.81632854,0.402698444,1.537226709,0.416289147,0.825192043,0.192608387,1
0.321959168,0.454519314,1.743609645,0.847614612,0.1311187,0.11668219,0.441581289,0.545097287,0.10431543,0.200403601,0.118234503,1.671737556,0.106592156,0.545097287,0.342279306,0.69500623,2.043036519,0.457156163,3.48528707,0.182086309,0.849270413,0.587558708,0.356177514,0.354548277,0.420876066,2.789514042,0.385986773,1.509249497,0.400364229,0.761717627,0.194815275,1
0.3130859,0.447197245,1.926426587,0.856165847,0.127431075,0.118508228,0.435776875,0.543619667,0.106219278,0.193684548,0.117760205,1.663549904,0.108303056,0.552994069,0.343696193,0.677348383,2.017983547,0.510472323,3.571455902,0.18438769,0.846708698,0.602448823,0.36808877,0.386086771,0.404629807,2.687201071,0.381002487,1.501243543,0.399846949,0.757030802,0.200737337,1
0.328491923,0.442649654,1.700563438,0.760233521,0.146901093,0.13278121,0.391690992,0.54676259,0.111261965,0.192111873,0.117439413,1.484624262,0.103183762,0.547848514,0.344509298,0.583276775,2.132754174,0.430995859,2.970137098,0.161767701,0.833276763,0.520293199,0.362970001,0.290679519,0.386860323,2.466947197,0.37708701,1.419709515,0.385638659,0.746979775,0.184169439,1
0.312206258,0.419094938,1.839730218,0.768112919,0.148379919,0.129954109,0.434153803,0.536860481,0.110693923,0.205604228,0.116047838,1.534835211,0.104783757,0.512823956,0.329125822,0.550960118,2.013696791,0.481226533,2.896334094,0.16020025,0.878667779,0.507989795,0.355310863,0.309345015,0.360816436,2.36578488,0.363502081,1.35987646,0.367530549,0.691956493,0.185718259,1
0.303132141,0.412824304,1.816388575,0.77969457,0.14218043,0.131575226,0.439833145,0.539723081,0.109445701,0.190469457,0.115243213,1.507777149,0.106476244,0.51431644,0.327597795,0.566339562,1.968275306,0.478577489,2.956983466,0.162330317,0.843679299,0.521306627,0.357171663,0.332367081,0.354214276,2.38593897,0.363892996,1.447909665,0.36940449,0.674418605,0.186792986,1
0.329352608,0.420490258,1.528483858,0.70224765,0.157498978,0.141806293,0.406293421,0.558610937,0.111483449,0.181610135,0.114752758,1.338782182,0.097834083,0.544626021,0.345380264,0.509899434,2.01257071,0.415529219,2.599622879,0.145565999,0.798283613,0.485386549,0.359522313,0.266857376,0.368950346,2.334223759,0.37115022,1.364236329,0.395977373,0.757542426,0.177033102,1
0.298525799,0.39296683,1.652658228,0.681940928,0.159409283,0.141012658,0.382531646,0.525030713,0.113080169,0.191561181,0.116202532,1.386075949,0.099493671,0.50982801,0.328163391,0.501074939,1.85703317,0.451139241,2.550214988,0.147848101,0.843966245,0.478501229,0.360718673,0.288607595,0.340141278,2.260135135,0.358875921,1.316646192,0.360718673,0.695178133,0.174599156,1
0.279292343,0.357598608,1.834599448,0.710808011,0.158235497,0.139589088,0.435687155,0.484918794,0.105490331,0.186377762,0.116799033,1.404178177,0.105145028,0.479988399,0.309164733,0.476653132,1.822070766,0.455973757,2.434599768,0.150120856,0.83218232,0.458961717,0.328886311,0.294112569,0.32337587,2.125725058,0.337006961,1.252030162,0.326566125,0.636890951,0.167472376,1
0.336024218,0.426034309,1.516861511,0.637927158,0.192333633,0.183678058,0.414793165,0.553178607,0.116906475,0.189523381,0.126573741,1.288669065,0.09330036,0.530978809,0.373965691,0.455499495,1.783249243,0.410971223,2.169929364,0.14006295,0.803394784,0.44419778,0.392129162,0.24977518,0.357214934,2.096266398,0.368314834,1.248234107,0.335418769,0.742078708,0.175584532,1
0.323535374,0.406649098,1.613548092,0.662097327,0.193054604,0.168037469,0.385423806,0.54672613,0.131254284,0.190769934,0.119716701,1.326707791,0.094356865,0.524021893,0.34684776,0.461179809,1.756132171,0.429403701,2.171903507,0.144505369,0.842472013,0.449422258,0.362659639,0.275416952,0.343807014,2.072572471,0.3794851,1.231096696,0.346036894,0.693087371,0.173292209,1
0.319199058,0.384766392,1.722971374,0.675065058,0.195528744,0.166311805,0.442394133,0.529053789,0.125266146,0.194819021,0.115448308,1.30305181,0.098414952,0.505300353,0.333922261,0.447192776,1.690812721,0.455050863,2.108755399,0.142299503,0.836172226,0.443855516,0.344719278,0.287319612,0.326266196,2.006870828,0.361405575,1.20691009,0.323125245,0.666274048,0.180151408,1
0.332426209,0.466610844,1.426933702,0.589502762,0.214088398,0.200276243,0.440331492,0.528155746,0.126933702,0.203314917,0.126657459,1.251933702,0.097651934,0.520619636,0.322378062,0.471844254,1.737701486,0.395441989,1.925685577,0.12679558,0.80980663,0.417416789,0.339543647,0.244889503,0.353150513,1.946200544,0.340590329,1.149047519,0.384969646,0.690391459,0.167403315,1
0.321965685,0.403728024,1.500070314,0.611165799,0.22528477,0.196034313,0.422162846,0.524041517,0.125017578,0.190127971,0.123892561,1.288707636,0.094642104,0.4956577,0.339970345,0.463249312,1.686083457,0.415412741,1.956576996,0.134298973,0.832794262,0.41897903,0.347172209,0.254957109,0.337216691,1.958907011,0.36030502,1.137894514,0.343359458,0.68904893,0.170862045,1
0.336414048,0.369069624,1.613896848,0.626361032,0.224212034,0.183954155,0.446561605,0.519203122,0.125787966,0.193839542,0.118481375,1.251289398,0.099140401,0.476278497,0.326966523,0.426987061,1.655781475,0.434527221,1.885192031,0.12277937,0.806160458,0.410556582,0.359416718,0.269770774,0.323475046,1.861162456,0.325734237,1.125898542,0.351817622,0.657013761,0.161031519,1
0.407478286,0.54659208,1.297220427,0.908532644,0.163994829,0.13852618,0.440142211,0.796702488,,0.178474467,0.13697479,1.127407886,0.138655462,0.651258649,0.387163256,1.081554541,1.711026056,0.355074337,4.112615928,0.201228184,0.67498384,0.790961284,0.386132784,0.294117647,0.540850876,2.735757397,0.383630208,1.463712645,0.537612248,0.872368615,0.191338074,1
0.36473029,0.482710927,1.363189369,0.893488372,0.15820598,0.132093023,0.454352159,0.66417704,,0.176079734,0.136345515,1.137009967,0.111362126,0.598340249,0.362102351,1.07593361,1.525172891,0.373621262,3.69253112,0.187840532,0.684252492,0.727524205,0.357399723,0.380730897,0.478838174,2.546887967,0.346196404,1.393914246,0.555325035,0.818118949,0.193156146,1
0.35452289,0.464423607,1.404481451,0.885729759,0.15854319,0.131126455,0.45450853,0.611141754,,0.174248578,0.133563499,1.14798267,0.112036285,0.582322118,0.35314396,1.065637066,1.521097628,0.388302193,3.684914506,0.183455185,0.713850528,0.742553778,0.362520684,0.400961278,0.457391065,2.467733039,0.342112521,1.378240485,0.528130171,0.831081081,0.196723531,1
0.4000373,0.538791496,1.170038136,0.890399602,0.195738683,0.157685293,0.458547505,0.774337934,,0.195655778,0.130658266,1.148731554,0.111507213,0.630175308,0.398358821,0.977620291,1.654792988,0.36345548,3.514546811,0.205355662,0.67924059,0.730511003,0.403767251,0.283037639,0.503543454,2.563222678,0.3769116,1.3461395,0.520701231,0.876725103,0.189935334,1
0.337439222,0.435008104,1.272986338,0.85944179,0.16997737,0.169139217,0.42502724,0.605024311,,0.188165284,0.14231833,1.102087,0.100578325,0.544570502,0.327066451,0.838573744,1.333063209,0.364428799,2.944894652,0.168971587,0.685692733,0.613614263,0.338897893,0.353029922,0.409562399,2.164181524,0.323824959,1.179578606,0.487682334,0.764829822,0.193864722,1
0.342151062,0.449356074,1.279936226,0.857766216,0.159939582,0.14349249,0.439456239,0.617298991,,0.179575396,0.131408912,1.102290845,0.110682219,0.57239819,0.36407936,0.871388792,1.403411069,0.386842326,3.127567003,0.166736595,0.702525803,0.667942917,0.378698225,0.362339515,0.416637661,2.285938044,0.337278107,1.251827358,0.504524887,0.831534981,0.186120668,1
0.433628319,0.55193293,1.178248401,0.804103243,0.239907346,0.167879991,0.407346128,0.828598044,,0.194352526,0.130266931,1.116589455,0.104897419,0.654867257,0.4035864,0.886353051,1.671169073,0.367196117,3.235211924,0.1732848,0.679020516,0.692594318,0.397997205,0.243437017,0.505356311,2.437587331,0.388448999,1.267582673,0.492081975,0.909874243,0.19159497,1
0.413800905,0.554298643,1.219966159,0.768527919,0.197067118,0.167399887,0.471517202,0.720135747,,0.192329385,0.14393683,1.062380147,0.112351946,0.616968326,0.381447964,0.850452489,1.516289593,0.349125776,3.119004525,0.159954879,0.691483362,0.654751131,0.37760181,0.323068246,0.446832579,2.308371041,0.369457014,1.261312217,0.473076923,0.883936652,0.190073322,1
