feature_8,feature_64,feature_15,feature_45,feature_35,feature_4,feature_32,feature_28,feature_55,feature_40,feature_17,feature_16,feature_38,feature_20,feature_18,feature_33,feature_54,feature_44,feature_30,feature_22,feature_71,feature_41,feature_67,feature_73,feature_36,feature_66,feature_61,feature_24,feature_31,feature_63,feature_39,feature_12,feature_3,feature_68,feature_29,feature_43,feature_5,feature_9,feature_19,feature_42,feature_14,feature_65,feature_27,feature_46,feature_62,feature_49,feature_56,feature_7,feature_34,feature_13,feature_75,feature_50,feature_23,feature_25,diagnosis
2.373744337,2.014874607,1.022060272,0.84272515,0.335335828,2.81632854,3.037620642,0.319676975,0.144989339,0.394721292,1.877683671,0.605672641,0.448099271,0.859365767,2.308745322,0.369509553,0.106305209,0.182150472,0.165845972,0.369608036,0.106305209,0.339570613,0.831556503,0.427099198,0.825192043,1.044979186,0.430957458,1.866358085,0.453909789,1.603309981,0.58627142,0.306381721,0.4301753,0.18885166,0.813866457,0.294169785,5.990151664,0.232223754,0.44159937,0.482863896,0.296927319,0.108234339,0.264526295,0.192608387,0.247537821,0.354604528,0.176667682,0.177565491,0.458538507,0.402698444,0.131790029,1.339069956,0.178944258,3.685247193,1
2.292149909,2.004605195,0.956675932,0.847614612,0.324834659,2.789514042,2.921882488,0.304418672,0.150470868,0.368254577,1.725773986,0.587558708,0.420876066,0.834659254,2.043036519,0.342279306,0.106592156,0.182086309,0.157193521,0.356177514,0.106592156,0.321959168,0.849270413,0.441581289,0.761717627,1.009883059,0.457156163,1.761046679,0.430940286,1.671737556,0.545097287,0.299051088,0.411770344,0.200403601,0.780504169,0.276430557,5.685037861,0.226972108,0.445221892,0.454519314,0.281318892,0.109748525,0.25572702,0.194815275,0.257632205,0.354548277,0.178309014,0.172817023,0.423559858,0.385986773,0.13510297,1.306323088,0.17367967,3.48528707,1
2.283336522,2.016830519,1.003634972,0.856165847,0.324851731,2.687201071,2.944136216,0.3117467,0.145330199,0.363879855,1.731872967,0.602448823,0.404629807,0.814329443,2.017983547,0.343696193,0.108303056,0.18438769,0.160895351,0.36808877,0.108303056,0.3130859,0.846708698,0.435776875,0.757030802,0.996847617,0.510472323,1.765544289,0.423187297,1.663549904,0.552994069,0.291276067,0.418308781,0.193684548,0.785154008,0.256648173,5.622058542,0.230246795,0.467667878,0.447197245,0.28171035,0.108196196,0.259613545,0.200737337,0.255343022,0.386086771,0.176212866,0.175722212,0.425004783,0.381002487,0.133361829,1.279600342,0.173904725,3.571455902,1
2.152300801,1.957233046,0.875390254,0.760233521,0.330120809,2.466947197,2.500203611,0.279218135,0.14065576,0.366770734,1.566852179,0.520293199,0.386860323,0.727704629,2.132754174,0.344509298,0.103183762,0.161767701,0.162209855,0.362970001,0.103183762,0.328491923,0.833276763,0.391690992,0.746979775,0.990224696,0.430995859,1.286276639,0.410614904,1.484624262,0.547848514,0.296728655,0.358626307,0.192111873,0.734491652,0.398534003,4.97950319,0.207004208,0.477670694,0.442649654,0.313831953,0.119883239,0.259535768,0.184169439,0.251103116,0.290679519,0.163804222,0.176462604,0.429211348,0.37708701,0.147444165,1.19876451,0.179448894,2.970137098,1
2.134013697,2.009108608,0.864912045,0.768112919,0.313414798,2.36578488,2.456559688,0.273667249,0.141983034,0.35155096,1.480059084,0.507989795,0.360816436,0.687793742,2.013696791,0.329125822,0.104783757,0.16020025,0.154827447,0.355310863,0.104783757,0.312206258,0.878667779,0.434153803,0.691956493,0.997774997,0.481226533,1.324694508,0.398549752,1.534835211,0.512823956,0.286961192,0.358802202,0.205604228,0.702699073,0.393447026,4.718678663,0.192157916,0.483416141,0.419094938,0.277964281,0.119524406,0.250704982,0.185718259,0.25177305,0.309345015,0.167709637,0.173626964,0.408755203,0.363502081,0.140314282,1.206994855,0.174835504,2.896334094,1
2.14128243,2.003535068,0.85912085,0.77969457,0.296276381,2.38593897,2.467132679,0.284043554,0.13956448,0.347224089,1.538244388,0.521306627,0.354214276,0.672402205,1.968275306,0.327597795,0.106476244,0.162330317,0.156875924,0.357171663,0.106476244,0.303132141,0.843679299,0.439833145,0.674418605,0.920178167,0.478577489,1.227449926,0.391047184,1.507777149,0.51431644,0.289823901,0.36738809,0.190469457,0.704395752,0.382578304,4.807635435,0.195187525,0.495899987,0.412824304,0.26683694,0.120687217,0.250840167,0.186792986,0.244485294,0.332367081,0.174844457,0.176233365,0.404489851,0.363892996,0.140766403,1.12344457,0.179728458,2.956983466,1
2.012413576,1.861708214,0.844280327,0.70224765,0.333909491,2.334223759,2.288812068,0.276241358,0.142787086,0.360307982,1.494814582,0.485386549,0.368950346,0.646134507,2.01257071,0.345380264,0.097834083,0.145565999,0.162162162,0.359522313,0.097834083,0.329352608,0.798283613,0.406293421,0.757542426,1.028769922,0.415529219,1.10779384,0.405562539,1.338782182,0.544626021,0.299654305,0.342708988,0.181610135,0.693117536,0.465116279,4.473130107,0.195788812,0.497485858,0.420490258,0.277655563,0.117041275,0.261470773,0.177033102,0.238005721,0.266857376,0.15185942,0.184003771,0.427561282,0.37115022,0.156681651,1.03228443,0.186046512,2.599622879,1
2.007985258,1.969451477,0.818642506,0.681940928,0.322788698,2.260135135,2.281173219,0.265356265,0.140168776,0.338298526,1.409398034,0.478501229,0.340141278,0.628071253,1.85703317,0.328163391,0.099493671,0.147848101,0.159551597,0.360718673,0.099493671,0.298525799,0.843966245,0.382531646,0.695178133,0.943544304,0.451139241,1.077395577,0.375460688,1.386075949,0.50982801,0.283015971,0.327702703,0.191561181,0.676597052,0.44041769,4.268734644,0.18980344,0.48955774,0.39296683,0.256449631,0.116877637,0.250614251,0.174599156,0.241434599,0.288607595,0.158734177,0.179668305,0.407248157,0.358875921,0.155611814,1.152067511,0.171836609,2.550214988,1
1.861513921,1.958736188,0.748259861,0.710808011,0.294518561,2.125725058,2.139211137,0.252610209,0.137776243,0.312064965,1.341792343,0.458961717,0.32337587,0.600638051,1.822070766,0.309164733,0.105145028,0.150120856,0.154147332,0.328886311,0.105145028,0.279292343,0.83218232,0.435687155,0.636890951,0.94690953,0.455973757,1.008845708,0.351218097,1.404178177,0.479988399,0.266966357,0.317720418,0.186377762,0.635585847,0.421693735,4.063950116,0.180684455,0.464472158,0.357598608,0.242604408,0.11386395,0.230423434,0.167472376,0.236015193,0.294112569,0.160393646,0.167778422,0.378480278,0.337006961,0.152710635,1.107907459,0.170388631,2.434599768,1
1.717860747,1.818907374,0.743491423,0.637927158,0.394349142,2.096266398,1.922906155,0.301513623,0.12443795,0.358627649,1.355398587,0.44419778,0.357214934,0.570534813,1.783249243,0.373965691,0.09330036,0.14006295,0.174369324,0.392129162,0.09330036,0.336024218,0.803394784,0.414793165,0.742078708,0.970323741,0.410971223,0.906155399,0.380423814,1.288669065,0.530978809,0.324117053,0.362462159,0.189523381,0.636730575,0.505751766,3.598587286,0.188092836,0.493037336,0.426034309,0.283753784,0.13995054,0.257719475,0.175584532,0.244829137,0.24977518,0.150629496,0.188092836,0.433501514,0.368314834,0.188848921,0.930980216,0.198385469,2.169929364,1
1.724508413,1.861549006,0.765659842,0.662097327,0.352118386,2.072572471,1.957834989,0.262720454,0.128169979,0.341374417,1.297993108,0.449422258,0.343807014,0.547536996,1.756132171,0.34684776,0.094356865,0.144505369,0.169673627,0.362659639,0.094356865,0.323535374,0.842472013,0.385423806,0.693087371,0.940370117,0.429403701,0.891952159,0.418812082,1.326707791,0.524021893,0.290289884,0.327792418,0.190769934,0.635313197,0.513277924,3.66105818,0.185282789,0.509831745,0.406649098,0.271234543,0.126799178,0.266166633,0.173292209,0.250628284,0.275416952,0.149988577,0.193796878,0.428137036,0.3794851,0.184601325,0.899017592,0.196229475,2.171903507,1
1.672555948,1.913532056,0.743031017,0.675065058,0.33451119,2.006870828,1.887711033,0.281311347,0.135557133,0.330977621,1.250098155,0.443855516,0.326266196,0.549862583,1.690812721,0.333922261,0.098414952,0.142299503,0.160581076,0.344719278,0.098414952,0.319199058,0.836172226,0.442394133,0.666274048,0.911521173,0.455050863,0.862583431,0.368080094,1.30305181,0.505300353,0.27718885,0.355123675,0.194819021,0.615822536,0.501570475,3.466627405,0.190223793,0.492343934,0.384766392,0.26442874,0.124201561,0.243423636,0.180151408,0.249704282,0.287319612,0.160752307,0.204358068,0.408912446,0.361405575,0.191861841,0.967707594,0.197879859,2.108755399,1
1.508687461,1.760635359,0.723047938,0.589502762,0.37366548,1.946200544,1.749214988,0.256018422,0.123756906,0.32593678,1.226711325,0.417416789,0.353150513,0.494871258,1.737701486,0.322378062,0.097651934,0.12679558,0.16474775,0.339543647,0.097651934,0.332426209,0.80980663,0.440331492,0.690391459,0.997237569,0.395441989,0.869583421,0.366338706,1.251933702,0.520619636,0.272137325,0.312539251,0.203314917,0.612727653,0.464098807,3.349591794,0.171027842,0.461168097,0.466610844,0.256018422,0.160773481,0.273812016,0.167403315,0.277624309,0.244889503,0.15,0.188821436,0.426418254,0.340590329,0.236878453,0.944060773,0.199288256,1.925685577,1
1.50900233,1.792434257,0.755348443,0.611165799,0.370684177,1.958907011,1.770599449,0.25672527,0.142314724,0.329379369,1.197203982,0.41897903,0.337216691,0.524465156,1.686083457,0.339970345,0.094642104,0.134298973,0.164371955,0.347172209,0.094642104,0.321965685,0.832794262,0.422162846,0.68904893,0.980874701,0.415412741,0.814022453,0.367295065,1.288707636,0.4956577,0.284261809,0.31095107,0.190127971,0.579114594,0.462825673,3.349290405,0.179834781,0.485066723,0.403728024,0.262868036,0.131345802,0.239779708,0.170862045,0.252003938,0.254957109,0.154408663,0.188519381,0.427028172,0.36030502,0.215581493,0.929545774,0.214573184,1.956576996,1
1.444239063,1.764756447,0.695830766,0.626361032,0.358595194,1.861162456,1.710002054,0.242349558,0.130372493,0.30971452,1.158143356,0.410556582,0.323475046,0.510166359,1.655781475,0.326966523,0.099140401,0.12277937,0.158348737,0.359416718,0.099140401,0.336414048,0.806160458,0.446561605,0.657013761,0.942406877,0.434527221,0.789484494,0.356541384,1.251289398,0.476278497,0.266173752,0.344629287,0.193839542,0.557403984,0.458410351,3.287122612,0.176422263,0.465393305,0.369069624,0.279523516,0.125501433,0.230642842,0.161031519,0.249283668,0.269770774,0.151862464,0.185459026,0.387348532,0.325734237,0.227936963,0.903581662,0.18402136,1.885192031,1
2.277491535,1.68332256,0.956131312,0.908532644,0.373767113,2.735757397,2.620197262,0.28764905,0.129411765,0.523332843,1.897836008,0.790961284,0.540850876,0.856469895,1.711026056,0.387163256,0.138655462,0.201228184,0.168555866,0.386132784,0.138655462,0.407478286,0.67498384,0.440142211,0.872368615,1.177892696,0.355074337,1.491240983,0.421610481,1.127407886,0.651258649,0.355365818,0.377741793,0.178474467,0.790078021,0.225084646,6.067569557,0.19446489,0.387163256,0.54659208,0.29942588,0.137879767,0.272044752,0.191338074,0.233484163,0.294117647,0.157918552,0.185337848,0.517297218,0.383630208,0.165287654,1.347123465,0.175621964,4.112615928,1
