feature_41,feature_42,feature_77,feature_45,feature_76,feature_69,feature_73,feature_37,feature_72,feature_68,feature_58,feature_63,feature_71,feature_39,feature_33,feature_11,feature_18,feature_61,feature_25,feature_44,feature_67,feature_16,feature_22,feature_49,feature_38,feature_4,feature_13,feature_26,feature_21,feature_36,feature_46,feature_34,feature_32,feature_57,feature_43,feature_40,feature_62,feature_54,feature_47,feature_30,feature_35,feature_59,feature_1,feature_66,feature_64,feature_15,feature_56,feature_2,feature_5,feature_74,feature_10,feature_48,feature_75,feature_27,feature_9,feature_8,feature_65,feature_55,feature_50,feature_31,feature_14,feature_53,target
0.339570613,0.482863896,1.67565235,0.84272515,0.128185603,0.122652046,0.427099198,0.576915501,0.108335872,0.18885166,0.115290892,1.603309981,0.106305209,0.58627142,0.369509553,0.687906244,2.308745322,0.430957458,3.685247193,0.182150472,0.831556503,0.605672641,0.369608036,0.354604528,0.448099271,2.81632854,0.402698444,1.537226709,0.416289147,0.825192043,0.192608387,0.458538507,3.037620642,0.125190375,0.294169785,0.394721292,0.247537821,0.106305209,1.443090669,0.165845972,0.335335828,0.228043456,0.503643884,1.044979186,2.014874607,1.022060272,0.176667682,0.747193224,5.990151664,0.114783227,1.750935592,0.29469997,0.131790029,0.264526295,0.232223754,2.373744337,0.108234339,0.144989339,1.339069956,0.453909789,0.296927319,0.18885166,1
0.321959168,0.454519314,1.743609645,0.847614612,0.1311187,0.11668219,0.441581289,0.545097287,0.10431543,0.200403601,0.118234503,1.671737556,0.106592156,0.545097287,0.342279306,0.69500623,2.043036519,0.457156163,3.48528707,0.182086309,0.849270413,0.587558708,0.356177514,0.354548277,0.420876066,2.789514042,0.385986773,1.509249497,0.400364229,0.761717627,0.194815275,0.423559858,2.921882488,0.13427507,0.276430557,0.368254577,0.257632205,0.106592156,1.439459795,0.157193521,0.324834659,0.238073062,0.51461708,1.009883059,2.004605195,0.956675932,0.178309014,0.689063548,5.685037861,0.111973507,1.596376881,0.294059816,0.13510297,0.25572702,0.226972108,2.292149909,0.109748525,0.150470868,1.306323088,0.430940286,0.281318892,0.184570009,1
0.3130859,0.447197245,1.926426587,0.856165847,0.127431075,0.118508228,0.435776875,0.543619667,0.106219278,0.193684548,0.117760205,1.663549904,0.108303056,0.552994069,0.343696193,0.677348383,2.017983547,0.510472323,3.571455902,0.18438769,0.846708698,0.602448823,0.36808877,0.386086771,0.404629807,2.687201071,0.381002487,1.501243543,0.399846949,0.757030802,0.200737337,0.425004783,2.944136216,0.132560376,0.256648173,0.363879855,0.255343022,0.108303056,1.52436418,0.160895351,0.324851731,0.244817269,0.509183088,0.996847617,2.016830519,1.003634972,0.176212866,0.730246795,5.622058542,0.111882881,1.561316243,0.301880744,0.133361829,0.259613545,0.230246795,2.283336522,0.108196196,0.145330199,1.279600342,0.423187297,0.28171035,0.190532165,1
0.328491923,0.442649654,1.700563438,0.760233521,0.146901093,0.13278121,0.391690992,0.54676259,0.111261965,0.192111873,0.117439413,1.484624262,0.103183762,0.547848514,0.344509298,0.583276775,2.132754174,0.430995859,2.970137098,0.161767701,0.833276763,0.520293199,0.362970001,0.290679519,0.386860323,2.466947197,0.37708701,1.419709515,0.385638659,0.746979775,0.184169439,0.429211348,2.500203611,0.123209558,0.398534003,0.366770734,0.251103116,0.103183762,1.612382051,0.162209855,0.330120809,0.234946711,0.442106692,0.990224696,1.957233046,0.875390254,0.163804222,0.61707615,4.97950319,0.130405268,1.595086195,0.29638178,0.147444165,0.259535768,0.207004208,2.152300801,0.119883239,0.14065576,1.19876451,0.410614904,0.313831953,0.185323468,1
0.312206258,0.419094938,1.839730218,0.768112919,0.148379919,0.129954109,0.434153803,0.536860481,0.110693923,0.205604228,0.116047838,1.534835211,0.104783757,0.512823956,0.329125822,0.550960118,2.013696791,0.481226533,2.896334094,0.16020025,0.878667779,0.507989795,0.355310863,0.309345015,0.360816436,2.36578488,0.363502081,1.35987646,0.367530549,0.691956493,0.185718259,0.408755203,2.456559688,0.136837714,0.393447026,0.35155096,0.25177305,0.104783757,1.645807259,0.154827447,0.313414798,0.255527743,0.434940244,0.997774997,2.009108608,0.864912045,0.167709637,0.617429838,4.718678663,0.118481435,1.504229891,0.29682937,0.140314282,0.250704982,0.192157916,2.134013697,0.119524406,0.141983034,1.206994855,0.398549752,0.277964281,0.188221388,1
0.303132141,0.412824304,1.816388575,0.77969457,0.14218043,0.131575226,0.439833145,0.539723081,0.109445701,0.190469457,0.115243213,1.507777149,0.106476244,0.51431644,0.327597795,0.566339562,1.968275306,0.478577489,2.956983466,0.162330317,0.843679299,0.521306627,0.357171663,0.332367081,0.354214276,2.38593897,0.363892996,1.447909665,0.36940449,0.674418605,0.186792986,0.404489851,2.467132679,0.130514706,0.382578304,0.347224089,0.244485294,0.106476244,1.634615385,0.156875924,0.296276381,0.236849548,0.447506385,0.920178167,2.003535068,0.85912085,0.174844457,0.62817583,4.807635435,0.11665724,1.442398172,0.28803733,0.140766403,0.250840167,0.195187525,2.14128243,0.120687217,0.13956448,1.12344457,0.391047184,0.26683694,0.183823529,1
0.329352608,0.420490258,1.528483858,0.70224765,0.157498978,0.141806293,0.406293421,0.558610937,0.111483449,0.181610135,0.114752758,1.338782182,0.097834083,0.544626021,0.345380264,0.509899434,2.01257071,0.415529219,2.599622879,0.145565999,0.798283613,0.485386549,0.359522313,0.266857376,0.368950346,2.334223759,0.37115022,1.364236329,0.395977373,0.757542426,0.177033102,0.427561282,2.288812068,0.115978749,0.465116279,0.360307982,0.238005721,0.097834083,1.773845525,0.162162162,0.333909491,0.22451982,0.428032684,1.028769922,1.861708214,0.844280327,0.15185942,0.573695789,4.473130107,0.13722926,1.612036455,0.292194524,0.156681651,0.261470773,0.195788812,2.012413576,0.117041275,0.142787086,1.03228443,0.405562539,0.277655563,0.181610135,1
0.298525799,0.39296683,1.652658228,0.681940928,0.159409283,0.141012658,0.382531646,0.525030713,0.113080169,0.191561181,0.116202532,1.386075949,0.099493671,0.50982801,0.328163391,0.501074939,1.85703317,0.451139241,2.550214988,0.147848101,0.843966245,0.478501229,0.360718673,0.288607595,0.340141278,2.260135135,0.358875921,1.316646192,0.360718673,0.695178133,0.174599156,0.407248157,2.281173219,0.119578059,0.44041769,0.338298526,0.241434599,0.099493671,1.795780591,0.159551597,0.322788698,0.246835443,0.416922604,0.943544304,1.969451477,0.818642506,0.158734177,0.564035627,4.268734644,0.123375527,1.424600737,0.288523207,0.155611814,0.250614251,0.18980344,2.007985258,0.116877637,0.140168776,1.152067511,0.375460688,0.256449631,0.182869198,1
0.279292343,0.357598608,1.834599448,0.710808011,0.158235497,0.139589088,0.435687155,0.484918794,0.105490331,0.186377762,0.116799033,1.404178177,0.105145028,0.479988399,0.309164733,0.476653132,1.822070766,0.455973757,2.434599768,0.150120856,0.83218232,0.458961717,0.328886311,0.294112569,0.32337587,2.125725058,0.337006961,1.252030162,0.326566125,0.636890951,0.167472376,0.378480278,2.139211137,0.123964088,0.421693735,0.312064965,0.236015193,0.105145028,1.805248619,0.154147332,0.294518561,0.233857044,0.386310905,0.94690953,1.958736188,0.748259861,0.160393646,0.538428074,4.063950116,0.125172652,1.261890951,0.294457873,0.152710635,0.230423434,0.180684455,1.861513921,0.11386395,0.137776243,1.107907459,0.351218097,0.242604408,0.178522099,1
0.336024218,0.426034309,1.516861511,0.637927158,0.192333633,0.183678058,0.414793165,0.553178607,0.116906475,0.189523381,0.126573741,1.288669065,0.09330036,0.530978809,0.373965691,0.455499495,1.783249243,0.410971223,2.169929364,0.14006295,0.803394784,0.44419778,0.392129162,0.24977518,0.357214934,2.096266398,0.368314834,1.248234107,0.335418769,0.742078708,0.175584532,0.433501514,1.922906155,0.117580935,0.505751766,0.358627649,0.244829137,0.09330036,1.926596223,0.174369324,0.394349142,0.224145683,0.380827447,0.970323741,1.818907374,0.743491423,0.150629496,0.499293643,3.598587286,0.146133094,1.414328961,0.301821043,0.188848921,0.257719475,0.188092836,1.717860747,0.13995054,0.12443795,0.930980216,0.380423814,0.283753784,0.171088129,1
