feature_18,feature_77,feature_40,feature_13,feature_45,feature_23,feature_28,feature_33,feature_72,feature_55,feature_14,feature_22,feature_63,feature_30,feature_64,feature_65,target
2.308745322,1.67565235,0.394721292,0.402698444,0.84272515,0.178944258,0.319676975,0.369509553,0.108335872,0.144989339,0.296927319,0.369608036,1.603309981,0.165845972,2.014874607,0.108234339,1
2.043036519,1.743609645,0.368254577,0.385986773,0.847614612,0.17367967,0.304418672,0.342279306,0.10431543,0.150470868,0.281318892,0.356177514,1.671737556,0.157193521,2.004605195,0.109748525,1
2.017983547,1.926426587,0.363879855,0.381002487,0.856165847,0.173904725,0.3117467,0.343696193,0.106219278,0.145330199,0.28171035,0.36808877,1.663549904,0.160895351,2.016830519,0.108196196,1
2.132754174,1.700563438,0.366770734,0.37708701,0.760233521,0.179448894,0.279218135,0.344509298,0.111261965,0.14065576,0.313831953,0.362970001,1.484624262,0.162209855,1.957233046,0.119883239,1
2.013696791,1.839730218,0.35155096,0.363502081,0.768112919,0.174835504,0.273667249,0.329125822,0.110693923,0.141983034,0.277964281,0.355310863,1.534835211,0.154827447,2.009108608,0.119524406,1
1.968275306,1.816388575,0.347224089,0.363892996,0.77969457,0.179728458,0.284043554,0.327597795,0.109445701,0.13956448,0.26683694,0.357171663,1.507777149,0.156875924,2.003535068,0.120687217,1
2.01257071,1.528483858,0.360307982,0.37115022,0.70224765,0.186046512,0.276241358,0.345380264,0.111483449,0.142787086,0.277655563,0.359522313,1.338782182,0.162162162,1.861708214,0.117041275,1
1.85703317,1.652658228,0.338298526,0.358875921,0.681940928,0.171836609,0.265356265,0.328163391,0.113080169,0.140168776,0.256449631,0.360718673,1.386075949,0.159551597,1.969451477,0.116877637,1
1.822070766,1.834599448,0.312064965,0.337006961,0.710808011,0.170388631,0.252610209,0.309164733,0.105490331,0.137776243,0.242604408,0.328886311,1.404178177,0.154147332,1.958736188,0.11386395,1
1.783249243,1.516861511,0.358627649,0.368314834,0.637927158,0.198385469,0.301513623,0.373965691,0.116906475,0.12443795,0.283753784,0.392129162,1.288669065,0.174369324,1.818907374,0.13995054,1
1.756132171,1.613548092,0.341374417,0.3794851,0.662097327,0.196229475,0.262720454,0.34684776,0.131254284,0.128169979,0.271234543,0.362659639,1.326707791,0.169673627,1.861549006,0.126799178,1
1.690812721,1.722971374,0.330977621,0.361405575,0.675065058,0.197879859,0.281311347,0.333922261,0.125266146,0.135557133,0.26442874,0.344719278,1.30305181,0.160581076,1.913532056,0.124201561,1
1.737701486,1.426933702,0.32593678,0.340590329,0.589502762,0.199288256,0.256018422,0.322378062,0.126933702,0.123756906,0.256018422,0.339543647,1.251933702,0.16474775,1.760635359,0.160773481,1
1.686083457,1.500070314,0.329379369,0.36030502,0.611165799,0.214573184,0.25672527,0.339970345,0.125017578,0.142314724,0.262868036,0.347172209,1.288707636,0.164371955,1.792434257,0.131345802,1
1.655781475,1.613896848,0.30971452,0.325734237,0.626361032,0.18402136,0.242349558,0.326966523,0.125787966,0.130372493,0.279523516,0.359416718,1.251289398,0.158348737,1.764756447,0.125501433,1
1.711026056,1.297220427,0.523332843,0.383630208,0.908532644,0.175621964,0.28764905,0.387163256,,0.129411765,0.29942588,0.386132784,1.127407886,0.168555866,1.68332256,0.137879767,1
1.525172891,1.363189369,0.474965422,0.346196404,0.893488372,0.163070539,0.259197787,0.362102351,,0.134219269,0.250207469,0.357399723,1.137009967,0.158644537,1.693820598,0.128837209,1
1.521097628,1.404481451,0.457253172,0.342112521,0.885729759,0.165609487,0.275096525,0.35314396,,0.139859193,0.243243243,0.362520684,1.14798267,0.15471594,1.791835906,0.13633902,1
1.654792988,1.170038136,0.497762029,0.3769116,0.890399602,0.18537859,0.283289817,0.398358821,,0.13753938,0.264826557,0.403767251,1.148731554,0.171391272,1.6362129,0.149975129,1
1.333063209,1.272986338,0.4273906,0.323824959,0.85944179,0.158184765,0.239222042,0.327066451,,0.12672869,0.230145867,0.338897893,1.102087,0.150567261,1.65702791,0.144162266,1
1.403411069,1.279936226,0.432822833,0.337278107,0.857766216,0.173512008,0.255482074,0.36407936,,0.133506755,0.248868778,0.378698225,1.102290845,0.156978768,1.652261475,0.132835445,1
1.671169073,1.178248401,0.505822077,0.388448999,0.804103243,0.197019096,0.266884024,0.4035864,,0.135120229,0.321145785,0.397997205,1.116589455,0.187936656,1.562761968,0.153540702,1
1.516289593,1.219966159,0.484162896,0.369457014,0.768527919,0.184162896,0.264253394,0.381447964,,0.147772138,0.27918552,0.37760181,1.062380147,0.181900452,1.611957135,0.150592217,1
1.347339527,1.246130031,0.421030405,0.327702703,0.717713401,0.166173986,0.244721284,0.357896959,,0.121295887,0.236908784,0.353885135,1.060039805,0.16722973,1.582706767,0.142525431,1
1.393823449,1.077480186,0.491117792,0.356654824,0.787100301,0.192948893,0.258540585,0.399836021,,0.132959825,0.269199235,0.375512435,1.045777535,0.179557256,1.574883848,0.16602897,1
1.531773633,1.144377729,0.562440721,0.416376857,0.746724891,0.241226684,0.306670882,0.447992412,,0.125545852,0.346506481,0.426177679,1.031386463,0.21877964,1.554312227,0.165393013,1
1.216848259,1.238457207,0.450969971,0.327664098,0.740990991,0.193994154,0.247408982,0.386925326,,0.132460586,0.292319957,0.365399947,1.045326577,0.183630082,1.584881757,0.157657658,1
1.260097919,0.981414396,0.480110159,0.309669523,0.704835407,0.188188494,0.238066095,0.382802938,,0.113718696,0.243268054,0.335985312,0.945818239,0.177172583,1.402583084,0.172468105,1
1.213021492,0.994403582,0.474399494,0.32806574,0.684521906,0.191845765,0.248735777,0.408343869,,0.12120243,0.268015171,0.345448799,0.96642149,0.187737042,1.403901503,0.179724976,1
1.125960061,1.030948092,0.459293395,0.301382488,0.62682168,0.19109063,0.238095238,0.361290323,,0.125102342,0.292473118,0.349308756,1.020140822,0.185560676,1.42492222,0.159325364,1
1.603736388,1.649982724,0.488265115,0.348291401,1.223801767,0.175835524,0.322474653,0.358148704,0.120884545,0.185793968,0.245963199,0.400675929,1.788785231,0.16804356,2.221383089,0.148822745,1
1.854728447,1.63898847,0.506551462,0.36270414,1.216306559,0.180972275,0.332985188,0.395366502,0.128960372,0.18922585,0.260634258,0.414830991,1.763879469,0.172901633,2.215773665,0.162581145,1
1.956427426,1.564924819,0.539469961,0.368386306,1.200436235,0.191738187,0.340375365,0.383853626,0.129153518,0.18275478,0.259549184,0.410921437,1.672823464,0.17089503,2.098199369,0.166326341,1
