feature_9,feature_49,feature_8,feature_61,feature_28,feature_36,feature_58,feature_40,feature_69,feature_46,feature_33,feature_14,feature_42,feature_47,feature_54,feature_17,feature_43,feature_3,feature_5,feature_62,feature_7,feature_71,feature_65,feature_22,feature_11,feature_64,feature_13,feature_18,feature_32,feature_16,feature_39,diagnosis
0.232223754,0.354604528,2.373744337,0.430957458,0.319676975,0.825192043,0.115290892,0.394721292,0.122652046,0.192608387,0.369509553,0.296927319,0.482863896,1.443090669,0.106305209,1.877683671,0.294169785,0.4301753,5.990151664,0.247537821,0.177565491,0.106305209,0.108234339,0.369608036,0.687906244,2.014874607,0.402698444,2.308745322,3.037620642,0.605672641,0.58627142,1
0.226972108,0.354548277,2.292149909,0.457156163,0.304418672,0.761717627,0.118234503,0.368254577,0.11668219,0.194815275,0.342279306,0.281318892,0.454519314,1.439459795,0.106592156,1.725773986,0.276430557,0.411770344,5.685037861,0.257632205,0.172817023,0.106592156,0.109748525,0.356177514,0.69500623,2.004605195,0.385986773,2.043036519,2.921882488,0.587558708,0.545097287,1
0.230246795,0.386086771,2.283336522,0.510472323,0.3117467,0.757030802,0.117760205,0.363879855,0.118508228,0.200737337,0.343696193,0.28171035,0.447197245,1.52436418,0.108303056,1.731872967,0.256648173,0.418308781,5.622058542,0.255343022,0.175722212,0.108303056,0.108196196,0.36808877,0.677348383,2.016830519,0.381002487,2.017983547,2.944136216,0.602448823,0.552994069,1
0.207004208,0.290679519,2.152300801,0.430995859,0.279218135,0.746979775,0.117439413,0.366770734,0.13278121,0.184169439,0.344509298,0.313831953,0.442649654,1.612382051,0.103183762,1.566852179,0.398534003,0.358626307,4.97950319,0.251103116,0.176462604,0.103183762,0.119883239,0.362970001,0.583276775,1.957233046,0.37708701,2.132754174,2.500203611,0.520293199,0.547848514,1
0.192157916,0.309345015,2.134013697,0.481226533,0.273667249,0.691956493,0.116047838,0.35155096,0.129954109,0.185718259,0.329125822,0.277964281,0.419094938,1.645807259,0.104783757,1.480059084,0.393447026,0.358802202,4.718678663,0.25177305,0.173626964,0.104783757,0.119524406,0.355310863,0.550960118,2.009108608,0.363502081,2.013696791,2.456559688,0.507989795,0.512823956,1
0.195187525,0.332367081,2.14128243,0.478577489,0.284043554,0.674418605,0.115243213,0.347224089,0.131575226,0.186792986,0.327597795,0.26683694,0.412824304,1.634615385,0.106476244,1.538244388,0.382578304,0.36738809,4.807635435,0.244485294,0.176233365,0.106476244,0.120687217,0.357171663,0.566339562,2.003535068,0.363892996,1.968275306,2.467132679,0.521306627,0.51431644,1
0.195788812,0.266857376,2.012413576,0.415529219,0.276241358,0.757542426,0.114752758,0.360307982,0.141806293,0.177033102,0.345380264,0.277655563,0.420490258,1.773845525,0.097834083,1.494814582,0.465116279,0.342708988,4.473130107,0.238005721,0.184003771,0.097834083,0.117041275,0.359522313,0.509899434,1.861708214,0.37115022,2.01257071,2.288812068,0.485386549,0.544626021,1
0.18980344,0.288607595,2.007985258,0.451139241,0.265356265,0.695178133,0.116202532,0.338298526,0.141012658,0.174599156,0.328163391,0.256449631,0.39296683,1.795780591,0.099493671,1.409398034,0.44041769,0.327702703,4.268734644,0.241434599,0.179668305,0.099493671,0.116877637,0.360718673,0.501074939,1.969451477,0.358875921,1.85703317,2.281173219,0.478501229,0.50982801,1
0.180684455,0.294112569,1.861513921,0.455973757,0.252610209,0.636890951,0.116799033,0.312064965,0.139589088,0.167472376,0.309164733,0.242604408,0.357598608,1.805248619,0.105145028,1.341792343,0.421693735,0.317720418,4.063950116,0.236015193,0.167778422,0.105145028,0.11386395,0.328886311,0.476653132,1.958736188,0.337006961,1.822070766,2.139211137,0.458961717,0.479988399,1
0.188092836,0.24977518,1.717860747,0.410971223,0.301513623,0.742078708,0.126573741,0.358627649,0.183678058,0.175584532,0.373965691,0.283753784,0.426034309,1.926596223,0.09330036,1.355398587,0.505751766,0.362462159,3.598587286,0.244829137,0.188092836,0.09330036,0.13995054,0.392129162,0.455499495,1.818907374,0.368314834,1.783249243,1.922906155,0.44419778,0.530978809,1
