feature_18,feature_45,feature_68,feature_23,feature_64,feature_63,feature_13,feature_48,feature_17,feature_60,feature_24,feature_16,feature_22,feature_3,feature_32,feature_41,target
2.308745322,0.84272515,0.18885166,0.178944258,2.014874607,1.603309981,0.402698444,0.29469997,1.877683671,0.14275561,1.866358085,0.605672641,0.369608036,0.4301753,3.037620642,0.339570613,1
2.043036519,0.847614612,0.200403601,0.17367967,2.004605195,1.671737556,0.385986773,0.294059816,1.725773986,0.142036635,1.761046679,0.587558708,0.356177514,0.411770344,2.921882488,0.321959168,1
2.017983547,0.856165847,0.193684548,0.173904725,2.016830519,1.663549904,0.381002487,0.301880744,1.731872967,0.142444967,1.765544289,0.602448823,0.36808877,0.418308781,2.944136216,0.3130859,1
2.132754174,0.760233521,0.192111873,0.179448894,1.957233046,1.484624262,0.37708701,0.29638178,1.566852179,0.145068223,1.286276639,0.520293199,0.362970001,0.358626307,2.500203611,0.328491923,1
2.013696791,0.768112919,0.205604228,0.174835504,2.009108608,1.534835211,0.363502081,0.29682937,1.480059084,0.140870533,1.324694508,0.507989795,0.355310863,0.358802202,2.456559688,0.312206258,1
1.968275306,0.77969457,0.190469457,0.179728458,2.003535068,1.507777149,0.363892996,0.28803733,1.538244388,0.13645362,1.227449926,0.521306627,0.357171663,0.36738809,2.467132679,0.303132141,1
2.01257071,0.70224765,0.181610135,0.186046512,1.861708214,1.338782182,0.37115022,0.292194524,1.494814582,0.144830405,1.10779384,0.485386549,0.359522313,0.342708988,2.288812068,0.329352608,1
1.85703317,0.681940928,0.191561181,0.171836609,1.969451477,1.386075949,0.358875921,0.288523207,1.409398034,0.13443038,1.077395577,0.478501229,0.360718673,0.327702703,2.281173219,0.298525799,1
1.822070766,0.710808011,0.186377762,0.170388631,1.958736188,1.404178177,0.337006961,0.294457873,1.341792343,0.132596685,1.008845708,0.458961717,0.328886311,0.317720418,2.139211137,0.279292343,1
1.783249243,0.637927158,0.189523381,0.198385469,1.818907374,1.288669065,0.368314834,0.301821043,1.355398587,0.148156475,0.906155399,0.44419778,0.392129162,0.362462159,1.922906155,0.336024218,1
