feature_46,feature_22,feature_16,feature_8,feature_43,feature_9,feature_77,feature_18,feature_36,feature_41,feature_44,feature_32,feature_40,feature_28,feature_64,feature_54,feature_30,feature_62,feature_49,feature_57,feature_47,feature_55,feature_17,feature_3,feature_71,feature_42,feature_52,feature_34,feature_26,feature_20,feature_33,diagnosis
0.192608387,0.369608036,0.605672641,2.373744337,0.294169785,0.232223754,1.67565235,2.308745322,0.825192043,0.339570613,0.182150472,3.037620642,0.394721292,0.319676975,2.014874607,0.106305209,0.165845972,0.247537821,0.354604528,0.125190375,1.443090669,0.144989339,1.877683671,0.4301753,0.106305209,0.482863896,0.159102447,0.458538507,1.537226709,0.859365767,0.369509553,1
0.194815275,0.356177514,0.587558708,2.292149909,0.276430557,0.226972108,1.743609645,2.043036519,0.761717627,0.321959168,0.182086309,2.921882488,0.368254577,0.304418672,2.004605195,0.106592156,0.157193521,0.257632205,0.354548277,0.13427507,1.439459795,0.150470868,1.725773986,0.411770344,0.106592156,0.454519314,0.158128945,0.423559858,1.509249497,0.834659254,0.342279306,1
0.200737337,0.36808877,0.602448823,2.283336522,0.256648173,0.230246795,1.926426587,2.017983547,0.757030802,0.3130859,0.18438769,2.944136216,0.363879855,0.3117467,2.016830519,0.108303056,0.160895351,0.255343022,0.386086771,0.132560376,1.52436418,0.145330199,1.731872967,0.418308781,0.108303056,0.447197245,0.148696303,0.425004783,1.501243543,0.814329443,0.343696193,1
0.184169439,0.362970001,0.520293199,2.152300801,0.398534003,0.207004208,1.700563438,2.132754174,0.746979775,0.328491923,0.161767701,2.500203611,0.366770734,0.279218135,1.957233046,0.103183762,0.162209855,0.251103116,0.290679519,0.123209558,1.612382051,0.14065576,1.566852179,0.358626307,0.103183762,0.442649654,0.16611228,0.429211348,1.419709515,0.727704629,0.344509298,1
0.185718259,0.355310863,0.507989795,2.134013697,0.393447026,0.192157916,1.839730218,2.013696791,0.691956493,0.312206258,0.16020025,2.456559688,0.35155096,0.273667249,2.009108608,0.104783757,0.154827447,0.25177305,0.309345015,0.136837714,1.645807259,0.141983034,1.480059084,0.358802202,0.104783757,0.419094938,0.16068697,0.408755203,1.35987646,0.687793742,0.329125822,1
0.186792986,0.357171663,0.521306627,2.14128243,0.382578304,0.195187525,1.816388575,1.968275306,0.674418605,0.303132141,0.162330317,2.467132679,0.347224089,0.284043554,2.003535068,0.106476244,0.156875924,0.244485294,0.332367081,0.130514706,1.634615385,0.13956448,1.538244388,0.36738809,0.106476244,0.412824304,0.150593891,0.404489851,1.447909665,0.672402205,0.327597795,1
0.177033102,0.359522313,0.485386549,2.012413576,0.465116279,0.195788812,1.528483858,2.01257071,0.757542426,0.329352608,0.145565999,2.288812068,0.360307982,0.276241358,1.861708214,0.097834083,0.162162162,0.238005721,0.266857376,0.115978749,1.773845525,0.142787086,1.494814582,0.342708988,0.097834083,0.420490258,0.149816101,0.427561282,1.364236329,0.646134507,0.345380264,1
0.174599156,0.360718673,0.478501229,2.007985258,0.44041769,0.18980344,1.652658228,1.85703317,0.695178133,0.298525799,0.147848101,2.281173219,0.338298526,0.265356265,1.969451477,0.099493671,0.159551597,0.241434599,0.288607595,0.119578059,1.795780591,0.140168776,1.409398034,0.327702703,0.099493671,0.39296683,0.154514768,0.407248157,1.316646192,0.628071253,0.328163391,1
0.167472376,0.328886311,0.458961717,1.861513921,0.421693735,0.180684455,1.834599448,1.822070766,0.636890951,0.279292343,0.150120856,2.139211137,0.312064965,0.252610209,1.958736188,0.105145028,0.154147332,0.236015193,0.294112569,0.123964088,1.805248619,0.137776243,1.341792343,0.317720418,0.105145028,0.357598608,0.148653315,0.378480278,1.252030162,0.600638051,0.309164733,1
0.175584532,0.392129162,0.44419778,1.717860747,0.505751766,0.188092836,1.516861511,1.783249243,0.742078708,0.336024218,0.14006295,1.922906155,0.358627649,0.301513623,1.818907374,0.09330036,0.174369324,0.244829137,0.24977518,0.117580935,1.926596223,0.12443795,1.355398587,0.362462159,0.09330036,0.426034309,0.166254496,0.433501514,1.248234107,0.570534813,0.373965691,1
0.173292209,0.362659639,0.449422258,1.724508413,0.513277924,0.185282789,1.613548092,1.756132171,0.693087371,0.323535374,0.144505369,1.957834989,0.341374417,0.262720454,1.861549006,0.094356865,0.169673627,0.250628284,0.275416952,0.125999543,1.902901531,0.128169979,1.297993108,0.327792418,0.094356865,0.406649098,0.169979438,0.428137036,1.231096696,0.547536996,0.34684776,1
0.180151408,0.344719278,0.443855516,1.672555948,0.501570475,0.190223793,1.722971374,1.690812721,0.666274048,0.319199058,0.142299503,1.887711033,0.330977621,0.281311347,1.913532056,0.098414952,0.160581076,0.249704282,0.287319612,0.127986752,2.001656021,0.135557133,1.250098155,0.355123675,0.098414952,0.384766392,0.15554767,0.408912446,1.20691009,0.549862583,0.333922261,1
0.167403315,0.339543647,0.417416789,1.508687461,0.464098807,0.171027842,1.426933702,1.737701486,0.690391459,0.332426209,0.12679558,1.749214988,0.32593678,0.256018422,1.760635359,0.097651934,0.16474775,0.277624309,0.244889503,0.117403315,1.904005525,0.123756906,1.226711325,0.312539251,0.097651934,0.466610844,0.176381215,0.426418254,1.149047519,0.494871258,0.322378062,1
