feature_47,feature_17,feature_21,feature_16,feature_58,feature_46,feature_28,feature_14,feature_77,feature_3,feature_18,feature_38,feature_32,feature_12,feature_5,feature_41,diagnosis
1.443090669,1.877683671,0.416289147,0.605672641,0.115290892,0.192608387,0.319676975,0.296927319,1.67565235,0.4301753,2.308745322,0.448099271,3.037620642,0.306381721,5.990151664,0.339570613,1
1.439459795,1.725773986,0.400364229,0.587558708,0.118234503,0.194815275,0.304418672,0.281318892,1.743609645,0.411770344,2.043036519,0.420876066,2.921882488,0.299051088,5.685037861,0.321959168,1
1.52436418,1.731872967,0.399846949,0.602448823,0.117760205,0.200737337,0.3117467,0.28171035,1.926426587,0.418308781,2.017983547,0.404629807,2.944136216,0.291276067,5.622058542,0.3130859,1
1.612382051,1.566852179,0.385638659,0.520293199,0.117439413,0.184169439,0.279218135,0.313831953,1.700563438,0.358626307,2.132754174,0.386860323,2.500203611,0.296728655,4.97950319,0.328491923,1
1.645807259,1.480059084,0.367530549,0.507989795,0.116047838,0.185718259,0.273667249,0.277964281,1.839730218,0.358802202,2.013696791,0.360816436,2.456559688,0.286961192,4.718678663,0.312206258,1
1.634615385,1.538244388,0.36940449,0.521306627,0.115243213,0.186792986,0.284043554,0.26683694,1.816388575,0.36738809,1.968275306,0.354214276,2.467132679,0.289823901,4.807635435,0.303132141,1
1.773845525,1.494814582,0.395977373,0.485386549,0.114752758,0.177033102,0.276241358,0.277655563,1.528483858,0.342708988,2.01257071,0.368950346,2.288812068,0.299654305,4.473130107,0.329352608,1
1.795780591,1.409398034,0.360718673,0.478501229,0.116202532,0.174599156,0.265356265,0.256449631,1.652658228,0.327702703,1.85703317,0.340141278,2.281173219,0.283015971,4.268734644,0.298525799,1
1.805248619,1.341792343,0.326566125,0.458961717,0.116799033,0.167472376,0.252610209,0.242604408,1.834599448,0.317720418,1.822070766,0.32337587,2.139211137,0.266966357,4.063950116,0.279292343,1
1.926596223,1.355398587,0.335418769,0.44419778,0.126573741,0.175584532,0.301513623,0.283753784,1.516861511,0.362462159,1.783249243,0.357214934,1.922906155,0.324117053,3.598587286,0.336024218,1
