feature_47,feature_17,feature_21,feature_16,feature_58,feature_46,feature_28,feature_14,feature_77,feature_3,feature_18,feature_38,feature_32,feature_12,feature_5,feature_41,feature_2,feature_49,feature_42,feature_40,feature_44,feature_72,feature_19,feature_15,feature_13,feature_36,feature_8,feature_68,feature_4,feature_23,feature_59,diagnosis
1.443090669,1.877683671,0.416289147,0.605672641,0.115290892,0.192608387,0.319676975,0.296927319,1.67565235,0.4301753,2.308745322,0.448099271,3.037620642,0.306381721,5.990151664,0.339570613,0.747193224,0.354604528,0.482863896,0.394721292,0.182150472,0.108335872,0.44159937,1.022060272,0.402698444,0.825192043,2.373744337,0.18885166,2.81632854,0.178944258,0.228043456,1
1.439459795,1.725773986,0.400364229,0.587558708,0.118234503,0.194815275,0.304418672,0.281318892,1.743609645,0.411770344,2.043036519,0.420876066,2.921882488,0.299051088,5.685037861,0.321959168,0.689063548,0.354548277,0.454519314,0.368254577,0.182086309,0.10431543,0.445221892,0.956675932,0.385986773,0.761717627,2.292149909,0.200403601,2.789514042,0.17367967,0.238073062,1
1.52436418,1.731872967,0.399846949,0.602448823,0.117760205,0.200737337,0.3117467,0.28171035,1.926426587,0.418308781,2.017983547,0.404629807,2.944136216,0.291276067,5.622058542,0.3130859,0.730246795,0.386086771,0.447197245,0.363879855,0.18438769,0.106219278,0.467667878,1.003634972,0.381002487,0.757030802,2.283336522,0.193684548,2.687201071,0.173904725,0.244817269,1
1.612382051,1.566852179,0.385638659,0.520293199,0.117439413,0.184169439,0.279218135,0.313831953,1.700563438,0.358626307,2.132754174,0.386860323,2.500203611,0.296728655,4.97950319,0.328491923,0.61707615,0.290679519,0.442649654,0.366770734,0.161767701,0.111261965,0.477670694,0.875390254,0.37708701,0.746979775,2.152300801,0.192111873,2.466947197,0.179448894,0.234946711,1
1.645807259,1.480059084,0.367530549,0.507989795,0.116047838,0.185718259,0.273667249,0.277964281,1.839730218,0.358802202,2.013696791,0.360816436,2.456559688,0.286961192,4.718678663,0.312206258,0.617429838,0.309345015,0.419094938,0.35155096,0.16020025,0.110693923,0.483416141,0.864912045,0.363502081,0.691956493,2.134013697,0.205604228,2.36578488,0.174835504,0.255527743,1
1.634615385,1.538244388,0.36940449,0.521306627,0.115243213,0.186792986,0.284043554,0.26683694,1.816388575,0.36738809,1.968275306,0.354214276,2.467132679,0.289823901,4.807635435,0.303132141,0.62817583,0.332367081,0.412824304,0.347224089,0.162330317,0.109445701,0.495899987,0.85912085,0.363892996,0.674418605,2.14128243,0.190469457,2.38593897,0.179728458,0.236849548,1
1.773845525,1.494814582,0.395977373,0.485386549,0.114752758,0.177033102,0.276241358,0.277655563,1.528483858,0.342708988,2.01257071,0.368950346,2.288812068,0.299654305,4.473130107,0.329352608,0.573695789,0.266857376,0.420490258,0.360307982,0.145565999,0.111483449,0.497485858,0.844280327,0.37115022,0.757542426,2.012413576,0.181610135,2.334223759,0.186046512,0.22451982,1
1.795780591,1.409398034,0.360718673,0.478501229,0.116202532,0.174599156,0.265356265,0.256449631,1.652658228,0.327702703,1.85703317,0.340141278,2.281173219,0.283015971,4.268734644,0.298525799,0.564035627,0.288607595,0.39296683,0.338298526,0.147848101,0.113080169,0.48955774,0.818642506,0.358875921,0.695178133,2.007985258,0.191561181,2.260135135,0.171836609,0.246835443,1
1.805248619,1.341792343,0.326566125,0.458961717,0.116799033,0.167472376,0.252610209,0.242604408,1.834599448,0.317720418,1.822070766,0.32337587,2.139211137,0.266966357,4.063950116,0.279292343,0.538428074,0.294112569,0.357598608,0.312064965,0.150120856,0.105490331,0.464472158,0.748259861,0.337006961,0.636890951,1.861513921,0.186377762,2.125725058,0.170388631,0.233857044,1
1.926596223,1.355398587,0.335418769,0.44419778,0.126573741,0.175584532,0.301513623,0.283753784,1.516861511,0.362462159,1.783249243,0.357214934,1.922906155,0.324117053,3.598587286,0.336024218,0.499293643,0.24977518,0.426034309,0.358627649,0.14006295,0.116906475,0.493037336,0.743491423,0.368314834,0.742078708,1.717860747,0.189523381,2.096266398,0.198385469,0.224145683,1
