feature_7,feature_18,feature_49,feature_54,feature_71,feature_6,feature_66,feature_28,feature_42,feature_41,feature_61,feature_46,feature_19,feature_16,feature_8,feature_77,feature_32,feature_9,feature_12,feature_64,feature_38,feature_73,feature_76,feature_22,feature_44,feature_31,feature_56,feature_53,feature_29,feature_47,feature_62,diagnosis
0.177565491,2.308745322,0.354604528,0.106305209,0.106305209,0.218830018,1.044979186,0.319676975,0.482863896,0.339570613,0.430957458,0.192608387,0.44159937,0.605672641,2.373744337,1.67565235,3.037620642,0.232223754,0.306381721,2.014874607,0.448099271,0.427099198,0.128185603,0.369608036,0.182150472,0.453909789,0.176667682,0.18885166,0.813866457,1.443090669,0.247537821,1
0.172817023,2.043036519,0.354548277,0.106592156,0.106592156,0.211636155,1.009883059,0.304418672,0.454519314,0.321959168,0.457156163,0.194815275,0.445221892,0.587558708,2.292149909,1.743609645,2.921882488,0.226972108,0.299051088,2.004605195,0.420876066,0.441581289,0.1311187,0.356177514,0.182086309,0.430940286,0.178309014,0.184570009,0.780504169,1.439459795,0.257632205,1
0.175722212,2.017983547,0.386086771,0.108303056,0.108303056,0.209010905,0.996847617,0.3117467,0.447197245,0.3130859,0.510472323,0.200737337,0.467667878,0.602448823,2.283336522,1.926426587,2.944136216,0.230246795,0.291276067,2.016830519,0.404629807,0.435776875,0.127431075,0.36808877,0.18438769,0.423187297,0.176212866,0.190532165,0.785154008,1.52436418,0.255343022,1
0.176462604,2.132754174,0.290679519,0.103183762,0.103183762,0.222885842,0.990224696,0.279218135,0.442649654,0.328491923,0.430995859,0.184169439,0.477670694,0.520293199,2.152300801,1.700563438,2.500203611,0.207004208,0.296728655,1.957233046,0.386860323,0.391690992,0.146901093,0.362970001,0.161767701,0.410614904,0.163804222,0.185323468,0.734491652,1.612382051,0.251103116,1
0.173626964,2.013696791,0.309345015,0.104783757,0.104783757,0.213105949,0.997774997,0.273667249,0.419094938,0.312206258,0.481226533,0.185718259,0.483416141,0.507989795,2.134013697,1.839730218,2.456559688,0.192157916,0.286961192,2.009108608,0.360816436,0.434153803,0.148379919,0.355310863,0.16020025,0.398549752,0.167709637,0.188221388,0.702699073,1.645807259,0.25177305,1
0.176233365,1.968275306,0.332367081,0.106476244,0.106476244,0.218577766,0.920178167,0.284043554,0.412824304,0.303132141,0.478577489,0.186792986,0.495899987,0.521306627,2.14128243,1.816388575,2.467132679,0.195187525,0.289823901,2.003535068,0.354214276,0.439833145,0.14218043,0.357171663,0.162330317,0.391047184,0.174844457,0.183823529,0.704395752,1.634615385,0.244485294,1
0.184003771,2.01257071,0.266857376,0.097834083,0.097834083,0.225172847,1.028769922,0.276241358,0.420490258,0.329352608,0.415529219,0.177033102,0.497485858,0.485386549,2.012413576,1.528483858,2.288812068,0.195788812,0.299654305,1.861708214,0.368950346,0.406293421,0.157498978,0.359522313,0.145565999,0.405562539,0.15185942,0.181610135,0.693117536,1.773845525,0.238005721,1
0.179668305,1.85703317,0.288607595,0.099493671,0.099493671,0.214834152,0.943544304,0.265356265,0.39296683,0.298525799,0.451139241,0.174599156,0.48955774,0.478501229,2.007985258,1.652658228,2.281173219,0.18980344,0.283015971,1.969451477,0.340141278,0.382531646,0.159409283,0.360718673,0.147848101,0.375460688,0.158734177,0.182869198,0.676597052,1.795780591,0.241434599,1
0.167778422,1.822070766,0.294112569,0.105145028,0.105145028,0.207221578,0.94690953,0.252610209,0.357598608,0.279292343,0.455973757,0.167472376,0.464472158,0.458961717,1.861513921,1.834599448,2.139211137,0.180684455,0.266966357,1.958736188,0.32337587,0.435687155,0.158235497,0.328886311,0.150120856,0.351218097,0.160393646,0.178522099,0.635585847,1.805248619,0.236015193,1
0.188092836,1.783249243,0.24977518,0.09330036,0.09330036,0.22764884,0.970323741,0.301513623,0.426034309,0.336024218,0.410971223,0.175584532,0.493037336,0.44419778,1.717860747,1.516861511,1.922906155,0.188092836,0.324117053,1.818907374,0.357214934,0.414793165,0.192333633,0.392129162,0.14006295,0.380423814,0.150629496,0.171088129,0.636730575,1.926596223,0.244829137,1
