feature_68,feature_61,feature_77,feature_47,feature_16,feature_64,feature_65,feature_71,feature_49,feature_73,feature_44,feature_18,feature_22,feature_36,feature_50,feature_3,feature_72,feature_14,feature_45,feature_35,feature_15,feature_5,feature_12,feature_54,feature_69,feature_28,feature_34,feature_66,feature_33,feature_63,feature_76,feature_8,feature_67,feature_41,feature_24,feature_59,feature_38,feature_25,feature_31,feature_55,feature_56,feature_62,feature_53,feature_4,feature_58,feature_43,feature_26,feature_27,feature_32,feature_40,feature_48,feature_2,feature_29,feature_70,feature_46,feature_75,feature_39,feature_13,feature_6,feature_19,feature_30,feature_42,target
0.18885166,0.430957458,1.67565235,1.443090669,0.605672641,2.014874607,0.108234339,0.106305209,0.354604528,0.427099198,0.182150472,2.308745322,0.369608036,0.825192043,1.339069956,0.4301753,0.108335872,0.296927319,0.84272515,0.335335828,1.022060272,5.990151664,0.306381721,0.106305209,0.122652046,0.319676975,0.458538507,1.044979186,0.369509553,1.603309981,0.128185603,2.373744337,0.831556503,0.339570613,1.866358085,0.228043456,0.448099271,3.685247193,0.453909789,0.144989339,0.176667682,0.247537821,0.18885166,2.81632854,0.115290892,0.294169785,1.537226709,0.264526295,3.037620642,0.394721292,0.29469997,0.747193224,0.813866457,,0.192608387,0.131790029,0.58627142,0.402698444,0.218830018,0.44159937,0.165845972,0.482863896,1
0.200403601,0.457156163,1.743609645,1.439459795,0.587558708,2.004605195,0.109748525,0.106592156,0.354548277,0.441581289,0.182086309,2.043036519,0.356177514,0.761717627,1.306323088,0.411770344,0.10431543,0.281318892,0.847614612,0.324834659,0.956675932,5.685037861,0.299051088,0.106592156,0.11668219,0.304418672,0.423559858,1.009883059,0.342279306,1.671737556,0.1311187,2.292149909,0.849270413,0.321959168,1.761046679,0.238073062,0.420876066,3.48528707,0.430940286,0.150470868,0.178309014,0.257632205,0.184570009,2.789514042,0.118234503,0.276430557,1.509249497,0.25572702,2.921882488,0.368254577,0.294059816,0.689063548,0.780504169,,0.194815275,0.13510297,0.545097287,0.385986773,0.211636155,0.445221892,0.157193521,0.454519314,1
0.193684548,0.510472323,1.926426587,1.52436418,0.602448823,2.016830519,0.108196196,0.108303056,0.386086771,0.435776875,0.18438769,2.017983547,0.36808877,0.757030802,1.279600342,0.418308781,0.106219278,0.28171035,0.856165847,0.324851731,1.003634972,5.622058542,0.291276067,0.108303056,0.118508228,0.3117467,0.425004783,0.996847617,0.343696193,1.663549904,0.127431075,2.283336522,0.846708698,0.3130859,1.765544289,0.244817269,0.404629807,3.571455902,0.423187297,0.145330199,0.176212866,0.255343022,0.190532165,2.687201071,0.117760205,0.256648173,1.501243543,0.259613545,2.944136216,0.363879855,0.301880744,0.730246795,0.785154008,,0.200737337,0.133361829,0.552994069,0.381002487,0.209010905,0.467667878,0.160895351,0.447197245,1
0.192111873,0.430995859,1.700563438,1.612382051,0.520293199,1.957233046,0.119883239,0.103183762,0.290679519,0.391690992,0.161767701,2.132754174,0.362970001,0.746979775,1.19876451,0.358626307,0.111261965,0.313831953,0.760233521,0.330120809,0.875390254,4.97950319,0.296728655,0.103183762,0.13278121,0.279218135,0.429211348,0.990224696,0.344509298,1.484624262,0.146901093,2.152300801,0.833276763,0.328491923,1.286276639,0.234946711,0.386860323,2.970137098,0.410614904,0.14065576,0.163804222,0.251103116,0.185323468,2.466947197,0.117439413,0.398534003,1.419709515,0.259535768,2.500203611,0.366770734,0.29638178,0.61707615,0.734491652,,0.184169439,0.147444165,0.547848514,0.37708701,0.222885842,0.477670694,0.162209855,0.442649654,1
0.205604228,0.481226533,1.839730218,1.645807259,0.507989795,2.009108608,0.119524406,0.104783757,0.309345015,0.434153803,0.16020025,2.013696791,0.355310863,0.691956493,1.206994855,0.358802202,0.110693923,0.277964281,0.768112919,0.313414798,0.864912045,4.718678663,0.286961192,0.104783757,0.129954109,0.273667249,0.408755203,0.997774997,0.329125822,1.534835211,0.148379919,2.134013697,0.878667779,0.312206258,1.324694508,0.255527743,0.360816436,2.896334094,0.398549752,0.141983034,0.167709637,0.25177305,0.188221388,2.36578488,0.116047838,0.393447026,1.35987646,0.250704982,2.456559688,0.35155096,0.29682937,0.617429838,0.702699073,,0.185718259,0.140314282,0.512823956,0.363502081,0.213105949,0.483416141,0.154827447,0.419094938,1
0.190469457,0.478577489,1.816388575,1.634615385,0.521306627,2.003535068,0.120687217,0.106476244,0.332367081,0.439833145,0.162330317,1.968275306,0.357171663,0.674418605,1.12344457,0.36738809,0.109445701,0.26683694,0.77969457,0.296276381,0.85912085,4.807635435,0.289823901,0.106476244,0.131575226,0.284043554,0.404489851,0.920178167,0.327597795,1.507777149,0.14218043,2.14128243,0.843679299,0.303132141,1.227449926,0.236849548,0.354214276,2.956983466,0.391047184,0.13956448,0.174844457,0.244485294,0.183823529,2.38593897,0.115243213,0.382578304,1.447909665,0.250840167,2.467132679,0.347224089,0.28803733,0.62817583,0.704395752,,0.186792986,0.140766403,0.51431644,0.363892996,0.218577766,0.495899987,0.156875924,0.412824304,1
0.181610135,0.415529219,1.528483858,1.773845525,0.485386549,1.861708214,0.117041275,0.097834083,0.266857376,0.406293421,0.145565999,2.01257071,0.359522313,0.757542426,1.03228443,0.342708988,0.111483449,0.277655563,0.70224765,0.333909491,0.844280327,4.473130107,0.299654305,0.097834083,0.141806293,0.276241358,0.427561282,1.028769922,0.345380264,1.338782182,0.157498978,2.012413576,0.798283613,0.329352608,1.10779384,0.22451982,0.368950346,2.599622879,0.405562539,0.142787086,0.15185942,0.238005721,0.181610135,2.334223759,0.114752758,0.465116279,1.364236329,0.261470773,2.288812068,0.360307982,0.292194524,0.573695789,0.693117536,,0.177033102,0.156681651,0.544626021,0.37115022,0.225172847,0.497485858,0.162162162,0.420490258,1
0.191561181,0.451139241,1.652658228,1.795780591,0.478501229,1.969451477,0.116877637,0.099493671,0.288607595,0.382531646,0.147848101,1.85703317,0.360718673,0.695178133,1.152067511,0.327702703,0.113080169,0.256449631,0.681940928,0.322788698,0.818642506,4.268734644,0.283015971,0.099493671,0.141012658,0.265356265,0.407248157,0.943544304,0.328163391,1.386075949,0.159409283,2.007985258,0.843966245,0.298525799,1.077395577,0.246835443,0.340141278,2.550214988,0.375460688,0.140168776,0.158734177,0.241434599,0.182869198,2.260135135,0.116202532,0.44041769,1.316646192,0.250614251,2.281173219,0.338298526,0.288523207,0.564035627,0.676597052,,0.174599156,0.155611814,0.50982801,0.358875921,0.214834152,0.48955774,0.159551597,0.39296683,1
0.186377762,0.455973757,1.834599448,1.805248619,0.458961717,1.958736188,0.11386395,0.105145028,0.294112569,0.435687155,0.150120856,1.822070766,0.328886311,0.636890951,1.107907459,0.317720418,0.105490331,0.242604408,0.710808011,0.294518561,0.748259861,4.063950116,0.266966357,0.105145028,0.139589088,0.252610209,0.378480278,0.94690953,0.309164733,1.404178177,0.158235497,1.861513921,0.83218232,0.279292343,1.008845708,0.233857044,0.32337587,2.434599768,0.351218097,0.137776243,0.160393646,0.236015193,0.178522099,2.125725058,0.116799033,0.421693735,1.252030162,0.230423434,2.139211137,0.312064965,0.294457873,0.538428074,0.635585847,,0.167472376,0.152710635,0.479988399,0.337006961,0.207221578,0.464472158,0.154147332,0.357598608,1
0.189523381,0.410971223,1.516861511,1.926596223,0.44419778,1.818907374,0.13995054,0.09330036,0.24977518,0.414793165,0.14006295,1.783249243,0.392129162,0.742078708,0.930980216,0.362462159,0.116906475,0.283753784,0.637927158,0.394349142,0.743491423,3.598587286,0.324117053,0.09330036,0.183678058,0.301513623,0.433501514,0.970323741,0.373965691,1.288669065,0.192333633,1.717860747,0.803394784,0.336024218,0.906155399,0.224145683,0.357214934,2.169929364,0.380423814,0.12443795,0.150629496,0.244829137,0.171088129,2.096266398,0.126573741,0.505751766,1.248234107,0.257719475,1.922906155,0.358627649,0.301821043,0.499293643,0.636730575,,0.175584532,0.188848921,0.530978809,0.368314834,0.22764884,0.493037336,0.174369324,0.426034309,1
