feature_46,feature_18,feature_11,feature_71,feature_40,feature_58,feature_19,feature_42,feature_49,feature_64,feature_61,feature_55,feature_16,feature_20,feature_8,feature_52,feature_62,feature_2,feature_41,feature_29,feature_36,feature_54,feature_17,feature_76,feature_14,feature_38,feature_43,feature_32,feature_9,feature_73,feature_74,diagnosis
0.192608387,2.308745322,0.687906244,0.106305209,0.394721292,0.115290892,0.44159937,0.482863896,0.354604528,2.014874607,0.430957458,0.144989339,0.605672641,0.859365767,2.373744337,0.159102447,0.247537821,0.747193224,0.339570613,0.813866457,0.825192043,0.106305209,1.877683671,0.128185603,0.296927319,0.448099271,0.294169785,3.037620642,0.232223754,0.427099198,0.114783227,1
0.194815275,2.043036519,0.69500623,0.106592156,0.368254577,0.118234503,0.445221892,0.454519314,0.354548277,2.004605195,0.457156163,0.150470868,0.587558708,0.834659254,2.292149909,0.158128945,0.257632205,0.689063548,0.321959168,0.780504169,0.761717627,0.106592156,1.725773986,0.1311187,0.281318892,0.420876066,0.276430557,2.921882488,0.226972108,0.441581289,0.111973507,1
0.200737337,2.017983547,0.677348383,0.108303056,0.363879855,0.117760205,0.467667878,0.447197245,0.386086771,2.016830519,0.510472323,0.145330199,0.602448823,0.814329443,2.283336522,0.148696303,0.255343022,0.730246795,0.3130859,0.785154008,0.757030802,0.108303056,1.731872967,0.127431075,0.28171035,0.404629807,0.256648173,2.944136216,0.230246795,0.435776875,0.111882881,1
0.184169439,2.132754174,0.583276775,0.103183762,0.366770734,0.117439413,0.477670694,0.442649654,0.290679519,1.957233046,0.430995859,0.14065576,0.520293199,0.727704629,2.152300801,0.16611228,0.251103116,0.61707615,0.328491923,0.734491652,0.746979775,0.103183762,1.566852179,0.146901093,0.313831953,0.386860323,0.398534003,2.500203611,0.207004208,0.391690992,0.130405268,1
0.185718259,2.013696791,0.550960118,0.104783757,0.35155096,0.116047838,0.483416141,0.419094938,0.309345015,2.009108608,0.481226533,0.141983034,0.507989795,0.687793742,2.134013697,0.16068697,0.25177305,0.617429838,0.312206258,0.702699073,0.691956493,0.104783757,1.480059084,0.148379919,0.277964281,0.360816436,0.393447026,2.456559688,0.192157916,0.434153803,0.118481435,1
0.186792986,1.968275306,0.566339562,0.106476244,0.347224089,0.115243213,0.495899987,0.412824304,0.332367081,2.003535068,0.478577489,0.13956448,0.521306627,0.672402205,2.14128243,0.150593891,0.244485294,0.62817583,0.303132141,0.704395752,0.674418605,0.106476244,1.538244388,0.14218043,0.26683694,0.354214276,0.382578304,2.467132679,0.195187525,0.439833145,0.11665724,1
0.177033102,2.01257071,0.509899434,0.097834083,0.360307982,0.114752758,0.497485858,0.420490258,0.266857376,1.861708214,0.415529219,0.142787086,0.485386549,0.646134507,2.012413576,0.149816101,0.238005721,0.573695789,0.329352608,0.693117536,0.757542426,0.097834083,1.494814582,0.157498978,0.277655563,0.368950346,0.465116279,2.288812068,0.195788812,0.406293421,0.13722926,1
0.174599156,1.85703317,0.501074939,0.099493671,0.338298526,0.116202532,0.48955774,0.39296683,0.288607595,1.969451477,0.451139241,0.140168776,0.478501229,0.628071253,2.007985258,0.154514768,0.241434599,0.564035627,0.298525799,0.676597052,0.695178133,0.099493671,1.409398034,0.159409283,0.256449631,0.340141278,0.44041769,2.281173219,0.18980344,0.382531646,0.123375527,1
0.167472376,1.822070766,0.476653132,0.105145028,0.312064965,0.116799033,0.464472158,0.357598608,0.294112569,1.958736188,0.455973757,0.137776243,0.458961717,0.600638051,1.861513921,0.148653315,0.236015193,0.538428074,0.279292343,0.635585847,0.636890951,0.105145028,1.341792343,0.158235497,0.242604408,0.32337587,0.421693735,2.139211137,0.180684455,0.435687155,0.125172652,1
0.175584532,1.783249243,0.455499495,0.09330036,0.358627649,0.126573741,0.493037336,0.426034309,0.24977518,1.818907374,0.410971223,0.12443795,0.44419778,0.570534813,1.717860747,0.166254496,0.244829137,0.499293643,0.336024218,0.636730575,0.742078708,0.09330036,1.355398587,0.192333633,0.283753784,0.357214934,0.505751766,1.922906155,0.188092836,0.414793165,0.146133094,1
