feature_46,feature_18,feature_11,feature_71,feature_40,feature_58,feature_19,feature_42,feature_49,feature_64,feature_61,feature_55,feature_16,feature_20,feature_8,feature_52,feature_62,feature_2,feature_41,feature_29,feature_36,feature_54,feature_17,feature_76,feature_14,feature_38,feature_43,feature_32,feature_9,feature_73,feature_74,feature_48,feature_47,feature_59,feature_21,feature_65,feature_66,feature_7,feature_44,feature_77,feature_51,feature_13,feature_35,feature_5,feature_57,feature_33,feature_26,feature_75,feature_31,feature_68,feature_4,feature_3,feature_28,feature_56,diagnosis
0.192608387,2.308745322,0.687906244,0.106305209,0.394721292,0.115290892,0.44159937,0.482863896,0.354604528,2.014874607,0.430957458,0.144989339,0.605672641,0.859365767,2.373744337,0.159102447,0.247537821,0.747193224,0.339570613,0.813866457,0.825192043,0.106305209,1.877683671,0.128185603,0.296927319,0.448099271,0.294169785,3.037620642,0.232223754,0.427099198,0.114783227,0.29469997,1.443090669,0.228043456,0.416289147,0.108234339,1.044979186,0.177565491,0.182150472,1.67565235,0.170118794,0.402698444,0.335335828,5.990151664,0.125190375,0.369509553,1.537226709,0.131790029,0.453909789,0.18885166,2.81632854,0.4301753,0.319676975,0.176667682,1
0.194815275,2.043036519,0.69500623,0.106592156,0.368254577,0.118234503,0.445221892,0.454519314,0.354548277,2.004605195,0.457156163,0.150470868,0.587558708,0.834659254,2.292149909,0.158128945,0.257632205,0.689063548,0.321959168,0.780504169,0.761717627,0.106592156,1.725773986,0.1311187,0.281318892,0.420876066,0.276430557,2.921882488,0.226972108,0.441581289,0.111973507,0.294059816,1.439459795,0.238073062,0.400364229,0.109748525,1.009883059,0.172817023,0.182086309,1.743609645,0.171427093,0.385986773,0.324834659,5.685037861,0.13427507,0.342279306,1.509249497,0.13510297,0.430940286,0.200403601,2.789514042,0.411770344,0.304418672,0.178309014,1
0.200737337,2.017983547,0.677348383,0.108303056,0.363879855,0.117760205,0.467667878,0.447197245,0.386086771,2.016830519,0.510472323,0.145330199,0.602448823,0.814329443,2.283336522,0.148696303,0.255343022,0.730246795,0.3130859,0.785154008,0.757030802,0.108303056,1.731872967,0.127431075,0.28171035,0.404629807,0.256648173,2.944136216,0.230246795,0.435776875,0.111882881,0.301880744,1.52436418,0.244817269,0.399846949,0.108196196,0.996847617,0.175722212,0.18438769,1.926426587,0.185456294,0.381002487,0.324851731,5.622058542,0.132560376,0.343696193,1.501243543,0.133361829,0.423187297,0.193684548,2.687201071,0.418308781,0.3117467,0.176212866,1
0.184169439,2.132754174,0.583276775,0.103183762,0.366770734,0.117439413,0.477670694,0.442649654,0.290679519,1.957233046,0.430995859,0.14065576,0.520293199,0.727704629,2.152300801,0.16611228,0.251103116,0.61707615,0.328491923,0.734491652,0.746979775,0.103183762,1.566852179,0.146901093,0.313831953,0.386860323,0.398534003,2.500203611,0.207004208,0.391690992,0.130405268,0.29638178,1.612382051,0.234946711,0.385638659,0.119883239,0.990224696,0.176462604,0.161767701,1.700563438,0.159799063,0.37708701,0.330120809,4.97950319,0.123209558,0.344509298,1.419709515,0.147444165,0.410614904,0.192111873,2.466947197,0.358626307,0.279218135,0.163804222,1
0.185718259,2.013696791,0.550960118,0.104783757,0.35155096,0.116047838,0.483416141,0.419094938,0.309345015,2.009108608,0.481226533,0.141983034,0.507989795,0.687793742,2.134013697,0.16068697,0.25177305,0.617429838,0.312206258,0.702699073,0.691956493,0.104783757,1.480059084,0.148379919,0.277964281,0.360816436,0.393447026,2.456559688,0.192157916,0.434153803,0.118481435,0.29682937,1.645807259,0.255527743,0.367530549,0.119524406,0.997774997,0.173626964,0.16020025,1.839730218,0.164650257,0.363502081,0.313414798,4.718678663,0.136837714,0.329125822,1.35987646,0.140314282,0.398549752,0.205604228,2.36578488,0.358802202,0.273667249,0.167709637,1
0.186792986,1.968275306,0.566339562,0.106476244,0.347224089,0.115243213,0.495899987,0.412824304,0.332367081,2.003535068,0.478577489,0.13956448,0.521306627,0.672402205,2.14128243,0.150593891,0.244485294,0.62817583,0.303132141,0.704395752,0.674418605,0.106476244,1.538244388,0.14218043,0.26683694,0.354214276,0.382578304,2.467132679,0.195187525,0.439833145,0.11665724,0.28803733,1.634615385,0.236849548,0.36940449,0.120687217,0.920178167,0.176233365,0.162330317,1.816388575,0.175692873,0.363892996,0.296276381,4.807635435,0.130514706,0.327597795,1.447909665,0.140766403,0.391047184,0.190469457,2.38593897,0.36738809,0.284043554,0.174844457,1
0.177033102,2.01257071,0.509899434,0.097834083,0.360307982,0.114752758,0.497485858,0.420490258,0.266857376,1.861708214,0.415529219,0.142787086,0.485386549,0.646134507,2.012413576,0.149816101,0.238005721,0.573695789,0.329352608,0.693117536,0.757542426,0.097834083,1.494814582,0.157498978,0.277655563,0.368950346,0.465116279,2.288812068,0.195788812,0.406293421,0.13722926,0.292194524,1.773845525,0.22451982,0.395977373,0.117041275,1.028769922,0.184003771,0.145565999,1.528483858,0.147854516,0.37115022,0.333909491,4.473130107,0.115978749,0.345380264,1.364236329,0.156681651,0.405562539,0.181610135,2.334223759,0.342708988,0.276241358,0.15185942,1
0.174599156,1.85703317,0.501074939,0.099493671,0.338298526,0.116202532,0.48955774,0.39296683,0.288607595,1.969451477,0.451139241,0.140168776,0.478501229,0.628071253,2.007985258,0.154514768,0.241434599,0.564035627,0.298525799,0.676597052,0.695178133,0.099493671,1.409398034,0.159409283,0.256449631,0.340141278,0.44041769,2.281173219,0.18980344,0.382531646,0.123375527,0.288523207,1.795780591,0.246835443,0.360718673,0.116877637,0.943544304,0.179668305,0.147848101,1.652658228,0.152405063,0.358875921,0.322788698,4.268734644,0.119578059,0.328163391,1.316646192,0.155611814,0.375460688,0.191561181,2.260135135,0.327702703,0.265356265,0.158734177,1
0.167472376,1.822070766,0.476653132,0.105145028,0.312064965,0.116799033,0.464472158,0.357598608,0.294112569,1.958736188,0.455973757,0.137776243,0.458961717,0.600638051,1.861513921,0.148653315,0.236015193,0.538428074,0.279292343,0.635585847,0.636890951,0.105145028,1.341792343,0.158235497,0.242604408,0.32337587,0.421693735,2.139211137,0.180684455,0.435687155,0.125172652,0.294457873,1.805248619,0.233857044,0.326566125,0.11386395,0.94690953,0.167778422,0.150120856,1.834599448,0.158839779,0.337006961,0.294518561,4.063950116,0.123964088,0.309164733,1.252030162,0.152710635,0.351218097,0.186377762,2.125725058,0.317720418,0.252610209,0.160393646,1
0.175584532,1.783249243,0.455499495,0.09330036,0.358627649,0.126573741,0.493037336,0.426034309,0.24977518,1.818907374,0.410971223,0.12443795,0.44419778,0.570534813,1.717860747,0.166254496,0.244829137,0.499293643,0.336024218,0.636730575,0.742078708,0.09330036,1.355398587,0.192333633,0.283753784,0.357214934,0.505751766,1.922906155,0.188092836,0.414793165,0.146133094,0.301821043,1.926596223,0.224145683,0.335418769,0.13995054,0.970323741,0.188092836,0.14006295,1.516861511,0.145458633,0.368314834,0.394349142,3.598587286,0.117580935,0.373965691,1.248234107,0.188848921,0.380423814,0.189523381,2.096266398,0.362462159,0.301513623,0.150629496,1
0.173292209,1.756132171,0.461179809,0.094356865,0.341374417,0.119716701,0.509831745,0.406649098,0.275416952,1.861549006,0.429403701,0.128169979,0.449422258,0.547536996,1.724508413,0.169979438,0.250628284,0.513277924,0.323535374,0.635313197,0.693087371,0.094356865,1.297993108,0.193054604,0.271234543,0.343807014,0.513277924,1.957834989,0.185282789,0.385423806,0.151816313,0.298377884,1.902901531,0.235549463,0.346036894,0.126799178,0.940370117,0.193796878,0.144505369,1.613548092,0.144391135,0.3794851,0.352118386,3.66105818,0.125999543,0.34684776,1.231096696,0.184601325,0.418812082,0.190769934,2.072572471,0.327792418,0.262720454,0.149988577,1
0.180151408,1.690812721,0.447192776,0.098414952,0.330977621,0.115448308,0.492343934,0.384766392,0.287319612,1.913532056,0.455050863,0.135557133,0.443855516,0.549862583,1.672555948,0.15554767,0.249704282,0.499411072,0.319199058,0.615822536,0.666274048,0.098414952,1.250098155,0.195528744,0.26442874,0.326266196,0.501570475,1.887711033,0.190223793,0.442394133,0.149988171,0.306837,2.001656021,0.236337828,0.323125245,0.124201561,0.911521173,0.204358068,0.142299503,1.722971374,0.159451147,0.361405575,0.33451119,3.466627405,0.127986752,0.333922261,1.20691009,0.191861841,0.368080094,0.194819021,2.006870828,0.355123675,0.281311347,0.160752307,1
0.167403315,1.737701486,0.471844254,0.097651934,0.32593678,0.126657459,0.461168097,0.466610844,0.244889503,1.760635359,0.395441989,0.123756906,0.417416789,0.494871258,1.508687461,0.176381215,0.277624309,0.482101737,0.332426209,0.612727653,0.690391459,0.097651934,1.226711325,0.214088398,0.256018422,0.353150513,0.464098807,1.749214988,0.171027842,0.440331492,0.168370166,0.279696133,1.904005525,0.223480663,0.384969646,0.160773481,0.997237569,0.188821436,0.12679558,1.426933702,0.137845304,0.340590329,0.37366548,3.349591794,0.117403315,0.322378062,1.149047519,0.236878453,0.366338706,0.203314917,1.946200544,0.312539251,0.256018422,0.15,1
0.170862045,1.686083457,0.463249312,0.094642104,0.329379369,0.123892561,0.485066723,0.403728024,0.254957109,1.792434257,0.415412741,0.142314724,0.41897903,0.524465156,1.50900233,0.172971453,0.252003938,0.485914001,0.321965685,0.579114594,0.68904893,0.094642104,1.197203982,0.22528477,0.262868036,0.337216691,0.462825673,1.770599449,0.179834781,0.422162846,0.178737168,0.283785684,1.972577697,0.24483195,0.343359458,0.131345802,0.980874701,0.188519381,0.134298973,1.500070314,0.136408381,0.36030502,0.370684177,3.349290405,0.117283083,0.339970345,1.137894514,0.215581493,0.367295065,0.190127971,1.958907011,0.31095107,0.25672527,0.154408663,1
0.161031519,1.655781475,0.426987061,0.099140401,0.30971452,0.118481375,0.465393305,0.369069624,0.269770774,1.764756447,0.434527221,0.130372493,0.410556582,0.510166359,1.444239063,0.163180516,0.249283668,0.46231259,0.336414048,0.557403984,0.657013761,0.099140401,1.158143356,0.224212034,0.279523516,0.323475046,0.458410351,1.710002054,0.176422263,0.446561605,0.160601719,0.285816619,1.959455587,0.237249284,0.351817622,0.125501433,0.942406877,0.185459026,0.12277937,1.613896848,0.14269341,0.325734237,0.358595194,3.287122612,0.119054441,0.326966523,1.125898542,0.227936963,0.356541384,0.193839542,1.861162456,0.344629287,0.242349558,0.151862464,1
0.191338074,1.711026056,1.081554541,0.138655462,0.523332843,0.13697479,0.387163256,0.54659208,0.294117647,1.68332256,0.355074337,0.129411765,0.790961284,0.856469895,2.277491535,0.226244344,0.233484163,0.862652731,0.407478286,0.790078021,0.872368615,0.138655462,1.897836008,0.163994829,0.29942588,0.540850876,0.225084646,2.620197262,0.19446489,0.440142211,0.129605688,0.28539108,0.94272786,0.233548804,0.537612248,0.137879767,1.177892696,0.185337848,0.201228184,1.297220427,0.115901745,0.383630208,0.373767113,6.067569557,0.182546865,0.387163256,1.463712645,0.165287654,0.421610481,0.178474467,2.735757397,0.377741793,0.28764905,0.157918552,1
0.193156146,1.525172891,1.07593361,0.111362126,0.474965422,0.136345515,0.367496542,0.482710927,0.380730897,1.693820598,0.373621262,0.134219269,0.727524205,0.810511757,2.118810512,0.212956811,0.235149502,0.807053942,0.36473029,0.741355463,0.818118949,0.111362126,1.753803596,0.15820598,0.250207469,0.478838174,0.216459198,2.422959889,0.174688797,0.454352159,0.117009967,0.278737542,0.963388704,0.233820598,0.555325035,0.128837209,1.115681063,0.165975104,0.187840532,1.363189369,0.106644518,0.346196404,0.361410788,5.595573997,0.184186047,0.362102351,1.393914246,0.162857143,0.389626556,0.176079734,2.546887967,0.351590595,0.259197787,0.148637874,1
