feature_77,feature_45,feature_13,feature_43,feature_71,feature_54,feature_33,feature_55,target
1.67565235,0.84272515,0.402698444,0.294169785,0.106305209,0.106305209,0.369509553,0.144989339,1
1.743609645,0.847614612,0.385986773,0.276430557,0.106592156,0.106592156,0.342279306,0.150470868,1
1.926426587,0.856165847,0.381002487,0.256648173,0.108303056,0.108303056,0.343696193,0.145330199,1
1.700563438,0.760233521,0.37708701,0.398534003,0.103183762,0.103183762,0.344509298,0.14065576,1
1.839730218,0.768112919,0.363502081,0.393447026,0.104783757,0.104783757,0.329125822,0.141983034,1
1.816388575,0.77969457,0.363892996,0.382578304,0.106476244,0.106476244,0.327597795,0.13956448,1
1.528483858,0.70224765,0.37115022,0.465116279,0.097834083,0.097834083,0.345380264,0.142787086,1
1.652658228,0.681940928,0.358875921,0.44041769,0.099493671,0.099493671,0.328163391,0.140168776,1
1.834599448,0.710808011,0.337006961,0.421693735,0.105145028,0.105145028,0.309164733,0.137776243,1
1.516861511,0.637927158,0.368314834,0.505751766,0.09330036,0.09330036,0.373965691,0.12443795,1
1.613548092,0.662097327,0.3794851,0.513277924,0.094356865,0.094356865,0.34684776,0.128169979,1
1.722971374,0.675065058,0.361405575,0.501570475,0.098414952,0.098414952,0.333922261,0.135557133,1
1.426933702,0.589502762,0.340590329,0.464098807,0.097651934,0.097651934,0.322378062,0.123756906,1
1.500070314,0.611165799,0.36030502,0.462825673,0.094642104,0.094642104,0.339970345,0.142314724,1
1.613896848,0.626361032,0.325734237,0.458410351,0.099140401,0.099140401,0.326966523,0.130372493,1
1.297220427,0.908532644,0.383630208,0.225084646,0.138655462,0.138655462,0.387163256,0.129411765,1
1.363189369,0.893488372,0.346196404,0.216459198,0.111362126,0.111362126,0.362102351,0.134219269,1
1.404481451,0.885729759,0.342112521,0.193188086,0.112036285,0.112036285,0.35314396,0.139859193,1
1.170038136,0.890399602,0.3769116,0.232935472,0.111507213,0.111507213,0.398358821,0.13753938,1
1.272986338,0.85944179,0.323824959,0.204862237,0.100578325,0.100578325,0.327066451,0.12672869,1
1.279936226,0.857766216,0.337278107,0.213713888,0.110682219,0.110682219,0.36407936,0.133506755,1
1.178248401,0.804103243,0.388448999,0.281089893,0.104897419,0.104897419,0.4035864,0.135120229,1
1.219966159,0.768527919,0.369457014,0.25520362,0.112351946,0.112351946,0.381447964,0.147772138,1
1.246130031,0.717713401,0.327702703,0.228673986,0.1036046,0.1036046,0.357896959,0.121295887,1
1.077480186,0.787100301,0.356654824,0.318939601,0.10426346,0.10426346,0.399836021,0.132959825,1
1.144377729,0.746724891,0.416376857,0.39203288,0.097980349,0.097980349,0.447992412,0.125545852,1
1.238457207,0.740990991,0.327664098,0.30029232,0.110078829,0.110078829,0.386925326,0.132460586,1
0.981414396,0.704835407,0.309669523,0.330171359,0.075444952,0.075444952,0.382802938,0.113718696,1
0.994403582,0.684521906,0.32806574,0.340391909,0.091461465,0.091461465,0.408343869,0.12120243,1
1.030948092,0.62682168,0.301382488,0.32688172,0.09317177,0.09317177,0.361290323,0.125102342,1
1.649982724,1.223801767,0.348291401,0.214513706,0.148773385,0.148773385,0.358148704,0.185793968,1
1.63898847,1.216306559,0.36270414,0.234523357,0.14766011,0.14766011,0.395366502,0.18922585,1
1.564924819,1.200436235,0.368386306,0.235216448,0.14316874,0.14316874,0.383853626,0.18275478,1
1.68222208,1.15195295,0.335699425,0.202056052,0.140062648,0.140062648,0.342430547,0.181998338,1
1.660352255,1.149328434,0.354684753,0.217030897,0.140775469,0.140775469,0.360085406,0.18385707,1
1.61081609,1.118903742,0.365384615,0.231768232,0.138192028,0.138192028,0.366883117,0.179515351,1
1.727380518,1.084002189,0.325344518,0.192480527,0.132068588,0.132068588,0.340023966,0.173659248,1
1.650846275,1.026522422,0.344800987,0.2108917,0.133310068,0.133310068,0.350200555,0.167771768,1
1.555326991,1.070797977,0.361011951,0.217910911,0.127624925,0.127624925,0.375756635,0.188480329,1
1.655576382,0.983950328,0.344452917,0.211780404,0.135074977,0.135074977,0.356080823,0.175726336,1
1.681702521,0.995373583,0.3518973,0.212573155,0.126185519,0.126185519,0.39116481,0.185287994,1
1.585792952,0.99030837,0.371763372,0.216594217,0.129845815,0.129845815,0.3997354,0.185352423,1
1.615575808,0.934824634,0.347082954,0.189835916,0.129798398,0.129798398,0.353691887,0.168461751,1
1.561913696,0.951755562,0.360558225,0.20979181,0.113106406,0.113106406,0.373369938,0.163361029,1
1.530457516,0.934901961,0.365072202,0.197879061,0.114379085,0.114379085,0.379738267,0.165620915,1
1.680398751,1.327948595,0.324300603,0.183104772,0.149351429,0.149351429,0.337356007,0.20021619,1
1.720906651,1.365404116,0.324864865,0.187459459,0.143155383,0.143155383,0.337621622,0.197494781,1
