feature_77,feature_45,feature_13,feature_43,feature_71,feature_54,feature_33,feature_55,feature_69,feature_6,feature_58,feature_16,feature_73,feature_63,feature_22,feature_75,target
1.67565235,0.84272515,0.402698444,0.294169785,0.106305209,0.106305209,0.369509553,0.144989339,0.122652046,0.218830018,0.115290892,0.605672641,0.427099198,1.603309981,0.369608036,0.131790029,1
1.743609645,0.847614612,0.385986773,0.276430557,0.106592156,0.106592156,0.342279306,0.150470868,0.11668219,0.211636155,0.118234503,0.587558708,0.441581289,1.671737556,0.356177514,0.13510297,1
1.926426587,0.856165847,0.381002487,0.256648173,0.108303056,0.108303056,0.343696193,0.145330199,0.118508228,0.209010905,0.117760205,0.602448823,0.435776875,1.663549904,0.36808877,0.133361829,1
1.700563438,0.760233521,0.37708701,0.398534003,0.103183762,0.103183762,0.344509298,0.14065576,0.13278121,0.222885842,0.117439413,0.520293199,0.391690992,1.484624262,0.362970001,0.147444165,1
1.839730218,0.768112919,0.363502081,0.393447026,0.104783757,0.104783757,0.329125822,0.141983034,0.129954109,0.213105949,0.116047838,0.507989795,0.434153803,1.534835211,0.355310863,0.140314282,1
1.816388575,0.77969457,0.363892996,0.382578304,0.106476244,0.106476244,0.327597795,0.13956448,0.131575226,0.218577766,0.115243213,0.521306627,0.439833145,1.507777149,0.357171663,0.140766403,1
1.528483858,0.70224765,0.37115022,0.465116279,0.097834083,0.097834083,0.345380264,0.142787086,0.141806293,0.225172847,0.114752758,0.485386549,0.406293421,1.338782182,0.359522313,0.156681651,1
1.652658228,0.681940928,0.358875921,0.44041769,0.099493671,0.099493671,0.328163391,0.140168776,0.141012658,0.214834152,0.116202532,0.478501229,0.382531646,1.386075949,0.360718673,0.155611814,1
1.834599448,0.710808011,0.337006961,0.421693735,0.105145028,0.105145028,0.309164733,0.137776243,0.139589088,0.207221578,0.116799033,0.458961717,0.435687155,1.404178177,0.328886311,0.152710635,1
1.516861511,0.637927158,0.368314834,0.505751766,0.09330036,0.09330036,0.373965691,0.12443795,0.183678058,0.22764884,0.126573741,0.44419778,0.414793165,1.288669065,0.392129162,0.188848921,1
