feature_47,feature_64,feature_12,feature_44,feature_22,feature_17,feature_18,feature_36,feature_7,feature_9,feature_39,feature_73,feature_28,feature_45,feature_77,feature_38,feature_3,feature_42,feature_5,feature_32,feature_8,feature_71,feature_29,feature_63,feature_6,feature_20,feature_11,feature_61,feature_19,feature_41,feature_2,diagnosis
1.443090669,2.014874607,0.306381721,0.182150472,0.369608036,1.877683671,2.308745322,0.825192043,0.177565491,0.232223754,0.58627142,0.427099198,0.319676975,0.84272515,1.67565235,0.448099271,0.4301753,0.482863896,5.990151664,3.037620642,2.373744337,0.106305209,0.813866457,1.603309981,0.218830018,0.859365767,0.687906244,0.430957458,0.44159937,0.339570613,0.747193224,1
1.439459795,2.004605195,0.299051088,0.182086309,0.356177514,1.725773986,2.043036519,0.761717627,0.172817023,0.226972108,0.545097287,0.441581289,0.304418672,0.847614612,1.743609645,0.420876066,0.411770344,0.454519314,5.685037861,2.921882488,2.292149909,0.106592156,0.780504169,1.671737556,0.211636155,0.834659254,0.69500623,0.457156163,0.445221892,0.321959168,0.689063548,1
1.52436418,2.016830519,0.291276067,0.18438769,0.36808877,1.731872967,2.017983547,0.757030802,0.175722212,0.230246795,0.552994069,0.435776875,0.3117467,0.856165847,1.926426587,0.404629807,0.418308781,0.447197245,5.622058542,2.944136216,2.283336522,0.108303056,0.785154008,1.663549904,0.209010905,0.814329443,0.677348383,0.510472323,0.467667878,0.3130859,0.730246795,1
1.612382051,1.957233046,0.296728655,0.161767701,0.362970001,1.566852179,2.132754174,0.746979775,0.176462604,0.207004208,0.547848514,0.391690992,0.279218135,0.760233521,1.700563438,0.386860323,0.358626307,0.442649654,4.97950319,2.500203611,2.152300801,0.103183762,0.734491652,1.484624262,0.222885842,0.727704629,0.583276775,0.430995859,0.477670694,0.328491923,0.61707615,1
1.645807259,2.009108608,0.286961192,0.16020025,0.355310863,1.480059084,2.013696791,0.691956493,0.173626964,0.192157916,0.512823956,0.434153803,0.273667249,0.768112919,1.839730218,0.360816436,0.358802202,0.419094938,4.718678663,2.456559688,2.134013697,0.104783757,0.702699073,1.534835211,0.213105949,0.687793742,0.550960118,0.481226533,0.483416141,0.312206258,0.617429838,1
1.634615385,2.003535068,0.289823901,0.162330317,0.357171663,1.538244388,1.968275306,0.674418605,0.176233365,0.195187525,0.51431644,0.439833145,0.284043554,0.77969457,1.816388575,0.354214276,0.36738809,0.412824304,4.807635435,2.467132679,2.14128243,0.106476244,0.704395752,1.507777149,0.218577766,0.672402205,0.566339562,0.478577489,0.495899987,0.303132141,0.62817583,1
1.773845525,1.861708214,0.299654305,0.145565999,0.359522313,1.494814582,2.01257071,0.757542426,0.184003771,0.195788812,0.544626021,0.406293421,0.276241358,0.70224765,1.528483858,0.368950346,0.342708988,0.420490258,4.473130107,2.288812068,2.012413576,0.097834083,0.693117536,1.338782182,0.225172847,0.646134507,0.509899434,0.415529219,0.497485858,0.329352608,0.573695789,1
1.795780591,1.969451477,0.283015971,0.147848101,0.360718673,1.409398034,1.85703317,0.695178133,0.179668305,0.18980344,0.50982801,0.382531646,0.265356265,0.681940928,1.652658228,0.340141278,0.327702703,0.39296683,4.268734644,2.281173219,2.007985258,0.099493671,0.676597052,1.386075949,0.214834152,0.628071253,0.501074939,0.451139241,0.48955774,0.298525799,0.564035627,1
1.805248619,1.958736188,0.266966357,0.150120856,0.328886311,1.341792343,1.822070766,0.636890951,0.167778422,0.180684455,0.479988399,0.435687155,0.252610209,0.710808011,1.834599448,0.32337587,0.317720418,0.357598608,4.063950116,2.139211137,1.861513921,0.105145028,0.635585847,1.404178177,0.207221578,0.600638051,0.476653132,0.455973757,0.464472158,0.279292343,0.538428074,1
1.926596223,1.818907374,0.324117053,0.14006295,0.392129162,1.355398587,1.783249243,0.742078708,0.188092836,0.188092836,0.530978809,0.414793165,0.301513623,0.637927158,1.516861511,0.357214934,0.362462159,0.426034309,3.598587286,1.922906155,1.717860747,0.09330036,0.636730575,1.288669065,0.22764884,0.570534813,0.455499495,0.410971223,0.493037336,0.336024218,0.499293643,1
