feature_47,feature_64,feature_12,feature_44,feature_22,feature_17,feature_18,feature_36,feature_7,feature_9,feature_39,feature_73,feature_28,feature_45,feature_77,feature_38,feature_3,feature_42,feature_5,feature_32,feature_8,feature_71,feature_29,feature_63,feature_6,feature_20,feature_11,feature_61,feature_19,feature_41,feature_2,feature_21,feature_48,feature_25,feature_54,feature_40,feature_24,feature_27,feature_26,feature_30,feature_46,feature_67,feature_58,feature_53,feature_15,feature_16,feature_52,feature_35,feature_66,feature_33,feature_23,feature_4,feature_57,feature_56,diagnosis
1.443090669,2.014874607,0.306381721,0.182150472,0.369608036,1.877683671,2.308745322,0.825192043,0.177565491,0.232223754,0.58627142,0.427099198,0.319676975,0.84272515,1.67565235,0.448099271,0.4301753,0.482863896,5.990151664,3.037620642,2.373744337,0.106305209,0.813866457,1.603309981,0.218830018,0.859365767,0.687906244,0.430957458,0.44159937,0.339570613,0.747193224,0.416289147,0.29469997,3.685247193,0.106305209,0.394721292,1.866358085,0.264526295,1.537226709,0.165845972,0.192608387,0.831556503,0.115290892,0.18885166,1.022060272,0.605672641,0.159102447,0.335335828,1.044979186,0.369509553,0.178944258,2.81632854,0.125190375,0.176667682,1
1.439459795,2.004605195,0.299051088,0.182086309,0.356177514,1.725773986,2.043036519,0.761717627,0.172817023,0.226972108,0.545097287,0.441581289,0.304418672,0.847614612,1.743609645,0.420876066,0.411770344,0.454519314,5.685037861,2.921882488,2.292149909,0.106592156,0.780504169,1.671737556,0.211636155,0.834659254,0.69500623,0.457156163,0.445221892,0.321959168,0.689063548,0.400364229,0.294059816,3.48528707,0.106592156,0.368254577,1.761046679,0.25572702,1.509249497,0.157193521,0.194815275,0.849270413,0.118234503,0.184570009,0.956675932,0.587558708,0.158128945,0.324834659,1.009883059,0.342279306,0.17367967,2.789514042,0.13427507,0.178309014,1
1.52436418,2.016830519,0.291276067,0.18438769,0.36808877,1.731872967,2.017983547,0.757030802,0.175722212,0.230246795,0.552994069,0.435776875,0.3117467,0.856165847,1.926426587,0.404629807,0.418308781,0.447197245,5.622058542,2.944136216,2.283336522,0.108303056,0.785154008,1.663549904,0.209010905,0.814329443,0.677348383,0.510472323,0.467667878,0.3130859,0.730246795,0.399846949,0.301880744,3.571455902,0.108303056,0.363879855,1.765544289,0.259613545,1.501243543,0.160895351,0.200737337,0.846708698,0.117760205,0.190532165,1.003634972,0.602448823,0.148696303,0.324851731,0.996847617,0.343696193,0.173904725,2.687201071,0.132560376,0.176212866,1
1.612382051,1.957233046,0.296728655,0.161767701,0.362970001,1.566852179,2.132754174,0.746979775,0.176462604,0.207004208,0.547848514,0.391690992,0.279218135,0.760233521,1.700563438,0.386860323,0.358626307,0.442649654,4.97950319,2.500203611,2.152300801,0.103183762,0.734491652,1.484624262,0.222885842,0.727704629,0.583276775,0.430995859,0.477670694,0.328491923,0.61707615,0.385638659,0.29638178,2.970137098,0.103183762,0.366770734,1.286276639,0.259535768,1.419709515,0.162209855,0.184169439,0.833276763,0.117439413,0.185323468,0.875390254,0.520293199,0.16611228,0.330120809,0.990224696,0.344509298,0.179448894,2.466947197,0.123209558,0.163804222,1
1.645807259,2.009108608,0.286961192,0.16020025,0.355310863,1.480059084,2.013696791,0.691956493,0.173626964,0.192157916,0.512823956,0.434153803,0.273667249,0.768112919,1.839730218,0.360816436,0.358802202,0.419094938,4.718678663,2.456559688,2.134013697,0.104783757,0.702699073,1.534835211,0.213105949,0.687793742,0.550960118,0.481226533,0.483416141,0.312206258,0.617429838,0.367530549,0.29682937,2.896334094,0.104783757,0.35155096,1.324694508,0.250704982,1.35987646,0.154827447,0.185718259,0.878667779,0.116047838,0.188221388,0.864912045,0.507989795,0.16068697,0.313414798,0.997774997,0.329125822,0.174835504,2.36578488,0.136837714,0.167709637,1
1.634615385,2.003535068,0.289823901,0.162330317,0.357171663,1.538244388,1.968275306,0.674418605,0.176233365,0.195187525,0.51431644,0.439833145,0.284043554,0.77969457,1.816388575,0.354214276,0.36738809,0.412824304,4.807635435,2.467132679,2.14128243,0.106476244,0.704395752,1.507777149,0.218577766,0.672402205,0.566339562,0.478577489,0.495899987,0.303132141,0.62817583,0.36940449,0.28803733,2.956983466,0.106476244,0.347224089,1.227449926,0.250840167,1.447909665,0.156875924,0.186792986,0.843679299,0.115243213,0.183823529,0.85912085,0.521306627,0.150593891,0.296276381,0.920178167,0.327597795,0.179728458,2.38593897,0.130514706,0.174844457,1
1.773845525,1.861708214,0.299654305,0.145565999,0.359522313,1.494814582,2.01257071,0.757542426,0.184003771,0.195788812,0.544626021,0.406293421,0.276241358,0.70224765,1.528483858,0.368950346,0.342708988,0.420490258,4.473130107,2.288812068,2.012413576,0.097834083,0.693117536,1.338782182,0.225172847,0.646134507,0.509899434,0.415529219,0.497485858,0.329352608,0.573695789,0.395977373,0.292194524,2.599622879,0.097834083,0.360307982,1.10779384,0.261470773,1.364236329,0.162162162,0.177033102,0.798283613,0.114752758,0.181610135,0.844280327,0.485386549,0.149816101,0.333909491,1.028769922,0.345380264,0.186046512,2.334223759,0.115978749,0.15185942,1
1.795780591,1.969451477,0.283015971,0.147848101,0.360718673,1.409398034,1.85703317,0.695178133,0.179668305,0.18980344,0.50982801,0.382531646,0.265356265,0.681940928,1.652658228,0.340141278,0.327702703,0.39296683,4.268734644,2.281173219,2.007985258,0.099493671,0.676597052,1.386075949,0.214834152,0.628071253,0.501074939,0.451139241,0.48955774,0.298525799,0.564035627,0.360718673,0.288523207,2.550214988,0.099493671,0.338298526,1.077395577,0.250614251,1.316646192,0.159551597,0.174599156,0.843966245,0.116202532,0.182869198,0.818642506,0.478501229,0.154514768,0.322788698,0.943544304,0.328163391,0.171836609,2.260135135,0.119578059,0.158734177,1
1.805248619,1.958736188,0.266966357,0.150120856,0.328886311,1.341792343,1.822070766,0.636890951,0.167778422,0.180684455,0.479988399,0.435687155,0.252610209,0.710808011,1.834599448,0.32337587,0.317720418,0.357598608,4.063950116,2.139211137,1.861513921,0.105145028,0.635585847,1.404178177,0.207221578,0.600638051,0.476653132,0.455973757,0.464472158,0.279292343,0.538428074,0.326566125,0.294457873,2.434599768,0.105145028,0.312064965,1.008845708,0.230423434,1.252030162,0.154147332,0.167472376,0.83218232,0.116799033,0.178522099,0.748259861,0.458961717,0.148653315,0.294518561,0.94690953,0.309164733,0.170388631,2.125725058,0.123964088,0.160393646,1
1.926596223,1.818907374,0.324117053,0.14006295,0.392129162,1.355398587,1.783249243,0.742078708,0.188092836,0.188092836,0.530978809,0.414793165,0.301513623,0.637927158,1.516861511,0.357214934,0.362462159,0.426034309,3.598587286,1.922906155,1.717860747,0.09330036,0.636730575,1.288669065,0.22764884,0.570534813,0.455499495,0.410971223,0.493037336,0.336024218,0.499293643,0.335418769,0.301821043,2.169929364,0.09330036,0.358627649,0.906155399,0.257719475,1.248234107,0.174369324,0.175584532,0.803394784,0.126573741,0.171088129,0.743491423,0.44419778,0.166254496,0.394349142,0.970323741,0.373965691,0.198385469,2.096266398,0.117580935,0.150629496,1
1.902901531,1.861549006,0.290289884,0.144505369,0.362659639,1.297993108,1.756132171,0.693087371,0.193796878,0.185282789,0.524021893,0.385423806,0.262720454,0.662097327,1.613548092,0.343807014,0.327792418,0.406649098,3.66105818,1.957834989,1.724508413,0.094356865,0.635313197,1.326707791,0.229474965,0.547536996,0.461179809,0.429403701,0.509831745,0.323535374,0.513277924,0.346036894,0.298377884,2.171903507,0.094356865,0.341374417,0.891952159,0.266166633,1.231096696,0.169673627,0.173292209,0.842472013,0.119716701,0.183801691,0.765659842,0.449422258,0.169979438,0.352118386,0.940370117,0.34684776,0.196229475,2.072572471,0.125999543,0.149988577,1
2.001656021,1.913532056,0.27718885,0.142299503,0.344719278,1.250098155,1.690812721,0.666274048,0.204358068,0.190223793,0.505300353,0.442394133,0.281311347,0.675065058,1.722971374,0.326266196,0.355123675,0.384766392,3.466627405,1.887711033,1.672555948,0.098414952,0.615822536,1.30305181,0.216332941,0.549862583,0.447192776,0.455050863,0.492343934,0.319199058,0.499411072,0.323125245,0.306837,2.108755399,0.098414952,0.330977621,0.862583431,0.243423636,1.20691009,0.160581076,0.180151408,0.836172226,0.115448308,0.17411876,0.743031017,0.443855516,0.15554767,0.33451119,0.911521173,0.333922261,0.197879859,2.006870828,0.127986752,0.160752307,1
1.904005525,1.760635359,0.272137325,0.12679558,0.339543647,1.226711325,1.737701486,0.690391459,0.188821436,0.171027842,0.520619636,0.440331492,0.256018422,0.589502762,1.426933702,0.353150513,0.312539251,0.466610844,3.349591794,1.749214988,1.508687461,0.097651934,0.612727653,1.251933702,0.230898053,0.494871258,0.471844254,0.395441989,0.461168097,0.332426209,0.482101737,0.384969646,0.279696133,1.925685577,0.097651934,0.32593678,0.869583421,0.273812016,1.149047519,0.16474775,0.167403315,0.80980663,0.126657459,0.175276243,0.723047938,0.417416789,0.176381215,0.37366548,0.997237569,0.322378062,0.199288256,1.946200544,0.117403315,0.15,1
1.972577697,1.792434257,0.284261809,0.134298973,0.347172209,1.197203982,1.686083457,0.68904893,0.188519381,0.179834781,0.4956577,0.422162846,0.25672527,0.611165799,1.500070314,0.337216691,0.31095107,0.403728024,3.349290405,1.770599449,1.50900233,0.094642104,0.579114594,1.288707636,0.225799619,0.524465156,0.463249312,0.415412741,0.485066723,0.321965685,0.485914001,0.343359458,0.283785684,1.956576996,0.094642104,0.329379369,0.814022453,0.239779708,1.137894514,0.164371955,0.170862045,0.832794262,0.123892561,0.174377725,0.755348443,0.41897903,0.172971453,0.370684177,0.980874701,0.339970345,0.214573184,1.958907011,0.117283083,0.154408663,1
1.959455587,1.764756447,0.266173752,0.12277937,0.359416718,1.158143356,1.655781475,0.657013761,0.185459026,0.176422263,0.476278497,0.446561605,0.242349558,0.626361032,1.613896848,0.323475046,0.344629287,0.369069624,3.287122612,1.710002054,1.444239063,0.099140401,0.557403984,1.251289398,0.22181146,0.510166359,0.426987061,0.434527221,0.465393305,0.336414048,0.46231259,0.351817622,0.285816619,1.885192031,0.099140401,0.30971452,0.789484494,0.230642842,1.125898542,0.158348737,0.161031519,0.806160458,0.118481375,0.173352436,0.695830766,0.410556582,0.163180516,0.358595194,0.942406877,0.326966523,0.18402136,1.861162456,0.119054441,0.151862464,1
