feature_77,feature_45,feature_13,feature_43,feature_71,feature_54,feature_33,feature_55,feature_69,feature_6,feature_58,feature_16,feature_73,feature_63,feature_22,feature_75,feature_64,feature_47,feature_23,feature_12,feature_59,feature_61,feature_68,feature_8,feature_40,feature_66,feature_29,feature_72,feature_50,feature_42,feature_18,feature_62,feature_67,feature_30,feature_28,feature_19,feature_38,feature_65,feature_48,feature_44,feature_60,feature_14,feature_36,feature_46,feature_11,feature_41,feature_4,feature_32,feature_31,feature_25,feature_56,feature_49,feature_5,feature_76,feature_37,feature_3,feature_34,feature_35,feature_9,feature_39,feature_24,feature_70,target
1.67565235,0.84272515,0.402698444,0.294169785,0.106305209,0.106305209,0.369509553,0.144989339,0.122652046,0.218830018,0.115290892,0.605672641,0.427099198,1.603309981,0.369608036,0.131790029,2.014874607,1.443090669,0.178944258,0.306381721,0.228043456,0.430957458,0.18885166,2.373744337,0.394721292,1.044979186,0.813866457,0.108335872,1.339069956,0.482863896,2.308745322,0.247537821,0.831556503,0.165845972,0.319676975,0.44159937,0.448099271,0.108234339,0.29469997,0.182150472,0.14275561,0.296927319,0.825192043,0.192608387,0.687906244,0.339570613,2.81632854,3.037620642,0.453909789,3.685247193,0.176667682,0.354604528,5.990151664,0.128185603,0.576915501,0.4301753,0.458538507,0.335335828,0.232223754,0.58627142,1.866358085,,1
1.743609645,0.847614612,0.385986773,0.276430557,0.106592156,0.106592156,0.342279306,0.150470868,0.11668219,0.211636155,0.118234503,0.587558708,0.441581289,1.671737556,0.356177514,0.13510297,2.004605195,1.439459795,0.17367967,0.299051088,0.238073062,0.457156163,0.200403601,2.292149909,0.368254577,1.009883059,0.780504169,0.10431543,1.306323088,0.454519314,2.043036519,0.257632205,0.849270413,0.157193521,0.304418672,0.445221892,0.420876066,0.109748525,0.294059816,0.182086309,0.142036635,0.281318892,0.761717627,0.194815275,0.69500623,0.321959168,2.789514042,2.921882488,0.430940286,3.48528707,0.178309014,0.354548277,5.685037861,0.1311187,0.545097287,0.411770344,0.423559858,0.324834659,0.226972108,0.545097287,1.761046679,,1
1.926426587,0.856165847,0.381002487,0.256648173,0.108303056,0.108303056,0.343696193,0.145330199,0.118508228,0.209010905,0.117760205,0.602448823,0.435776875,1.663549904,0.36808877,0.133361829,2.016830519,1.52436418,0.173904725,0.291276067,0.244817269,0.510472323,0.193684548,2.283336522,0.363879855,0.996847617,0.785154008,0.106219278,1.279600342,0.447197245,2.017983547,0.255343022,0.846708698,0.160895351,0.3117467,0.467667878,0.404629807,0.108196196,0.301880744,0.18438769,0.142444967,0.28171035,0.757030802,0.200737337,0.677348383,0.3130859,2.687201071,2.944136216,0.423187297,3.571455902,0.176212866,0.386086771,5.622058542,0.127431075,0.543619667,0.418308781,0.425004783,0.324851731,0.230246795,0.552994069,1.765544289,,1
1.700563438,0.760233521,0.37708701,0.398534003,0.103183762,0.103183762,0.344509298,0.14065576,0.13278121,0.222885842,0.117439413,0.520293199,0.391690992,1.484624262,0.362970001,0.147444165,1.957233046,1.612382051,0.179448894,0.296728655,0.234946711,0.430995859,0.192111873,2.152300801,0.366770734,0.990224696,0.734491652,0.111261965,1.19876451,0.442649654,2.132754174,0.251103116,0.833276763,0.162209855,0.279218135,0.477670694,0.386860323,0.119883239,0.29638178,0.161767701,0.145068223,0.313831953,0.746979775,0.184169439,0.583276775,0.328491923,2.466947197,2.500203611,0.410614904,2.970137098,0.163804222,0.290679519,4.97950319,0.146901093,0.54676259,0.358626307,0.429211348,0.330120809,0.207004208,0.547848514,1.286276639,,1
1.839730218,0.768112919,0.363502081,0.393447026,0.104783757,0.104783757,0.329125822,0.141983034,0.129954109,0.213105949,0.116047838,0.507989795,0.434153803,1.534835211,0.355310863,0.140314282,2.009108608,1.645807259,0.174835504,0.286961192,0.255527743,0.481226533,0.205604228,2.134013697,0.35155096,0.997774997,0.702699073,0.110693923,1.206994855,0.419094938,2.013696791,0.25177305,0.878667779,0.154827447,0.273667249,0.483416141,0.360816436,0.119524406,0.29682937,0.16020025,0.140870533,0.277964281,0.691956493,0.185718259,0.550960118,0.312206258,2.36578488,2.456559688,0.398549752,2.896334094,0.167709637,0.309345015,4.718678663,0.148379919,0.536860481,0.358802202,0.408755203,0.313414798,0.192157916,0.512823956,1.324694508,,1
1.816388575,0.77969457,0.363892996,0.382578304,0.106476244,0.106476244,0.327597795,0.13956448,0.131575226,0.218577766,0.115243213,0.521306627,0.439833145,1.507777149,0.357171663,0.140766403,2.003535068,1.634615385,0.179728458,0.289823901,0.236849548,0.478577489,0.190469457,2.14128243,0.347224089,0.920178167,0.704395752,0.109445701,1.12344457,0.412824304,1.968275306,0.244485294,0.843679299,0.156875924,0.284043554,0.495899987,0.354214276,0.120687217,0.28803733,0.162330317,0.13645362,0.26683694,0.674418605,0.186792986,0.566339562,0.303132141,2.38593897,2.467132679,0.391047184,2.956983466,0.174844457,0.332367081,4.807635435,0.14218043,0.539723081,0.36738809,0.404489851,0.296276381,0.195187525,0.51431644,1.227449926,,1
1.528483858,0.70224765,0.37115022,0.465116279,0.097834083,0.097834083,0.345380264,0.142787086,0.141806293,0.225172847,0.114752758,0.485386549,0.406293421,1.338782182,0.359522313,0.156681651,1.861708214,1.773845525,0.186046512,0.299654305,0.22451982,0.415529219,0.181610135,2.012413576,0.360307982,1.028769922,0.693117536,0.111483449,1.03228443,0.420490258,2.01257071,0.238005721,0.798283613,0.162162162,0.276241358,0.497485858,0.368950346,0.117041275,0.292194524,0.145565999,0.144830405,0.277655563,0.757542426,0.177033102,0.509899434,0.329352608,2.334223759,2.288812068,0.405562539,2.599622879,0.15185942,0.266857376,4.473130107,0.157498978,0.558610937,0.342708988,0.427561282,0.333909491,0.195788812,0.544626021,1.10779384,,1
1.652658228,0.681940928,0.358875921,0.44041769,0.099493671,0.099493671,0.328163391,0.140168776,0.141012658,0.214834152,0.116202532,0.478501229,0.382531646,1.386075949,0.360718673,0.155611814,1.969451477,1.795780591,0.171836609,0.283015971,0.246835443,0.451139241,0.191561181,2.007985258,0.338298526,0.943544304,0.676597052,0.113080169,1.152067511,0.39296683,1.85703317,0.241434599,0.843966245,0.159551597,0.265356265,0.48955774,0.340141278,0.116877637,0.288523207,0.147848101,0.13443038,0.256449631,0.695178133,0.174599156,0.501074939,0.298525799,2.260135135,2.281173219,0.375460688,2.550214988,0.158734177,0.288607595,4.268734644,0.159409283,0.525030713,0.327702703,0.407248157,0.322788698,0.18980344,0.50982801,1.077395577,,1
1.834599448,0.710808011,0.337006961,0.421693735,0.105145028,0.105145028,0.309164733,0.137776243,0.139589088,0.207221578,0.116799033,0.458961717,0.435687155,1.404178177,0.328886311,0.152710635,1.958736188,1.805248619,0.170388631,0.266966357,0.233857044,0.455973757,0.186377762,1.861513921,0.312064965,0.94690953,0.635585847,0.105490331,1.107907459,0.357598608,1.822070766,0.236015193,0.83218232,0.154147332,0.252610209,0.464472158,0.32337587,0.11386395,0.294457873,0.150120856,0.132596685,0.242604408,0.636890951,0.167472376,0.476653132,0.279292343,2.125725058,2.139211137,0.351218097,2.434599768,0.160393646,0.294112569,4.063950116,0.158235497,0.484918794,0.317720418,0.378480278,0.294518561,0.180684455,0.479988399,1.008845708,,1
1.516861511,0.637927158,0.368314834,0.505751766,0.09330036,0.09330036,0.373965691,0.12443795,0.183678058,0.22764884,0.126573741,0.44419778,0.414793165,1.288669065,0.392129162,0.188848921,1.818907374,1.926596223,0.198385469,0.324117053,0.224145683,0.410971223,0.189523381,1.717860747,0.358627649,0.970323741,0.636730575,0.116906475,0.930980216,0.426034309,1.783249243,0.244829137,0.803394784,0.174369324,0.301513623,0.493037336,0.357214934,0.13995054,0.301821043,0.14006295,0.148156475,0.283753784,0.742078708,0.175584532,0.455499495,0.336024218,2.096266398,1.922906155,0.380423814,2.169929364,0.150629496,0.24977518,3.598587286,0.192333633,0.553178607,0.362462159,0.433501514,0.394349142,0.188092836,0.530978809,0.906155399,,1
