feature_10,feature_30,feature_25,feature_26,feature_21,feature_6,feature_29,feature_20,feature_3,feature_4,feature_9,feature_5,feature_24,feature_1,feature_28,feature_23,feature_2,feature_14,feature_16,feature_11,feature_19,target
0.07871,0.1189,0.1622,0.6656,25.38,0.2776,0.4601,0.006193,122.8,1001.0,0.2419,0.1184,2019.0,17.99,0.2654,184.6,10.38,153.4,0.04904,1.095,0.03003,1
0.05667,0.08902,0.1238,0.1866,24.99,0.07864,0.275,0.003532,132.9,1326.0,0.1812,0.08474,1956.0,20.57,0.186,158.8,17.77,74.08,0.01308,0.5435,0.01389,1
0.05999,0.08758,0.1444,0.4245,23.57,0.1599,0.3613,0.004571,130.0,1203.0,0.2069,0.1096,1709.0,19.69,0.243,152.5,21.25,94.03,0.04006,0.7456,0.0225,1
0.09744,0.173,0.2098,0.8663,14.91,0.2839,0.6638,0.009208,77.58,386.1,0.2597,0.1425,567.7,11.42,0.2575,98.87,20.38,27.23,0.07458,0.4956,0.05963,1
0.05883,0.07678,0.1374,0.205,22.54,0.1328,0.2364,0.005115,135.1,1297.0,0.1809,0.1003,1575.0,20.29,0.1625,152.2,14.34,94.44,0.02461,0.7572,0.01756,1
0.07613,0.1244,0.1791,0.5249,15.47,0.17,0.3985,0.005082,82.57,477.1,0.2087,0.1278,741.6,12.45,0.1741,103.4,15.7,27.19,0.03345,0.3345,0.02165,1
0.05742,0.08368,0.1442,0.2576,22.88,0.109,0.3063,0.002179,119.6,1040.0,0.1794,0.09463,1606.0,18.25,0.1932,153.2,19.98,53.91,0.01382,0.4467,0.01369,1
0.07451,0.1151,0.1654,0.3682,17.06,0.1645,0.3196,0.005412,90.2,577.9,0.2196,0.1189,897.0,13.71,0.1556,110.6,20.83,50.96,0.03029,0.5835,0.01486,1
0.07389,0.1072,0.1703,0.5401,15.49,0.1932,0.4378,0.003749,87.5,519.8,0.235,0.1273,739.3,13.0,0.206,106.2,21.82,24.32,0.03502,0.3063,0.02143,1
0.08243,0.2075,0.1853,1.058,15.09,0.2396,0.4366,0.01008,83.97,475.9,0.203,0.1186,711.4,12.46,0.221,97.65,24.04,23.94,0.07217,0.2976,0.01789,1
0.05697,0.08452,0.1181,0.1551,19.19,0.06669,0.2948,0.003042,102.7,797.8,0.1528,0.08206,1150.0,16.02,0.09975,123.8,23.24,40.51,0.009269,0.3795,0.0146,1
0.06082,0.1048,0.1396,0.5609,20.42,0.1292,0.3792,0.004144,103.6,781.0,0.1842,0.0971,1299.0,15.78,0.181,136.5,17.89,54.16,0.04061,0.5058,0.02008,1
0.078,0.1023,0.1037,0.3903,20.96,0.2458,0.3176,0.01284,132.4,1123.0,0.2397,0.0974,1332.0,19.17,0.1767,151.7,24.8,116.2,0.08297,0.9555,0.04484,1
0.05338,0.06287,0.1131,0.1924,16.84,0.1002,0.2809,0.003002,103.7,782.7,0.1847,0.08401,876.5,15.85,0.1119,112.0,23.95,36.58,0.03126,0.4033,0.02981,1
0.07682,0.1431,0.1651,0.7725,15.03,0.2293,0.3596,0.008093,93.6,578.3,0.2069,0.1131,697.7,13.73,0.2208,108.8,22.61,19.21,0.05936,0.2121,0.01961,1
0.07077,0.1341,0.1678,0.6577,17.46,0.1595,0.4218,0.005466,96.73,658.8,0.2303,0.1139,943.2,14.54,0.1712,124.1,27.54,32.55,0.0424,0.37,0.01857,1
0.05922,0.08216,0.1464,0.1871,19.07,0.072,0.3029,0.002085,94.74,684.5,0.1586,0.09867,1138.0,14.68,0.1609,123.4,20.13,45.4,0.01162,0.4727,0.0141,1
0.07356,0.1142,0.1789,0.4233,20.96,0.2022,0.3706,0.004142,108.1,798.8,0.2164,0.117,1315.0,16.13,0.2073,136.8,20.68,54.18,0.02501,0.5692,0.01689,1
0.05395,0.07615,0.1512,0.315,27.32,0.1027,0.2768,0.001997,130.0,1260.0,0.1582,0.09831,2398.0,19.81,0.2388,186.8,22.15,112.4,0.01893,0.7582,0.01356,1
0.05766,0.07259,0.144,0.1773,15.11,0.08129,0.2977,0.0023,87.46,566.3,0.1885,0.09779,711.2,13.54,0.1288,99.7,14.36,23.56,0.0146,0.2699,0.0198,0
0.06811,0.08183,0.1312,0.2776,14.5,0.127,0.3184,0.002425,85.63,520.0,0.1967,0.1075,630.5,13.08,0.07283,96.09,15.71,14.67,0.01898,0.1852,0.01678,0
0.06905,0.07773,0.1324,0.1148,10.23,0.06492,0.245,0.002968,60.34,273.9,0.1815,0.1024,314.9,9.504,0.06227,65.13,12.44,15.7,0.01432,0.2773,0.02027,0
0.07032,0.09946,0.139,0.5954,18.07,0.2135,0.4667,0.004394,102.5,704.4,0.2521,0.1073,980.9,15.34,0.2393,125.1,14.26,44.91,0.05328,0.4388,0.03672,1
0.05278,0.07526,0.1401,0.26,29.17,0.1022,0.2822,0.001987,137.2,1404.0,0.1769,0.09428,2615.0,21.16,0.2009,188.0,23.04,93.99,0.01259,0.6917,0.01083,1
0.0633,0.09564,0.1805,0.3578,26.46,0.1457,0.3613,0.002801,110.0,904.6,0.1995,0.1121,2215.0,16.65,0.2095,177.0,21.38,102.6,0.01882,0.8068,0.01468,1
0.07413,0.1059,0.1545,0.3949,22.25,0.2276,0.4066,0.007444,116.0,912.7,0.304,0.1186,1461.0,17.14,0.255,152.4,16.4,111.4,0.03799,1.046,0.02308,1
0.06924,0.1275,0.1525,0.6643,17.62,0.1868,0.4264,0.003711,97.41,644.8,0.2252,0.1054,896.9,14.58,0.2701,122.4,21.53,21.05,0.03055,0.2545,0.01454,1
0.05699,0.07421,0.1338,0.2117,21.31,0.1066,0.2341,0.004217,122.1,1094.0,0.1697,0.0944,1403.0,18.61,0.149,139.9,20.25,93.54,0.02722,0.8529,0.02293,1
0.0654,0.09876,0.1641,0.611,20.27,0.1697,0.4027,0.002967,102.4,732.4,0.1926,0.1082,1269.0,15.3,0.2024,149.3,25.27,43.5,0.03057,0.439,0.01768,1
0.06149,0.07919,0.1255,0.2812,20.01,0.1157,0.2756,0.003742,115.0,955.1,0.1739,0.09847,1227.0,17.57,0.1456,134.9,15.05,61.1,0.03033,0.6003,0.01925,1
0.06197,0.09782,0.1491,0.4257,23.15,0.1887,0.3444,0.00456,124.8,1088.0,0.2183,0.1064,1670.0,18.63,0.1848,160.5,25.11,105.0,0.03374,0.8307,0.02007,1
0.07799,0.1402,0.1637,0.5775,16.82,0.1516,0.4761,0.005667,77.93,440.6,0.2301,0.1109,888.7,11.84,0.1546,119.4,18.7,41.0,0.03414,0.4825,0.02273,1
0.06382,0.08482,0.1634,0.3559,20.88,0.1496,0.353,0.003854,112.8,899.3,0.2248,0.1197,1344.0,17.02,0.1847,136.1,23.98,67.78,0.03082,0.6009,0.02102,1
0.06261,0.1123,0.1509,0.659,24.15,0.1719,0.3672,0.003896,127.9,1162.0,0.1853,0.09401,1813.0,19.27,0.1785,161.4,26.47,68.17,0.03318,0.5558,0.01543,1
0.06515,0.1233,0.1446,0.5804,20.21,0.1559,0.427,0.003817,107.0,807.2,0.1998,0.104,1261.0,16.13,0.1864,132.7,17.88,35.03,0.02868,0.334,0.01703,1
