feature_6,feature_26,feature_29,feature_56,feature_1,feature_19,feature_68,feature_45,feature_14,feature_62,feature_24,feature_57,feature_37,feature_61,target
0.01203,0.03208,0.01003,0.00401,0,0.00902,0.0,0.02256,0.02005,0.01003,0.01103,0.00702,0.00652,0.03559,1
0.01357,0.02714,0.01425,0.00136,0,0.00814,0.0,0.02917,0.0251,0.01221,0.01357,0.00678,0.00475,0.03596,1
0.0218,0.0146,0.01728,0.00864,0,0.01213,0.00144,0.01275,0.01604,0.03126,0.00514,0.00596,0.00967,0.02489,1
0.02245,0.00418,0.01201,0.00627,0,0.01723,0.0,0.00888,0.02245,0.0376,0.00522,0.00261,0.00522,0.01671,1
0.01371,0.00508,0.01205,0.0095,0,0.0092,0.00131,0.01367,0.00867,0.04148,0.01577,0.00429,0.01191,0.01734,1
0.02218,0.01953,0.01232,0.00398,0,0.00721,0.00209,0.02825,0.01327,0.02427,0.00265,0.00853,0.0036,0.00171,1
0.01545,0.01085,0.01216,0.00888,0,0.01151,0.0,0.01151,0.00888,0.04011,0.00427,0.00625,0.00066,0.00822,1
0.02678,0.01107,0.01142,0.01499,0,0.00893,0.00071,0.02321,0.02356,0.03534,0.01321,0.01607,0.005,0.01107,1
0.02106,0.04764,0.01139,0.00207,0,0.00069,0.00138,0.02485,0.01933,0.00414,0.05212,0.0535,0.02313,0.00311,1
0.0143,0.00423,0.00731,0.00634,0,0.02338,0.00103,0.01623,0.01915,0.04866,0.00718,0.00248,0.0089,0.00411,1
0.01431,0.00425,0.00719,0.0066,0,0.02348,0.00112,0.015,0.01901,0.04887,0.00728,0.00244,0.00855,0.00416,1
0.01317,0.00425,0.00729,0.00641,0,0.02308,0.00086,0.01509,0.01855,0.05108,0.00714,0.00245,0.00828,0.00403,1
0.01254,0.0043,0.00683,0.00641,0,0.02388,0.00094,0.01509,0.01699,0.05014,0.00654,0.00217,0.00728,0.00378,1
0.01516,0.0018,0.00565,0.00437,0,0.02312,0.00077,0.01336,0.01387,0.05394,0.00873,0.00077,0.00822,0.00205,1
0.01199,0.00455,0.00687,0.0055,0,0.02919,0.0005,0.01859,0.01134,0.04921,0.00687,0.00188,0.00704,0.0066,1
0.00666,0.0016,0.00799,0.0024,0,0.02132,0.00107,0.00906,0.00986,0.05596,0.0032,0.00053,0.00506,0.00373,1
0.01874,0.01128,0.00769,0.00996,0,0.0278,0.00043,0.02997,0.02309,0.03168,0.01394,0.00315,0.01486,0.00542,1
0.03627,0.01775,0.00791,0.00579,0,0.00502,0.00096,0.03627,0.0216,0.00617,0.04552,0.06366,0.01582,0.00174,1
0.03139,0.02039,0.00765,0.00714,0,0.0058,0.00113,0.02851,0.02338,0.00595,0.05484,0.05722,0.0169,0.00441,1
0.007,0.0042,0.00653,0.0014,0,0.0182,0.0,0.00607,0.00653,0.05553,0.0028,0.00047,0.00467,0.00093,1
0.01086,0.00642,0.00666,0.00197,0,0.02567,0.00074,0.0116,0.00691,0.06022,0.00222,0.00049,0.0074,0.00346,1
0.0215,0.02746,0.01059,0.00643,0,0.00902,0.00063,0.02495,0.01812,0.01248,0.04896,0.03264,0.01687,0.01255,1
0.01401,0.053,0.01148,0.00872,0,0.00712,0.00073,0.0209,0.02115,0.00731,0.03521,0.03475,0.01592,0.00328,1
0.01686,0.0466,0.01185,0.00447,0,0.00297,0.00051,0.02338,0.02246,0.00749,0.05118,0.04543,0.01722,0.00418,1
0.02724,0.05314,0.01121,0.00159,0,0.00048,0.001,0.02331,0.01892,0.00213,0.06904,0.05457,0.01821,0.00328,1
0.01845,0.03036,0.0103,0.00305,0,0.00429,0.00072,0.02344,0.0133,0.00488,0.08522,0.05427,0.01696,0.0024,1
0.01178,0.02739,0.01022,0.00556,0,0.01122,0.00057,0.02151,0.0161,0.01597,0.02747,0.02508,0.01482,0.00987,1
0.00656,0.01784,0.0099,0.00755,0,0.01556,0.00036,0.0189,0.00927,0.02037,0.01868,0.01947,0.01071,0.00755,1
0.01303,0.01753,0.01111,0.01336,0,0.01945,0.00079,0.01151,0.01938,0.03816,0.01283,0.00972,0.01138,0.00807,1
0.00663,0.01809,0.01075,0.01452,0,0.01901,0.00034,0.01317,0.01058,0.03168,0.01882,0.01185,0.01269,0.00585,1
0.02144,0.02564,0.00885,0.0036,0,0.0087,0.0009,0.02744,0.01964,0.0069,0.04333,0.03298,0.01649,0.0051,1
0.01982,0.01749,0.01312,0.00437,0,0.00816,0.00117,0.01457,0.03235,0.02215,0.00962,0.00262,0.00612,0.0172,1
