feature_53,feature_61,feature_1,feature_19,feature_65,feature_2,feature_55,feature_6,feature_29,feature_32,feature_45,feature_25,feature_41,feature_8,target
0.02356,0.03559,0,0.00902,0.04361,100217,0.0386,0.01203,0.01003,0.01905,0.02256,0.02356,0.02105,0.00351,1
0.01967,0.03596,0,0.00814,0.0441,100220,0.03392,0.01357,0.01425,0.02239,0.02917,0.00678,0.02782,0.00678,1
0.01687,0.02489,0,0.01213,0.02468,100755,0.03949,0.0218,0.01728,0.01172,0.01275,0.01604,0.01131,0.01543,1
0.00679,0.01671,0,0.01723,0.03446,100880,0.04282,0.02245,0.01201,0.02402,0.00888,0.01358,0.01358,0.00992,1
0.00858,0.01734,0,0.0092,0.03679,100887,0.03964,0.01371,0.01205,0.00959,0.01367,0.01007,0.00854,0.03679,1
0.01043,0.00171,0,0.00721,0.0127,101029,0.00986,0.02218,0.01232,0.0256,0.02825,0.01232,0.03015,0.01024,1
0.00756,0.00822,0,0.01151,0.02663,101688,0.02696,0.01545,0.01216,0.01512,0.01151,0.02794,0.01381,0.024,1
0.01464,0.01107,0,0.00893,0.02785,101764,0.02713,0.02678,0.01142,0.01214,0.02321,0.01392,0.01142,0.02321,1
0.01933,0.00311,0,0.00069,0.04867,101947,0.00897,0.02106,0.01139,0.00621,0.02485,0.00173,0.02589,0.00104,1
0.00625,0.00411,0,0.02338,0.01412,10249,0.02222,0.0143,0.00731,0.0202,0.01623,0.01097,0.0086,0.01869,1
0.00607,0.00416,0,0.02348,0.01455,10253,0.02254,0.01431,0.00719,0.02035,0.015,0.01054,0.00824,0.01916,1
0.00605,0.00403,0,0.02308,0.01452,10254,0.02289,0.01317,0.00729,0.02078,0.01509,0.01085,0.00845,0.01846,1
0.00578,0.00378,0,0.02388,0.01462,10255,0.02289,0.01254,0.00683,0.02036,0.01509,0.01079,0.00846,0.01817,1
0.00334,0.00205,0,0.02312,0.0149,10256,0.02106,0.01516,0.00565,0.02106,0.01336,0.01105,0.00796,0.01618,1
0.00621,0.0066,0,0.02919,0.00907,10263,0.02054,0.01199,0.00687,0.01692,0.01859,0.0154,0.00737,0.01192,1
0.00453,0.00373,0,0.02132,0.00826,10266,0.01572,0.00666,0.00799,0.01945,0.00906,0.00693,0.00613,0.01652,1
0.01087,0.00542,0,0.0278,0.01997,10272,0.0275,0.01874,0.00769,0.01801,0.02997,0.01,0.01192,0.01972,1
0.02392,0.00174,0,0.00502,0.04861,10279,0.02566,0.03627,0.00791,0.00637,0.03627,0.00617,0.01833,0.00752,1
0.0232,0.00441,0,0.0058,0.04695,10280,0.025,0.03139,0.00765,0.00796,0.02851,0.00706,0.01424,0.01004,1
0.00187,0.00093,0,0.0182,0.00327,10288,0.00513,0.007,0.00653,0.01353,0.00607,0.01027,0.00327,0.00513,1
0.00346,0.00346,0,0.02567,0.00568,10290,0.00617,0.01086,0.00666,0.02147,0.0116,0.01061,0.00346,0.01111,1
0.02056,0.01255,0,0.00902,0.0375,10295,0.01758,0.0215,0.01059,0.01177,0.02495,0.00651,0.02283,0.008,1
0.0192,0.00328,0,0.00712,0.03608,10298,0.01159,0.01401,0.01148,0.00793,0.0209,0.00694,0.04191,0.0112,1
0.02148,0.00418,0,0.00297,0.04034,10316,0.01522,0.01686,0.01185,0.00712,0.02338,0.00484,0.03025,0.00629,1
0.02179,0.00328,0,0.00048,0.05147,10317,0.01104,0.02724,0.01121,0.00335,0.02331,0.00222,0.02379,0.00128,1
0.01743,0.0024,0,0.00429,0.04467,10320,0.01121,0.01845,0.0103,0.00474,0.02344,0.00556,0.01391,0.00769,1
0.01551,0.00987,0,0.01122,0.03498,10326,0.01665,0.01178,0.01022,0.01544,0.02151,0.00863,0.02904,0.01138,1
0.01378,0.00755,0,0.01556,0.02585,10331,0.01471,0.00656,0.0099,0.0182,0.0189,0.00983,0.02447,0.01638,1
0.00972,0.00807,0,0.01945,0.02097,10334,0.0131,0.01303,0.01111,0.0209,0.01151,0.01164,0.02037,0.0123,1
0.01098,0.00585,0,0.01901,0.0199,10340,0.01091,0.00663,0.01075,0.02294,0.01317,0.01137,0.01974,0.01722,1
0.02024,0.0051,0,0.0087,0.03403,10353,0.01334,0.02144,0.00885,0.01454,0.02744,0.01364,0.01529,0.0099,1
0.01457,0.0172,0,0.00816,0.04459,103603,0.03468,0.01982,0.01312,0.02448,0.01457,0.01166,0.02273,0.01632,1
0.01212,0.00915,0,0.0127,0.02856,10366,0.02657,0.02932,0.01519,0.01494,0.02485,0.00851,0.024,0.01468,1
0.01194,0.00924,0,0.01281,0.01799,10370,0.01773,0.0162,0.0076,0.01321,0.0137,0.01306,0.01501,0.01745,1
0.02982,0.00189,0,0.00151,0.01548,103722,0.01359,0.0419,0.01133,0.00227,0.02114,0.02341,0.05889,0.00264,1
0.01054,0.01165,0,0.01332,0.04218,10373,0.0394,0.01498,0.00721,0.01221,0.00999,0.01887,0.03774,0.00999,1
0.015,0.01227,0,0.01431,0.02999,103782,0.03681,0.01772,0.01159,0.01568,0.01772,0.01636,0.0184,0.01977,1
0.00565,0.01454,0,0.01433,0.0208,103881,0.03291,0.02625,0.00444,0.01433,0.01736,0.00888,0.0107,0.02948,1
0.0192,0.0096,0,0.00175,0.04188,103898,0.03665,0.00785,0.01222,0.02007,0.01483,0.02182,0.00873,0.01658,1
0.01715,0.00754,0,0.00441,0.02786,103901,0.02362,0.03433,0.01398,0.01539,0.01894,0.00937,0.01828,0.00795,1
0.01556,0.01236,0,0.01693,0.03249,103908,0.027,0.02105,0.0151,0.01465,0.02563,0.0087,0.02197,0.01281,1
0.0141,0.01364,0,0.01046,0.03161,103915,0.02865,0.02228,0.01455,0.01842,0.02319,0.01069,0.02115,0.01683,1
0.0122,0.011,0,0.01554,0.01724,103919,0.02065,0.01554,0.02299,0.03122,0.01731,0.01902,0.03306,0.00908,1
0.00914,0.01123,0,0.01743,0.01799,10392,0.01238,0.01217,0.01146,0.01997,0.01014,0.01782,0.01382,0.01821,1
0.01803,0.01284,0,0.01105,0.03087,103920,0.02307,0.02973,0.00682,0.01186,0.02486,0.00731,0.02145,0.01706,1
0.01504,0.01212,0,0.0084,0.02705,103922,0.02777,0.02046,0.01409,0.01569,0.02084,0.01427,0.02044,0.01795,1
0.01097,0.01291,0,0.01355,0.0284,103926,0.03775,0.0171,0.01291,0.0213,0.01452,0.00613,0.00419,0.01775,1
0.01847,0.00702,0,0.01192,0.02235,103930,0.01521,0.0182,0.01478,0.01234,0.0193,0.01436,0.02224,0.01832,1
0.01224,0.01512,0,0.0097,0.03592,103931,0.04086,0.02122,0.01424,0.02183,0.0135,0.00898,0.00693,0.02529,1
0.02136,0.00368,0,0.003,0.04237,10397,0.01522,0.02818,0.01385,0.00864,0.02287,0.00429,0.02313,0.00941,1
0.02096,0.01247,0,0.00826,0.03882,10398,0.02923,0.01989,0.01075,0.01546,0.02478,0.01463,0.02839,0.00975,1
0.01704,0.01365,0,0.00606,0.04095,10401,0.02843,0.02832,0.01228,0.01336,0.01977,0.00459,0.03321,0.01029,1
0.00591,0.01314,0,0.01117,0.0046,10406,0.0138,0.01905,0.03088,0.02234,0.00986,0.03154,0.01445,0.02497,1
0.01244,0.01415,0,0.00943,0.01158,10408,0.00858,0.02401,0.03173,0.02273,0.00901,0.03388,0.0193,0.02144,1
0.00627,0.02487,0,0.00647,0.0368,104263,0.04125,0.01901,0.01153,0.00809,0.01901,0.01759,0.01011,0.04024,1
0.0202,0.00634,0,0.00229,0.04494,10449,0.03134,0.03,0.00896,0.00302,0.02929,0.00349,0.01768,0.02013,1
0.02093,0.0044,0,0.00596,0.02899,10450,0.02499,0.01537,0.00745,0.00257,0.02932,0.0021,0.01903,0.02885,1
0.01298,0.00366,0,0.00953,0.01714,10454,0.02432,0.0189,0.00723,0.00706,0.0292,0.00483,0.01536,0.02501,1
0.01187,0.00316,0,0.01254,0.01424,10455,0.02152,0.01873,0.00728,0.008,0.03106,0.00896,0.01479,0.03081,1
0.01537,0.00491,0,0.01132,0.019,10456,0.0221,0.01569,0.00822,0.01036,0.02754,0.00395,0.01463,0.02584,1
0.00617,0.00697,0,0.01789,0.022,104580,0.02675,0.01393,0.00507,0.01488,0.01377,0.00902,0.00665,0.02422,1
