feature_2,feature_68,feature_14,feature_51,feature_1,feature_52,feature_29,feature_19,feature_11,feature_26,feature_39,feature_45,feature_55,feature_32,target
100217,0.0,0.02005,0.01153,0,0.00501,0.01003,0.00902,0.001,0.03208,0.01554,0.02256,0.0386,0.01905,1
100220,0.0,0.0251,0.01628,0,0.00204,0.01425,0.00814,0.00204,0.02714,0.02035,0.02917,0.03392,0.02239,1
100755,0.00144,0.01604,0.01234,0,0.01604,0.01728,0.01213,0.01028,0.0146,0.01337,0.01275,0.03949,0.01172,1
100880,0.0,0.02245,0.00888,0,0.00783,0.01201,0.01723,0.0094,0.00418,0.00836,0.00888,0.04282,0.02402,1
100887,0.00131,0.00867,0.00705,0,0.01174,0.01205,0.0092,0.00473,0.00508,0.00788,0.01367,0.03964,0.00959,1
101029,0.00209,0.01327,0.00948,0,0.00683,0.01232,0.00721,0.01782,0.01953,0.01138,0.02825,0.00986,0.0256,1
101688,0.0,0.00888,0.0069,0,0.01512,0.01216,0.01151,0.01052,0.01085,0.00427,0.01151,0.02696,0.01512,1
101764,0.00071,0.02356,0.01821,0,0.01071,0.01142,0.00893,0.00893,0.01107,0.01464,0.02321,0.02713,0.01214,1
101947,0.00138,0.01933,0.01968,0,0.00173,0.01139,0.00069,0.00069,0.04764,0.02071,0.02485,0.00897,0.00621,1
10249,0.00103,0.01915,0.00503,0,0.01517,0.00731,0.02338,0.0186,0.00423,0.00612,0.01623,0.02222,0.0202,1
10253,0.00112,0.01901,0.00488,0,0.01473,0.00719,0.02348,0.01889,0.00425,0.00616,0.015,0.02254,0.02035,1
10254,0.00086,0.01855,0.00489,0,0.01473,0.00729,0.02308,0.01806,0.00425,0.00576,0.01509,0.02289,0.02078,1
10255,0.00094,0.01699,0.00461,0,0.01486,0.00683,0.02388,0.01821,0.0043,0.00554,0.01509,0.02289,0.02036,1
10256,0.00077,0.01387,0.00488,0,0.01156,0.00565,0.02312,0.01952,0.0018,0.00051,0.01336,0.02106,0.02106,1
10263,0.0005,0.01134,0.00591,0,0.01365,0.00687,0.02919,0.01887,0.00455,0.0072,0.01859,0.02054,0.01692,1
10266,0.00107,0.00986,0.00373,0,0.01439,0.00799,0.02132,0.01092,0.0016,0.00506,0.00906,0.01572,0.01945,1
10272,0.00043,0.02309,0.0048,0,0.01213,0.00769,0.0278,0.01454,0.01128,0.00539,0.02997,0.0275,0.01801,1
10279,0.00096,0.0216,0.0189,0,0.00328,0.00791,0.00502,0.00907,0.01775,0.03164,0.03627,0.02566,0.00637,1
10280,0.00113,0.02338,0.02182,0,0.00408,0.00765,0.0058,0.00724,0.02039,0.02646,0.02851,0.025,0.00796,1
10288,0.0,0.00653,0.0014,0,0.0098,0.00653,0.0182,0.00467,0.0042,0.0042,0.00607,0.00513,0.01353,1
10290,0.00074,0.00691,0.00518,0,0.01752,0.00666,0.02567,0.00814,0.00642,0.00469,0.0116,0.00617,0.02147,1
10295,0.00063,0.01812,0.0142,0,0.00463,0.01059,0.00902,0.01146,0.02746,0.01946,0.02495,0.01758,0.01177,1
10298,0.00073,0.02115,0.01089,0,0.00886,0.01148,0.00712,0.00437,0.053,0.01828,0.0209,0.01159,0.00793,1
10316,0.00051,0.02246,0.01268,0,0.00384,0.01185,0.00297,0.00399,0.0466,0.01784,0.02338,0.01522,0.00712,1
10317,0.001,0.01892,0.01558,0,0.00056,0.01121,0.00048,0.00067,0.05314,0.01514,0.02331,0.01104,0.00335,1
10320,0.00072,0.0133,0.01729,0,0.00171,0.0103,0.00429,0.0054,0.03036,0.02061,0.02344,0.01121,0.00474,1
10326,0.00057,0.0161,0.01283,0,0.00531,0.01022,0.01122,0.01323,0.02739,0.02232,0.02151,0.01665,0.01544,1
10331,0.00036,0.00927,0.00932,0,0.00819,0.0099,0.01556,0.0178,0.01784,0.01879,0.0189,0.01471,0.0182,1
10334,0.00079,0.01938,0.00536,0,0.01845,0.01111,0.01945,0.01654,0.01753,0.00873,0.01151,0.0131,0.0209,1
10340,0.00034,0.01058,0.00619,0,0.01552,0.01075,0.01901,0.01081,0.01809,0.0093,0.01317,0.01091,0.02294,1
10353,0.0009,0.01964,0.01049,0,0.00465,0.00885,0.0087,0.00795,0.02564,0.01694,0.02744,0.01334,0.01454,1
103603,0.00117,0.03235,0.00787,0,0.00816,0.01312,0.00816,0.01545,0.01749,0.01341,0.01457,0.03468,0.02448,1
10366,0.00157,0.03228,0.01225,0,0.00574,0.01519,0.0127,0.00926,0.01482,0.01668,0.02485,0.02657,0.01494,1
10370,0.00074,0.02069,0.00929,0,0.0137,0.0076,0.01281,0.01343,0.00995,0.01255,0.0137,0.01773,0.01321,1
103722,0.00038,0.03209,0.01019,0,0.00793,0.01133,0.00151,0.00113,0.10155,0.00831,0.02114,0.01359,0.00227,1
10373,0.00166,0.01942,0.00777,0,0.00999,0.00721,0.01332,0.00499,0.01998,0.01498,0.00999,0.0394,0.01221,1
103782,0.00068,0.01568,0.00682,0,0.0075,0.01159,0.01431,0.00886,0.01227,0.01091,0.01772,0.03681,0.01568,1
103881,0.00101,0.01757,0.00586,0,0.00949,0.00444,0.01433,0.00909,0.00262,0.00747,0.01736,0.03291,0.01433,1
103898,0.00087,0.02618,0.0192,0,0.0096,0.01222,0.00175,0.00175,0.02007,0.01222,0.01483,0.03665,0.02007,1
103901,3e-05,0.02441,0.00974,0,0.00854,0.01398,0.00441,0.01233,0.01388,0.01739,0.01894,0.02362,0.01539,1
103908,0.0,0.01831,0.0119,0,0.00915,0.0151,0.01693,0.01556,0.01236,0.01648,0.02563,0.027,0.01465,1
103915,0.0,0.02001,0.01114,0,0.01137,0.01455,0.01046,0.01683,0.01205,0.01319,0.02319,0.02865,0.01842,1
103919,0.00092,0.01355,0.01093,0,0.00944,0.02299,0.01554,0.02441,0.03292,0.00887,0.01731,0.02065,0.03122,1
10392,0.00137,0.01456,0.01178,0,0.01675,0.01146,0.01743,0.01232,0.02169,0.01006,0.01014,0.01238,0.01997,1
103920,0.00081,0.02453,0.01284,0,0.00617,0.00682,0.01105,0.00747,0.01511,0.01576,0.02486,0.02307,0.01186,1
103922,0.0,0.02019,0.0099,0,0.00773,0.01409,0.0084,0.0113,0.01347,0.0117,0.02084,0.02777,0.01569,1
103926,0.0,0.01646,0.00678,0,0.01807,0.01291,0.01355,0.01355,0.0029,0.01129,0.01452,0.03775,0.0213,1
103930,0.00109,0.02006,0.01288,0,0.01426,0.01478,0.01192,0.01034,0.0166,0.0158,0.0193,0.01521,0.01234,1
103931,0.0,0.01162,0.00575,0,0.01441,0.01424,0.0097,0.00817,0.00276,0.01219,0.0135,0.04086,0.02183,1
10397,0.00139,0.02395,0.01454,0,0.00302,0.01385,0.003,0.00305,0.02098,0.01646,0.02287,0.01522,0.00864,1
10398,0.00047,0.02222,0.01573,0,0.00634,0.01075,0.00826,0.01268,0.03114,0.02567,0.02478,0.02923,0.01546,1
10401,0.00155,0.03504,0.00919,0,0.00549,0.01228,0.00606,0.0078,0.02814,0.0115,0.01977,0.02843,0.01336,1
10406,0.00854,0.01643,0.02102,0,0.01577,0.03088,0.01117,0.00986,0.01708,0.00788,0.00986,0.0138,0.02234,1
10408,0.00086,0.01844,0.01544,0,0.01544,0.03173,0.00943,0.01715,0.0223,0.00557,0.00901,0.00858,0.02273,1
104263,0.00081,0.01072,0.01496,0,0.01193,0.01153,0.00647,0.01537,0.01719,0.01355,0.01901,0.04125,0.00809,1
10449,0.00132,0.02474,0.01808,0,0.0038,0.00896,0.00229,0.00256,0.01887,0.02033,0.02929,0.03134,0.00302,1
10450,0.00061,0.01625,0.01923,0,0.0044,0.00745,0.00596,0.00549,0.01876,0.02174,0.02932,0.02499,0.00257,1
10454,0.00093,0.0258,0.01267,0,0.01013,0.00723,0.00953,0.01127,0.01272,0.01583,0.0292,0.02432,0.00706,1
10455,0.00065,0.02542,0.00869,0,0.01092,0.00728,0.01254,0.01067,0.00949,0.01325,0.03106,0.02152,0.008,1
10456,0.00043,0.02765,0.01174,0,0.00897,0.00822,0.01132,0.00651,0.01185,0.01153,0.02754,0.0221,0.01036,1
104580,0.00032,0.01472,0.00269,0,0.01472,0.00507,0.01789,0.01156,0.00317,0.00807,0.01377,0.02675,0.01488,1
104581,0.00017,0.02214,0.00341,0,0.01669,0.00971,0.00749,0.00954,0.01515,0.00494,0.01328,0.01771,0.01754,1
10462,0.0006,0.01755,0.00803,0,0.00982,0.0122,0.01577,0.01101,0.01101,0.0125,0.03392,0.01696,0.00803,1
10464,0.00071,0.01021,0.00914,0,0.01048,0.00919,0.01602,0.01109,0.00822,0.01225,0.02013,0.02259,0.01325,1
104664,0.0009,0.02423,0.0148,0,0.00965,0.01144,0.01077,0.01368,0.02804,0.01323,0.02221,0.01638,0.01189,1
10468,0.00067,0.01767,0.00774,0,0.01313,0.00795,0.01445,0.00917,0.00789,0.01173,0.02258,0.01073,0.00682,1
10484,0.00107,0.02027,0.01645,0,0.0192,0.01478,0.01431,0.0093,0.01049,0.01013,0.01788,0.02575,0.02039,1
10490,0.0,0.0105,0.00225,0,0.00675,0.00825,0.0165,0.00825,0.0105,0.0045,0.009,0.02101,0.01275,1
10493,0.00112,0.01749,0.01752,0,0.00312,0.01537,0.00845,0.00424,0.03023,0.01387,0.02593,0.04261,0.0202,1
10506,0.00187,0.02041,0.00651,0,0.0123,0.01188,0.0177,0.0085,0.01122,0.00685,0.01619,0.02572,0.0172,1
10507,0.00055,0.02404,0.00332,0,0.0081,0.00992,0.02062,0.00629,0.01046,0.00701,0.01942,0.02824,0.02329,1
10510,0.00065,0.01477,0.01108,0,0.00758,0.01231,0.00985,0.0105,0.02851,0.02093,0.02119,0.01737,0.01302,1
10515,0.00094,0.01215,0.00992,0,0.00618,0.01147,0.00989,0.01373,0.02347,0.01888,0.02757,0.01739,0.01525,1
10519,0.00095,0.01899,0.0115,0,0.01019,0.01279,0.00965,0.00977,0.0221,0.01574,0.02209,0.01924,0.01904,1
10521,0.00102,0.0151,0.01129,0,0.00987,0.01245,0.01136,0.01218,0.0198,0.01381,0.02014,0.01592,0.02211,1
10522,0.00102,0.01592,0.011,0,0.00982,0.01261,0.01128,0.01144,0.01949,0.01438,0.01945,0.01623,0.02114,1
10524,0.00322,0.01145,0.01514,0,0.01003,0.01466,0.00993,0.0106,0.02091,0.01807,0.01864,0.01731,0.0175,1
10527,0.00179,0.02289,0.0145,0,0.00938,0.01271,0.00777,0.00605,0.02868,0.01826,0.02245,0.02264,0.01517,1
10528,0.0,0.00669,0.00446,0,0.00967,0.01041,0.01338,0.01413,0.0171,0.00892,0.03271,0.01487,0.01933,1
10529,0.0,0.00468,0.00324,0,0.00719,0.01043,0.01906,0.01079,0.02302,0.01763,0.01727,0.01187,0.02662,1
10530,0.0012,0.00761,0.00774,0,0.01348,0.01401,0.01508,0.01121,0.01908,0.01775,0.01882,0.01094,0.02042,1
10532,0.00077,0.01838,0.01044,0,0.00622,0.01254,0.00804,0.00718,0.03141,0.0202,0.02308,0.01714,0.01714,1
10533,0.00137,0.01224,0.01231,0,0.00677,0.01107,0.01094,0.01306,0.02666,0.01921,0.02085,0.01846,0.01436,1
10534,0.00065,0.01043,0.01076,0,0.0075,0.01043,0.00685,0.01565,0.02185,0.01532,0.0238,0.01206,0.01663,1
10547,0.00084,0.02605,0.01218,0,0.00917,0.01447,0.00965,0.01013,0.02858,0.01978,0.02677,0.0152,0.01845,1
10548,0.00095,0.01577,0.01178,0,0.00968,0.01279,0.01137,0.01252,0.0195,0.01469,0.02004,0.01659,0.02132,1
105502,0.00568,0.01705,0.0,0,0.01188,0.00568,0.00568,0.02273,0.0,0.0,0.00568,0.01136,0.01705,1
105503,0.00162,0.01786,0.0,0,0.01705,0.00568,0.00487,0.01786,0.00081,0.0,0.00487,0.01461,0.01705,1
105506,0.00379,0.01894,0.00126,0,0.00316,0.00568,0.02588,0.01768,0.0,0.00884,0.01705,0.02652,0.01136,1
10553,0.00126,0.02177,0.0097,0,0.00905,0.01468,0.01044,0.00917,0.02764,0.01806,0.02662,0.0172,0.01728,1
10559,0.00152,0.00495,0.01448,0,0.01714,0.01867,0.01486,0.02057,0.01371,0.01295,0.01676,0.01562,0.02248,1
10560,0.00057,0.00744,0.01346,0,0.01403,0.01403,0.01374,0.01718,0.01489,0.01517,0.0146,0.01861,0.02262,1
10561,0.00128,0.00495,0.00917,0,0.01468,0.01541,0.01101,0.01046,0.01321,0.01981,0.01247,0.01614,0.02055,1
10563,0.00123,0.00572,0.01103,0,0.01308,0.01471,0.01267,0.01226,0.01144,0.01471,0.01063,0.01635,0.02452,1
10564,0.0022,0.00771,0.01727,0,0.01212,0.0191,0.01065,0.00808,0.01506,0.01874,0.0147,0.01947,0.018,1
10565,0.00293,0.00769,0.01685,0,0.01209,0.01612,0.01209,0.01245,0.01209,0.01355,0.00952,0.02344,0.02088,1
10566,0.00013,0.00575,0.02127,0,0.01889,0.01057,0.01632,0.00964,0.00793,0.00509,0.01103,0.02728,0.01348,1
10567,0.00114,0.00833,0.01364,0,0.01439,0.01591,0.01174,0.01288,0.01667,0.02045,0.01667,0.02614,0.01894,1
10568,0.00081,0.00611,0.01303,0,0.01099,0.01181,0.01792,0.01262,0.00855,0.01221,0.01018,0.01914,0.02402,1
10569,0.00276,0.00788,0.01182,0,0.01458,0.01891,0.01458,0.00867,0.01064,0.01182,0.01221,0.01852,0.01812,1
10570,0.00085,0.00382,0.01273,0,0.01231,0.01613,0.0157,0.00849,0.01868,0.02122,0.01401,0.0225,0.01655,1
10573,0.00041,0.00122,0.01182,0,0.01752,0.01487,0.02669,0.01426,0.00672,0.00937,0.00672,0.01793,0.01609,1
10574,0.00257,0.00374,0.00514,0,0.01051,0.01636,0.01706,0.01636,0.01986,0.00748,0.01005,0.01542,0.03294,1
10576,0.00041,0.00123,0.01144,0,0.01879,0.0143,0.03023,0.01389,0.00735,0.00572,0.00368,0.0143,0.01552,1
10580,0.0,0.00455,0.01113,0,0.01366,0.01113,0.0258,0.0091,0.01922,0.00658,0.00658,0.02327,0.01467,1
10583,0.0,0.01064,0.01064,0,0.00988,0.0076,0.01444,0.01368,0.01216,0.00988,0.00608,0.0114,0.01292,1
10585,0.00019,0.00094,0.00788,0,0.01482,0.01426,0.02383,0.00994,0.00713,0.00807,0.00901,0.00732,0.02101,1
10586,0.00087,0.00087,0.00829,0,0.01528,0.01309,0.02182,0.00829,0.00524,0.0096,0.0048,0.01004,0.01833,1
10587,0.00061,0.00575,0.01574,0,0.02209,0.01392,0.02633,0.0112,0.00575,0.00908,0.00938,0.00878,0.01665,1
10588,0.00043,0.00171,0.00642,0,0.01411,0.01583,0.02352,0.01497,0.00941,0.00642,0.00599,0.01411,0.01754,1
10589,0.00142,0.00886,0.00815,0,0.0124,0.01204,0.01452,0.01629,0.01275,0.017,0.01382,0.01771,0.01523,1
10591,0.00061,0.00153,0.01529,0,0.01743,0.0162,0.02079,0.01376,0.01009,0.00856,0.00764,0.01865,0.01712,1
10592,0.00042,0.00294,0.01342,0,0.013,0.0151,0.02391,0.00881,0.01049,0.00587,0.00587,0.02097,0.01468,1
10593,0.00055,0.00304,0.00718,0,0.01656,0.01463,0.02567,0.00994,0.01132,0.00856,0.00414,0.01628,0.00966,1
10594,0.00102,0.00374,0.00849,0,0.01529,0.01189,0.01529,0.01223,0.00815,0.01189,0.01087,0.01698,0.02208,1
10596,0.00066,0.00132,0.00661,0,0.01718,0.01586,0.03106,0.00727,0.00793,0.00793,0.00727,0.01454,0.00859,1
10598,0.00012,0.00647,0.01559,0,0.02298,0.01028,0.02033,0.0201,0.00566,0.00751,0.00878,0.00993,0.01513,1
10599,0.00107,0.00964,0.00928,0,0.01428,0.0132,0.01713,0.00857,0.00892,0.00964,0.01106,0.0182,0.02106,1
10600,0.0008,0.00279,0.00958,0,0.01876,0.01557,0.02515,0.01717,0.01078,0.01078,0.00439,0.01916,0.01996,1
10604,0.00077,0.00731,0.01,0,0.01693,0.0127,0.01539,0.01154,0.00885,0.01154,0.00693,0.01578,0.01962,1
10606,0.00212,0.00466,0.00636,0,0.01483,0.01525,0.02119,0.00593,0.00551,0.00805,0.00805,0.01398,0.01949,1
10607,0.00165,0.00494,0.00617,0,0.01523,0.01317,0.02346,0.00905,0.007,0.01193,0.007,0.01276,0.02181,1
10608,0.00042,0.00465,0.00592,0,0.01395,0.0131,0.01944,0.00888,0.00803,0.01183,0.00719,0.01183,0.0186,1
10609,0.00038,0.00383,0.00689,0,0.01417,0.01302,0.01379,0.01111,0.00804,0.01111,0.00613,0.01264,0.01838,1
10611,0.00085,0.0,0.00812,0,0.01496,0.01581,0.02692,0.00812,0.00983,0.00897,0.00983,0.01368,0.01154,1
106118,0.00077,0.01763,0.01737,0,0.00945,0.01226,0.01048,0.0138,0.00511,0.01559,0.01405,0.04088,0.01124,1
10614,0.00034,0.00203,0.01185,0,0.01049,0.01693,0.01794,0.01422,0.01185,0.0132,0.00982,0.01963,0.01557,1
10615,0.00127,0.00212,0.01188,0,0.01825,0.01401,0.02037,0.01019,0.01019,0.00849,0.00806,0.0191,0.01231,1
10616,0.00162,0.00567,0.00607,0,0.01296,0.01377,0.02267,0.00972,0.00729,0.01215,0.0081,0.01377,0.01741,1
10617,0.00117,0.00546,0.00937,0,0.01405,0.01366,0.01717,0.00976,0.00742,0.01015,0.00937,0.01366,0.02459,1
10618,0.0005,0.001,0.00951,0,0.02127,0.01376,0.02327,0.01627,0.01026,0.00801,0.00826,0.01652,0.00951,1
10620,0.00137,0.00273,0.00456,0,0.02142,0.01367,0.02233,0.01185,0.0082,0.0082,0.00501,0.0155,0.01595,1
10621,0.00154,0.00347,0.00733,0,0.01158,0.01274,0.02123,0.01158,0.00618,0.00965,0.00888,0.01351,0.02547,1
10623,0.00115,0.00576,0.01915,0,0.01123,0.01426,0.00907,0.01642,0.01498,0.01728,0.01008,0.02304,0.01786,1
10625,0.0,0.01022,0.0091,0,0.01208,0.01059,0.02137,0.02248,0.01598,0.01096,0.01226,0.02415,0.01579,1
10626,0.0,0.00705,0.01102,0,0.01366,0.01763,0.01498,0.01543,0.0119,0.00705,0.02071,0.02336,0.02556,1
10627,0.00219,0.00874,0.00601,0,0.01585,0.01421,0.01366,0.01038,0.01475,0.01202,0.01257,0.02077,0.02623,1
10629,0.0,0.0006,0.00686,0,0.01656,0.01641,0.02503,0.01675,0.01092,0.00639,0.00992,0.01804,0.02038,1
10632,9e-05,0.00278,0.01069,0,0.0143,0.01607,0.01436,0.01093,0.0076,0.00598,0.01095,0.01938,0.0183,1
10633,0.00051,0.00049,0.01,0,0.01304,0.01848,0.01446,0.01083,0.01016,0.00749,0.01365,0.02165,0.02195,1
106330,0.00112,0.01349,0.0045,0,0.01855,0.01068,0.01349,0.01124,0.00056,0.00618,0.0118,0.01349,0.02305,1
106331,0.00057,0.01472,0.01023,0,0.01326,0.012,0.01426,0.01772,0.01469,0.01103,0.01486,0.01852,0.017,1
106332,0.00031,0.01141,0.0075,0,0.00954,0.01485,0.00532,0.00891,0.04362,0.01782,0.01329,0.0111,0.02971,1
106333,0.00095,0.02092,0.00721,0,0.00697,0.01584,0.00461,0.00496,0.01867,0.00969,0.02009,0.02151,0.01052,1
10634,0.0004,0.00679,0.00799,0,0.01598,0.01778,0.01778,0.03016,0.02117,0.01817,0.01438,0.02057,0.02796,1
10636,0.00043,0.00649,0.00908,0,0.016,0.01816,0.01729,0.03156,0.01902,0.01816,0.0147,0.02075,0.02724,1
10640,0.00219,0.02447,0.00383,0,0.0137,0.00804,0.01059,0.02082,0.00584,0.01717,0.01607,0.04127,0.02666,1
10650,0.00036,0.02168,0.00924,0,0.01102,0.01137,0.01457,0.0167,0.00213,0.01564,0.01386,0.03518,0.01812,1
10651,0.00076,0.01586,0.00453,0,0.00982,0.01057,0.01435,0.0219,0.00264,0.0102,0.01548,0.02832,0.02455,1
106518,0.00068,0.01504,0.01162,0,0.01162,0.02119,0.00752,0.00068,0.01777,0.01504,0.01777,0.02802,0.01094,1
10653,0.00045,0.03282,0.00629,0,0.01124,0.01169,0.01439,0.00989,0.00405,0.00629,0.01304,0.03732,0.02113,1
10655,0.00052,0.01273,0.00464,0,0.01608,0.01319,0.01979,0.0203,0.00319,0.00459,0.01211,0.03298,0.03292,1
106607,0.0,0.02161,0.01333,0,0.00828,0.01425,0.00828,0.01379,0.01701,0.01103,0.02437,0.03356,0.01839,1
106608,0.0,0.02069,0.01149,0,0.01103,0.01425,0.00782,0.01839,0.01471,0.00966,0.02161,0.0308,0.02069,1
106820,0.00122,0.01769,0.01403,0,0.00427,0.036,0.00915,0.02502,0.02868,0.00427,0.00488,0.00793,0.03234,1
106821,0.00068,0.0199,0.01454,0,0.01248,0.03317,0.00872,0.01972,0.02335,0.00625,0.00946,0.00745,0.02418,1
106962,0.0,0.01447,0.00701,0,0.01797,0.02284,0.00624,0.01005,0.00716,0.00503,0.0166,0.02757,0.0131,1
106967,0.0,0.01059,0.00829,0,0.01105,0.01565,0.01335,0.00921,0.00875,0.00737,0.01888,0.02901,0.02855,1
107324,0.00097,0.00779,0.00487,0,0.01266,0.01071,0.02142,0.01996,0.00097,0.00876,0.01168,0.02045,0.02434,1
107462,0.00118,0.01834,0.01075,0,0.01053,0.01282,0.0095,0.00972,0.02328,0.01613,0.02004,0.02033,0.01731,1
107804,0.00155,0.01083,0.0067,0,0.01031,0.01031,0.01392,0.00619,0.00258,0.00825,0.01857,0.03301,0.00928,1
10784,0.0,0.02045,0.0079,0,0.00697,0.0237,0.01487,0.01255,0.00186,0.0158,0.02742,0.01626,0.03113,1
10787,3e-05,0.00196,0.00061,0,0.01772,0.02578,0.02481,0.00987,0.00023,0.00209,0.00288,0.00783,0.0296,1
10793,0.0,0.00287,0.00072,0,0.01868,0.02658,0.02083,0.01006,0.0,0.00216,0.00431,0.01149,0.0273,1
10794,0.00011,0.0066,0.01158,0,0.01158,0.0314,0.01342,0.01743,0.00141,0.01721,0.02003,0.01397,0.02988,1
10798,0.0,0.00171,0.00625,0,0.01838,0.01883,0.02257,0.01234,0.0172,0.01792,0.0148,0.01413,0.03559,1
10799,0.0,0.01111,0.00726,0,0.01026,0.02778,0.01368,0.01111,0.0188,0.01838,0.01838,0.0265,0.02094,1
10804,0.00065,0.02012,0.01243,0,0.00736,0.02241,0.00474,0.00147,0.02421,0.01505,0.02715,0.03827,0.02453,1
10809,0.0,0.0103,0.00322,0,0.01351,0.01931,0.0296,0.00837,0.0045,0.00644,0.00708,0.01287,0.04118,1
108098,0.00093,0.01805,0.01166,0,0.01086,0.01312,0.0103,0.00977,0.0223,0.01545,0.02002,0.02023,0.01851,1
10816,0.0,0.02079,0.01073,0,0.01945,0.0161,0.01207,0.00872,0.01811,0.00872,0.01744,0.03555,0.01677,1
10817,0.00029,0.01926,0.00506,0,0.01974,0.01128,0.0106,0.00584,0.01721,0.00866,0.02286,0.03793,0.01011,1
10824,0.00105,0.02337,0.00539,0,0.01268,0.02557,0.01496,0.00812,0.01583,0.01164,0.02326,0.04554,0.02573,1
10829,0.00068,0.01929,0.00588,0,0.01778,0.0156,0.01218,0.00834,0.00971,0.00876,0.01423,0.03611,0.01395,1
