feature_18,feature_76,feature_13,feature_68,feature_49,feature_45,feature_47,feature_77,feature_3,feature_33,feature_53,feature_21,feature_46,feature_9,feature_31,feature_66,target
2.308745322,0.128185603,0.402698444,0.18885166,0.354604528,0.84272515,1.443090669,1.67565235,0.4301753,0.369509553,0.18885166,0.416289147,0.192608387,0.232223754,0.453909789,1.044979186,0
2.043036519,0.1311187,0.385986773,0.200403601,0.354548277,0.847614612,1.439459795,1.743609645,0.411770344,0.342279306,0.184570009,0.400364229,0.194815275,0.226972108,0.430940286,1.009883059,0
2.017983547,0.127431075,0.381002487,0.193684548,0.386086771,0.856165847,1.52436418,1.926426587,0.418308781,0.343696193,0.190532165,0.399846949,0.200737337,0.230246795,0.423187297,0.996847617,0
2.132754174,0.146901093,0.37708701,0.192111873,0.290679519,0.760233521,1.612382051,1.700563438,0.358626307,0.344509298,0.185323468,0.385638659,0.184169439,0.207004208,0.410614904,0.990224696,0
2.013696791,0.148379919,0.363502081,0.205604228,0.309345015,0.768112919,1.645807259,1.839730218,0.358802202,0.329125822,0.188221388,0.367530549,0.185718259,0.192157916,0.398549752,0.997774997,0
1.968275306,0.14218043,0.363892996,0.190469457,0.332367081,0.77969457,1.634615385,1.816388575,0.36738809,0.327597795,0.183823529,0.36940449,0.186792986,0.195187525,0.391047184,0.920178167,0
2.01257071,0.157498978,0.37115022,0.181610135,0.266857376,0.70224765,1.773845525,1.528483858,0.342708988,0.345380264,0.181610135,0.395977373,0.177033102,0.195788812,0.405562539,1.028769922,0
1.85703317,0.159409283,0.358875921,0.191561181,0.288607595,0.681940928,1.795780591,1.652658228,0.327702703,0.328163391,0.182869198,0.360718673,0.174599156,0.18980344,0.375460688,0.943544304,0
1.822070766,0.158235497,0.337006961,0.186377762,0.294112569,0.710808011,1.805248619,1.834599448,0.317720418,0.309164733,0.178522099,0.326566125,0.167472376,0.180684455,0.351218097,0.94690953,0
1.783249243,0.192333633,0.368314834,0.189523381,0.24977518,0.637927158,1.926596223,1.516861511,0.362462159,0.373965691,0.171088129,0.335418769,0.175584532,0.188092836,0.380423814,0.970323741,0
1.756132171,0.193054604,0.3794851,0.190769934,0.275416952,0.662097327,1.902901531,1.613548092,0.327792418,0.34684776,0.183801691,0.346036894,0.173292209,0.185282789,0.418812082,0.940370117,0
1.690812721,0.195528744,0.361405575,0.194819021,0.287319612,0.675065058,2.001656021,1.722971374,0.355123675,0.333922261,0.17411876,0.323125245,0.180151408,0.190223793,0.368080094,0.911521173,0
1.737701486,0.214088398,0.340590329,0.203314917,0.244889503,0.589502762,1.904005525,1.426933702,0.312539251,0.322378062,0.175276243,0.384969646,0.167403315,0.171027842,0.366338706,0.997237569,0
1.686083457,0.22528477,0.36030502,0.190127971,0.254957109,0.611165799,1.972577697,1.500070314,0.31095107,0.339970345,0.174377725,0.343359458,0.170862045,0.179834781,0.367295065,0.980874701,0
1.655781475,0.224212034,0.325734237,0.193839542,0.269770774,0.626361032,1.959455587,1.613896848,0.344629287,0.326966523,0.173352436,0.351817622,0.161031519,0.176422263,0.356541384,0.942406877,0
1.711026056,0.163994829,0.383630208,0.178474467,0.294117647,0.908532644,0.94272786,1.297220427,0.377741793,0.387163256,0.192243051,0.537612248,0.191338074,0.19446489,0.421610481,1.177892696,0
1.525172891,0.15820598,0.346196404,0.176079734,0.380730897,0.893488372,0.963388704,1.363189369,0.351590595,0.362102351,0.191827243,0.555325035,0.193156146,0.174688797,0.389626556,1.115681063,0
1.521097628,0.15854319,0.342112521,0.174248578,0.400961278,0.885729759,0.975494178,1.404481451,0.350110314,0.35314396,0.186704576,0.528130171,0.196723531,0.171400993,0.393546608,1.044476036,0
1.654792988,0.195738683,0.3769116,0.195655778,0.283037639,0.890399602,0.9568065,1.170038136,0.356396867,0.398358821,0.188028519,0.520701231,0.189935334,0.190973517,0.416822081,1.09053225,0
1.333063209,0.16997737,0.323824959,0.188165284,0.353029922,0.85944179,0.97837566,1.272986338,0.312479741,0.327066451,0.182549661,0.487682334,0.193864722,0.16191248,0.364343598,1.020870003,0
1.403411069,0.159939582,0.337278107,0.179575396,0.362339515,0.857766216,1.000503482,1.279936226,0.319700661,0.36407936,0.182092809,0.504524887,0.186120668,0.174556213,0.382004873,1.047243434,0
1.671169073,0.239907346,0.388448999,0.194352526,0.243437017,0.804103243,0.954555482,1.178248401,0.387750349,0.4035864,0.193470108,0.492081975,0.19159497,0.182114578,0.424778761,1.178138098,0
1.516289593,0.197067118,0.369457014,0.192329385,0.323068246,0.768527919,0.963338973,1.219966159,0.349773756,0.381447964,0.181725888,0.473076923,0.190073322,0.176696833,0.411085973,1.118668923,0
1.347339527,0.183547103,0.327702703,0.181888545,0.312030075,0.717713401,0.937748784,1.246130031,0.308488176,0.357896959,0.166850951,0.39379223,0.18697479,0.168074324,0.378378378,0.979544449,0
1.393823449,0.233123804,0.356654824,0.218912271,0.251571468,0.787100301,0.98305548,1.077480186,0.320852692,0.399836021,0.169171905,0.469527193,0.190762503,0.178190763,0.376878929,1.154413774,0
1.531773633,0.206741266,0.416376857,0.177128821,0.29121179,0.746724891,0.929039301,1.144377729,0.384445147,0.447992412,0.165938865,0.498261144,0.193504367,0.202023396,0.46095479,1.068367904,0
1.216848259,0.243806306,0.327664098,0.181869369,0.313907658,0.740990991,0.958333333,1.238457207,0.304278501,0.386925326,0.154279279,0.445920808,0.192989865,0.178049429,0.395163433,1.027167793,0
1.260097919,0.267758702,0.309669523,0.225862341,0.170105528,0.704835407,0.902031816,0.981414396,0.29130967,0.382802938,0.155930068,0.430232558,0.17908332,0.1624847,0.365361077,1.103323358,0
1.213021492,0.217620723,0.32806574,0.182283339,0.232651103,0.684521906,0.853693636,0.994403582,0.316055626,0.408343869,0.152542373,0.40676359,0.180364567,0.162136536,0.389380531,1.030060761,0
1.125960061,0.208285574,0.301382488,0.174553791,0.239233666,0.62682168,0.890453578,1.030948092,0.287250384,0.361290323,0.146880629,0.421198157,0.183887342,0.169892473,0.366513057,1.009988538,0
1.603736388,,0.348291401,0.211461573,0.676686905,1.223801767,0.605804827,1.649982724,0.446958318,0.358148704,0.202872797,0.534547503,0.172713362,0.232256853,0.442921517,1.180117479,0
1.854728447,,0.36270414,0.222265284,0.637341343,1.216306559,0.61268288,1.63898847,0.464963919,0.395366502,0.205745567,0.550037979,0.167280302,0.259020129,0.46268515,1.066127313,0
