feature_18,feature_76,feature_13,feature_68,feature_49,feature_45,feature_47,feature_77,feature_3,feature_33,feature_53,feature_21,feature_46,feature_9,feature_31,feature_66,feature_73,feature_36,feature_75,feature_16,feature_62,feature_48,feature_54,feature_56,feature_57,feature_40,feature_8,feature_67,feature_61,feature_41,feature_28,target
2.308745322,0.128185603,0.402698444,0.18885166,0.354604528,0.84272515,1.443090669,1.67565235,0.4301753,0.369509553,0.18885166,0.416289147,0.192608387,0.232223754,0.453909789,1.044979186,0.427099198,0.825192043,0.131790029,0.605672641,0.247537821,0.29469997,0.106305209,0.176667682,0.125190375,0.394721292,2.373744337,0.831556503,0.430957458,0.339570613,0.319676975,0
2.043036519,0.1311187,0.385986773,0.200403601,0.354548277,0.847614612,1.439459795,1.743609645,0.411770344,0.342279306,0.184570009,0.400364229,0.194815275,0.226972108,0.430940286,1.009883059,0.441581289,0.761717627,0.13510297,0.587558708,0.257632205,0.294059816,0.106592156,0.178309014,0.13427507,0.368254577,2.292149909,0.849270413,0.457156163,0.321959168,0.304418672,0
2.017983547,0.127431075,0.381002487,0.193684548,0.386086771,0.856165847,1.52436418,1.926426587,0.418308781,0.343696193,0.190532165,0.399846949,0.200737337,0.230246795,0.423187297,0.996847617,0.435776875,0.757030802,0.133361829,0.602448823,0.255343022,0.301880744,0.108303056,0.176212866,0.132560376,0.363879855,2.283336522,0.846708698,0.510472323,0.3130859,0.3117467,0
2.132754174,0.146901093,0.37708701,0.192111873,0.290679519,0.760233521,1.612382051,1.700563438,0.358626307,0.344509298,0.185323468,0.385638659,0.184169439,0.207004208,0.410614904,0.990224696,0.391690992,0.746979775,0.147444165,0.520293199,0.251103116,0.29638178,0.103183762,0.163804222,0.123209558,0.366770734,2.152300801,0.833276763,0.430995859,0.328491923,0.279218135,0
2.013696791,0.148379919,0.363502081,0.205604228,0.309345015,0.768112919,1.645807259,1.839730218,0.358802202,0.329125822,0.188221388,0.367530549,0.185718259,0.192157916,0.398549752,0.997774997,0.434153803,0.691956493,0.140314282,0.507989795,0.25177305,0.29682937,0.104783757,0.167709637,0.136837714,0.35155096,2.134013697,0.878667779,0.481226533,0.312206258,0.273667249,0
1.968275306,0.14218043,0.363892996,0.190469457,0.332367081,0.77969457,1.634615385,1.816388575,0.36738809,0.327597795,0.183823529,0.36940449,0.186792986,0.195187525,0.391047184,0.920178167,0.439833145,0.674418605,0.140766403,0.521306627,0.244485294,0.28803733,0.106476244,0.174844457,0.130514706,0.347224089,2.14128243,0.843679299,0.478577489,0.303132141,0.284043554,0
2.01257071,0.157498978,0.37115022,0.181610135,0.266857376,0.70224765,1.773845525,1.528483858,0.342708988,0.345380264,0.181610135,0.395977373,0.177033102,0.195788812,0.405562539,1.028769922,0.406293421,0.757542426,0.156681651,0.485386549,0.238005721,0.292194524,0.097834083,0.15185942,0.115978749,0.360307982,2.012413576,0.798283613,0.415529219,0.329352608,0.276241358,0
1.85703317,0.159409283,0.358875921,0.191561181,0.288607595,0.681940928,1.795780591,1.652658228,0.327702703,0.328163391,0.182869198,0.360718673,0.174599156,0.18980344,0.375460688,0.943544304,0.382531646,0.695178133,0.155611814,0.478501229,0.241434599,0.288523207,0.099493671,0.158734177,0.119578059,0.338298526,2.007985258,0.843966245,0.451139241,0.298525799,0.265356265,0
1.822070766,0.158235497,0.337006961,0.186377762,0.294112569,0.710808011,1.805248619,1.834599448,0.317720418,0.309164733,0.178522099,0.326566125,0.167472376,0.180684455,0.351218097,0.94690953,0.435687155,0.636890951,0.152710635,0.458961717,0.236015193,0.294457873,0.105145028,0.160393646,0.123964088,0.312064965,1.861513921,0.83218232,0.455973757,0.279292343,0.252610209,0
1.783249243,0.192333633,0.368314834,0.189523381,0.24977518,0.637927158,1.926596223,1.516861511,0.362462159,0.373965691,0.171088129,0.335418769,0.175584532,0.188092836,0.380423814,0.970323741,0.414793165,0.742078708,0.188848921,0.44419778,0.244829137,0.301821043,0.09330036,0.150629496,0.117580935,0.358627649,1.717860747,0.803394784,0.410971223,0.336024218,0.301513623,0
1.756132171,0.193054604,0.3794851,0.190769934,0.275416952,0.662097327,1.902901531,1.613548092,0.327792418,0.34684776,0.183801691,0.346036894,0.173292209,0.185282789,0.418812082,0.940370117,0.385423806,0.693087371,0.184601325,0.449422258,0.250628284,0.298377884,0.094356865,0.149988577,0.125999543,0.341374417,1.724508413,0.842472013,0.429403701,0.323535374,0.262720454,0
1.690812721,0.195528744,0.361405575,0.194819021,0.287319612,0.675065058,2.001656021,1.722971374,0.355123675,0.333922261,0.17411876,0.323125245,0.180151408,0.190223793,0.368080094,0.911521173,0.442394133,0.666274048,0.191861841,0.443855516,0.249704282,0.306837,0.098414952,0.160752307,0.127986752,0.330977621,1.672555948,0.836172226,0.455050863,0.319199058,0.281311347,0
1.737701486,0.214088398,0.340590329,0.203314917,0.244889503,0.589502762,1.904005525,1.426933702,0.312539251,0.322378062,0.175276243,0.384969646,0.167403315,0.171027842,0.366338706,0.997237569,0.440331492,0.690391459,0.236878453,0.417416789,0.277624309,0.279696133,0.097651934,0.15,0.117403315,0.32593678,1.508687461,0.80980663,0.395441989,0.332426209,0.256018422,0
1.686083457,0.22528477,0.36030502,0.190127971,0.254957109,0.611165799,1.972577697,1.500070314,0.31095107,0.339970345,0.174377725,0.343359458,0.170862045,0.179834781,0.367295065,0.980874701,0.422162846,0.68904893,0.215581493,0.41897903,0.252003938,0.283785684,0.094642104,0.154408663,0.117283083,0.329379369,1.50900233,0.832794262,0.415412741,0.321965685,0.25672527,0
1.655781475,0.224212034,0.325734237,0.193839542,0.269770774,0.626361032,1.959455587,1.613896848,0.344629287,0.326966523,0.173352436,0.351817622,0.161031519,0.176422263,0.356541384,0.942406877,0.446561605,0.657013761,0.227936963,0.410556582,0.249283668,0.285816619,0.099140401,0.151862464,0.119054441,0.30971452,1.444239063,0.806160458,0.434527221,0.336414048,0.242349558,0
1.711026056,0.163994829,0.383630208,0.178474467,0.294117647,0.908532644,0.94272786,1.297220427,0.377741793,0.387163256,0.192243051,0.537612248,0.191338074,0.19446489,0.421610481,1.177892696,0.440142211,0.872368615,0.165287654,0.790961284,0.233484163,0.28539108,0.138655462,0.157918552,0.182546865,0.523332843,2.277491535,0.67498384,0.355074337,0.407478286,0.28764905,0
1.525172891,0.15820598,0.346196404,0.176079734,0.380730897,0.893488372,0.963388704,1.363189369,0.351590595,0.362102351,0.191827243,0.555325035,0.193156146,0.174688797,0.389626556,1.115681063,0.454352159,0.818118949,0.162857143,0.727524205,0.235149502,0.278737542,0.111362126,0.148637874,0.184186047,0.474965422,2.118810512,0.684252492,0.373621262,0.36473029,0.259197787,0
1.521097628,0.15854319,0.342112521,0.174248578,0.400961278,0.885729759,0.975494178,1.404481451,0.350110314,0.35314396,0.186704576,0.528130171,0.196723531,0.171400993,0.393546608,1.044476036,0.45450853,0.831081081,0.157730842,0.742553778,0.237544002,0.281004603,0.112036285,0.152382887,0.185824533,0.457253172,2.10728075,0.713850528,0.388302193,0.35452289,0.275096525,0
1.654792988,0.195738683,0.3769116,0.195655778,0.283037639,0.890399602,0.9568065,1.170038136,0.356396867,0.398358821,0.188028519,0.520701231,0.189935334,0.190973517,0.416822081,1.09053225,0.458547505,0.876725103,0.180152545,0.730511003,0.229646825,0.291245233,0.111507213,0.151052893,0.181976455,0.497762029,2.259045132,0.67924059,0.36345548,0.4000373,0.283289817,0
