feature_41,feature_42,feature_77,feature_45,feature_76,feature_69,feature_73,feature_37,feature_72,feature_68,feature_58,feature_63,feature_71,feature_39,feature_33,feature_11,feature_18,feature_61,feature_25,feature_44,feature_67,feature_16,feature_22,feature_49,target
0.339570613,0.482863896,1.67565235,0.84272515,0.128185603,0.122652046,0.427099198,0.576915501,0.108335872,0.18885166,0.115290892,1.603309981,0.106305209,0.58627142,0.369509553,0.687906244,2.308745322,0.430957458,3.685247193,0.182150472,0.831556503,0.605672641,0.369608036,0.354604528,1
0.321959168,0.454519314,1.743609645,0.847614612,0.1311187,0.11668219,0.441581289,0.545097287,0.10431543,0.200403601,0.118234503,1.671737556,0.106592156,0.545097287,0.342279306,0.69500623,2.043036519,0.457156163,3.48528707,0.182086309,0.849270413,0.587558708,0.356177514,0.354548277,1
0.3130859,0.447197245,1.926426587,0.856165847,0.127431075,0.118508228,0.435776875,0.543619667,0.106219278,0.193684548,0.117760205,1.663549904,0.108303056,0.552994069,0.343696193,0.677348383,2.017983547,0.510472323,3.571455902,0.18438769,0.846708698,0.602448823,0.36808877,0.386086771,1
0.328491923,0.442649654,1.700563438,0.760233521,0.146901093,0.13278121,0.391690992,0.54676259,0.111261965,0.192111873,0.117439413,1.484624262,0.103183762,0.547848514,0.344509298,0.583276775,2.132754174,0.430995859,2.970137098,0.161767701,0.833276763,0.520293199,0.362970001,0.290679519,1
0.312206258,0.419094938,1.839730218,0.768112919,0.148379919,0.129954109,0.434153803,0.536860481,0.110693923,0.205604228,0.116047838,1.534835211,0.104783757,0.512823956,0.329125822,0.550960118,2.013696791,0.481226533,2.896334094,0.16020025,0.878667779,0.507989795,0.355310863,0.309345015,1
0.303132141,0.412824304,1.816388575,0.77969457,0.14218043,0.131575226,0.439833145,0.539723081,0.109445701,0.190469457,0.115243213,1.507777149,0.106476244,0.51431644,0.327597795,0.566339562,1.968275306,0.478577489,2.956983466,0.162330317,0.843679299,0.521306627,0.357171663,0.332367081,1
0.329352608,0.420490258,1.528483858,0.70224765,0.157498978,0.141806293,0.406293421,0.558610937,0.111483449,0.181610135,0.114752758,1.338782182,0.097834083,0.544626021,0.345380264,0.509899434,2.01257071,0.415529219,2.599622879,0.145565999,0.798283613,0.485386549,0.359522313,0.266857376,1
0.298525799,0.39296683,1.652658228,0.681940928,0.159409283,0.141012658,0.382531646,0.525030713,0.113080169,0.191561181,0.116202532,1.386075949,0.099493671,0.50982801,0.328163391,0.501074939,1.85703317,0.451139241,2.550214988,0.147848101,0.843966245,0.478501229,0.360718673,0.288607595,1
0.279292343,0.357598608,1.834599448,0.710808011,0.158235497,0.139589088,0.435687155,0.484918794,0.105490331,0.186377762,0.116799033,1.404178177,0.105145028,0.479988399,0.309164733,0.476653132,1.822070766,0.455973757,2.434599768,0.150120856,0.83218232,0.458961717,0.328886311,0.294112569,1
0.336024218,0.426034309,1.516861511,0.637927158,0.192333633,0.183678058,0.414793165,0.553178607,0.116906475,0.189523381,0.126573741,1.288669065,0.09330036,0.530978809,0.373965691,0.455499495,1.783249243,0.410971223,2.169929364,0.14006295,0.803394784,0.44419778,0.392129162,0.24977518,1
