feature_18,feature_77,feature_40,feature_13,feature_45,feature_23,feature_28,feature_33,target
2.308745322,1.67565235,0.394721292,0.402698444,0.84272515,0.178944258,0.319676975,0.369509553,1
2.043036519,1.743609645,0.368254577,0.385986773,0.847614612,0.17367967,0.304418672,0.342279306,1
2.017983547,1.926426587,0.363879855,0.381002487,0.856165847,0.173904725,0.3117467,0.343696193,1
2.132754174,1.700563438,0.366770734,0.37708701,0.760233521,0.179448894,0.279218135,0.344509298,1
2.013696791,1.839730218,0.35155096,0.363502081,0.768112919,0.174835504,0.273667249,0.329125822,1
1.968275306,1.816388575,0.347224089,0.363892996,0.77969457,0.179728458,0.284043554,0.327597795,1
2.01257071,1.528483858,0.360307982,0.37115022,0.70224765,0.186046512,0.276241358,0.345380264,1
1.85703317,1.652658228,0.338298526,0.358875921,0.681940928,0.171836609,0.265356265,0.328163391,1
1.822070766,1.834599448,0.312064965,0.337006961,0.710808011,0.170388631,0.252610209,0.309164733,1
1.783249243,1.516861511,0.358627649,0.368314834,0.637927158,0.198385469,0.301513623,0.373965691,1
1.756132171,1.613548092,0.341374417,0.3794851,0.662097327,0.196229475,0.262720454,0.34684776,1
1.690812721,1.722971374,0.330977621,0.361405575,0.675065058,0.197879859,0.281311347,0.333922261,1
1.737701486,1.426933702,0.32593678,0.340590329,0.589502762,0.199288256,0.256018422,0.322378062,1
1.686083457,1.500070314,0.329379369,0.36030502,0.611165799,0.214573184,0.25672527,0.339970345,1
1.655781475,1.613896848,0.30971452,0.325734237,0.626361032,0.18402136,0.242349558,0.326966523,1
1.711026056,1.297220427,0.523332843,0.383630208,0.908532644,0.175621964,0.28764905,0.387163256,1
1.525172891,1.363189369,0.474965422,0.346196404,0.893488372,0.163070539,0.259197787,0.362102351,1
1.521097628,1.404481451,0.457253172,0.342112521,0.885729759,0.165609487,0.275096525,0.35314396,1
1.654792988,1.170038136,0.497762029,0.3769116,0.890399602,0.18537859,0.283289817,0.398358821,1
1.333063209,1.272986338,0.4273906,0.323824959,0.85944179,0.158184765,0.239222042,0.327066451,1
1.403411069,1.279936226,0.432822833,0.337278107,0.857766216,0.173512008,0.255482074,0.36407936,1
1.671169073,1.178248401,0.505822077,0.388448999,0.804103243,0.197019096,0.266884024,0.4035864,1
1.516289593,1.219966159,0.484162896,0.369457014,0.768527919,0.184162896,0.264253394,0.381447964,1
1.347339527,1.246130031,0.421030405,0.327702703,0.717713401,0.166173986,0.244721284,0.357896959,1
1.393823449,1.077480186,0.491117792,0.356654824,0.787100301,0.192948893,0.258540585,0.399836021,1
