feature_18,feature_77,feature_40,feature_13,feature_45,feature_23,feature_28,feature_33,feature_72,feature_55,feature_14,feature_22,feature_63,feature_30,feature_64,feature_65,feature_71,feature_16,feature_38,feature_3,feature_19,feature_42,feature_57,feature_31,feature_60,feature_76,feature_69,feature_20,feature_73,feature_8,feature_51,target
2.308745322,1.67565235,0.394721292,0.402698444,0.84272515,0.178944258,0.319676975,0.369509553,0.108335872,0.144989339,0.296927319,0.369608036,1.603309981,0.165845972,2.014874607,0.108234339,0.106305209,0.605672641,0.448099271,0.4301753,0.44159937,0.482863896,0.125190375,0.453909789,0.14275561,0.128185603,0.122652046,0.859365767,0.427099198,2.373744337,0.170118794,1
2.043036519,1.743609645,0.368254577,0.385986773,0.847614612,0.17367967,0.304418672,0.342279306,0.10431543,0.150470868,0.281318892,0.356177514,1.671737556,0.157193521,2.004605195,0.109748525,0.106592156,0.587558708,0.420876066,0.411770344,0.445221892,0.454519314,0.13427507,0.430940286,0.142036635,0.1311187,0.11668219,0.834659254,0.441581289,2.292149909,0.171427093,1
2.017983547,1.926426587,0.363879855,0.381002487,0.856165847,0.173904725,0.3117467,0.343696193,0.106219278,0.145330199,0.28171035,0.36808877,1.663549904,0.160895351,2.016830519,0.108196196,0.108303056,0.602448823,0.404629807,0.418308781,0.467667878,0.447197245,0.132560376,0.423187297,0.142444967,0.127431075,0.118508228,0.814329443,0.435776875,2.283336522,0.185456294,1
2.132754174,1.700563438,0.366770734,0.37708701,0.760233521,0.179448894,0.279218135,0.344509298,0.111261965,0.14065576,0.313831953,0.362970001,1.484624262,0.162209855,1.957233046,0.119883239,0.103183762,0.520293199,0.386860323,0.358626307,0.477670694,0.442649654,0.123209558,0.410614904,0.145068223,0.146901093,0.13278121,0.727704629,0.391690992,2.152300801,0.159799063,1
2.013696791,1.839730218,0.35155096,0.363502081,0.768112919,0.174835504,0.273667249,0.329125822,0.110693923,0.141983034,0.277964281,0.355310863,1.534835211,0.154827447,2.009108608,0.119524406,0.104783757,0.507989795,0.360816436,0.358802202,0.483416141,0.419094938,0.136837714,0.398549752,0.140870533,0.148379919,0.129954109,0.687793742,0.434153803,2.134013697,0.164650257,1
1.968275306,1.816388575,0.347224089,0.363892996,0.77969457,0.179728458,0.284043554,0.327597795,0.109445701,0.13956448,0.26683694,0.357171663,1.507777149,0.156875924,2.003535068,0.120687217,0.106476244,0.521306627,0.354214276,0.36738809,0.495899987,0.412824304,0.130514706,0.391047184,0.13645362,0.14218043,0.131575226,0.672402205,0.439833145,2.14128243,0.175692873,1
2.01257071,1.528483858,0.360307982,0.37115022,0.70224765,0.186046512,0.276241358,0.345380264,0.111483449,0.142787086,0.277655563,0.359522313,1.338782182,0.162162162,1.861708214,0.117041275,0.097834083,0.485386549,0.368950346,0.342708988,0.497485858,0.420490258,0.115978749,0.405562539,0.144830405,0.157498978,0.141806293,0.646134507,0.406293421,2.012413576,0.147854516,1
1.85703317,1.652658228,0.338298526,0.358875921,0.681940928,0.171836609,0.265356265,0.328163391,0.113080169,0.140168776,0.256449631,0.360718673,1.386075949,0.159551597,1.969451477,0.116877637,0.099493671,0.478501229,0.340141278,0.327702703,0.48955774,0.39296683,0.119578059,0.375460688,0.13443038,0.159409283,0.141012658,0.628071253,0.382531646,2.007985258,0.152405063,1
1.822070766,1.834599448,0.312064965,0.337006961,0.710808011,0.170388631,0.252610209,0.309164733,0.105490331,0.137776243,0.242604408,0.328886311,1.404178177,0.154147332,1.958736188,0.11386395,0.105145028,0.458961717,0.32337587,0.317720418,0.464472158,0.357598608,0.123964088,0.351218097,0.132596685,0.158235497,0.139589088,0.600638051,0.435687155,1.861513921,0.158839779,1
1.783249243,1.516861511,0.358627649,0.368314834,0.637927158,0.198385469,0.301513623,0.373965691,0.116906475,0.12443795,0.283753784,0.392129162,1.288669065,0.174369324,1.818907374,0.13995054,0.09330036,0.44419778,0.357214934,0.362462159,0.493037336,0.426034309,0.117580935,0.380423814,0.148156475,0.192333633,0.183678058,0.570534813,0.414793165,1.717860747,0.145458633,1
