feature_18,feature_77,feature_40,feature_13,feature_45,feature_23,feature_28,feature_33,feature_72,feature_55,feature_14,feature_22,feature_63,feature_30,feature_64,feature_65,feature_71,feature_16,feature_38,feature_3,feature_19,feature_42,feature_57,feature_31,feature_60,feature_76,feature_69,feature_20,feature_73,feature_8,feature_51,feature_36,feature_43,feature_46,feature_32,feature_37,feature_12,feature_54,feature_35,feature_11,feature_21,feature_68,feature_4,feature_59,feature_6,feature_9,feature_61,feature_34,feature_62,feature_56,feature_49,feature_53,feature_47,feature_75,feature_67,feature_5,feature_66,feature_17,feature_27,feature_74,feature_41,feature_25,target
2.308745322,1.67565235,0.394721292,0.402698444,0.84272515,0.178944258,0.319676975,0.369509553,0.108335872,0.144989339,0.296927319,0.369608036,1.603309981,0.165845972,2.014874607,0.108234339,0.106305209,0.605672641,0.448099271,0.4301753,0.44159937,0.482863896,0.125190375,0.453909789,0.14275561,0.128185603,0.122652046,0.859365767,0.427099198,2.373744337,0.170118794,0.825192043,0.294169785,0.192608387,3.037620642,0.576915501,0.306381721,0.106305209,0.335335828,0.687906244,0.416289147,0.18885166,2.81632854,0.228043456,0.218830018,0.232223754,0.430957458,0.458538507,0.247537821,0.176667682,0.354604528,0.18885166,1.443090669,0.131790029,0.831556503,5.990151664,1.044979186,1.877683671,0.264526295,0.114783227,0.339570613,3.685247193,1
2.043036519,1.743609645,0.368254577,0.385986773,0.847614612,0.17367967,0.304418672,0.342279306,0.10431543,0.150470868,0.281318892,0.356177514,1.671737556,0.157193521,2.004605195,0.109748525,0.106592156,0.587558708,0.420876066,0.411770344,0.445221892,0.454519314,0.13427507,0.430940286,0.142036635,0.1311187,0.11668219,0.834659254,0.441581289,2.292149909,0.171427093,0.761717627,0.276430557,0.194815275,2.921882488,0.545097287,0.299051088,0.106592156,0.324834659,0.69500623,0.400364229,0.200403601,2.789514042,0.238073062,0.211636155,0.226972108,0.457156163,0.423559858,0.257632205,0.178309014,0.354548277,0.184570009,1.439459795,0.13510297,0.849270413,5.685037861,1.009883059,1.725773986,0.25572702,0.111973507,0.321959168,3.48528707,1
2.017983547,1.926426587,0.363879855,0.381002487,0.856165847,0.173904725,0.3117467,0.343696193,0.106219278,0.145330199,0.28171035,0.36808877,1.663549904,0.160895351,2.016830519,0.108196196,0.108303056,0.602448823,0.404629807,0.418308781,0.467667878,0.447197245,0.132560376,0.423187297,0.142444967,0.127431075,0.118508228,0.814329443,0.435776875,2.283336522,0.185456294,0.757030802,0.256648173,0.200737337,2.944136216,0.543619667,0.291276067,0.108303056,0.324851731,0.677348383,0.399846949,0.193684548,2.687201071,0.244817269,0.209010905,0.230246795,0.510472323,0.425004783,0.255343022,0.176212866,0.386086771,0.190532165,1.52436418,0.133361829,0.846708698,5.622058542,0.996847617,1.731872967,0.259613545,0.111882881,0.3130859,3.571455902,1
2.132754174,1.700563438,0.366770734,0.37708701,0.760233521,0.179448894,0.279218135,0.344509298,0.111261965,0.14065576,0.313831953,0.362970001,1.484624262,0.162209855,1.957233046,0.119883239,0.103183762,0.520293199,0.386860323,0.358626307,0.477670694,0.442649654,0.123209558,0.410614904,0.145068223,0.146901093,0.13278121,0.727704629,0.391690992,2.152300801,0.159799063,0.746979775,0.398534003,0.184169439,2.500203611,0.54676259,0.296728655,0.103183762,0.330120809,0.583276775,0.385638659,0.192111873,2.466947197,0.234946711,0.222885842,0.207004208,0.430995859,0.429211348,0.251103116,0.163804222,0.290679519,0.185323468,1.612382051,0.147444165,0.833276763,4.97950319,0.990224696,1.566852179,0.259535768,0.130405268,0.328491923,2.970137098,1
2.013696791,1.839730218,0.35155096,0.363502081,0.768112919,0.174835504,0.273667249,0.329125822,0.110693923,0.141983034,0.277964281,0.355310863,1.534835211,0.154827447,2.009108608,0.119524406,0.104783757,0.507989795,0.360816436,0.358802202,0.483416141,0.419094938,0.136837714,0.398549752,0.140870533,0.148379919,0.129954109,0.687793742,0.434153803,2.134013697,0.164650257,0.691956493,0.393447026,0.185718259,2.456559688,0.536860481,0.286961192,0.104783757,0.313414798,0.550960118,0.367530549,0.205604228,2.36578488,0.255527743,0.213105949,0.192157916,0.481226533,0.408755203,0.25177305,0.167709637,0.309345015,0.188221388,1.645807259,0.140314282,0.878667779,4.718678663,0.997774997,1.480059084,0.250704982,0.118481435,0.312206258,2.896334094,1
1.968275306,1.816388575,0.347224089,0.363892996,0.77969457,0.179728458,0.284043554,0.327597795,0.109445701,0.13956448,0.26683694,0.357171663,1.507777149,0.156875924,2.003535068,0.120687217,0.106476244,0.521306627,0.354214276,0.36738809,0.495899987,0.412824304,0.130514706,0.391047184,0.13645362,0.14218043,0.131575226,0.672402205,0.439833145,2.14128243,0.175692873,0.674418605,0.382578304,0.186792986,2.467132679,0.539723081,0.289823901,0.106476244,0.296276381,0.566339562,0.36940449,0.190469457,2.38593897,0.236849548,0.218577766,0.195187525,0.478577489,0.404489851,0.244485294,0.174844457,0.332367081,0.183823529,1.634615385,0.140766403,0.843679299,4.807635435,0.920178167,1.538244388,0.250840167,0.11665724,0.303132141,2.956983466,1
2.01257071,1.528483858,0.360307982,0.37115022,0.70224765,0.186046512,0.276241358,0.345380264,0.111483449,0.142787086,0.277655563,0.359522313,1.338782182,0.162162162,1.861708214,0.117041275,0.097834083,0.485386549,0.368950346,0.342708988,0.497485858,0.420490258,0.115978749,0.405562539,0.144830405,0.157498978,0.141806293,0.646134507,0.406293421,2.012413576,0.147854516,0.757542426,0.465116279,0.177033102,2.288812068,0.558610937,0.299654305,0.097834083,0.333909491,0.509899434,0.395977373,0.181610135,2.334223759,0.22451982,0.225172847,0.195788812,0.415529219,0.427561282,0.238005721,0.15185942,0.266857376,0.181610135,1.773845525,0.156681651,0.798283613,4.473130107,1.028769922,1.494814582,0.261470773,0.13722926,0.329352608,2.599622879,1
1.85703317,1.652658228,0.338298526,0.358875921,0.681940928,0.171836609,0.265356265,0.328163391,0.113080169,0.140168776,0.256449631,0.360718673,1.386075949,0.159551597,1.969451477,0.116877637,0.099493671,0.478501229,0.340141278,0.327702703,0.48955774,0.39296683,0.119578059,0.375460688,0.13443038,0.159409283,0.141012658,0.628071253,0.382531646,2.007985258,0.152405063,0.695178133,0.44041769,0.174599156,2.281173219,0.525030713,0.283015971,0.099493671,0.322788698,0.501074939,0.360718673,0.191561181,2.260135135,0.246835443,0.214834152,0.18980344,0.451139241,0.407248157,0.241434599,0.158734177,0.288607595,0.182869198,1.795780591,0.155611814,0.843966245,4.268734644,0.943544304,1.409398034,0.250614251,0.123375527,0.298525799,2.550214988,1
1.822070766,1.834599448,0.312064965,0.337006961,0.710808011,0.170388631,0.252610209,0.309164733,0.105490331,0.137776243,0.242604408,0.328886311,1.404178177,0.154147332,1.958736188,0.11386395,0.105145028,0.458961717,0.32337587,0.317720418,0.464472158,0.357598608,0.123964088,0.351218097,0.132596685,0.158235497,0.139589088,0.600638051,0.435687155,1.861513921,0.158839779,0.636890951,0.421693735,0.167472376,2.139211137,0.484918794,0.266966357,0.105145028,0.294518561,0.476653132,0.326566125,0.186377762,2.125725058,0.233857044,0.207221578,0.180684455,0.455973757,0.378480278,0.236015193,0.160393646,0.294112569,0.178522099,1.805248619,0.152710635,0.83218232,4.063950116,0.94690953,1.341792343,0.230423434,0.125172652,0.279292343,2.434599768,1
1.783249243,1.516861511,0.358627649,0.368314834,0.637927158,0.198385469,0.301513623,0.373965691,0.116906475,0.12443795,0.283753784,0.392129162,1.288669065,0.174369324,1.818907374,0.13995054,0.09330036,0.44419778,0.357214934,0.362462159,0.493037336,0.426034309,0.117580935,0.380423814,0.148156475,0.192333633,0.183678058,0.570534813,0.414793165,1.717860747,0.145458633,0.742078708,0.505751766,0.175584532,1.922906155,0.553178607,0.324117053,0.09330036,0.394349142,0.455499495,0.335418769,0.189523381,2.096266398,0.224145683,0.22764884,0.188092836,0.410971223,0.433501514,0.244829137,0.150629496,0.24977518,0.171088129,1.926596223,0.188848921,0.803394784,3.598587286,0.970323741,1.355398587,0.257719475,0.146133094,0.336024218,2.169929364,1
1.756132171,1.613548092,0.341374417,0.3794851,0.662097327,0.196229475,0.262720454,0.34684776,0.131254284,0.128169979,0.271234543,0.362659639,1.326707791,0.169673627,1.861549006,0.126799178,0.094356865,0.449422258,0.343807014,0.327792418,0.509831745,0.406649098,0.125999543,0.418812082,0.134110121,0.193054604,0.168037469,0.547536996,0.385423806,1.724508413,0.144391135,0.693087371,0.513277924,0.173292209,1.957834989,0.54672613,0.290289884,0.094356865,0.352118386,0.461179809,0.346036894,0.190769934,2.072572471,0.235549463,0.229474965,0.185282789,0.429403701,0.428137036,0.250628284,0.149988577,0.275416952,0.183801691,1.902901531,0.184601325,0.842472013,3.66105818,0.940370117,1.297993108,0.266166633,0.151816313,0.323535374,2.171903507,1
1.690812721,1.722971374,0.330977621,0.361405575,0.675065058,0.197879859,0.281311347,0.333922261,0.125266146,0.135557133,0.26442874,0.344719278,1.30305181,0.160581076,1.913532056,0.124201561,0.098414952,0.443855516,0.326266196,0.355123675,0.492343934,0.384766392,0.127986752,0.368080094,0.141116631,0.195528744,0.166311805,0.549862583,0.442394133,1.672555948,0.159451147,0.666274048,0.501570475,0.180151408,1.887711033,0.529053789,0.27718885,0.098414952,0.33451119,0.447192776,0.323125245,0.194819021,2.006870828,0.236337828,0.216332941,0.190223793,0.455050863,0.408912446,0.249704282,0.160752307,0.287319612,0.17411876,2.001656021,0.191861841,0.836172226,3.466627405,0.911521173,1.250098155,0.243423636,0.149988171,0.319199058,2.108755399,1
1.737701486,1.426933702,0.32593678,0.340590329,0.589502762,0.199288256,0.256018422,0.322378062,0.126933702,0.123756906,0.256018422,0.339543647,1.251933702,0.16474775,1.760635359,0.160773481,0.097651934,0.417416789,0.353150513,0.312539251,0.461168097,0.466610844,0.117403315,0.366338706,0.14198895,0.214088398,0.200276243,0.494871258,0.440331492,1.508687461,0.137845304,0.690391459,0.464098807,0.167403315,1.749214988,0.528155746,0.272137325,0.097651934,0.37366548,0.471844254,0.384969646,0.203314917,1.946200544,0.223480663,0.230898053,0.171027842,0.395441989,0.426418254,0.277624309,0.15,0.244889503,0.175276243,1.904005525,0.236878453,0.80980663,3.349591794,0.997237569,1.226711325,0.273812016,0.168370166,0.332426209,1.925685577,1
1.686083457,1.500070314,0.329379369,0.36030502,0.611165799,0.214573184,0.25672527,0.339970345,0.125017578,0.142314724,0.262868036,0.347172209,1.288707636,0.164371955,1.792434257,0.131345802,0.094642104,0.41897903,0.337216691,0.31095107,0.485066723,0.403728024,0.117283083,0.367295065,0.136127127,0.22528477,0.196034313,0.524465156,0.422162846,1.50900233,0.136408381,0.68904893,0.462825673,0.170862045,1.770599449,0.524041517,0.284261809,0.094642104,0.370684177,0.463249312,0.343359458,0.190127971,1.958907011,0.24483195,0.225799619,0.179834781,0.415412741,0.427028172,0.252003938,0.154408663,0.254957109,0.174377725,1.972577697,0.215581493,0.832794262,3.349290405,0.980874701,1.197203982,0.239779708,0.178737168,0.321965685,1.956576996,1
1.655781475,1.613896848,0.30971452,0.325734237,0.626361032,0.18402136,0.242349558,0.326966523,0.125787966,0.130372493,0.279523516,0.359416718,1.251289398,0.158348737,1.764756447,0.125501433,0.099140401,0.410556582,0.323475046,0.344629287,0.465393305,0.369069624,0.119054441,0.356541384,0.136962751,0.224212034,0.183954155,0.510166359,0.446561605,1.444239063,0.14269341,0.657013761,0.458410351,0.161031519,1.710002054,0.519203122,0.266173752,0.099140401,0.358595194,0.426987061,0.351817622,0.193839542,1.861162456,0.237249284,0.22181146,0.176422263,0.434527221,0.387348532,0.249283668,0.151862464,0.269770774,0.173352436,1.959455587,0.227936963,0.806160458,3.287122612,0.942406877,1.158143356,0.230642842,0.160601719,0.336414048,1.885192031,1
1.711026056,1.297220427,0.523332843,0.383630208,0.908532644,0.175621964,0.28764905,0.387163256,,0.129411765,0.29942588,0.386132784,1.127407886,0.168555866,1.68332256,0.137879767,0.138655462,0.790961284,0.540850876,0.377741793,0.387163256,0.54659208,0.182546865,0.421610481,0.132579186,0.163994829,0.13852618,0.856469895,0.440142211,2.277491535,0.115901745,0.872368615,0.225084646,0.191338074,2.620197262,0.796702488,0.355365818,0.138655462,0.373767113,1.081554541,0.537612248,0.178474467,2.735757397,0.233548804,0.219049021,0.19446489,0.355074337,0.517297218,0.233484163,0.157918552,0.294117647,0.192243051,0.94272786,0.165287654,0.67498384,6.067569557,1.177892696,1.897836008,0.272044752,0.129605688,0.407478286,4.112615928,1
1.525172891,1.363189369,0.474965422,0.346196404,0.893488372,0.163070539,0.259197787,0.362102351,,0.134219269,0.250207469,0.357399723,1.137009967,0.158644537,1.693820598,0.128837209,0.111362126,0.727524205,0.478838174,0.351590595,0.367496542,0.482710927,0.184186047,0.389626556,0.129568106,0.15820598,0.132093023,0.810511757,0.454352159,2.118810512,0.106644518,0.818118949,0.216459198,0.193156146,2.422959889,0.66417704,0.331950207,0.111362126,0.361410788,1.07593361,0.555325035,0.176079734,2.546887967,0.233820598,0.199170124,0.174688797,0.373621262,0.480359613,0.235149502,0.148637874,0.380730897,0.191827243,0.963388704,0.162857143,0.684252492,5.595573997,1.115681063,1.753803596,0.246473029,0.117009967,0.36473029,3.69253112,1
1.521097628,1.404481451,0.457253172,0.342112521,0.885729759,0.165609487,0.275096525,0.35314396,,0.139859193,0.243243243,0.362520684,1.14798267,0.15471594,1.791835906,0.13633902,0.112036285,0.742553778,0.457391065,0.350110314,0.388306674,0.464423607,0.185824533,0.393546608,0.129637151,0.15854319,0.131126455,0.812327634,0.45450853,2.10728075,0.098361766,0.831081081,0.193188086,0.196723531,2.415471594,0.611141754,0.326668505,0.112036285,0.348731384,1.065637066,0.528130171,0.174248578,2.467733039,0.230232873,0.20532267,0.171400993,0.388302193,0.491174848,0.237544002,0.152382887,0.400961278,0.186704576,0.975494178,0.157730842,0.713850528,5.548400441,1.044476036,1.757170436,0.24310535,0.111088546,0.35452289,3.684914506,1
1.654792988,1.170038136,0.497762029,0.3769116,0.890399602,0.18537859,0.283289817,0.398358821,,0.13753938,0.264826557,0.403767251,1.148731554,0.171391272,1.6362129,0.149975129,0.111507213,0.730511003,0.503543454,0.356396867,0.406564715,0.538791496,0.181976455,0.416822081,0.118719947,0.195738683,0.157685293,0.784222305,0.458547505,2.259045132,0.117476372,0.876725103,0.232935472,0.189935334,2.328422231,0.774337934,0.358261843,0.111507213,0.404513241,0.977620291,0.520701231,0.195655778,2.563222678,0.22641353,0.228086535,0.190973517,0.36345548,0.520887728,0.229646825,0.151052893,0.283037639,0.188028519,0.9568065,0.180152545,0.67924059,4.975195822,1.09053225,1.711115256,0.274897426,0.156690433,0.4000373,3.514546811,1
1.333063209,1.272986338,0.4273906,0.323824959,0.85944179,0.158184765,0.239222042,0.327066451,,0.12672869,0.230145867,0.338897893,1.102087,0.150567261,1.65702791,0.144162266,0.100578325,0.613614263,0.409562399,0.312479741,0.388006483,0.435008104,0.178610343,0.364343598,0.126812505,0.16997737,0.169139217,0.672447326,0.42502724,1.975688817,0.100159249,0.764829822,0.204862237,0.193864722,2.00713128,0.605024311,0.306320908,0.100578325,0.349918963,0.838573744,0.487682334,0.188165284,2.164181524,0.236191434,0.195786062,0.16191248,0.364428799,0.44165316,0.22864806,0.160841505,0.353029922,0.182549661,0.97837566,0.17299472,0.685692733,4.313938412,1.020870003,1.469692058,0.229659643,0.126896321,0.337439222,2.944894652,1
1.403411069,1.279936226,0.432822833,0.337278107,0.857766216,0.173512008,0.255482074,0.36407936,,0.133506755,0.248868778,0.378698225,1.102290845,0.156978768,1.652261475,0.132835445,0.110682219,0.667942917,0.416637661,0.319700661,0.403237034,0.449356074,0.195435093,0.382004873,0.123269279,0.159939582,0.14349249,0.717020536,0.439456239,2.127044901,0.089955526,0.831534981,0.213713888,0.186120668,2.112077967,0.617298991,0.324399582,0.110682219,0.37086669,0.871388792,0.504524887,0.179575396,2.285938044,0.224888814,0.206926558,0.174556213,0.386842326,0.482944657,0.227993623,0.147184694,0.362339515,0.182092809,1.000503482,0.17135185,0.702525803,4.571179951,1.047243434,1.563696485,0.234075879,0.117059663,0.342151062,3.127567003,1
1.671169073,1.178248401,0.505822077,0.388448999,0.804103243,0.197019096,0.266884024,0.4035864,,0.135120229,0.321145785,0.397997205,1.116589455,0.187936656,1.562761968,0.153540702,0.104897419,0.692594318,0.505356311,0.387750349,0.421052632,0.55193293,0.167218178,0.424778761,0.107875579,0.239907346,0.167879991,0.772706102,0.407346128,2.091057289,0.113059784,0.909874243,0.281089893,0.19159497,2.078947368,0.828598044,0.343269679,0.104897419,0.435491383,0.886353051,0.492081975,0.194352526,2.437587331,0.200419148,0.258500233,0.182114578,0.367196117,0.556823475,0.237480697,0.143613501,0.243437017,0.193470108,0.954555482,0.215089345,0.679020516,4.449231486,1.178138098,1.655798789,0.274336283,0.14802559,0.433628319,3.235211924,1
1.516289593,1.219966159,0.484162896,0.369457014,0.768527919,0.184162896,0.264253394,0.381447964,,0.147772138,0.27918552,0.37760181,1.062380147,0.181900452,1.611957135,0.150592217,0.112351946,0.654751131,0.446832579,0.349773756,0.417647059,0.554298643,0.159052453,0.411085973,0.110434292,0.197067118,0.167399887,0.743438914,0.471517202,2.045475113,0.096559504,0.883936652,0.25520362,0.190073322,2.043438914,0.720135747,0.34638009,0.112351946,0.4260181,0.850452489,0.473076923,0.192329385,2.308371041,0.215454033,0.221493213,0.176696833,0.349125776,0.530769231,0.236999436,0.150592217,0.323068246,0.181725888,0.963338973,0.234179357,0.691483362,4.229411765,1.118668923,1.580316742,0.263348416,0.147208122,0.413800905,3.119004525,1
1.347339527,1.246130031,0.421030405,0.327702703,0.717713401,0.166173986,0.244721284,0.357896959,,0.121295887,0.236908784,0.353885135,1.060039805,0.16722973,1.582706767,0.142525431,0.1036046,0.615498311,0.406461149,0.308488176,0.404349662,0.448902027,0.153803627,0.378378378,0.118863335,0.183547103,0.155462185,0.685388514,0.444272446,1.940878378,0.086023883,0.836993243,0.228673986,0.18697479,1.910261824,0.633657095,0.317356419,0.1036046,0.383445946,0.822212838,0.39379223,0.181888545,2.157728041,0.216718266,0.216427365,0.168074324,0.366430783,0.505489865,0.231203008,0.145400265,0.312030075,0.166850951,0.937748784,0.189849624,0.683989385,4.020692568,0.979544449,1.475717905,0.226351351,0.134453782,0.349873311,2.804265203,1
