feature_18,feature_45,feature_68,feature_23,feature_64,feature_63,feature_13,feature_48,target
2.308745322,0.84272515,0.18885166,0.178944258,2.014874607,1.603309981,0.402698444,0.29469997,1
2.043036519,0.847614612,0.200403601,0.17367967,2.004605195,1.671737556,0.385986773,0.294059816,1
2.017983547,0.856165847,0.193684548,0.173904725,2.016830519,1.663549904,0.381002487,0.301880744,1
2.132754174,0.760233521,0.192111873,0.179448894,1.957233046,1.484624262,0.37708701,0.29638178,1
2.013696791,0.768112919,0.205604228,0.174835504,2.009108608,1.534835211,0.363502081,0.29682937,1
1.968275306,0.77969457,0.190469457,0.179728458,2.003535068,1.507777149,0.363892996,0.28803733,1
2.01257071,0.70224765,0.181610135,0.186046512,1.861708214,1.338782182,0.37115022,0.292194524,1
1.85703317,0.681940928,0.191561181,0.171836609,1.969451477,1.386075949,0.358875921,0.288523207,1
1.822070766,0.710808011,0.186377762,0.170388631,1.958736188,1.404178177,0.337006961,0.294457873,1
1.783249243,0.637927158,0.189523381,0.198385469,1.818907374,1.288669065,0.368314834,0.301821043,1
1.756132171,0.662097327,0.190769934,0.196229475,1.861549006,1.326707791,0.3794851,0.298377884,1
1.690812721,0.675065058,0.194819021,0.197879859,1.913532056,1.30305181,0.361405575,0.306837,1
1.737701486,0.589502762,0.203314917,0.199288256,1.760635359,1.251933702,0.340590329,0.279696133,1
1.686083457,0.611165799,0.190127971,0.214573184,1.792434257,1.288707636,0.36030502,0.283785684,1
1.655781475,0.626361032,0.193839542,0.18402136,1.764756447,1.251289398,0.325734237,0.285816619,1
1.711026056,0.908532644,0.178474467,0.175621964,1.68332256,1.127407886,0.383630208,0.28539108,1
1.525172891,0.893488372,0.176079734,0.163070539,1.693820598,1.137009967,0.346196404,0.278737542,1
1.521097628,0.885729759,0.174248578,0.165609487,1.791835906,1.14798267,0.342112521,0.281004603,1
1.654792988,0.890399602,0.195655778,0.18537859,1.6362129,1.148731554,0.3769116,0.291245233,1
1.333063209,0.85944179,0.188165284,0.158184765,1.65702791,1.102087,0.323824959,0.280445897,1
1.403411069,0.857766216,0.179575396,0.173512008,1.652261475,1.102290845,0.337278107,0.261139549,1
1.671169073,0.804103243,0.194352526,0.197019096,1.562761968,1.116589455,0.388448999,0.283256122,1
1.516289593,0.768527919,0.192329385,0.184162896,1.611957135,1.062380147,0.369457014,0.282910321,1
1.347339527,0.717713401,0.181888545,0.166173986,1.582706767,1.060039805,0.327702703,0.280296329,1
1.393823449,0.787100301,0.218912271,0.192948893,1.574883848,1.045777535,0.356654824,0.269062585,1
1.531773633,0.746724891,0.177128821,0.241226684,1.554312227,1.031386463,0.416376857,0.260917031,1
1.216848259,0.740990991,0.181869369,0.193994154,1.584881757,1.045326577,0.327664098,0.251126126,1
1.260097919,0.704835407,0.225862341,0.188188494,1.402583084,0.945818239,0.309669523,0.239407781,1
1.213021492,0.684521906,0.182283339,0.191845765,1.403901503,0.96642149,0.32806574,0.225135913,1
1.125960061,0.62682168,0.174553791,0.19109063,1.42492222,1.020140822,0.301382488,0.244309808,1
1.603736388,1.223801767,0.211461573,0.175835524,2.221383089,1.788785231,0.348291401,0.355595044,1
1.854728447,1.216306559,0.222265284,0.180972275,2.215773665,1.763879469,0.36270414,0.350498983,1
1.956427426,1.200436235,0.227445703,0.191738187,2.098199369,1.672823464,0.368386306,0.351726378,1
1.661240974,1.15195295,0.207185323,0.175376331,2.207185323,1.65134565,0.335699425,0.341942083,1
1.861592565,1.149328434,0.213443994,0.182115046,2.212113533,1.629054739,0.354684753,0.355993411,1
1.983516484,1.118903742,0.222425685,0.203046953,2.085820668,1.54532137,0.365384615,0.354696942,1
1.594967046,1.084002189,0.220722364,0.174206111,2.257022984,1.566399124,0.325344518,0.351331631,1
1.849892009,1.026522422,0.206508463,0.185128047,2.188536032,1.496859187,0.344800987,0.34252312,1
1.995498991,1.070797977,0.217879489,0.220549433,2.128739179,1.475357847,0.361011951,0.346790092,1
1.685093404,0.983950328,0.223523899,0.193671369,2.216377694,1.499297095,0.344452917,0.343134958,1
1.856333774,0.995373583,0.21987046,0.198602983,2.188295165,1.495951885,0.3518973,0.360050891,1
1.997731998,0.99030837,0.225881057,0.207144207,2.081277533,1.406387665,0.371763372,0.338656388,1
1.623518687,0.934824634,0.223418945,0.198040109,2.098729633,1.456365645,0.347082954,0.325186413,1
1.767787692,0.951755562,0.220316269,0.215282544,2.066604128,1.394398285,0.360558225,0.320959528,1
1.915388087,0.934901961,0.212156863,0.21683213,2.01124183,1.357647059,0.365072202,0.324183007,1
1.586725178,1.327948595,0.219493154,0.160394953,2.495856354,1.926975739,0.324300603,0.349267355,1
1.745405405,1.365404116,0.229048613,0.161513514,2.57148822,1.891738741,0.324864865,0.354011333,1
1.940245478,1.31641568,0.229796528,0.170865633,2.384584435,1.782503736,0.336024978,0.353776296,1
1.601646435,1.193611219,0.216361511,0.16422492,2.579898714,1.745695364,0.32928701,0.337358785,1
1.730094655,1.231489296,0.228727077,0.173719376,2.520524822,1.718560577,0.33672049,0.351876007,1
1.868248773,1.229820713,0.234359634,0.180714675,2.463348211,1.679173916,0.343426077,0.362735457,1
1.485279358,1.060021971,0.216818136,0.177484108,2.450314591,1.584240487,0.316159251,0.341755718,1
1.662129566,1.008528785,0.226788137,0.185561682,2.407927893,1.524229502,0.339076499,0.348032564,1
1.805461902,1.075528118,0.237870165,0.195718139,2.390855599,1.507282724,0.343391773,0.358830906,1
1.335804133,0.826752938,0.248646507,0.188230009,2.397068533,1.434174039,0.311769991,0.315858973,1
1.355973997,0.843824072,0.262048986,0.196144362,2.384382407,1.445088228,0.317193454,0.327495391,1
1.342643501,0.880646443,0.260564313,0.193534198,2.325606041,1.408133528,0.329228062,0.34560869,1
1.25770235,0.826388889,0.260582011,0.21227154,2.406084656,1.667989418,0.307049608,0.322089947,1
1.343824385,0.825961074,0.255589513,0.207352552,2.368988258,1.588064983,0.316053954,0.325719801,1
1.342633638,0.821182503,0.24515302,0.201564537,2.292741548,1.597019708,0.322033898,0.331998077,1
1.171963947,1.282226133,0.239624578,0.144568311,2.396539082,2.06855844,0.283088235,0.337366183,1
1.253401573,1.27192406,0.232931727,0.152415429,2.373932092,2.050894487,0.296217701,0.323475721,1
1.302758018,1.231374531,0.238160554,0.157494072,2.327461738,1.978559053,0.298390116,0.367239388,1
