feature_18,feature_45,feature_68,feature_23,feature_64,feature_63,feature_13,feature_48,feature_17,feature_60,feature_24,feature_16,feature_22,feature_3,feature_32,feature_41,feature_36,feature_77,feature_54,feature_71,feature_14,feature_67,feature_37,feature_1,feature_47,feature_15,feature_46,feature_58,feature_62,feature_8,feature_11,feature_6,feature_61,feature_49,feature_75,feature_30,feature_65,feature_56,feature_72,feature_55,feature_25,feature_9,feature_28,feature_44,feature_53,feature_59,feature_19,feature_76,feature_34,feature_10,feature_38,feature_21,feature_4,feature_69,feature_73,feature_33,feature_57,feature_42,feature_43,feature_40,feature_5,feature_27,target
2.308745322,0.84272515,0.18885166,0.178944258,2.014874607,1.603309981,0.402698444,0.29469997,1.877683671,0.14275561,1.866358085,0.605672641,0.369608036,0.4301753,3.037620642,0.339570613,0.825192043,1.67565235,0.106305209,0.106305209,0.296927319,0.831556503,0.576915501,0.503643884,1.443090669,1.022060272,0.192608387,0.115290892,0.247537821,2.373744337,0.687906244,0.218830018,0.430957458,0.354604528,0.131790029,0.165845972,0.108234339,0.176667682,0.108335872,0.144989339,3.685247193,0.232223754,0.319676975,0.182150472,0.18885166,0.228043456,0.44159937,0.128185603,0.458538507,1.750935592,0.448099271,0.416289147,2.81632854,0.122652046,0.427099198,0.369509553,0.125190375,0.482863896,0.294169785,0.394721292,5.990151664,0.264526295,1
2.043036519,0.847614612,0.200403601,0.17367967,2.004605195,1.671737556,0.385986773,0.294059816,1.725773986,0.142036635,1.761046679,0.587558708,0.356177514,0.411770344,2.921882488,0.321959168,0.761717627,1.743609645,0.106592156,0.106592156,0.281318892,0.849270413,0.545097287,0.51461708,1.439459795,0.956675932,0.194815275,0.118234503,0.257632205,2.292149909,0.69500623,0.211636155,0.457156163,0.354548277,0.13510297,0.157193521,0.109748525,0.178309014,0.10431543,0.150470868,3.48528707,0.226972108,0.304418672,0.182086309,0.184570009,0.238073062,0.445221892,0.1311187,0.423559858,1.596376881,0.420876066,0.400364229,2.789514042,0.11668219,0.441581289,0.342279306,0.13427507,0.454519314,0.276430557,0.368254577,5.685037861,0.25572702,1
2.017983547,0.856165847,0.193684548,0.173904725,2.016830519,1.663549904,0.381002487,0.301880744,1.731872967,0.142444967,1.765544289,0.602448823,0.36808877,0.418308781,2.944136216,0.3130859,0.757030802,1.926426587,0.108303056,0.108303056,0.28171035,0.846708698,0.543619667,0.509183088,1.52436418,1.003634972,0.200737337,0.117760205,0.255343022,2.283336522,0.677348383,0.209010905,0.510472323,0.386086771,0.133361829,0.160895351,0.108196196,0.176212866,0.106219278,0.145330199,3.571455902,0.230246795,0.3117467,0.18438769,0.190532165,0.244817269,0.467667878,0.127431075,0.425004783,1.561316243,0.404629807,0.399846949,2.687201071,0.118508228,0.435776875,0.343696193,0.132560376,0.447197245,0.256648173,0.363879855,5.622058542,0.259613545,1
2.132754174,0.760233521,0.192111873,0.179448894,1.957233046,1.484624262,0.37708701,0.29638178,1.566852179,0.145068223,1.286276639,0.520293199,0.362970001,0.358626307,2.500203611,0.328491923,0.746979775,1.700563438,0.103183762,0.103183762,0.313831953,0.833276763,0.54676259,0.442106692,1.612382051,0.875390254,0.184169439,0.117439413,0.251103116,2.152300801,0.583276775,0.222885842,0.430995859,0.290679519,0.147444165,0.162209855,0.119883239,0.163804222,0.111261965,0.14065576,2.970137098,0.207004208,0.279218135,0.161767701,0.185323468,0.234946711,0.477670694,0.146901093,0.429211348,1.595086195,0.386860323,0.385638659,2.466947197,0.13278121,0.391690992,0.344509298,0.123209558,0.442649654,0.398534003,0.366770734,4.97950319,0.259535768,1
2.013696791,0.768112919,0.205604228,0.174835504,2.009108608,1.534835211,0.363502081,0.29682937,1.480059084,0.140870533,1.324694508,0.507989795,0.355310863,0.358802202,2.456559688,0.312206258,0.691956493,1.839730218,0.104783757,0.104783757,0.277964281,0.878667779,0.536860481,0.434940244,1.645807259,0.864912045,0.185718259,0.116047838,0.25177305,2.134013697,0.550960118,0.213105949,0.481226533,0.309345015,0.140314282,0.154827447,0.119524406,0.167709637,0.110693923,0.141983034,2.896334094,0.192157916,0.273667249,0.16020025,0.188221388,0.255527743,0.483416141,0.148379919,0.408755203,1.504229891,0.360816436,0.367530549,2.36578488,0.129954109,0.434153803,0.329125822,0.136837714,0.419094938,0.393447026,0.35155096,4.718678663,0.250704982,1
1.968275306,0.77969457,0.190469457,0.179728458,2.003535068,1.507777149,0.363892996,0.28803733,1.538244388,0.13645362,1.227449926,0.521306627,0.357171663,0.36738809,2.467132679,0.303132141,0.674418605,1.816388575,0.106476244,0.106476244,0.26683694,0.843679299,0.539723081,0.447506385,1.634615385,0.85912085,0.186792986,0.115243213,0.244485294,2.14128243,0.566339562,0.218577766,0.478577489,0.332367081,0.140766403,0.156875924,0.120687217,0.174844457,0.109445701,0.13956448,2.956983466,0.195187525,0.284043554,0.162330317,0.183823529,0.236849548,0.495899987,0.14218043,0.404489851,1.442398172,0.354214276,0.36940449,2.38593897,0.131575226,0.439833145,0.327597795,0.130514706,0.412824304,0.382578304,0.347224089,4.807635435,0.250840167,1
2.01257071,0.70224765,0.181610135,0.186046512,1.861708214,1.338782182,0.37115022,0.292194524,1.494814582,0.144830405,1.10779384,0.485386549,0.359522313,0.342708988,2.288812068,0.329352608,0.757542426,1.528483858,0.097834083,0.097834083,0.277655563,0.798283613,0.558610937,0.428032684,1.773845525,0.844280327,0.177033102,0.114752758,0.238005721,2.012413576,0.509899434,0.225172847,0.415529219,0.266857376,0.156681651,0.162162162,0.117041275,0.15185942,0.111483449,0.142787086,2.599622879,0.195788812,0.276241358,0.145565999,0.181610135,0.22451982,0.497485858,0.157498978,0.427561282,1.612036455,0.368950346,0.395977373,2.334223759,0.141806293,0.406293421,0.345380264,0.115978749,0.420490258,0.465116279,0.360307982,4.473130107,0.261470773,1
1.85703317,0.681940928,0.191561181,0.171836609,1.969451477,1.386075949,0.358875921,0.288523207,1.409398034,0.13443038,1.077395577,0.478501229,0.360718673,0.327702703,2.281173219,0.298525799,0.695178133,1.652658228,0.099493671,0.099493671,0.256449631,0.843966245,0.525030713,0.416922604,1.795780591,0.818642506,0.174599156,0.116202532,0.241434599,2.007985258,0.501074939,0.214834152,0.451139241,0.288607595,0.155611814,0.159551597,0.116877637,0.158734177,0.113080169,0.140168776,2.550214988,0.18980344,0.265356265,0.147848101,0.182869198,0.246835443,0.48955774,0.159409283,0.407248157,1.424600737,0.340141278,0.360718673,2.260135135,0.141012658,0.382531646,0.328163391,0.119578059,0.39296683,0.44041769,0.338298526,4.268734644,0.250614251,1
1.822070766,0.710808011,0.186377762,0.170388631,1.958736188,1.404178177,0.337006961,0.294457873,1.341792343,0.132596685,1.008845708,0.458961717,0.328886311,0.317720418,2.139211137,0.279292343,0.636890951,1.834599448,0.105145028,0.105145028,0.242604408,0.83218232,0.484918794,0.386310905,1.805248619,0.748259861,0.167472376,0.116799033,0.236015193,1.861513921,0.476653132,0.207221578,0.455973757,0.294112569,0.152710635,0.154147332,0.11386395,0.160393646,0.105490331,0.137776243,2.434599768,0.180684455,0.252610209,0.150120856,0.178522099,0.233857044,0.464472158,0.158235497,0.378480278,1.261890951,0.32337587,0.326566125,2.125725058,0.139589088,0.435687155,0.309164733,0.123964088,0.357598608,0.421693735,0.312064965,4.063950116,0.230423434,1
1.783249243,0.637927158,0.189523381,0.198385469,1.818907374,1.288669065,0.368314834,0.301821043,1.355398587,0.148156475,0.906155399,0.44419778,0.392129162,0.362462159,1.922906155,0.336024218,0.742078708,1.516861511,0.09330036,0.09330036,0.283753784,0.803394784,0.553178607,0.380827447,1.926596223,0.743491423,0.175584532,0.126573741,0.244829137,1.717860747,0.455499495,0.22764884,0.410971223,0.24977518,0.188848921,0.174369324,0.13995054,0.150629496,0.116906475,0.12443795,2.169929364,0.188092836,0.301513623,0.14006295,0.171088129,0.224145683,0.493037336,0.192333633,0.433501514,1.414328961,0.357214934,0.335418769,2.096266398,0.183678058,0.414793165,0.373965691,0.117580935,0.426034309,0.505751766,0.358627649,3.598587286,0.257719475,1
