feature_30,feature_36,feature_16,feature_77,feature_18,feature_23,feature_6,feature_41,target
0.165845972,0.825192043,0.605672641,1.67565235,2.308745322,0.178944258,0.218830018,0.339570613,1
0.157193521,0.761717627,0.587558708,1.743609645,2.043036519,0.17367967,0.211636155,0.321959168,1
0.160895351,0.757030802,0.602448823,1.926426587,2.017983547,0.173904725,0.209010905,0.3130859,1
0.162209855,0.746979775,0.520293199,1.700563438,2.132754174,0.179448894,0.222885842,0.328491923,1
0.154827447,0.691956493,0.507989795,1.839730218,2.013696791,0.174835504,0.213105949,0.312206258,1
0.156875924,0.674418605,0.521306627,1.816388575,1.968275306,0.179728458,0.218577766,0.303132141,1
0.162162162,0.757542426,0.485386549,1.528483858,2.01257071,0.186046512,0.225172847,0.329352608,1
0.159551597,0.695178133,0.478501229,1.652658228,1.85703317,0.171836609,0.214834152,0.298525799,1
0.154147332,0.636890951,0.458961717,1.834599448,1.822070766,0.170388631,0.207221578,0.279292343,1
0.174369324,0.742078708,0.44419778,1.516861511,1.783249243,0.198385469,0.22764884,0.336024218,1
0.169673627,0.693087371,0.449422258,1.613548092,1.756132171,0.196229475,0.229474965,0.323535374,1
0.160581076,0.666274048,0.443855516,1.722971374,1.690812721,0.197879859,0.216332941,0.319199058,1
0.16474775,0.690391459,0.417416789,1.426933702,1.737701486,0.199288256,0.230898053,0.332426209,1
0.164371955,0.68904893,0.41897903,1.500070314,1.686083457,0.214573184,0.225799619,0.321965685,1
0.158348737,0.657013761,0.410556582,1.613896848,1.655781475,0.18402136,0.22181146,0.336414048,1
0.168555866,0.872368615,0.790961284,1.297220427,1.711026056,0.175621964,0.219049021,0.407478286,1
0.158644537,0.818118949,0.727524205,1.363189369,1.525172891,0.163070539,0.199170124,0.36473029,1
0.15471594,0.831081081,0.742553778,1.404481451,1.521097628,0.165609487,0.20532267,0.35452289,1
0.171391272,0.876725103,0.730511003,1.170038136,1.654792988,0.18537859,0.228086535,0.4000373,1
0.150567261,0.764829822,0.613614263,1.272986338,1.333063209,0.158184765,0.195786062,0.337439222,1
0.156978768,0.831534981,0.667942917,1.279936226,1.403411069,0.173512008,0.206926558,0.342151062,1
0.187936656,0.909874243,0.692594318,1.178248401,1.671169073,0.197019096,0.258500233,0.433628319,1
0.181900452,0.883936652,0.654751131,1.219966159,1.516289593,0.184162896,0.221493213,0.413800905,1
0.16722973,0.836993243,0.615498311,1.246130031,1.347339527,0.166173986,0.216427365,0.349873311,1
0.179557256,0.891773709,0.614648811,1.077480186,1.393823449,0.192948893,0.237769882,0.441104127,1
0.21877964,1.035093266,0.699019918,1.144377729,1.531773633,0.241226684,0.288017705,0.5042681,1
0.183630082,0.854371512,0.588094605,1.238457207,1.216848259,0.193994154,0.251660909,0.410045177,1
0.177172583,0.82619339,0.551713586,0.981414396,1.260097919,0.188188494,0.215422277,0.485312118,1
0.187737042,0.882743363,0.555941846,0.994403582,1.213021492,0.191845765,0.250632111,0.455436157,1
0.185560676,0.871889401,0.532411674,1.030948092,1.125960061,0.19109063,0.223041475,0.428571429,1
0.16804356,0.799380398,1.008636876,1.649982724,1.603736388,0.175835524,0.197897109,0.368757041,1
0.172901633,0.823205469,1.04101785,1.63898847,1.854728447,0.180972275,0.202810482,0.388340296,1
0.17089503,0.867207394,1.056587758,1.564924819,1.956427426,0.191738187,0.205130623,0.405639913,1
0.165830376,0.76135112,0.86219557,1.68222208,1.661240974,0.175376331,0.218210745,0.354546567,1
0.173700075,0.792514444,0.897261994,1.660352255,1.861592565,0.182115046,0.223687516,0.387967847,1
0.171328671,0.85964036,0.933316683,1.61081609,1.983516484,0.203046953,0.233016983,0.406218781,1
0.164619533,0.763031756,0.752846016,1.727380518,1.594967046,0.174206111,0.229179149,0.357549431,1
0.166615242,0.78771984,0.802992903,1.650846275,1.849892009,0.185128047,0.23742672,0.387226165,1
0.17305603,0.849914636,0.842309483,1.555326991,1.995498991,0.220549433,0.246624243,0.412851156,1
0.190240183,0.815287838,0.759054518,1.655576382,1.685093404,0.193671369,0.266488753,0.39306138,1
0.184821597,0.828204644,0.77024731,1.681702521,1.856333774,0.198602983,0.257126675,0.407211629,1
0.183519184,0.856170856,0.812133812,1.585792952,1.997731998,0.207144207,0.259119259,0.434889435,1
