feature_30,feature_36,feature_16,feature_77,feature_18,feature_23,feature_6,feature_41,feature_43,feature_63,feature_59,feature_64,feature_65,feature_12,feature_8,feature_14,feature_49,feature_22,feature_7,feature_55,feature_9,feature_46,feature_33,feature_48,feature_61,feature_54,feature_25,feature_71,feature_45,feature_13,feature_26,target
0.165845972,0.825192043,0.605672641,1.67565235,2.308745322,0.178944258,0.218830018,0.339570613,0.294169785,1.603309981,0.228043456,2.014874607,0.108234339,0.306381721,2.373744337,0.296927319,0.354604528,0.369608036,0.177565491,0.144989339,0.232223754,0.192608387,0.369509553,0.29469997,0.430957458,0.106305209,3.685247193,0.106305209,0.84272515,0.402698444,1.537226709,1
0.157193521,0.761717627,0.587558708,1.743609645,2.043036519,0.17367967,0.211636155,0.321959168,0.276430557,1.671737556,0.238073062,2.004605195,0.109748525,0.299051088,2.292149909,0.281318892,0.354548277,0.356177514,0.172817023,0.150470868,0.226972108,0.194815275,0.342279306,0.294059816,0.457156163,0.106592156,3.48528707,0.106592156,0.847614612,0.385986773,1.509249497,1
0.160895351,0.757030802,0.602448823,1.926426587,2.017983547,0.173904725,0.209010905,0.3130859,0.256648173,1.663549904,0.244817269,2.016830519,0.108196196,0.291276067,2.283336522,0.28171035,0.386086771,0.36808877,0.175722212,0.145330199,0.230246795,0.200737337,0.343696193,0.301880744,0.510472323,0.108303056,3.571455902,0.108303056,0.856165847,0.381002487,1.501243543,1
0.162209855,0.746979775,0.520293199,1.700563438,2.132754174,0.179448894,0.222885842,0.328491923,0.398534003,1.484624262,0.234946711,1.957233046,0.119883239,0.296728655,2.152300801,0.313831953,0.290679519,0.362970001,0.176462604,0.14065576,0.207004208,0.184169439,0.344509298,0.29638178,0.430995859,0.103183762,2.970137098,0.103183762,0.760233521,0.37708701,1.419709515,1
0.154827447,0.691956493,0.507989795,1.839730218,2.013696791,0.174835504,0.213105949,0.312206258,0.393447026,1.534835211,0.255527743,2.009108608,0.119524406,0.286961192,2.134013697,0.277964281,0.309345015,0.355310863,0.173626964,0.141983034,0.192157916,0.185718259,0.329125822,0.29682937,0.481226533,0.104783757,2.896334094,0.104783757,0.768112919,0.363502081,1.35987646,1
0.156875924,0.674418605,0.521306627,1.816388575,1.968275306,0.179728458,0.218577766,0.303132141,0.382578304,1.507777149,0.236849548,2.003535068,0.120687217,0.289823901,2.14128243,0.26683694,0.332367081,0.357171663,0.176233365,0.13956448,0.195187525,0.186792986,0.327597795,0.28803733,0.478577489,0.106476244,2.956983466,0.106476244,0.77969457,0.363892996,1.447909665,1
0.162162162,0.757542426,0.485386549,1.528483858,2.01257071,0.186046512,0.225172847,0.329352608,0.465116279,1.338782182,0.22451982,1.861708214,0.117041275,0.299654305,2.012413576,0.277655563,0.266857376,0.359522313,0.184003771,0.142787086,0.195788812,0.177033102,0.345380264,0.292194524,0.415529219,0.097834083,2.599622879,0.097834083,0.70224765,0.37115022,1.364236329,1
0.159551597,0.695178133,0.478501229,1.652658228,1.85703317,0.171836609,0.214834152,0.298525799,0.44041769,1.386075949,0.246835443,1.969451477,0.116877637,0.283015971,2.007985258,0.256449631,0.288607595,0.360718673,0.179668305,0.140168776,0.18980344,0.174599156,0.328163391,0.288523207,0.451139241,0.099493671,2.550214988,0.099493671,0.681940928,0.358875921,1.316646192,1
0.154147332,0.636890951,0.458961717,1.834599448,1.822070766,0.170388631,0.207221578,0.279292343,0.421693735,1.404178177,0.233857044,1.958736188,0.11386395,0.266966357,1.861513921,0.242604408,0.294112569,0.328886311,0.167778422,0.137776243,0.180684455,0.167472376,0.309164733,0.294457873,0.455973757,0.105145028,2.434599768,0.105145028,0.710808011,0.337006961,1.252030162,1
0.174369324,0.742078708,0.44419778,1.516861511,1.783249243,0.198385469,0.22764884,0.336024218,0.505751766,1.288669065,0.224145683,1.818907374,0.13995054,0.324117053,1.717860747,0.283753784,0.24977518,0.392129162,0.188092836,0.12443795,0.188092836,0.175584532,0.373965691,0.301821043,0.410971223,0.09330036,2.169929364,0.09330036,0.637927158,0.368314834,1.248234107,1
0.169673627,0.693087371,0.449422258,1.613548092,1.756132171,0.196229475,0.229474965,0.323535374,0.513277924,1.326707791,0.235549463,1.861549006,0.126799178,0.290289884,1.724508413,0.271234543,0.275416952,0.362659639,0.193796878,0.128169979,0.185282789,0.173292209,0.34684776,0.298377884,0.429403701,0.094356865,2.171903507,0.094356865,0.662097327,0.3794851,1.231096696,1
0.160581076,0.666274048,0.443855516,1.722971374,1.690812721,0.197879859,0.216332941,0.319199058,0.501570475,1.30305181,0.236337828,1.913532056,0.124201561,0.27718885,1.672555948,0.26442874,0.287319612,0.344719278,0.204358068,0.135557133,0.190223793,0.180151408,0.333922261,0.306837,0.455050863,0.098414952,2.108755399,0.098414952,0.675065058,0.361405575,1.20691009,1
0.16474775,0.690391459,0.417416789,1.426933702,1.737701486,0.199288256,0.230898053,0.332426209,0.464098807,1.251933702,0.223480663,1.760635359,0.160773481,0.272137325,1.508687461,0.256018422,0.244889503,0.339543647,0.188821436,0.123756906,0.171027842,0.167403315,0.322378062,0.279696133,0.395441989,0.097651934,1.925685577,0.097651934,0.589502762,0.340590329,1.149047519,1
0.164371955,0.68904893,0.41897903,1.500070314,1.686083457,0.214573184,0.225799619,0.321965685,0.462825673,1.288707636,0.24483195,1.792434257,0.131345802,0.284261809,1.50900233,0.262868036,0.254957109,0.347172209,0.188519381,0.142314724,0.179834781,0.170862045,0.339970345,0.283785684,0.415412741,0.094642104,1.956576996,0.094642104,0.611165799,0.36030502,1.137894514,1
