feature_47,feature_17,feature_21,feature_16,feature_58,feature_46,feature_28,feature_14,feature_77,feature_3,feature_18,feature_38,feature_32,feature_12,feature_5,feature_41,feature_2,feature_49,feature_42,feature_40,feature_44,feature_72,feature_19,feature_15,feature_13,feature_36,feature_8,feature_68,feature_4,feature_23,feature_59,feature_62,feature_7,feature_26,feature_9,feature_73,feature_1,feature_39,feature_48,feature_20,feature_43,feature_33,feature_22,feature_66,feature_56,feature_27,feature_74,feature_67,feature_64,feature_31,feature_71,feature_50,feature_37,feature_45,diagnosis
1.443090669,1.877683671,0.416289147,0.605672641,0.115290892,0.192608387,0.319676975,0.296927319,1.67565235,0.4301753,2.308745322,0.448099271,3.037620642,0.306381721,5.990151664,0.339570613,0.747193224,0.354604528,0.482863896,0.394721292,0.182150472,0.108335872,0.44159937,1.022060272,0.402698444,0.825192043,2.373744337,0.18885166,2.81632854,0.178944258,0.228043456,0.247537821,0.177565491,1.537226709,0.232223754,0.427099198,0.503643884,0.58627142,0.29469997,0.859365767,0.294169785,0.369509553,0.369608036,1.044979186,0.176667682,0.264526295,0.114783227,0.831556503,2.014874607,0.453909789,0.106305209,1.339069956,0.576915501,0.84272515,1
1.439459795,1.725773986,0.400364229,0.587558708,0.118234503,0.194815275,0.304418672,0.281318892,1.743609645,0.411770344,2.043036519,0.420876066,2.921882488,0.299051088,5.685037861,0.321959168,0.689063548,0.354548277,0.454519314,0.368254577,0.182086309,0.10431543,0.445221892,0.956675932,0.385986773,0.761717627,2.292149909,0.200403601,2.789514042,0.17367967,0.238073062,0.257632205,0.172817023,1.509249497,0.226972108,0.441581289,0.51461708,0.545097287,0.294059816,0.834659254,0.276430557,0.342279306,0.356177514,1.009883059,0.178309014,0.25572702,0.111973507,0.849270413,2.004605195,0.430940286,0.106592156,1.306323088,0.545097287,0.847614612,1
1.52436418,1.731872967,0.399846949,0.602448823,0.117760205,0.200737337,0.3117467,0.28171035,1.926426587,0.418308781,2.017983547,0.404629807,2.944136216,0.291276067,5.622058542,0.3130859,0.730246795,0.386086771,0.447197245,0.363879855,0.18438769,0.106219278,0.467667878,1.003634972,0.381002487,0.757030802,2.283336522,0.193684548,2.687201071,0.173904725,0.244817269,0.255343022,0.175722212,1.501243543,0.230246795,0.435776875,0.509183088,0.552994069,0.301880744,0.814329443,0.256648173,0.343696193,0.36808877,0.996847617,0.176212866,0.259613545,0.111882881,0.846708698,2.016830519,0.423187297,0.108303056,1.279600342,0.543619667,0.856165847,1
1.612382051,1.566852179,0.385638659,0.520293199,0.117439413,0.184169439,0.279218135,0.313831953,1.700563438,0.358626307,2.132754174,0.386860323,2.500203611,0.296728655,4.97950319,0.328491923,0.61707615,0.290679519,0.442649654,0.366770734,0.161767701,0.111261965,0.477670694,0.875390254,0.37708701,0.746979775,2.152300801,0.192111873,2.466947197,0.179448894,0.234946711,0.251103116,0.176462604,1.419709515,0.207004208,0.391690992,0.442106692,0.547848514,0.29638178,0.727704629,0.398534003,0.344509298,0.362970001,0.990224696,0.163804222,0.259535768,0.130405268,0.833276763,1.957233046,0.410614904,0.103183762,1.19876451,0.54676259,0.760233521,1
1.645807259,1.480059084,0.367530549,0.507989795,0.116047838,0.185718259,0.273667249,0.277964281,1.839730218,0.358802202,2.013696791,0.360816436,2.456559688,0.286961192,4.718678663,0.312206258,0.617429838,0.309345015,0.419094938,0.35155096,0.16020025,0.110693923,0.483416141,0.864912045,0.363502081,0.691956493,2.134013697,0.205604228,2.36578488,0.174835504,0.255527743,0.25177305,0.173626964,1.35987646,0.192157916,0.434153803,0.434940244,0.512823956,0.29682937,0.687793742,0.393447026,0.329125822,0.355310863,0.997774997,0.167709637,0.250704982,0.118481435,0.878667779,2.009108608,0.398549752,0.104783757,1.206994855,0.536860481,0.768112919,1
1.634615385,1.538244388,0.36940449,0.521306627,0.115243213,0.186792986,0.284043554,0.26683694,1.816388575,0.36738809,1.968275306,0.354214276,2.467132679,0.289823901,4.807635435,0.303132141,0.62817583,0.332367081,0.412824304,0.347224089,0.162330317,0.109445701,0.495899987,0.85912085,0.363892996,0.674418605,2.14128243,0.190469457,2.38593897,0.179728458,0.236849548,0.244485294,0.176233365,1.447909665,0.195187525,0.439833145,0.447506385,0.51431644,0.28803733,0.672402205,0.382578304,0.327597795,0.357171663,0.920178167,0.174844457,0.250840167,0.11665724,0.843679299,2.003535068,0.391047184,0.106476244,1.12344457,0.539723081,0.77969457,1
1.773845525,1.494814582,0.395977373,0.485386549,0.114752758,0.177033102,0.276241358,0.277655563,1.528483858,0.342708988,2.01257071,0.368950346,2.288812068,0.299654305,4.473130107,0.329352608,0.573695789,0.266857376,0.420490258,0.360307982,0.145565999,0.111483449,0.497485858,0.844280327,0.37115022,0.757542426,2.012413576,0.181610135,2.334223759,0.186046512,0.22451982,0.238005721,0.184003771,1.364236329,0.195788812,0.406293421,0.428032684,0.544626021,0.292194524,0.646134507,0.465116279,0.345380264,0.359522313,1.028769922,0.15185942,0.261470773,0.13722926,0.798283613,1.861708214,0.405562539,0.097834083,1.03228443,0.558610937,0.70224765,1
1.795780591,1.409398034,0.360718673,0.478501229,0.116202532,0.174599156,0.265356265,0.256449631,1.652658228,0.327702703,1.85703317,0.340141278,2.281173219,0.283015971,4.268734644,0.298525799,0.564035627,0.288607595,0.39296683,0.338298526,0.147848101,0.113080169,0.48955774,0.818642506,0.358875921,0.695178133,2.007985258,0.191561181,2.260135135,0.171836609,0.246835443,0.241434599,0.179668305,1.316646192,0.18980344,0.382531646,0.416922604,0.50982801,0.288523207,0.628071253,0.44041769,0.328163391,0.360718673,0.943544304,0.158734177,0.250614251,0.123375527,0.843966245,1.969451477,0.375460688,0.099493671,1.152067511,0.525030713,0.681940928,1
1.805248619,1.341792343,0.326566125,0.458961717,0.116799033,0.167472376,0.252610209,0.242604408,1.834599448,0.317720418,1.822070766,0.32337587,2.139211137,0.266966357,4.063950116,0.279292343,0.538428074,0.294112569,0.357598608,0.312064965,0.150120856,0.105490331,0.464472158,0.748259861,0.337006961,0.636890951,1.861513921,0.186377762,2.125725058,0.170388631,0.233857044,0.236015193,0.167778422,1.252030162,0.180684455,0.435687155,0.386310905,0.479988399,0.294457873,0.600638051,0.421693735,0.309164733,0.328886311,0.94690953,0.160393646,0.230423434,0.125172652,0.83218232,1.958736188,0.351218097,0.105145028,1.107907459,0.484918794,0.710808011,1
1.926596223,1.355398587,0.335418769,0.44419778,0.126573741,0.175584532,0.301513623,0.283753784,1.516861511,0.362462159,1.783249243,0.357214934,1.922906155,0.324117053,3.598587286,0.336024218,0.499293643,0.24977518,0.426034309,0.358627649,0.14006295,0.116906475,0.493037336,0.743491423,0.368314834,0.742078708,1.717860747,0.189523381,2.096266398,0.198385469,0.224145683,0.244829137,0.188092836,1.248234107,0.188092836,0.414793165,0.380827447,0.530978809,0.301821043,0.570534813,0.505751766,0.373965691,0.392129162,0.970323741,0.150629496,0.257719475,0.146133094,0.803394784,1.818907374,0.380423814,0.09330036,0.930980216,0.553178607,0.637927158,1
