feature_30,feature_36,feature_16,feature_77,feature_18,feature_23,feature_6,feature_41,feature_43,feature_63,feature_59,feature_64,feature_65,feature_12,feature_8,feature_14,feature_49,feature_22,feature_7,feature_55,feature_9,feature_46,feature_33,feature_48,feature_61,feature_54,feature_25,feature_71,feature_45,feature_13,feature_26,feature_60,feature_24,feature_73,feature_75,feature_62,feature_67,feature_44,feature_17,feature_5,feature_4,feature_40,feature_70,feature_31,feature_38,feature_27,feature_42,feature_66,feature_21,feature_68,feature_53,feature_47,feature_50,feature_1,feature_32,feature_2,feature_3,feature_58,feature_28,feature_35,feature_10,feature_37,target
0.165845972,0.825192043,0.605672641,1.67565235,2.308745322,0.178944258,0.218830018,0.339570613,0.294169785,1.603309981,0.228043456,2.014874607,0.108234339,0.306381721,2.373744337,0.296927319,0.354604528,0.369608036,0.177565491,0.144989339,0.232223754,0.192608387,0.369509553,0.29469997,0.430957458,0.106305209,3.685247193,0.106305209,0.84272515,0.402698444,1.537226709,0.14275561,1.866358085,0.427099198,0.131790029,0.247537821,0.831556503,0.182150472,1.877683671,5.990151664,2.81632854,0.394721292,,0.453909789,0.448099271,0.264526295,0.482863896,1.044979186,0.416289147,0.18885166,0.18885166,1.443090669,1.339069956,0.503643884,3.037620642,0.747193224,0.4301753,0.115290892,0.319676975,0.335335828,1.750935592,0.576915501,1
0.157193521,0.761717627,0.587558708,1.743609645,2.043036519,0.17367967,0.211636155,0.321959168,0.276430557,1.671737556,0.238073062,2.004605195,0.109748525,0.299051088,2.292149909,0.281318892,0.354548277,0.356177514,0.172817023,0.150470868,0.226972108,0.194815275,0.342279306,0.294059816,0.457156163,0.106592156,3.48528707,0.106592156,0.847614612,0.385986773,1.509249497,0.142036635,1.761046679,0.441581289,0.13510297,0.257632205,0.849270413,0.182086309,1.725773986,5.685037861,2.789514042,0.368254577,,0.430940286,0.420876066,0.25572702,0.454519314,1.009883059,0.400364229,0.200403601,0.184570009,1.439459795,1.306323088,0.51461708,2.921882488,0.689063548,0.411770344,0.118234503,0.304418672,0.324834659,1.596376881,0.545097287,1
0.160895351,0.757030802,0.602448823,1.926426587,2.017983547,0.173904725,0.209010905,0.3130859,0.256648173,1.663549904,0.244817269,2.016830519,0.108196196,0.291276067,2.283336522,0.28171035,0.386086771,0.36808877,0.175722212,0.145330199,0.230246795,0.200737337,0.343696193,0.301880744,0.510472323,0.108303056,3.571455902,0.108303056,0.856165847,0.381002487,1.501243543,0.142444967,1.765544289,0.435776875,0.133361829,0.255343022,0.846708698,0.18438769,1.731872967,5.622058542,2.687201071,0.363879855,,0.423187297,0.404629807,0.259613545,0.447197245,0.996847617,0.399846949,0.193684548,0.190532165,1.52436418,1.279600342,0.509183088,2.944136216,0.730246795,0.418308781,0.117760205,0.3117467,0.324851731,1.561316243,0.543619667,1
0.162209855,0.746979775,0.520293199,1.700563438,2.132754174,0.179448894,0.222885842,0.328491923,0.398534003,1.484624262,0.234946711,1.957233046,0.119883239,0.296728655,2.152300801,0.313831953,0.290679519,0.362970001,0.176462604,0.14065576,0.207004208,0.184169439,0.344509298,0.29638178,0.430995859,0.103183762,2.970137098,0.103183762,0.760233521,0.37708701,1.419709515,0.145068223,1.286276639,0.391690992,0.147444165,0.251103116,0.833276763,0.161767701,1.566852179,4.97950319,2.466947197,0.366770734,,0.410614904,0.386860323,0.259535768,0.442649654,0.990224696,0.385638659,0.192111873,0.185323468,1.612382051,1.19876451,0.442106692,2.500203611,0.61707615,0.358626307,0.117439413,0.279218135,0.330120809,1.595086195,0.54676259,1
0.154827447,0.691956493,0.507989795,1.839730218,2.013696791,0.174835504,0.213105949,0.312206258,0.393447026,1.534835211,0.255527743,2.009108608,0.119524406,0.286961192,2.134013697,0.277964281,0.309345015,0.355310863,0.173626964,0.141983034,0.192157916,0.185718259,0.329125822,0.29682937,0.481226533,0.104783757,2.896334094,0.104783757,0.768112919,0.363502081,1.35987646,0.140870533,1.324694508,0.434153803,0.140314282,0.25177305,0.878667779,0.16020025,1.480059084,4.718678663,2.36578488,0.35155096,,0.398549752,0.360816436,0.250704982,0.419094938,0.997774997,0.367530549,0.205604228,0.188221388,1.645807259,1.206994855,0.434940244,2.456559688,0.617429838,0.358802202,0.116047838,0.273667249,0.313414798,1.504229891,0.536860481,1
0.156875924,0.674418605,0.521306627,1.816388575,1.968275306,0.179728458,0.218577766,0.303132141,0.382578304,1.507777149,0.236849548,2.003535068,0.120687217,0.289823901,2.14128243,0.26683694,0.332367081,0.357171663,0.176233365,0.13956448,0.195187525,0.186792986,0.327597795,0.28803733,0.478577489,0.106476244,2.956983466,0.106476244,0.77969457,0.363892996,1.447909665,0.13645362,1.227449926,0.439833145,0.140766403,0.244485294,0.843679299,0.162330317,1.538244388,4.807635435,2.38593897,0.347224089,,0.391047184,0.354214276,0.250840167,0.412824304,0.920178167,0.36940449,0.190469457,0.183823529,1.634615385,1.12344457,0.447506385,2.467132679,0.62817583,0.36738809,0.115243213,0.284043554,0.296276381,1.442398172,0.539723081,1
0.162162162,0.757542426,0.485386549,1.528483858,2.01257071,0.186046512,0.225172847,0.329352608,0.465116279,1.338782182,0.22451982,1.861708214,0.117041275,0.299654305,2.012413576,0.277655563,0.266857376,0.359522313,0.184003771,0.142787086,0.195788812,0.177033102,0.345380264,0.292194524,0.415529219,0.097834083,2.599622879,0.097834083,0.70224765,0.37115022,1.364236329,0.144830405,1.10779384,0.406293421,0.156681651,0.238005721,0.798283613,0.145565999,1.494814582,4.473130107,2.334223759,0.360307982,,0.405562539,0.368950346,0.261470773,0.420490258,1.028769922,0.395977373,0.181610135,0.181610135,1.773845525,1.03228443,0.428032684,2.288812068,0.573695789,0.342708988,0.114752758,0.276241358,0.333909491,1.612036455,0.558610937,1
0.159551597,0.695178133,0.478501229,1.652658228,1.85703317,0.171836609,0.214834152,0.298525799,0.44041769,1.386075949,0.246835443,1.969451477,0.116877637,0.283015971,2.007985258,0.256449631,0.288607595,0.360718673,0.179668305,0.140168776,0.18980344,0.174599156,0.328163391,0.288523207,0.451139241,0.099493671,2.550214988,0.099493671,0.681940928,0.358875921,1.316646192,0.13443038,1.077395577,0.382531646,0.155611814,0.241434599,0.843966245,0.147848101,1.409398034,4.268734644,2.260135135,0.338298526,,0.375460688,0.340141278,0.250614251,0.39296683,0.943544304,0.360718673,0.191561181,0.182869198,1.795780591,1.152067511,0.416922604,2.281173219,0.564035627,0.327702703,0.116202532,0.265356265,0.322788698,1.424600737,0.525030713,1
0.154147332,0.636890951,0.458961717,1.834599448,1.822070766,0.170388631,0.207221578,0.279292343,0.421693735,1.404178177,0.233857044,1.958736188,0.11386395,0.266966357,1.861513921,0.242604408,0.294112569,0.328886311,0.167778422,0.137776243,0.180684455,0.167472376,0.309164733,0.294457873,0.455973757,0.105145028,2.434599768,0.105145028,0.710808011,0.337006961,1.252030162,0.132596685,1.008845708,0.435687155,0.152710635,0.236015193,0.83218232,0.150120856,1.341792343,4.063950116,2.125725058,0.312064965,,0.351218097,0.32337587,0.230423434,0.357598608,0.94690953,0.326566125,0.186377762,0.178522099,1.805248619,1.107907459,0.386310905,2.139211137,0.538428074,0.317720418,0.116799033,0.252610209,0.294518561,1.261890951,0.484918794,1
0.174369324,0.742078708,0.44419778,1.516861511,1.783249243,0.198385469,0.22764884,0.336024218,0.505751766,1.288669065,0.224145683,1.818907374,0.13995054,0.324117053,1.717860747,0.283753784,0.24977518,0.392129162,0.188092836,0.12443795,0.188092836,0.175584532,0.373965691,0.301821043,0.410971223,0.09330036,2.169929364,0.09330036,0.637927158,0.368314834,1.248234107,0.148156475,0.906155399,0.414793165,0.188848921,0.244829137,0.803394784,0.14006295,1.355398587,3.598587286,2.096266398,0.358627649,,0.380423814,0.357214934,0.257719475,0.426034309,0.970323741,0.335418769,0.189523381,0.171088129,1.926596223,0.930980216,0.380827447,1.922906155,0.499293643,0.362462159,0.126573741,0.301513623,0.394349142,1.414328961,0.553178607,1
