feature_68,feature_61,feature_77,feature_47,feature_16,feature_64,feature_65,feature_71,target
0.18885166,0.430957458,1.67565235,1.443090669,0.605672641,2.014874607,0.108234339,0.106305209,1
0.200403601,0.457156163,1.743609645,1.439459795,0.587558708,2.004605195,0.109748525,0.106592156,1
0.193684548,0.510472323,1.926426587,1.52436418,0.602448823,2.016830519,0.108196196,0.108303056,1
0.192111873,0.430995859,1.700563438,1.612382051,0.520293199,1.957233046,0.119883239,0.103183762,1
0.205604228,0.481226533,1.839730218,1.645807259,0.507989795,2.009108608,0.119524406,0.104783757,1
0.190469457,0.478577489,1.816388575,1.634615385,0.521306627,2.003535068,0.120687217,0.106476244,1
0.181610135,0.415529219,1.528483858,1.773845525,0.485386549,1.861708214,0.117041275,0.097834083,1
0.191561181,0.451139241,1.652658228,1.795780591,0.478501229,1.969451477,0.116877637,0.099493671,1
0.186377762,0.455973757,1.834599448,1.805248619,0.458961717,1.958736188,0.11386395,0.105145028,1
0.189523381,0.410971223,1.516861511,1.926596223,0.44419778,1.818907374,0.13995054,0.09330036,1
0.190769934,0.429403701,1.613548092,1.902901531,0.449422258,1.861549006,0.126799178,0.094356865,1
0.194819021,0.455050863,1.722971374,2.001656021,0.443855516,1.913532056,0.124201561,0.098414952,1
0.203314917,0.395441989,1.426933702,1.904005525,0.417416789,1.760635359,0.160773481,0.097651934,1
0.190127971,0.415412741,1.500070314,1.972577697,0.41897903,1.792434257,0.131345802,0.094642104,1
0.193839542,0.434527221,1.613896848,1.959455587,0.410556582,1.764756447,0.125501433,0.099140401,1
0.178474467,0.355074337,1.297220427,0.94272786,0.790961284,1.68332256,0.137879767,0.138655462,1
0.176079734,0.373621262,1.363189369,0.963388704,0.727524205,1.693820598,0.128837209,0.111362126,1
0.174248578,0.388302193,1.404481451,0.975494178,0.742553778,1.791835906,0.13633902,0.112036285,1
0.195655778,0.36345548,1.170038136,0.9568065,0.730511003,1.6362129,0.149975129,0.111507213,1
0.188165284,0.364428799,1.272986338,0.97837566,0.613614263,1.65702791,0.144162266,0.100578325,1
0.179575396,0.386842326,1.279936226,1.000503482,0.667942917,1.652261475,0.132835445,0.110682219,1
0.194352526,0.367196117,1.178248401,0.954555482,0.692594318,1.562761968,0.153540702,0.104897419,1
0.192329385,0.349125776,1.219966159,0.963338973,0.654751131,1.611957135,0.150592217,0.112351946,1
0.181888545,0.366430783,1.246130031,0.937748784,0.615498311,1.582706767,0.142525431,0.1036046,1
0.218912271,0.400792566,1.077480186,0.98305548,0.614648811,1.574883848,0.16602897,0.10426346,1
0.177128821,0.413891921,1.144377729,0.929039301,0.699019918,1.554312227,0.165393013,0.097980349,1
0.181869369,0.406109234,1.238457207,0.958333333,0.588094605,1.584881757,0.157657658,0.110078829,1
0.225862341,0.372814616,0.981414396,0.902031816,0.551713586,1.402583084,0.172468105,0.075444952,1
0.182283339,0.342500799,0.994403582,0.853693636,0.555941846,1.403901503,0.179724976,0.091461465,1
0.174553791,0.388570493,1.030948092,0.890453578,0.532411674,1.42492222,0.159325364,0.09317177,1
0.211461573,0.571351004,1.649982724,0.605804827,1.008636876,2.221383089,0.148822745,0.148773385,1
0.222265284,0.569082453,1.63898847,0.61268288,1.04101785,2.215773665,0.162581145,0.14766011,1
0.227445703,0.537033599,1.564924819,0.603165027,1.056587758,2.098199369,0.166326341,0.14316874,1
0.207185323,0.571437704,1.68222208,0.724477402,0.86219557,2.207185323,0.148373074,0.140062648,1
0.213443994,0.55993411,1.660352255,0.731500253,0.897261994,2.212113533,0.165103903,0.140775469,1
0.222425685,0.54696942,1.61081609,0.73362632,0.933316683,2.085820668,0.171580297,0.138192028,1
0.220722364,0.547154323,1.727380518,0.776267785,0.752846016,2.257022984,0.141280555,0.132068588,1
0.206508463,0.507154074,1.650846275,0.740359449,0.802992903,2.188536032,0.160181469,0.133310068,1
0.217879489,0.488128911,1.555326991,0.748350047,0.842309483,2.128739179,0.167823776,0.127624925,1
0.223523899,0.546860356,1.655576382,0.785731022,0.759054518,2.216377694,0.160613871,0.135074977,1
0.21987046,0.54661115,1.681702521,0.815752949,0.77024731,2.188295165,0.170830442,0.126185519,1
0.225881057,0.493722467,1.585792952,0.780726872,0.812133812,2.081277533,0.166189427,0.129845815,1
0.223418945,0.555233361,1.615575808,0.785832643,0.710118505,2.098729633,0.163766915,0.129798398,1
0.220316269,0.508978826,1.561913696,0.778745645,0.741020361,2.066604128,0.185875101,0.113106406,1
0.212156863,0.496732026,1.530457516,0.775163399,0.753610108,2.01124183,0.185620915,0.114379085,1
0.219493154,0.606834014,1.680398751,0.900372328,0.864399342,2.495856354,0.156617824,0.149351429,1
0.229048613,0.617834775,1.720906651,0.874500447,0.887351351,2.57148822,0.166119893,0.143155383,1
0.229796528,0.573514197,1.645763881,0.848373376,0.91042205,2.384584435,0.161800207,0.140878262,1
0.216361511,0.598987145,1.699259836,0.925126607,0.796846658,2.579898714,0.167199065,0.151928321,1
0.228727077,0.587508632,1.705363309,0.910764981,0.820016704,2.520524822,0.182076268,0.148776184,1
0.234359634,0.558438611,1.68242681,0.935244724,0.834833606,2.463348211,0.185490582,0.154020728,1
0.216818136,0.568660741,1.653051034,0.950364526,0.694546671,2.450314591,0.176570458,0.103565365,1
0.226788137,0.540027137,1.653808878,0.921593332,0.742074431,2.407927893,0.18918395,0.143438651,1
0.237870165,0.523198611,1.607118742,0.953795698,0.771915037,2.390855599,0.191280023,0.14642616,1
0.248646507,0.564769576,1.739865311,0.894361548,0.676774483,2.397068533,0.149214314,0.122540605,1
0.262048986,0.553858309,1.718461944,0.907426916,0.674288276,2.384382407,0.161443245,0.128127469,1
0.260564313,0.543780633,1.690157637,0.90952444,0.680888498,2.325606041,0.175519936,0.126506822,1
0.260582011,0.638558201,1.73015873,0.940806878,0.628720627,2.406084656,0.176752646,0.131944444,1
0.255589513,0.637767412,1.633585331,0.905742319,0.617297011,2.368988258,0.183850732,0.131253016,1
0.24515302,0.60390963,1.613042782,0.88831918,0.646153846,2.292741548,0.191956417,0.129626662,1
0.239624578,0.719167033,1.817861857,0.892726206,0.904055977,2.396539082,0.149508726,0.138143423,1
0.232931727,0.697042716,1.769404892,0.876159182,0.94669829,2.373932092,0.157429719,0.136911281,1
0.238160554,0.68697661,1.723144672,0.874314178,0.985648321,2.327461738,0.14719896,0.134709789,1
0.227421206,0.664606692,1.682969895,0.861657985,0.851272325,2.323386598,0.144521939,0.137724022,1
0.238547032,0.72097226,1.753591759,0.860124695,0.846601636,2.380771664,0.167976868,0.142314991,1
0.240518962,0.664217021,1.72409726,0.87143894,0.885061121,2.352476864,0.166213028,0.139539104,1
0.228564799,0.637428936,1.626290753,0.828170321,0.761782686,2.274277758,0.169857292,0.133658197,1
0.23456352,0.661580317,1.61497516,0.859593092,0.774383079,2.264726757,0.174000473,0.139105749,1
0.242355471,0.659818442,1.586359293,0.883301481,0.78125,2.285355948,0.171882465,0.139154324,1
0.227398396,0.623030135,1.538291402,0.830522532,0.697054698,2.175006912,0.170030412,0.140586121,1
0.246315789,0.63522807,1.577964912,0.871719298,0.704895426,2.188631579,0.186526316,0.14077193,1
0.241686713,0.636620914,1.547757181,0.854393661,0.729717091,2.227253431,0.197113344,0.142210273,1
0.244780418,0.602051836,1.392008639,0.821634269,0.708794248,2.063714903,0.181425486,0.14524838,1
0.251272727,0.650181818,1.379272727,0.873636364,0.720956399,2.076545455,0.199636364,0.136363636,1
0.258282995,0.638843126,1.374519495,0.884312649,0.727725512,2.017755812,0.202269815,0.139117701,1
0.239752435,0.527242289,1.627181412,1.862368101,1.099300087,2.436586851,0.168171672,0.132000812,1
0.249030526,0.519787213,1.562096053,1.692204435,1.078712446,2.35472805,0.174704186,0.139007656,1
0.247955991,0.506308671,1.571868376,1.654840012,1.094043337,2.437317049,0.156000808,0.134803674,1
0.233225243,0.526502869,1.646607633,2.027937141,0.924822215,2.382140185,0.145048641,0.11898229,1
0.244469302,0.542567736,1.607631121,1.969798658,0.938465006,2.386216754,0.150944569,0.128635347,1
0.247516145,0.55377546,1.506520119,1.960879285,0.925851703,2.38065077,0.15052161,0.12791853,1
0.223661556,0.52668689,1.54136263,1.998196278,0.819548872,2.270558334,0.138558662,0.113798475,1
0.235929131,0.534569427,1.485702513,2.015327565,0.779656608,2.307869798,0.158714462,0.125587145,1
0.241645029,0.539241142,1.509004104,2.050590502,0.827651007,2.430856856,0.158891029,0.125052349,1
0.228342357,0.529154519,1.397438567,2.045085381,0.647306944,2.243440233,0.150249896,0.111411912,1
0.24125,0.529583333,1.388229167,2.053020833,0.647546311,2.240625,0.1759375,0.125,1
0.243078219,0.540372671,1.405726919,2.039267291,0.659574468,2.24781556,0.172228656,0.131592799,1
0.162641874,0.352934074,0.820333253,1.875875392,0.592313949,1.331924656,0.109273122,0.067254286,1
0.176852289,0.370339783,0.788461538,1.843912223,0.586523126,1.345681925,0.11833412,0.076805097,1
0.183717321,0.374955235,0.790975289,1.843738809,0.5969163,1.321952966,0.136325654,0.084397756,1
0.222904891,0.522339641,1.633226837,2.533202261,0.714121191,2.284541656,0.138805603,0.114622757,1
0.240541194,0.498332931,1.582556173,2.353032133,0.737075199,2.250495289,0.151244262,0.11988403,1
0.232278264,0.523995891,1.567437992,2.426300083,0.724934808,2.280221124,0.14270339,0.118829803,1
0.230390016,0.539095164,1.606365055,2.47850234,0.620538721,2.202371295,0.125179407,0.104087363,1
0.225044264,0.52103303,1.396849625,2.412113072,0.623783661,2.209231333,0.135478356,0.109347335,1
0.222387505,0.519152101,1.593467212,2.418866989,0.622096317,2.237944713,0.129788025,0.111131771,1
0.224104132,0.519015134,1.593664236,2.464674978,0.513390313,2.131106406,0.125774328,0.091821532,1
0.227392382,0.532285537,1.537163208,2.494657789,0.505431675,2.13425209,0.133477857,0.109012078,1
0.22276257,0.523648914,1.540591419,2.506235783,0.532864201,2.189348184,0.139618794,0.105890658,1
0.22334004,0.511167002,1.386720322,2.386820926,0.488609715,2.039839034,0.134205231,0.101609658,1
0.232276027,0.529481953,1.373371781,2.348215174,0.477380149,2.023764542,0.136223526,0.105498658,1
0.230062588,0.525641026,1.370280638,2.371088229,0.487842732,2.088835049,0.136785786,0.108015344,1
0.275482591,0.509832221,1.153526971,2.243009201,0.435435435,1.873714595,0.162547357,0.091286307,1
0.279612347,0.532842785,1.14626705,2.202440775,0.437815598,1.895190237,0.170495334,0.103912419,1
0.264743708,0.536101415,1.060260886,2.196215322,0.423112768,1.943046114,0.181701268,0.102516994,1
0.210156928,0.620061509,1.712404385,0.924296191,0.732186033,2.455800016,0.137292012,0.122072392,1
0.224136581,0.601613282,1.616023181,0.927010729,0.727516211,2.460803508,0.134153027,0.115984024,1
0.224454287,0.615944321,1.670120215,0.931034483,0.762799369,2.444479595,0.133027523,0.116339766,1
0.214826785,0.587718412,1.576911423,0.974851025,0.621423927,2.431471569,0.141197859,0.121502878,1
0.224959448,0.574513382,1.558191403,0.965024331,0.628580891,2.40338605,0.147810219,0.121350365,1
0.218002813,0.590114527,1.585392807,0.951175407,0.663781399,2.360357645,0.142354832,0.118344384,1
0.229128739,0.559037711,1.530039012,0.963849155,0.597877358,2.353576073,0.156957087,0.115994798,1
0.222514121,0.570208853,1.590568764,0.972809668,0.64084507,2.367397872,0.157362406,0.119401025,1
0.219784551,0.576852338,1.571466106,0.97320021,0.633913765,2.336836574,0.163557541,0.115738308,1
0.236374961,0.544845842,1.459669885,0.984117097,0.552588041,2.329648085,0.162254749,0.123793211,1
0.249329759,0.580823214,1.498028702,0.992745624,0.543446244,2.317457814,0.16211954,0.110234979,1
0.238767651,0.588254172,1.500320924,1.008183569,0.588129496,2.315308087,0.178754814,0.126283697,1
0.272861981,0.590601185,1.455546147,1.023285351,0.586555622,2.254445385,0.199195597,0.109864522,1
0.279001468,0.5823369,1.405496119,1.004824837,0.551616563,2.17075729,0.193832599,0.109712608,1
0.266909247,0.587114726,1.423587329,1.015625,0.561723041,2.191566781,0.187071918,0.119648973,1
0.245448036,0.537898936,1.620141162,2.407528642,0.760922787,2.372033552,0.139985679,0.131188625,1
0.239833377,0.543452226,1.633793283,2.339442853,0.812308576,2.459932309,0.15162718,0.132621713,1
0.241409922,0.534308094,1.626736292,2.320365535,0.810364465,2.438955614,0.149660574,0.140156658,1
0.230201967,0.575671007,1.676654265,2.509699708,0.697485595,2.425059793,0.143901143,0.127690672,1
0.228736089,0.569356121,1.642885533,2.38891097,0.697285475,2.422032326,0.151099629,0.135333863,1
0.224720579,0.584023669,1.600065746,2.495397765,0.706096925,2.368047337,0.156081525,0.140565417,1
0.228382328,0.523981434,1.653171738,2.56377858,0.627589529,2.35043837,0.150077359,0.126783565,1
0.232706543,0.520122522,1.4021101,2.445673445,0.620150188,2.319748149,0.155024249,0.128307666,1
0.230756116,0.502088484,1.545307305,2.485124883,0.60624524,2.30406615,0.153439604,0.133066235,1
0.264854689,0.446405459,1.573832216,2.491351924,0.561836735,2.228615131,0.141428403,0.106365455,1
0.258637009,0.470066257,1.572645528,2.553241836,0.575371106,2.227165168,0.134879319,0.117486985,1
0.262535145,0.463448922,1.579311153,2.446813496,0.583889901,2.161199625,0.128045923,0.101804124,1
0.272873194,0.540288925,1.530497592,2.51540931,0.525747916,2.185874799,0.156340289,0.109791332,1
0.281341108,0.560252672,1.529964367,2.61159702,0.545637922,2.206997085,0.156300615,0.111111111,1
0.29494201,0.537532216,1.553157216,2.519974227,0.526506899,2.134342784,0.147551546,0.103414948,1
0.256183435,0.449916381,1.461403046,1.733958278,0.772900132,2.172476014,0.14021653,0.123888742,1
0.24236163,0.478480679,1.449597749,1.644304743,0.796299383,2.237306018,0.148063481,0.128412538,1
0.241928331,0.462967891,1.449485542,1.695937555,0.769782999,2.135045237,0.148039737,0.126086571,1
0.244120609,0.457022688,1.575913749,1.879391031,0.69097301,2.222202476,0.131449559,0.120075825,1
0.244205496,0.49181601,1.612305854,1.922939068,0.703934686,2.202150538,0.138709677,0.127897252,1
0.237074627,0.479283582,1.538328358,1.815343284,0.696582139,2.225850746,0.138567164,0.123283582,1
0.244827054,0.495676343,1.599830142,1.978304509,0.614995339,2.197652872,0.123533045,0.112492279,1
0.257078054,0.498826842,1.537384639,2.016815267,0.625582945,2.207648991,0.133661818,0.12106992,1
0.234949637,0.496915749,1.510111658,1.968376669,0.634782609,2.169204341,0.131490591,0.120559069,1
0.249827331,0.48949186,1.58677849,1.947113962,0.564358167,2.187567834,0.131327084,0.117316231,1
0.248169404,0.486542648,1.568771027,1.950326539,0.56875668,2.176231941,0.130912329,0.117652879,1
0.240988571,0.49037804,1.549184331,1.942854352,0.590302812,2.118882485,0.138614829,0.116147309,1
0.237193911,0.479152879,1.430840503,1.920052945,0.520833333,2.109331568,0.13514229,0.112772998,1
0.241383917,0.486641731,1.455516965,1.936548223,0.531347265,2.113278119,0.141998397,0.11180871,1
0.242087141,0.453979605,1.473049927,1.98291617,0.485171261,2.068865051,0.148722024,0.105284068,1
0.251011219,0.567961536,1.027627261,1.628939937,0.98976249,2.46851866,0.149584065,0.129512325,1
0.25847297,0.562817499,0.982182121,1.588141633,0.935475375,2.471605125,0.149442717,0.127682159,1
0.263381478,0.580443346,0.990036302,1.612806055,0.988515176,2.45508612,0.154398702,0.130377694,1
0.258690614,0.599459251,1.028679027,1.603997683,0.902573847,2.485901893,0.161162611,0.134897644,1
0.261750796,0.57388283,1.058488563,1.566740662,0.866350871,2.4990831,0.163111669,0.136666345,1
0.268549172,0.59707887,1.051022395,1.607108082,0.849285832,2.479454722,0.168159688,0.134469328,1
0.264195682,0.574316735,1.0758767,1.533133658,0.898520085,2.434668663,0.168101835,0.137526519,1
0.25,0.581438458,1.04164607,1.504201681,0.887838948,2.433391003,0.175729115,0.132105783,1
0.261797189,0.579819277,1.082705823,1.53250502,0.827879961,2.427836345,0.178965863,0.129769076,1
0.274550374,0.597166958,1.076874105,1.508992519,0.901385493,2.406016234,0.188285851,0.130351743,1
0.278554217,0.622168675,1.105863454,1.540401606,0.856333677,2.49253012,0.192128514,0.136385542,1
0.289550781,0.623046875,1.127766927,1.53499349,0.877852697,2.466145833,0.192871094,0.134928385,1
0.298291989,0.632980887,1.062830419,1.482309882,0.84283943,2.354412363,0.21553477,0.134607564,1
0.303228443,0.643849612,1.072537801,1.470780548,0.889455782,2.355537393,0.21046179,0.14139763,1
0.30504254,0.627723594,1.096908072,1.497613613,0.89193601,2.337414401,0.221207719,0.138410459,1
0.214484196,0.601250434,0.927144842,1.965960403,1.339371483,2.820771101,0.163945815,0.13268496,1
0.211745871,0.574907314,0.891220088,1.886501517,1.359983198,2.675092686,0.157061004,0.130771823,1
0.216474134,0.591160221,0.872258497,1.91302528,1.412750248,2.665996986,0.153942742,0.128913444,1
0.215063419,0.644516781,0.979795712,1.946458637,1.266017427,2.830732967,0.173307891,0.139072848,1
0.212264151,0.617266345,0.947345327,1.91191312,1.287452207,2.699539272,0.180671347,0.140412462,1
0.208730503,0.614926343,0.930784229,1.879549393,1.294251665,2.732344021,0.17482669,0.134315425,1
0.207342805,0.612041075,1.010128007,1.821071881,1.182934712,2.723730482,0.178084119,0.130820087,1
0.202167055,0.584556302,0.998079824,1.766150048,1.16468039,2.617062131,0.178302016,0.128377452,1
0.209448389,0.608001092,0.996723102,1.752730748,1.180456026,2.625204806,0.183096668,0.131075915,1
0.218386817,0.66452732,1.025151778,1.807805724,1.095994138,2.691934085,0.199132697,0.131483088,1
0.226606927,0.648457694,1.041357918,1.869550233,1.098640297,2.652248837,0.199034982,0.135447182,1
0.2177487,0.651568529,0.983727562,1.781244758,1.0982009,2.546552592,0.204328133,0.128837443,1
0.247589146,0.700605517,1.049338417,1.781116842,1.04625,2.597667638,0.218883158,0.121776183,1
0.228704525,0.679902396,1.062555457,1.748447205,1.050668325,2.543256433,0.230035492,0.133318545,1
0.21996505,0.664700743,1.01310616,1.719309742,1.104817708,2.499563128,0.231542158,0.131498471,1
0.233139279,0.610720562,0.901526801,1.59797891,1.220773381,2.369398067,0.196232425,0.139883568,1
0.255700872,0.621506819,0.898222669,1.566901408,1.163525889,2.404929577,0.217583277,0.145595797,1
0.247696854,0.621588736,0.886551944,1.636189814,1.132497839,2.434324121,0.192189582,0.140738166,1
0.216603251,0.613282601,1.006157039,1.435766171,1.013327507,2.292632307,0.157592529,0.127360775,1
0.217192982,0.601824561,0.998666667,1.457614035,1.000547345,2.327438596,0.16477193,0.128842105,1
0.220838462,0.62428499,0.988053001,1.501991166,0.993315068,2.390413439,0.166171892,0.128955181,1
0.211706542,0.586827933,0.9511786,1.241458462,0.871917263,2.182042906,0.130131544,0.122009358,1
0.217774147,0.623366013,0.981299927,1.290486565,0.853333333,2.271423384,0.158587509,0.126815541,1
0.221237287,0.627227769,0.989082766,1.344499393,0.845411887,2.320425492,0.159372959,0.123635346,1
0.200405074,0.630956188,0.926980066,1.143374907,0.754747298,2.139643961,0.158405287,0.120136446,1
0.213520463,0.616563103,0.950074995,1.161559889,0.746017828,2.163595457,0.165309621,0.125241054,1
0.219734937,0.607528678,0.994431451,1.186435015,0.797013977,2.180643724,0.170620336,0.129747188,1
0.206842105,0.629342105,0.872894737,1.083421053,0.639244558,2.053684211,0.174605263,0.118026316,1
0.220063025,0.628939076,0.848214286,1.080094538,0.677664536,2.042542017,0.170168067,0.118434874,1
0.223333784,0.610652967,0.879005002,1.09260511,0.756178245,2.071515479,0.177098824,0.119372719,1
0.192547707,0.4633264,0.901329475,1.928732929,1.023537906,2.242561273,0.159265624,0.127068825,1
0.195736434,0.476098191,0.930509413,1.962993725,1.004792332,2.247785161,0.161775563,0.128829827,1
0.18686599,0.446253782,0.895977932,1.814379783,0.977597312,2.172094679,0.15972593,0.124577327,1
0.198880915,0.511494952,0.94684345,1.868629121,0.949444058,2.223573774,0.157158497,0.126383652,1
0.20805535,0.522856437,0.987398073,1.869285891,0.927564329,2.256609834,0.149246355,0.129602174,1
0.192368071,0.523125226,0.984663688,1.811375438,0.877984522,2.207462867,0.152155537,0.12389808,1
0.220077874,0.597765363,1.105637379,1.967665482,0.885642738,2.244625021,0.175215846,0.121042831,1
0.203493302,0.599457351,1.081227743,1.945565542,0.831637742,2.253349161,0.169577751,0.11836527,1
0.222768084,0.609351177,1.068778587,1.974758597,0.840327738,2.25597154,0.162967982,0.124682365,1
0.199623352,0.624189161,1.103787403,1.863988282,0.862432432,2.23121992,0.174931994,0.127432517,1
0.222758765,0.655889145,1.115053538,1.83308839,0.842901879,2.253201764,0.179298761,0.125761075,1
0.234038143,0.634328358,1.100538972,1.798092869,0.811509388,2.235281924,0.174751244,0.122305141,1
0.201468788,0.642350061,1.135862913,1.914320685,0.815944882,2.22129743,0.211505508,0.114810282,1
0.216196137,0.695641407,1.175829619,1.947251114,0.792998478,2.260277365,0.214214958,0.128528975,1
0.198762199,0.648417044,1.126874554,1.871221138,0.81134402,2.185670079,0.197572007,0.122827898,1
0.193245197,0.534600289,0.955277835,1.896199132,1.12434555,2.474075604,0.158438339,0.131171246,1
0.207381921,0.531435721,0.971223022,1.828380774,1.13080292,2.452924617,0.157335002,0.133979773,1
0.200838532,0.533387872,0.919828203,1.824624195,1.094857916,2.443501381,0.159014214,0.125779732,1
0.202981205,0.553856124,1.0,1.911989631,1.096955419,2.5573558,0.180557356,0.137653921,1
0.203387672,0.543428426,1.036933265,1.854941416,1.079533214,2.520631686,0.173586347,0.134360672,1
