feature_68,feature_61,feature_77,feature_47,feature_16,feature_64,feature_65,feature_71,feature_49,feature_73,feature_44,feature_18,feature_22,feature_36,feature_50,feature_3,feature_72,feature_14,feature_45,feature_35,feature_15,feature_5,feature_12,feature_54,target
0.18885166,0.430957458,1.67565235,1.443090669,0.605672641,2.014874607,0.108234339,0.106305209,0.354604528,0.427099198,0.182150472,2.308745322,0.369608036,0.825192043,1.339069956,0.4301753,0.108335872,0.296927319,0.84272515,0.335335828,1.022060272,5.990151664,0.306381721,0.106305209,1
0.200403601,0.457156163,1.743609645,1.439459795,0.587558708,2.004605195,0.109748525,0.106592156,0.354548277,0.441581289,0.182086309,2.043036519,0.356177514,0.761717627,1.306323088,0.411770344,0.10431543,0.281318892,0.847614612,0.324834659,0.956675932,5.685037861,0.299051088,0.106592156,1
0.193684548,0.510472323,1.926426587,1.52436418,0.602448823,2.016830519,0.108196196,0.108303056,0.386086771,0.435776875,0.18438769,2.017983547,0.36808877,0.757030802,1.279600342,0.418308781,0.106219278,0.28171035,0.856165847,0.324851731,1.003634972,5.622058542,0.291276067,0.108303056,1
0.192111873,0.430995859,1.700563438,1.612382051,0.520293199,1.957233046,0.119883239,0.103183762,0.290679519,0.391690992,0.161767701,2.132754174,0.362970001,0.746979775,1.19876451,0.358626307,0.111261965,0.313831953,0.760233521,0.330120809,0.875390254,4.97950319,0.296728655,0.103183762,1
0.205604228,0.481226533,1.839730218,1.645807259,0.507989795,2.009108608,0.119524406,0.104783757,0.309345015,0.434153803,0.16020025,2.013696791,0.355310863,0.691956493,1.206994855,0.358802202,0.110693923,0.277964281,0.768112919,0.313414798,0.864912045,4.718678663,0.286961192,0.104783757,1
0.190469457,0.478577489,1.816388575,1.634615385,0.521306627,2.003535068,0.120687217,0.106476244,0.332367081,0.439833145,0.162330317,1.968275306,0.357171663,0.674418605,1.12344457,0.36738809,0.109445701,0.26683694,0.77969457,0.296276381,0.85912085,4.807635435,0.289823901,0.106476244,1
0.181610135,0.415529219,1.528483858,1.773845525,0.485386549,1.861708214,0.117041275,0.097834083,0.266857376,0.406293421,0.145565999,2.01257071,0.359522313,0.757542426,1.03228443,0.342708988,0.111483449,0.277655563,0.70224765,0.333909491,0.844280327,4.473130107,0.299654305,0.097834083,1
0.191561181,0.451139241,1.652658228,1.795780591,0.478501229,1.969451477,0.116877637,0.099493671,0.288607595,0.382531646,0.147848101,1.85703317,0.360718673,0.695178133,1.152067511,0.327702703,0.113080169,0.256449631,0.681940928,0.322788698,0.818642506,4.268734644,0.283015971,0.099493671,1
0.186377762,0.455973757,1.834599448,1.805248619,0.458961717,1.958736188,0.11386395,0.105145028,0.294112569,0.435687155,0.150120856,1.822070766,0.328886311,0.636890951,1.107907459,0.317720418,0.105490331,0.242604408,0.710808011,0.294518561,0.748259861,4.063950116,0.266966357,0.105145028,1
0.189523381,0.410971223,1.516861511,1.926596223,0.44419778,1.818907374,0.13995054,0.09330036,0.24977518,0.414793165,0.14006295,1.783249243,0.392129162,0.742078708,0.930980216,0.362462159,0.116906475,0.283753784,0.637927158,0.394349142,0.743491423,3.598587286,0.324117053,0.09330036,1
0.190769934,0.429403701,1.613548092,1.902901531,0.449422258,1.861549006,0.126799178,0.094356865,0.275416952,0.385423806,0.144505369,1.756132171,0.362659639,0.693087371,0.899017592,0.327792418,0.131254284,0.271234543,0.662097327,0.352118386,0.765659842,3.66105818,0.290289884,0.094356865,1
0.194819021,0.455050863,1.722971374,2.001656021,0.443855516,1.913532056,0.124201561,0.098414952,0.287319612,0.442394133,0.142299503,1.690812721,0.344719278,0.666274048,0.967707594,0.355123675,0.125266146,0.26442874,0.675065058,0.33451119,0.743031017,3.466627405,0.27718885,0.098414952,1
0.203314917,0.395441989,1.426933702,1.904005525,0.417416789,1.760635359,0.160773481,0.097651934,0.244889503,0.440331492,0.12679558,1.737701486,0.339543647,0.690391459,0.944060773,0.312539251,0.126933702,0.256018422,0.589502762,0.37366548,0.723047938,3.349591794,0.272137325,0.097651934,1
0.190127971,0.415412741,1.500070314,1.972577697,0.41897903,1.792434257,0.131345802,0.094642104,0.254957109,0.422162846,0.134298973,1.686083457,0.347172209,0.68904893,0.929545774,0.31095107,0.125017578,0.262868036,0.611165799,0.370684177,0.755348443,3.349290405,0.284261809,0.094642104,1
0.193839542,0.434527221,1.613896848,1.959455587,0.410556582,1.764756447,0.125501433,0.099140401,0.269770774,0.446561605,0.12277937,1.655781475,0.359416718,0.657013761,0.903581662,0.344629287,0.125787966,0.279523516,0.626361032,0.358595194,0.695830766,3.287122612,0.266173752,0.099140401,1
0.178474467,0.355074337,1.297220427,0.94272786,0.790961284,1.68332256,0.137879767,0.138655462,0.294117647,0.440142211,0.201228184,1.711026056,0.386132784,0.872368615,1.347123465,0.377741793,,0.29942588,0.908532644,0.373767113,0.956131312,6.067569557,0.355365818,0.138655462,1
0.176079734,0.373621262,1.363189369,0.963388704,0.727524205,1.693820598,0.128837209,0.111362126,0.380730897,0.454352159,0.187840532,1.525172891,0.357399723,0.818118949,1.150631229,0.351590595,,0.250207469,0.893488372,0.361410788,0.894467497,5.595573997,0.331950207,0.111362126,1
0.174248578,0.388302193,1.404481451,0.975494178,0.742553778,1.791835906,0.13633902,0.112036285,0.400961278,0.45450853,0.183455185,1.521097628,0.362520684,0.831081081,1.176617926,0.350110314,,0.243243243,0.885729759,0.348731384,0.894373966,5.548400441,0.326668505,0.112036285,1
0.195655778,0.36345548,1.170038136,0.9568065,0.730511003,1.6362129,0.149975129,0.111507213,0.283037639,0.458547505,0.205355662,1.654792988,0.403767251,0.876725103,1.188028519,0.356396867,,0.264826557,0.890399602,0.404513241,0.895188363,4.975195822,0.358261843,0.111507213,1
0.188165284,0.364428799,1.272986338,0.97837566,0.613614263,1.65702791,0.144162266,0.100578325,0.353029922,0.42502724,0.168971587,1.333063209,0.338897893,0.764829822,1.092615875,0.312479741,,0.230145867,0.85944179,0.349918963,0.768557536,4.313938412,0.306320908,0.100578325,1
0.179575396,0.386842326,1.279936226,1.000503482,0.667942917,1.652261475,0.132835445,0.110682219,0.362339515,0.439456239,0.166736595,1.403411069,0.378698225,0.831534981,1.113535286,0.319700661,,0.248868778,0.857766216,0.37086669,0.831360947,4.571179951,0.324399582,0.110682219,1
0.194352526,0.367196117,1.178248401,0.954555482,0.692594318,1.562761968,0.153540702,0.104897419,0.243437017,0.407346128,0.1732848,1.671169073,0.397997205,0.909874243,1.105559232,0.387750349,,0.321145785,0.804103243,0.435491383,0.900791803,4.449231486,0.343269679,0.104897419,1
0.192329385,0.349125776,1.219966159,0.963338973,0.654751131,1.611957135,0.150592217,0.112351946,0.323068246,0.471517202,0.159954879,1.516289593,0.37760181,0.883936652,0.988832487,0.349773756,,0.27918552,0.768527919,0.4260181,0.85,4.229411765,0.34638009,0.112351946,1
0.181888545,0.366430783,1.246130031,0.937748784,0.615498311,1.582706767,0.142525431,0.1036046,0.312030075,0.444272446,0.15247678,1.347339527,0.353885135,0.836993243,0.982529854,0.308488176,,0.236908784,0.717713401,0.383445946,0.794552365,4.020692568,0.317356419,0.1036046,1
0.218912271,0.400792566,1.077480186,0.98305548,0.614648811,1.574883848,0.16602897,0.10426346,0.251571468,0.430308828,0.165345723,1.393823449,0.375512435,0.891773709,1.017627767,0.320852692,,0.269199235,0.787100301,0.478272752,0.822629134,3.558895873,0.334244329,0.10426346,1
0.177128821,0.413891921,1.144377729,0.929039301,0.699019918,1.554312227,0.165393013,0.097980349,0.29121179,0.40625,0.15010917,1.531773633,0.426177679,1.035093266,0.895469432,0.384445147,,0.346506481,0.746724891,0.559595321,0.934555801,4.109705975,0.402782169,0.097980349,1
0.181869369,0.406109234,1.238457207,0.958333333,0.588094605,1.584881757,0.157657658,0.110078829,0.313907658,0.389358108,0.152730856,1.216848259,0.365399947,0.854371512,0.926238739,0.304278501,,0.292319957,0.740990991,0.458942333,0.774647887,3.381344672,0.317565772,0.110078829,1
0.225862341,0.372814616,0.981414396,0.902031816,0.551713586,1.402583084,0.172468105,0.075444952,0.170105528,0.411245865,0.156717593,1.260097919,0.335985312,0.82619339,0.711608127,0.29130967,,0.243268054,0.704835407,0.456854345,0.732864137,2.873623011,0.301407589,0.075444952,1
