feature_41,feature_53,feature_61,feature_16,feature_6,feature_67,feature_68,feature_38,target
0.339570613,0.18885166,0.430957458,0.605672641,0.218830018,0.831556503,0.18885166,0.448099271,1
0.321959168,0.184570009,0.457156163,0.587558708,0.211636155,0.849270413,0.200403601,0.420876066,1
0.3130859,0.190532165,0.510472323,0.602448823,0.209010905,0.846708698,0.193684548,0.404629807,1
0.328491923,0.185323468,0.430995859,0.520293199,0.222885842,0.833276763,0.192111873,0.386860323,1
0.312206258,0.188221388,0.481226533,0.507989795,0.213105949,0.878667779,0.205604228,0.360816436,1
0.303132141,0.183823529,0.478577489,0.521306627,0.218577766,0.843679299,0.190469457,0.354214276,1
0.329352608,0.181610135,0.415529219,0.485386549,0.225172847,0.798283613,0.181610135,0.368950346,1
0.298525799,0.182869198,0.451139241,0.478501229,0.214834152,0.843966245,0.191561181,0.340141278,1
0.279292343,0.178522099,0.455973757,0.458961717,0.207221578,0.83218232,0.186377762,0.32337587,1
0.336024218,0.171088129,0.410971223,0.44419778,0.22764884,0.803394784,0.189523381,0.357214934,1
0.323535374,0.183801691,0.429403701,0.449422258,0.229474965,0.842472013,0.190769934,0.343807014,1
0.319199058,0.17411876,0.455050863,0.443855516,0.216332941,0.836172226,0.194819021,0.326266196,1
0.332426209,0.175276243,0.395441989,0.417416789,0.230898053,0.80980663,0.203314917,0.353150513,1
0.321965685,0.174377725,0.415412741,0.41897903,0.225799619,0.832794262,0.190127971,0.337216691,1
0.336414048,0.173352436,0.434527221,0.410556582,0.22181146,0.806160458,0.193839542,0.323475046,1
0.407478286,0.192243051,0.355074337,0.790961284,0.219049021,0.67498384,0.178474467,0.540850876,1
0.36473029,0.191827243,0.373621262,0.727524205,0.199170124,0.684252492,0.176079734,0.478838174,1
0.35452289,0.186704576,0.388302193,0.742553778,0.20532267,0.713850528,0.174248578,0.457391065,1
0.4000373,0.188028519,0.36345548,0.730511003,0.228086535,0.67924059,0.195655778,0.503543454,1
0.337439222,0.182549661,0.364428799,0.613614263,0.195786062,0.685692733,0.188165284,0.409562399,1
0.342151062,0.182092809,0.386842326,0.667942917,0.206926558,0.702525803,0.179575396,0.416637661,1
0.433628319,0.193470108,0.367196117,0.692594318,0.258500233,0.679020516,0.194352526,0.505356311,1
0.413800905,0.181725888,0.349125776,0.654751131,0.221493213,0.691483362,0.192329385,0.446832579,1
0.349873311,0.166850951,0.366430783,0.615498311,0.216427365,0.683989385,0.181888545,0.406461149,1
0.441104127,0.169171905,0.400792566,0.614648811,0.237769882,0.677234217,0.218912271,0.494124078,1
0.5042681,0.165938865,0.413891921,0.699019918,0.288017705,0.657068777,0.177128821,0.550742966,1
0.410045177,0.154279279,0.406109234,0.588094605,0.251660909,0.688344595,0.181869369,0.439808663,1
0.485312118,0.155930068,0.372814616,0.551713586,0.215422277,0.620412663,0.225862341,0.486842105,1
0.455436157,0.152542373,0.342500799,0.555941846,0.250632111,0.619923249,0.182283339,0.500316056,1
0.428571429,0.146880629,0.388570493,0.532411674,0.223041475,0.640412641,0.174553791,0.470660522,1
0.368757041,0.202872797,0.571351004,1.008636876,0.197897109,0.833703539,0.211461573,0.538302666,1
0.388340296,0.205745567,0.569082453,1.04101785,0.202810482,0.838387753,0.222265284,0.563520699,1
0.405639913,0.208975311,0.537033599,1.056587758,0.205130623,0.806385743,0.227445703,0.598415543,1
0.354546567,0.202582625,0.571437704,0.86219557,0.218210745,0.844211468,0.207185323,0.468363725,1
0.387967847,0.2093259,0.55993411,0.897261994,0.223687516,0.854092752,0.213443994,0.503014318,1
0.406218781,0.214368553,0.54696942,0.933316683,0.233016983,0.82530672,0.222425685,0.538211788,1
0.357549431,0.200109449,0.547154323,0.752846016,0.229179149,0.867201751,0.220722364,0.44367885,1
0.387226165,0.207206421,0.507154074,0.802992903,0.23742672,0.848106788,0.206508463,0.476858994,1
0.412851156,0.209651153,0.488128911,0.842309483,0.246624243,0.82454787,0.217879489,0.518392053,1
0.39306138,0.202085286,0.546860356,0.759054518,0.266488753,0.915417057,0.223523899,0.445672894,1
0.407211629,0.215244043,0.54661115,0.77024731,0.257126675,0.904811474,0.21987046,0.482537285,1
0.434889435,0.219273128,0.493722467,0.812133812,0.259119259,0.86784141,0.225881057,0.508599509,1
0.383090246,0.188207677,0.555233361,0.710118505,0.278714676,0.923777962,0.223418945,0.433682771,1
0.412948982,0.187215224,0.508978826,0.741020361,0.278197209,0.883945323,0.220316269,0.454815832,1
0.436371841,0.197254902,0.496732026,0.753610108,0.287229242,0.858431373,0.212156863,0.48465704,1
0.336478332,0.205741052,0.606834014,0.864399342,0.192320351,0.92679558,0.219493154,0.485353812,1
0.344864865,0.215090963,0.617834775,0.887351351,0.192540541,0.933373099,0.229048613,0.496432432,1
0.366602067,0.20841476,0.573514197,0.91042205,0.201012059,0.895160363,0.229796528,0.54543497,1
0.345332775,0.199532528,0.598987145,0.796846658,0.22673364,0.916244644,0.216361511,0.45876936,1
0.35857461,0.212077035,0.587508632,0.820016704,0.22188196,0.92212077,0.228727077,0.469933185,1
0.370840153,0.214917921,0.558438611,0.834833606,0.21685761,0.905060897,0.234359634,0.502318603,1
0.340414854,0.192050335,0.568660741,0.694546671,0.228839077,0.875162289,0.216818136,0.425727668,1
0.348897312,0.198197325,0.540027137,0.742074431,0.232253618,0.846191122,0.226788137,0.448311509,1
0.383513149,0.205170252,0.523198611,0.771915037,0.243256912,0.849040224,0.237870165,0.467127444,1
0.372192273,0.184867292,0.564769576,0.676774483,0.250449236,0.987587482,0.248646507,0.347484277,1
0.352387357,0.180405583,0.553858309,0.674288276,0.251288949,0.961285225,0.262048986,0.379287155,1
0.354519463,0.185190091,0.543780633,0.680888498,0.248955355,0.956285601,0.260564313,0.393226303,1
0.323759791,0.168320106,0.638558201,0.628720627,0.248041775,1.002645503,0.260582011,0.33002611,1
0.353874636,0.160688435,0.637767412,0.617297011,0.266860619,0.944506997,0.255589513,0.372652737,1
0.349674055,0.157827271,0.60390963,0.646153846,0.25684485,0.922768787,0.24515302,0.373663625,1
0.277514231,0.197023024,0.719167033,0.904055977,0.194852941,0.845871829,0.239624578,0.370493359,1
0.297091499,0.194450529,0.697042716,0.94669829,0.206715766,0.865498357,0.232931727,0.402945949,1
0.305129165,0.202570026,0.68697661,0.985648321,0.207412954,0.85034652,0.238160554,0.413078747,1
0.311363996,0.17886466,0.664606692,0.851272325,0.231863442,0.824490156,0.227421206,0.374901217,1
0.317809943,0.193548387,0.72097226,0.846601636,0.221680302,0.860666847,0.238547032,0.398206419,1
0.330052389,0.198512067,0.664217021,0.885061121,0.219399905,0.856741063,0.240518962,0.395935863,1
0.323802011,0.174034111,0.637428936,0.761782686,0.231315322,0.797540318,0.228564799,0.370143956,1
0.325303564,0.194582446,0.661580317,0.774383079,0.242068155,0.829548143,0.23456352,0.384841363,1
0.330246914,0.184663163,0.659818442,0.78125,0.228780864,0.839225991,0.242355471,0.400655864,1
0.359747546,0.167680398,0.623030135,0.697054698,0.239831697,0.801769422,0.227398396,0.38569425,1
0.339921857,0.165473684,0.63522807,0.704895426,0.236497357,0.831719298,0.246315789,0.390025282,1
0.375964461,0.171501344,0.636620914,0.729717091,0.240589198,0.827649639,0.241686713,0.395838204,1
0.38550885,0.127069834,0.602051836,0.708794248,0.255807522,0.786897048,0.244780418,0.449668142,1
0.391561181,0.163272727,0.650181818,0.720956399,0.259353024,0.808545455,0.251272727,0.454852321,1
0.379911455,0.147904082,0.638843126,0.727725512,0.270060874,0.807065715,0.258282995,0.449363586,1
0.321959755,0.196124188,0.527242289,1.099300087,0.207174103,0.987773945,0.239752435,0.431846019,1
0.296051502,0.193347917,0.519787213,1.078712446,0.223433476,0.981654569,0.249030526,0.429871245,1
0.29967541,0.192237812,0.506308671,1.094043337,0.208790245,0.994145554,0.247955991,0.441179051,1
0.286714076,0.176976802,0.526502869,0.924822215,0.205892313,0.970067348,0.233225243,0.391917824,1
0.290318945,0.188105891,0.542567736,0.938465006,0.210526316,0.980797912,0.244469302,0.38994703,1
0.288799822,0.191381023,0.55377546,0.925851703,0.203963483,1.002483855,0.247516145,0.389556892,1
0.284347232,0.16454866,0.52668689,0.819548872,0.22556391,0.932442404,0.223661556,0.361175666,1
0.302029136,0.178986403,0.534569427,0.779656608,0.204604579,0.948825711,0.235929131,0.357310094,1
0.293691275,0.178993216,0.539241142,0.827651007,0.206711409,0.98215931,0.241645029,0.373691275,1
0.304510058,0.152332362,0.529154519,0.647306944,0.215282284,0.895980841,0.228342357,0.328033744,1
0.312317192,0.161875,0.529583333,0.647546311,0.216769581,0.921458333,0.24125,0.33279168,1
0.322094926,0.162438151,0.540372671,0.659574468,0.214075286,0.937467102,0.243078219,0.356301146,1
0.293005287,0.072325525,0.352934074,0.592313949,0.216348109,0.577396764,0.162641874,0.354005693,1
0.331140351,0.116918358,0.370339783,0.586523126,0.212719298,0.60512034,0.176852289,0.347089314,1
0.341409692,0.102303927,0.374955235,0.5969163,0.218261914,0.640921571,0.183717321,0.357829395,1
0.27303331,0.176259523,0.522339641,0.714121191,0.192948264,0.873433276,0.222904891,0.395021262,1
0.275849602,0.178835468,0.498332931,0.737075199,0.200289226,0.903116695,0.240541194,0.394432393,1
0.273086953,0.177437503,0.523995891,0.724934808,0.197284417,0.906707108,0.232278264,0.396996673,1
0.256565657,0.170483619,0.539095164,0.620538721,0.216161616,0.872199688,0.230390016,0.329068462,1
0.254582485,0.169241101,0.52103303,0.623783661,0.198121747,0.893277978,0.225044264,0.323942068,1
0.251444759,0.167720342,0.519152101,0.622096317,0.20101983,0.907710425,0.222387505,0.333824363,1
0.246296296,0.160589665,0.519015134,0.513390313,0.187606838,0.856033874,0.224104132,0.289458689,1
0.254431103,0.161427687,0.532285537,0.505431675,0.185105775,0.871167544,0.227392382,0.294739851,1
0.264261117,0.163934426,0.523648914,0.532864201,0.203922743,0.893403404,0.22276257,0.328791735,1
0.259798995,0.146277666,0.511167002,0.488609715,0.184422111,0.811569416,0.22334004,0.30921273,1
0.264854828,0.14835438,0.529481953,0.477380149,0.189061445,0.833151039,0.232276027,0.313133018,1
0.268322125,0.147284474,0.525641026,0.487842732,0.196930505,0.840702604,0.230062588,0.323331609,1
0.280780781,0.113296049,0.509832221,0.435435435,0.199136637,0.805520476,0.275482591,0.318506006,1
0.279034973,0.124910266,0.532842785,0.437815598,0.173181223,0.836145011,0.279612347,0.315129979,1
0.279403541,0.123461326,0.536101415,0.423112768,0.193849021,0.84879662,0.264743708,0.312581547,1
0.283601195,0.171910733,0.620061509,0.732186033,0.233110511,0.876902452,0.210156928,0.348456834,1
0.279954891,0.171822382,0.601613282,0.727516211,0.211728221,0.873443496,0.224136581,0.344798421,1
0.284382619,0.172097438,0.615944321,0.762799369,0.219991395,0.888010123,0.224454287,0.349060663,1
0.272756827,0.164023836,0.587718412,0.621423927,0.209037711,0.851833148,0.214826785,0.323146944,1
0.267759563,0.168187348,0.574513382,0.628580891,0.216426561,0.844890511,0.224959448,0.330683888,1
0.282077393,0.16114125,0.590114527,0.663781399,0.227936185,0.857846092,0.218002813,0.331636117,1
0.275353774,0.155916775,0.559037711,0.597877358,0.218356918,0.817425228,0.229128739,0.315841195,1
0.29908865,0.148167608,0.570208853,0.64084507,0.238608119,0.810061737,0.222514121,0.341135046,1
0.289593698,0.144771414,0.576852338,0.633913765,0.254975124,0.840646348,0.219784551,0.347222222,1
0.29827464,0.138118966,0.544845842,0.552588041,0.227369416,0.82949237,0.236374961,0.303238005,1
