feature_77,feature_45,feature_13,feature_43,feature_71,feature_54,feature_33,feature_55,feature_69,feature_6,feature_58,feature_16,feature_73,feature_63,feature_22,feature_75,feature_64,feature_47,feature_23,feature_12,feature_59,feature_61,feature_68,feature_8,target
1.67565235,0.84272515,0.402698444,0.294169785,0.106305209,0.106305209,0.369509553,0.144989339,0.122652046,0.218830018,0.115290892,0.605672641,0.427099198,1.603309981,0.369608036,0.131790029,2.014874607,1.443090669,0.178944258,0.306381721,0.228043456,0.430957458,0.18885166,2.373744337,1
1.743609645,0.847614612,0.385986773,0.276430557,0.106592156,0.106592156,0.342279306,0.150470868,0.11668219,0.211636155,0.118234503,0.587558708,0.441581289,1.671737556,0.356177514,0.13510297,2.004605195,1.439459795,0.17367967,0.299051088,0.238073062,0.457156163,0.200403601,2.292149909,1
1.926426587,0.856165847,0.381002487,0.256648173,0.108303056,0.108303056,0.343696193,0.145330199,0.118508228,0.209010905,0.117760205,0.602448823,0.435776875,1.663549904,0.36808877,0.133361829,2.016830519,1.52436418,0.173904725,0.291276067,0.244817269,0.510472323,0.193684548,2.283336522,1
1.700563438,0.760233521,0.37708701,0.398534003,0.103183762,0.103183762,0.344509298,0.14065576,0.13278121,0.222885842,0.117439413,0.520293199,0.391690992,1.484624262,0.362970001,0.147444165,1.957233046,1.612382051,0.179448894,0.296728655,0.234946711,0.430995859,0.192111873,2.152300801,1
1.839730218,0.768112919,0.363502081,0.393447026,0.104783757,0.104783757,0.329125822,0.141983034,0.129954109,0.213105949,0.116047838,0.507989795,0.434153803,1.534835211,0.355310863,0.140314282,2.009108608,1.645807259,0.174835504,0.286961192,0.255527743,0.481226533,0.205604228,2.134013697,1
1.816388575,0.77969457,0.363892996,0.382578304,0.106476244,0.106476244,0.327597795,0.13956448,0.131575226,0.218577766,0.115243213,0.521306627,0.439833145,1.507777149,0.357171663,0.140766403,2.003535068,1.634615385,0.179728458,0.289823901,0.236849548,0.478577489,0.190469457,2.14128243,1
1.528483858,0.70224765,0.37115022,0.465116279,0.097834083,0.097834083,0.345380264,0.142787086,0.141806293,0.225172847,0.114752758,0.485386549,0.406293421,1.338782182,0.359522313,0.156681651,1.861708214,1.773845525,0.186046512,0.299654305,0.22451982,0.415529219,0.181610135,2.012413576,1
1.652658228,0.681940928,0.358875921,0.44041769,0.099493671,0.099493671,0.328163391,0.140168776,0.141012658,0.214834152,0.116202532,0.478501229,0.382531646,1.386075949,0.360718673,0.155611814,1.969451477,1.795780591,0.171836609,0.283015971,0.246835443,0.451139241,0.191561181,2.007985258,1
1.834599448,0.710808011,0.337006961,0.421693735,0.105145028,0.105145028,0.309164733,0.137776243,0.139589088,0.207221578,0.116799033,0.458961717,0.435687155,1.404178177,0.328886311,0.152710635,1.958736188,1.805248619,0.170388631,0.266966357,0.233857044,0.455973757,0.186377762,1.861513921,1
1.516861511,0.637927158,0.368314834,0.505751766,0.09330036,0.09330036,0.373965691,0.12443795,0.183678058,0.22764884,0.126573741,0.44419778,0.414793165,1.288669065,0.392129162,0.188848921,1.818907374,1.926596223,0.198385469,0.324117053,0.224145683,0.410971223,0.189523381,1.717860747,1
1.613548092,0.662097327,0.3794851,0.513277924,0.094356865,0.094356865,0.34684776,0.128169979,0.168037469,0.229474965,0.119716701,0.449422258,0.385423806,1.326707791,0.362659639,0.184601325,1.861549006,1.902901531,0.196229475,0.290289884,0.235549463,0.429403701,0.190769934,1.724508413,1
1.722971374,0.675065058,0.361405575,0.501570475,0.098414952,0.098414952,0.333922261,0.135557133,0.166311805,0.216332941,0.115448308,0.443855516,0.442394133,1.30305181,0.344719278,0.191861841,1.913532056,2.001656021,0.197879859,0.27718885,0.236337828,0.455050863,0.194819021,1.672555948,1
1.426933702,0.589502762,0.340590329,0.464098807,0.097651934,0.097651934,0.322378062,0.123756906,0.200276243,0.230898053,0.126657459,0.417416789,0.440331492,1.251933702,0.339543647,0.236878453,1.760635359,1.904005525,0.199288256,0.272137325,0.223480663,0.395441989,0.203314917,1.508687461,1
1.500070314,0.611165799,0.36030502,0.462825673,0.094642104,0.094642104,0.339970345,0.142314724,0.196034313,0.225799619,0.123892561,0.41897903,0.422162846,1.288707636,0.347172209,0.215581493,1.792434257,1.972577697,0.214573184,0.284261809,0.24483195,0.415412741,0.190127971,1.50900233,1
1.613896848,0.626361032,0.325734237,0.458410351,0.099140401,0.099140401,0.326966523,0.130372493,0.183954155,0.22181146,0.118481375,0.410556582,0.446561605,1.251289398,0.359416718,0.227936963,1.764756447,1.959455587,0.18402136,0.266173752,0.237249284,0.434527221,0.193839542,1.444239063,1
1.297220427,0.908532644,0.383630208,0.225084646,0.138655462,0.138655462,0.387163256,0.129411765,0.13852618,0.219049021,0.13697479,0.790961284,0.440142211,1.127407886,0.386132784,0.165287654,1.68332256,0.94272786,0.175621964,0.355365818,0.233548804,0.355074337,0.178474467,2.277491535,1
