feature_4,feature_29,feature_2,feature_7,feature_10,feature_11,feature_12,feature_21,feature_1,feature_6,feature_23,feature_30,feature_5,feature_20,feature_27,feature_26,feature_28,feature_16,feature_13,feature_17,feature_3,feature_9,feature_8,feature_24,feature_18,feature_22,feature_19,feature_25,feature_15,feature_14,diagnosis
1001.0,0.4601,10.38,0.3001,0.07871,1.095,0.9053,25.38,17.99,0.2776,184.6,0.1189,0.1184,0.006193,0.7119,0.6656,0.2654,0.04904,8.589,0.05373,122.8,0.2419,0.1471,2019.0,0.01587,17.33,0.03003,0.1622,0.006399,153.4,M
1326.0,0.275,17.77,0.0869,0.05667,0.5435,0.7339,24.99,20.57,0.07864,158.8,0.08902,0.08474,0.003532,0.2416,0.1866,0.186,0.01308,3.398,0.0186,132.9,0.1812,0.07017,1956.0,0.0134,23.41,0.01389,0.1238,0.005225,74.08,M
1203.0,0.3613,21.25,0.1974,0.05999,0.7456,0.7869,23.57,19.69,0.1599,152.5,0.08758,0.1096,0.004571,0.4504,0.4245,0.243,0.04006,4.585,0.03832,130.0,0.2069,0.1279,1709.0,0.02058,25.53,0.0225,0.1444,0.00615,94.03,M
386.1,0.6638,20.38,0.2414,0.09744,0.4956,1.156,14.91,11.42,0.2839,98.87,0.173,0.1425,0.009208,0.6869,0.8663,0.2575,0.07458,3.445,0.05661,77.58,0.2597,0.1052,567.7,0.01867,26.5,0.05963,0.2098,0.00911,27.23,M
1297.0,0.2364,14.34,0.198,0.05883,0.7572,0.7813,22.54,20.29,0.1328,152.2,0.07678,0.1003,0.005115,0.4,0.205,0.1625,0.02461,5.438,0.05688,135.1,0.1809,0.1043,1575.0,0.01885,16.67,0.01756,0.1374,0.01149,94.44,M
477.1,0.3985,15.7,0.1578,0.07613,0.3345,0.8902,15.47,12.45,0.17,103.4,0.1244,0.1278,0.005082,0.5355,0.5249,0.1741,0.03345,2.217,0.03672,82.57,0.2087,0.08089,741.6,0.01137,23.75,0.02165,0.1791,0.00751,27.19,M
1040.0,0.3063,19.98,0.1127,0.05742,0.4467,0.7732,22.88,18.25,0.109,153.2,0.08368,0.09463,0.002179,0.3784,0.2576,0.1932,0.01382,3.18,0.02254,119.6,0.1794,0.074,1606.0,0.01039,27.66,0.01369,0.1442,0.004314,53.91,M
577.9,0.3196,20.83,0.09366,0.07451,0.5835,1.377,17.06,13.71,0.1645,110.6,0.1151,0.1189,0.005412,0.2678,0.3682,0.1556,0.03029,3.856,0.02488,90.2,0.2196,0.05985,897.0,0.01448,28.14,0.01486,0.1654,0.008805,50.96,M
519.8,0.4378,21.82,0.1859,0.07389,0.3063,1.002,15.49,13.0,0.1932,106.2,0.1072,0.1273,0.003749,0.539,0.5401,0.206,0.03502,2.406,0.03553,87.5,0.235,0.09353,739.3,0.01226,30.73,0.02143,0.1703,0.005731,24.32,M
475.9,0.4366,24.04,0.2273,0.08243,0.2976,1.599,15.09,12.46,0.2396,97.65,0.2075,0.1186,0.01008,1.105,1.058,0.221,0.07217,2.039,0.07743,83.97,0.203,0.08543,711.4,0.01432,40.68,0.01789,0.1853,0.007149,23.94,M
