feature_29,feature_10,feature_12,feature_11,feature_9,feature_16,feature_2,feature_18,feature_21,feature_6,feature_8,feature_1,feature_4,feature_7,feature_23,feature_14,feature_24,feature_28,feature_26,feature_13,feature_17,feature_27,feature_19,feature_30,feature_20,feature_5,feature_3,feature_22,feature_25,feature_15,diagnosis
0.4601,0.07871,0.9053,1.095,0.2419,0.04904,10.38,0.01587,25.38,0.2776,0.1471,17.99,1001.0,0.3001,184.6,153.4,2019.0,0.2654,0.6656,8.589,0.05373,0.7119,0.03003,0.1189,0.006193,0.1184,122.8,17.33,0.1622,0.006399,M
0.275,0.05667,0.7339,0.5435,0.1812,0.01308,17.77,0.0134,24.99,0.07864,0.07017,20.57,1326.0,0.0869,158.8,74.08,1956.0,0.186,0.1866,3.398,0.0186,0.2416,0.01389,0.08902,0.003532,0.08474,132.9,23.41,0.1238,0.005225,M
0.3613,0.05999,0.7869,0.7456,0.2069,0.04006,21.25,0.02058,23.57,0.1599,0.1279,19.69,1203.0,0.1974,152.5,94.03,1709.0,0.243,0.4245,4.585,0.03832,0.4504,0.0225,0.08758,0.004571,0.1096,130.0,25.53,0.1444,0.00615,M
0.6638,0.09744,1.156,0.4956,0.2597,0.07458,20.38,0.01867,14.91,0.2839,0.1052,11.42,386.1,0.2414,98.87,27.23,567.7,0.2575,0.8663,3.445,0.05661,0.6869,0.05963,0.173,0.009208,0.1425,77.58,26.5,0.2098,0.00911,M
0.2364,0.05883,0.7813,0.7572,0.1809,0.02461,14.34,0.01885,22.54,0.1328,0.1043,20.29,1297.0,0.198,152.2,94.44,1575.0,0.1625,0.205,5.438,0.05688,0.4,0.01756,0.07678,0.005115,0.1003,135.1,16.67,0.1374,0.01149,M
0.3985,0.07613,0.8902,0.3345,0.2087,0.03345,15.7,0.01137,15.47,0.17,0.08089,12.45,477.1,0.1578,103.4,27.19,741.6,0.1741,0.5249,2.217,0.03672,0.5355,0.02165,0.1244,0.005082,0.1278,82.57,23.75,0.1791,0.00751,M
0.3063,0.05742,0.7732,0.4467,0.1794,0.01382,19.98,0.01039,22.88,0.109,0.074,18.25,1040.0,0.1127,153.2,53.91,1606.0,0.1932,0.2576,3.18,0.02254,0.3784,0.01369,0.08368,0.002179,0.09463,119.6,27.66,0.1442,0.004314,M
0.3196,0.07451,1.377,0.5835,0.2196,0.03029,20.83,0.01448,17.06,0.1645,0.05985,13.71,577.9,0.09366,110.6,50.96,897.0,0.1556,0.3682,3.856,0.02488,0.2678,0.01486,0.1151,0.005412,0.1189,90.2,28.14,0.1654,0.008805,M
0.4378,0.07389,1.002,0.3063,0.235,0.03502,21.82,0.01226,15.49,0.1932,0.09353,13.0,519.8,0.1859,106.2,24.32,739.3,0.206,0.5401,2.406,0.03553,0.539,0.02143,0.1072,0.003749,0.1273,87.5,30.73,0.1703,0.005731,M
0.4366,0.08243,1.599,0.2976,0.203,0.07217,24.04,0.01432,15.09,0.2396,0.08543,12.46,475.9,0.2273,97.65,23.94,711.4,0.221,1.058,2.039,0.07743,1.105,0.01789,0.2075,0.01008,0.1186,83.97,40.68,0.1853,0.007149,M
0.2948,0.05697,1.187,0.3795,0.1528,0.009269,23.24,0.007591,19.19,0.06669,0.03323,16.02,797.8,0.03299,123.8,40.51,1150.0,0.09975,0.1551,2.466,0.01101,0.1459,0.0146,0.08452,0.003042,0.08206,102.7,33.88,0.1181,0.004029,M
