feature,feature_name,max_weight_score
F24,feature_24,0.5910824
F4,feature_4,0.51479
F26,feature_26,0.44832584
F5,feature_5,0.42813194
F1,feature_1,0.40829545
F8,feature_8,0.40762615
F9,feature_9,0.39649248
F25,feature_25,0.39464912
F28,feature_28,0.3930947
F20,feature_20,0.38300994
F22,feature_22,0.37786752
F12,feature_12,0.3575646
F29,feature_29,0.35690457
F3,feature_3,0.35572165
F23,feature_23,0.3553886
F15,feature_15,0.35440764
F13,feature_13,0.35382807
F2,feature_2,0.34277457
F18,feature_18,0.33939928
F10,feature_10,0.3309016
F27,feature_27,0.3289039
F16,feature_16,0.32843524
F21,feature_21,0.32618603
F14,feature_14,0.3251607
F7,feature_7,0.32250133
F6,feature_6,0.32048067
F19,feature_19,0.31960782
F30,feature_30,0.31738523
F17,feature_17,0.3163634
F11,feature_11,0.30517507
