,Neuron1,Neuron2,Neuron3,Neuron4,Neuron5,Neuron6,Neuron7,Neuron8,Neuron9,Neuron10,Neuron11,Neuron12,Neuron13,Neuron14,Neuron15,Neuron16,Neuron17,Neuron18,Neuron19,Neuron20,Neuron21,Neuron22,Neuron23,Neuron24,Neuron25,Neuron26,Neuron27,Neuron28,Neuron29,Neuron30
F1,0.23756994,0.107954666,0.01045286,0.14167961,0.25047082,0.14613283,0.25643942,0.27593595,-0.21244648,0.12037607,-0.17928463,0.18188591,-0.070313536,-0.093468,-0.026024178,-0.2901787,-0.18168493,-0.0057524084,0.2906011,-0.10995537,0.03091179,-0.04964955,0.33423752,0.24936776,-0.28980482,-0.058117703,0.3289039,-0.32282054,0.35690457,0.018249694
F2,0.21689841,-0.026872605,-0.25601166,-0.24770609,0.2814764,0.31402323,-0.23841423,-0.058539033,0.31396243,0.050273627,0.07700366,-0.163253,0.1297842,0.17660055,0.0468311,0.28814265,-0.3163634,-0.33099148,0.17872277,-0.17801264,-0.1558994,-0.26109713,0.3553886,-0.049666494,0.043459922,0.060345978,0.057991475,0.24090245,0.35056522,0.17984918
F3,0.31513193,0.20119902,0.09972435,-0.24257877,-0.08337209,0.100446284,-0.102189064,0.26786152,-0.11757754,0.038291812,-0.2853354,0.10367778,-0.35382807,0.26764432,-0.32813686,0.31134406,0.11519945,0.07564944,-0.31960782,0.2539582,0.15014198,-0.10664949,-0.23154351,0.31105897,-0.34012637,0.2281113,-0.10079336,-0.0399324,-0.30823442,-0.008520335
F4,-0.3224756,0.30943054,0.32279783,0.33697397,0.42813194,0.09331089,0.26914626,0.40762615,0.06039897,0.06772965,-0.12524447,0.023217896,0.24256006,-0.17866218,0.1254456,-0.32843524,-0.056384414,-0.1575022,0.10323291,0.2553693,0.1813136,-0.37786752,-0.03312673,-0.5910824,0.081380196,-0.067526974,0.05806523,-0.123612456,0.018017637,0.24142691
F5,0.109788425,-0.008786278,-0.009501738,0.14866468,0.21722083,-0.12329587,-0.23593941,-0.18235078,0.39649248,0.017422361,0.30517507,-0.18683478,-0.054124955,0.044794414,-0.2613415,0.12707925,-0.18467559,0.122876115,-0.06277325,-0.22139294,-0.11487975,0.318525,-0.084436916,0.22623606,0.39464912,-0.16584806,0.060031086,-0.11881849,-0.027366923,-0.06295197
F6,0.12270037,0.042177107,-0.030382816,-0.2623009,0.029887727,-0.20195565,-0.2309347,0.24305959,0.14208543,-0.1906917,-0.27639827,-0.15880737,-0.31853807,0.106906064,0.1756063,0.21541715,0.056926545,-0.25722268,-0.030385507,-0.38300994,0.15111291,-0.26637128,-0.17298824,-0.15429679,-0.08234914,0.12491226,0.05531482,0.3930947,-0.24155714,-0.24632382
F7,0.17882076,-0.13082048,-0.108213075,0.51479,-0.20256716,0.16486534,-0.13025929,-0.10528499,0.004789731,0.07856163,-0.04386772,-0.051852997,0.022902967,-0.1453581,-0.26124334,0.06516242,-0.08280472,-0.004755492,0.20236959,-0.05582651,-0.32148513,0.26150897,-0.20964412,0.39348254,-0.050853103,0.19975369,-0.17779377,0.32756945,-0.118832655,0.29163638
F8,-0.33958346,-0.017190516,-0.35572165,-0.1962161,0.15984318,-0.2453571,-0.30994606,-0.20776291,-0.015299678,-0.11321004,-0.02338469,-0.35534218,-0.15577851,-0.15840468,0.35440764,0.19084659,-0.039797127,0.23980924,-0.1735877,-0.25434422,0.32618603,-0.22641405,-0.12619674,0.2653452,-0.15514924,-0.19983327,0.2792504,-0.22567569,-0.19986297,0.009866625
F9,0.16389397,0.2578914,-0.27084002,-0.16315536,0.32746878,0.11355457,0.32250133,0.24174353,0.10251412,-0.119126424,-0.09387237,-0.0413312,0.12902725,0.032545835,0.31167784,-0.21138905,0.16506091,-0.33939928,-0.11550479,0.21331576,0.15002647,-0.035674006,-0.07262081,0.19502488,0.21444032,0.31004646,0.120339155,-0.32895496,0.012483388,0.27748737
F10,0.31228194,0.16634163,-0.0074719787,-0.1588471,-0.18520468,-0.10568097,0.25726703,-0.16365573,-0.31179443,0.3145915,0.1204969,0.050967216,-0.23853263,0.2918956,0.12643963,-0.21548375,-0.041342556,-0.3308594,0.27719226,-0.013403118,0.21677914,-0.15726359,0.17729494,0.25035498,0.2846392,0.16718784,-0.16509353,-0.2625253,-0.25333944,-0.15743916
F11,0.289672,0.03646496,-0.03955716,0.12178308,0.20272234,-0.087069094,-0.13930665,-0.22192505,-0.13795598,0.14824787,-0.13572314,0.0814656,0.08504462,0.29629132,0.3043249,-0.20281214,0.012204766,-0.021555603,-0.094362825,-0.09179151,0.11885759,0.24824306,0.2865179,-0.17835164,-0.13085571,-0.33801776,-0.296566,0.23649845,0.19505039,0.19250497
F12,0.027348313,-0.12535264,0.11357901,0.11992171,0.1150306,0.18459505,0.093908094,-0.045136824,-0.22886465,0.0130298715,-0.20863849,-0.30104107,0.23790939,-0.10089976,0.24028195,-0.19598188,-0.2287523,-0.17922862,0.08265956,0.24954891,0.054488063,-0.060116947,0.3212641,0.42187005,-0.07895518,0.16191182,-0.07970043,0.01060269,-0.09546802,-0.18465889
F13,0.035620093,-0.34277457,0.29199883,-0.0709562,0.13134986,0.32048067,0.15639487,0.35781655,0.28967515,0.3309016,-0.08470029,-0.3575646,0.3169597,0.27229378,-0.12695697,0.045935333,0.10119912,0.08214423,-0.034005493,-0.35427094,-0.09986085,-0.07914013,0.22759011,-0.27660736,-0.305065,-0.30936947,-0.2531836,-0.23532455,0.19659618,-0.31738523
F14,-0.33730036,-0.12778738,0.14255926,0.24996753,0.4012976,-0.061730344,0.25758618,0.39166647,0.15729873,0.06103736,-0.058762867,0.067872316,0.13708976,0.009853058,-0.053890847,-0.019869111,-0.02418058,-0.14269751,0.095354915,0.039520137,-0.02955718,-0.31530955,0.11130118,0.32446828,0.103540175,-0.44832584,0.13121021,0.03266228,-0.03809467,0.29127058
F15,-0.40829545,0.30771223,0.07820651,0.103257306,-0.18769224,0.20094694,-0.027250873,0.22216019,-0.1923458,-0.13866822,-0.055457994,0.31240612,-0.25680983,-0.06639806,0.20400742,-0.300563,0.31313354,0.18705122,-0.013736745,0.14211859,0.20779827,-0.1798504,0.3223359,0.44456565,-0.22949918,0.19696774,0.078667656,-0.19242187,0.043396816,0.1423149
F16,0.17021042,0.091086805,0.0029528975,0.19510022,-0.25716734,-0.31730554,0.20920485,-0.0006634833,-0.1927676,-0.033497535,-0.051385574,0.31264603,-0.06887366,0.3251607,0.18648694,0.23475623,0.31093332,-0.037328143,-0.2323769,-0.06464223,0.25461432,-0.23949893,-0.13945574,0.16026583,-0.23762438,-0.089590885,0.050085627,-0.029322337,0.22476478,-0.26180506
