feature,feature_name,avg_weight_score
F4,feature_4,0.23947297
F29,feature_29,0.22899781
F2,feature_2,0.2252153
F7,feature_7,0.22137797
F10,feature_10,0.21911396
F11,feature_11,0.215823
F12,feature_12,0.211626
F21,feature_21,0.20415409
F1,feature_1,0.20374301
F6,feature_6,0.2030315
F23,feature_23,0.19966725
F30,feature_30,0.19499448
F5,feature_5,0.1948402
F20,feature_20,0.19463985
F27,feature_27,0.18684131
F26,feature_26,0.18604785
F28,feature_28,0.18330497
F16,feature_16,0.18213043
F13,feature_13,0.18172385
F17,feature_17,0.1812337
F3,feature_3,0.1804833
F9,feature_9,0.17930785
F8,feature_8,0.17878759
F24,feature_24,0.17471808
F18,feature_18,0.1704239
F22,feature_22,0.16716307
F19,feature_19,0.16591318
F25,feature_25,0.14614047
F15,feature_15,0.1418137
F14,feature_14,0.1308367
