feature,feature_name,max_weight_score
F29,feature_29,0.5302789
F10,feature_10,0.52056617
F12,feature_12,0.5126234
F11,feature_11,0.5086692
F9,feature_9,0.50504225
F16,feature_16,0.5042314
F2,feature_2,0.4946348
F18,feature_18,0.45893487
F21,feature_21,0.45887336
F6,feature_6,0.45067537
F8,feature_8,0.4386396
F1,feature_1,0.43514058
F4,feature_4,0.42348006
F7,feature_7,0.41225925
F23,feature_23,0.39013416
F14,feature_14,0.38633072
F24,feature_24,0.38553604
F28,feature_28,0.38246962
F26,feature_26,0.37215698
F13,feature_13,0.36367065
F17,feature_17,0.35798487
F27,feature_27,0.35776344
F19,feature_19,0.3498143
F30,feature_30,0.34305593
F20,feature_20,0.33875954
F5,feature_5,0.33238325
F3,feature_3,0.3303647
F22,feature_22,0.29340172
F25,feature_25,0.27634832
F15,feature_15,0.25689083
