feature,weight_list
F1,"[0.08782244473695755, 0.028591495007276535, 0.13695600628852844, 0.030412694439291954, 0.08281402289867401, 0.014898303896188736, 0.0462314672768116, 0.024831309914588928, 0.03688870742917061, 0.004040305968374014, 0.003262750105932355, 0.010277836583554745, 0.11222447454929352, 0.01583266817033291, 0.037020888179540634, 0.009613988921046257, 0.03480114787817001, 0.10470591485500336, 0.022506557404994965, 0.08154952526092529, 0.12305024266242981, 0.06710676103830338, 0.09055281430482864, 0.06416764855384827, 0.09279386699199677, 0.05919937416911125, 0.021178236231207848, 0.015393143519759178, 0.01466043945401907, 0.07758893072605133, 0.033295486122369766, 0.006915290839970112, 0.0512850396335125, 0.07645736634731293, 0.040036268532276154, 0.0008051714394241571, 0.11443806439638138, 0.12315239757299423, 0.010126595385372639, 0.00300919683650136, 0.10244008898735046, 0.0625198632478714, 0.0405801460146904, 0.006382878869771957, 0.130160391330719, 0.017920343205332756, 0.014757075347006321, 0.08536064624786377, 0.06172703951597214, 0.038179539144039154, 0.035661730915308, 0.03247624635696411, 0.06301483511924744, 0.053498413413763046, 0.02827528677880764, 0.035770367830991745, 0.049142710864543915, 0.08533278852701187, 0.0490318238735199, 0.07859005033969879, 0.05065347999334335, 0.0874328464269638, 0.016162628307938576, 0.03875064104795456, 0.07145582884550095, 0.01921466365456581, 0.09187285602092743, 0.13142462074756622, 0.013344700448215008, 0.09319744259119034, 0.08289986848831177, 0.12181685864925385, 0.09828469157218933, 0.05442865565419197, 0.012220633216202259, 0.002435125643387437, 0.013886737637221813, 0.04664838686585426, 0.04491862282156944, 0.03929746523499489, 0.0732080265879631, 0.10718684643507004, 0.05110577121376991, 0.04560939222574234, 0.005049001891165972, 0.0574306845664978, 0.02179679274559021, 0.0328599289059639, 0.07441262900829315, 0.0374935083091259, 0.009710177779197693, 0.014323478564620018, 0.061453256756067276, 0.11379141360521317, 0.04666006937623024, 0.04198577627539635, 0.023461515083909035, 0.10285088419914246, 0.05115240812301636, 0.05518136918544769, 0.08781692385673523, 0.07416635006666183, 0.07160794734954834, 0.014586478471755981, 0.08481384813785553, 0.004798179026693106, 0.03329944983124733, 0.02948058396577835, 0.05182997137308121, 0.04908040165901184, 0.007647799327969551, 0.005833377595990896, 0.07389730960130692, 0.04077596217393875, 0.04976572096347809, 0.04211465269327164, 0.05119558423757553, 0.05294440686702728, 0.017670700326561928, 0.04075702652335167, 0.03770916163921356, 0.0883721262216568, 0.1392137110233307, 0.012796892784535885, 0.0033476005773991346, 0.010793238878250122, 0.023042038083076477, 0.04790894314646721]"
F2,"[0.0773095116019249, 0.09534824639558792, 0.06619048118591309, 0.05441473424434662, 0.125979483127594, 0.07565014809370041, 0.05996745452284813, 0.11854571104049683, 0.05519215390086174, 0.10331512987613678, 0.039976686239242554, 0.10295392572879791, 0.04259446635842323, 0.06793492287397385, 0.07589581608772278, 0.05162981152534485, 0.0014613671228289604, 0.0010094085009768605, 0.08720357716083527, 0.015670936554670334, 0.07125115394592285, 0.08596204966306686, 0.07103672623634338, 0.10205366462469101, 0.05776694416999817, 0.039168983697891235, 0.036028891801834106, 0.022133775055408478, 0.09089598804712296, 0.17470622062683105, 0.036285486072301865, 0.08909866958856583, 0.06203184276819229, 0.04026336595416069, 0.0227485504001379, 0.06867500394582748, 0.0942363291978836, 0.17798437178134918, 0.0589120090007782, 0.2432798147201538, 0.09039970487356186, 0.1158822774887085, 0.23611745238304138, 0.026248114183545113, 0.0015037002740427852, 0.007539493963122368, 0.016705334186553955, 0.04275870695710182, 0.08744235336780548, 0.013146588578820229, 0.0488160215318203, 0.06013297662138939, 0.1204189583659172, 0.0038035667967051268, 0.012577169574797153, 0.03316086158156395, 0.013706796802580357, 0.12138259410858154, 0.024410966783761978, 0.02520093321800232, 0.06503188610076904, 0.050068747252225876, 0.04237544536590576, 0.08289071917533875, 0.1685226410627365, 0.04313074052333832, 0.11968596279621124, 0.003194354008883238, 0.07228986918926239, 0.08250489085912704, 0.11412782967090607, 0.136664479970932, 0.006373140029609203, 0.02076290175318718, 0.08035165071487427, 0.03422194719314575, 0.03986682742834091, 0.06436242163181305, 0.11542067676782608, 0.03395456075668335, 0.1280166655778885, 0.015489442273974419, 0.13904906809329987, 0.0707210972905159, 0.051130857318639755, 0.035975392907857895, 0.05196318030357361, 0.04301972687244415, 0.10612107068300247, 0.02407178469002247, 0.032756224274635315, 0.11208882927894592, 0.08833536505699158, 0.07653219997882843, 0.16220563650131226, 0.010956174694001675, 0.1532251536846161, 0.03416268154978752, 0.012089762836694717, 0.031303126364946365, 0.03632808476686478, 0.1403353214263916, 0.02749313972890377, 0.14252455532550812, 0.03580353781580925, 0.03681376948952675, 0.12159474194049835, 0.100499726831913, 0.0028625433333218098, 0.031375497579574585, 0.013488410040736198, 0.047489941120147705, 0.011533400975167751, 0.1487770974636078, 0.06392145156860352, 0.10786812007427216, 0.008800915442407131, 0.12776395678520203, 0.02863442339003086, 0.06391221284866333, 0.03990556299686432, 0.002587016439065337, 0.13764573633670807, 0.0423242524266243, 0.14568065106868744, 0.014410842210054398, 0.16020292043685913, 0.039518628269433975]"
F3,"[0.04089776426553726, 0.0292269978672266, 0.03476475551724434, 0.016804281622171402, 0.030445022508502007, 0.02452828921377659, 0.01040403451770544, 0.010562790557742119, 0.012752224691212177, 0.012522168457508087, 0.014825256541371346, 0.03286423161625862, 0.02799391746520996, 0.025528984144330025, 0.019824501127004623, 0.004264235030859709, 0.025276917964220047, 0.024135341867804527, 0.02124055102467537, 0.018759755417704582, 0.044988926500082016, 0.006161070428788662, 0.03700495511293411, 0.001961045665666461, 0.004796672146767378, 0.036758534610271454, 0.025355687364935875, 0.016634831205010414, 0.02909690886735916, 0.03380375728011131, 0.040069565176963806, 0.014680051244795322, 0.010058382526040077, 0.033660922199487686, 0.020584886893630028, 0.0029361953493207693, 0.02072400599718094, 0.015779366716742516, 0.02026423253118992, 0.02434133179485798, 0.027725467458367348, 0.0378590002655983, 0.012295292690396309, 0.03543427959084511, 0.013694987632334232, 0.014730372466146946, 0.017923610284924507, 0.024145640432834625, 0.006402943748980761, 0.013833606615662575, 0.015384216792881489, 0.023477768525481224, 0.022359970957040787, 0.03934767097234726, 0.020981010049581528, 0.01823379285633564, 0.012749476358294487, 0.018580956384539604, 0.033566154539585114, 0.019012702628970146, 0.01028055977076292, 0.017115967348217964, 0.0015332858311012387, 0.0192734245210886, 0.004373454488813877, 0.0033394868951290846, 0.011173466220498085, 0.03667876496911049, 0.004775292705744505, 0.02819257415831089, 0.03663409873843193, 0.018481986597180367, 0.00416617700830102, 0.021317381411790848, 0.01159239374101162, 0.0009538460290059447, 0.04321574047207832, 6.794725049985573e-05, 0.003311676438897848, 0.026024460792541504, 0.018268583342432976, 0.030885502696037292, 0.02575281262397766, 0.01783599890768528, 0.006527517456561327, 0.0005152394878678024, 0.021172750741243362, 0.01020537968724966, 0.00560357142239809, 0.03432180732488632, 0.020017212256789207, 0.027774116024374962, 0.03202534094452858, 0.01091790571808815, 0.006150067318230867, 0.011890032328665257, 0.0034760404378175735, 0.000319038110319525, 0.023796875029802322, 0.023939456790685654, 0.02099486067891121, 0.02436535805463791, 0.006408597808331251, 0.026561394333839417, 0.011548039503395557, 0.04518379271030426, 0.023666922003030777, 0.0005444709095172584, 0.016326043754816055, 0.007137052249163389, 0.015435026958584785, 0.010729046538472176, 0.010999615304172039, 0.0332154855132103, 0.017588665708899498, 0.0005803665262646973, 0.012171228416264057, 0.008262140676379204, 0.001277230097912252, 0.035094309598207474, 0.029120897874236107, 0.0013582173269242048, 0.014639238826930523, 0.016367517411708832, 0.03369216248393059, 0.037845153361558914, 9.745174611452967e-05, 0.010388965718448162]"
F4,"[0.05175229534506798, 0.056547775864601135, 0.035465773195028305, 0.14245501160621643, 0.0035241725854575634, 0.05546775087714195, 0.06938418745994568, 0.007067664060741663, 0.009302929975092411, 0.07543077319860458, 0.013301897794008255, 0.048327960073947906, 0.01211356557905674, 0.0640631839632988, 0.04782450944185257, 0.012610530480742455, 0.007321535609662533, 0.06385332345962524, 0.015268448740243912, 0.04500285163521767, 0.04858189448714256, 0.09673334658145905, 0.07115951925516129, 0.03600504249334335, 0.03442830964922905, 0.05042406544089317, 0.016789905726909637, 0.013691960833966732, 0.010948014445602894, 0.04814957454800606, 0.028608646243810654, 0.016658850014209747, 0.025478316470980644, 0.05850163474678993, 0.027339547872543335, 0.04888421669602394, 0.07214201986789703, 0.0008571927901357412, 0.019185353070497513, 0.023782216012477875, 0.08316131681203842, 0.023791391402482986, 0.028842385858297348, 0.04963439702987671, 0.023383602499961853, 0.07580018043518066, 0.08837636560201645, 0.05012601613998413, 0.02184777893126011, 0.0051227351650595665, 0.022105630487203598, 0.04771563783288002, 0.05122081935405731, 0.050531357526779175, 0.019727569073438644, 0.014868048951029778, 0.026127982884645462, 0.01478152722120285, 0.029761234298348427, 0.019040485844016075, 0.022073043510317802, 0.06471391767263412, 0.046165838837623596, 0.10685469955205917, 0.04962728172540665, 0.008474436588585377, 0.003253340721130371, 0.04157344624400139, 0.08395761996507645, 0.036067452281713486, 0.03631396219134331, 0.013670753687620163, 0.09106699377298355, 0.009306506253778934, 0.05471055582165718, 0.07429056614637375, 0.006420271936804056, 0.04409242793917656, 0.1023593321442604, 0.04750377684831619, 0.08985874056816101, 0.11811196058988571, 0.09042702615261078, 0.017920836806297302, 0.0016364511102437973, 0.01559936162084341, 0.029862603172659874, 0.03233357146382332, 0.059312548488378525, 0.039688386023044586, 0.08759874105453491, 0.0873103216290474, 0.07720591127872467, 0.01958613283932209, 0.05862218886613846, 0.1005871593952179, 0.04683096334338188, 0.07481961697340012, 0.07693172246217728, 0.06257322430610657, 0.10928817093372345, 0.006996735464781523, 0.044158950448036194, 0.08622732013463974, 0.020824017003178596, 0.0513518862426281, 0.08277474343776703, 0.009564555250108242, 0.009938736446201801, 0.0471314899623394, 0.023236993700265884, 0.08020295202732086, 0.025559043511748314, 0.02813258208334446, 0.051500771194696426, 0.022357812151312828, 0.09678849577903748, 0.011769352480769157, 0.09540456533432007, 0.06401925534009933, 0.10207138955593109, 0.042765770107507706, 0.0064910706132650375, 0.0024245516397058964, 0.04409848153591156, 0.13409653306007385, 0.021655701100826263, 0.04540347680449486]"
F5,"[0.008619017899036407, 0.11853634566068649, 0.0066736843436956406, 0.051373984664678574, 0.02355663664638996, 0.046016573905944824, 0.06669159233570099, 0.030776966363191605, 0.05655600503087044, 0.08682963997125626, 0.04062529280781746, 0.04878947511315346, 0.040155116468667984, 0.1135910153388977, 0.025305818766355515, 0.01960771158337593, 0.0757620632648468, 0.07040039449930191, 0.07161708176136017, 0.10071612894535065, 0.1660296618938446, 0.08276199549436569, 0.14080967009067535, 0.08664341270923615, 0.12120699882507324, 0.03551892936229706, 0.05619291961193085, 0.12627013027668, 0.038635529577732086, 0.10183324664831161, 0.07439260929822922, 0.004152370151132345, 0.046275265514850616, 0.013807147741317749, 0.01701073907315731, 0.08494991064071655, 0.032468415796756744, 0.07034551352262497, 0.0013664369471371174, 0.020663093775510788, 0.14934362471103668, 0.036213457584381104, 0.061230212450027466, 0.04503270983695984, 0.01980968564748764, 0.009683514945209026, 0.05584902688860893, 0.046299513429403305, 0.03810777887701988, 0.031715430319309235, 0.03506653755903244, 0.08672492951154709, 0.07842692732810974, 0.07032809406518936, 0.050291579216718674, 0.05538183078169823, 0.06116688996553421, 0.01777130551636219, 0.02970072627067566, 0.03934415057301521, 0.1050606295466423, 0.1075696125626564, 0.05094466358423233, 0.053461719304323196, 0.10954652726650238, 0.1043824777007103, 0.042179591953754425, 0.03566110134124756, 0.06057827174663544, 0.03710278123617172, 0.029467588290572166, 0.012017614208161831, 0.08254022151231766, 0.009021193720400333, 0.07958632707595825, 0.061722271144390106, 0.039572667330503464, 0.03905833885073662, 0.061040207743644714, 0.11453770846128464, 0.010510395281016827, 0.02974748983979225, 0.03381885215640068, 0.05316399782896042, 0.04040810465812683, 0.06994444131851196, 0.025496870279312134, 0.08879517763853073, 0.013780457898974419, 0.043032605201005936, 0.04375201091170311, 0.03342965617775917, 0.03018880821764469, 0.0009387539466843009, 0.009445250034332275, 0.05100865662097931, 0.024331221356987953, 0.01317012868821621, 0.10417422652244568, 0.04890595003962517, 0.007173785008490086, 0.026809997856616974, 0.04384607449173927, 0.04823748394846916, 0.045889172703027725, 0.11267782002687454, 0.08379656076431274, 0.009869045577943325, 0.010787836275994778, 0.06330078095197678, 0.12258104979991913, 0.06472793221473694, 0.020639868453145027, 0.054601848125457764, 0.10556260496377945, 0.05975177884101868, 0.01733291521668434, 0.032723527401685715, 0.10257905721664429, 0.09518551081418991, 0.0550001785159111, 0.0056216963566839695, 0.017815204337239265, 0.012924139387905598, 0.13114137947559357, 0.052552979439496994, 0.04369904845952988, 0.0440283939242363]"
F6,"[0.011384932324290276, 0.03223177418112755, 0.06386130303144455, 0.01603507250547409, 0.06203167140483856, 0.049572188407182693, 0.0329887717962265, 0.004500427283346653, 0.04326639324426651, 0.04753094166517258, 0.060373492538928986, 0.013814889825880527, 0.025804026052355766, 0.0014483595732599497, 0.008091059513390064, 0.02277899906039238, 0.03730926662683487, 0.013225695118308067, 0.025857729837298393, 0.03248296678066254, 0.026498805731534958, 0.014513762667775154, 0.05451871454715729, 0.00017582568398211151, 0.005841349717229605, 0.04921046271920204, 0.03186393156647682, 0.101409412920475, 0.009965864941477776, 0.03661102056503296, 0.006571899633854628, 0.05348139628767967, 0.03450283408164978, 0.03873926028609276, 0.014964921399950981, 0.04557064548134804, 0.041687749326229095, 0.008600117638707161, 0.033866822719573975, 0.013632736168801785, 0.05168233811855316, 0.053046099841594696, 0.026936225593090057, 0.026074422523379326, 0.01850857585668564, 0.009515813551843166, 0.042083341628313065, 0.06208040565252304, 0.023860620334744453, 0.04272967204451561, 0.014361877925693989, 0.022733155637979507, 0.038555555045604706, 0.06316787749528885, 0.10287413746118546, 0.061595384031534195, 0.029509836807847023, 0.02815016731619835, 0.016758732497692108, 0.03316107019782066, 0.07177428901195526, 0.04180478677153587, 0.046020764857530594, 0.054223887622356415, 0.017119083553552628, 0.06431001424789429, 0.02093302644789219, 0.07170934975147247, 0.05234875530004501, 0.013015234842896461, 0.061258960515260696, 0.03111925721168518, 0.02183566987514496, 0.007096829358488321, 0.022043392062187195, 0.020029619336128235, 0.020194480195641518, 0.0034031688701361418, 0.024068448692560196, 0.013376700691878796, 0.024108413606882095, 0.023452414199709892, 0.010493728332221508, 0.004842326045036316, 0.018089324235916138, 0.03715091571211815, 0.012810747139155865, 0.045526038855314255, 0.04990176856517792, 0.010491428896784782, 0.017196783795952797, 0.0648331567645073, 0.010030209086835384, 0.04375927150249481, 0.0025777225382626057, 0.046281278133392334, 0.050524793565273285, 0.023610496893525124, 0.033652596175670624, 0.0005088189500384033, 0.038042474538087845, 0.04445401579141617, 0.028676705434918404, 0.018303243443369865, 0.0010689751943573356, 0.05023777484893799, 0.004393190145492554, 0.006097011733800173, 0.06634587794542313, 0.008832409046590328, 0.011655351147055626, 0.05790140852332115, 0.06567993015050888, 0.028156863525509834, 0.033757537603378296, 0.010372752323746681, 0.03272301331162453, 0.015101324766874313, 0.05852450430393219, 0.04542994126677513, 0.07202919572591782, 0.054491493850946426, 0.019149117171764374, 0.005094069056212902, 0.06078341603279114, 0.017970088869333267, 0.06466353684663773, 0.00823227223008871]"
F7,"[0.017343351617455482, 0.029255250468850136, 0.11761027574539185, 0.037718065083026886, 0.039174292236566544, 0.029530441388487816, 0.014746276661753654, 0.0195482037961483, 0.00748711870983243, 0.05377421900629997, 0.03221862018108368, 0.049057815223932266, 0.021618027240037918, 0.06373192369937897, 0.004743858240544796, 0.054749246686697006, 0.08000898361206055, 0.057069748640060425, 0.006761995609849691, 0.01126495935022831, 0.09399299323558807, 0.046512916684150696, 0.07413913309574127, 0.0200290959328413, 0.09745220094919205, 0.027397066354751587, 0.07077421993017197, 0.11614003777503967, 0.008925366215407848, 0.03624569997191429, 0.04286528378725052, 0.04321492835879326, 0.09131048619747162, 0.09523842483758926, 0.053030069917440414, 0.09770016372203827, 0.006821291521191597, 0.016022177413105965, 0.09548228234052658, 0.024897906929254532, 0.009487100876867771, 0.07671356201171875, 0.028934042900800705, 0.11229238659143448, 0.013420510105788708, 0.01338802371174097, 0.07157490402460098, 0.05482824519276619, 0.02108660899102688, 0.03385080397129059, 0.08325423300266266, 0.08226614445447922, 0.03459152951836586, 0.04535090923309326, 0.08008432388305664, 0.025004956871271133, 0.03755239397287369, 0.02728237584233284, 0.0946257933974266, 0.05772469565272331, 0.009561290964484215, 0.005151075776666403, 0.04690571501851082, 0.026339231058955193, 0.0610855370759964, 0.013992715626955032, 0.08864357322454453, 0.08748052269220352, 0.03518027067184448, 0.0259077325463295, 0.02807445079088211, 0.02724665030837059, 0.0073171136900782585, 0.03797169402241707, 0.013161412440240383, 0.045922841876745224, 0.028958216309547424, 0.009925185702741146, 0.054731473326683044, 0.03550546243786812, 0.0072861225344240665, 0.032221317291259766, 0.05358250066637993, 0.02949918992817402, 0.015282676555216312, 0.009189861826598644, 0.06737224012613297, 0.04780401289463043, 0.0001689246710157022, 0.050019633024930954, 0.036904096603393555, 0.007280883379280567, 0.09006569534540176, 0.03496703505516052, 0.07880426943302155, 0.0888732373714447, 0.06330668181180954, 0.047968585044145584, 0.0065257009118795395, 0.01506270281970501, 0.030750194564461708, 0.01695847697556019, 0.06544271856546402, 0.07644489407539368, 0.08921138942241669, 0.041909195482730865, 0.04010065272450447, 0.07778837531805038, 0.01869237795472145, 0.0378328412771225, 0.006497212685644627, 0.021005239337682724, 0.016551556065678596, 0.1083589419722557, 0.01638864167034626, 0.026982229202985764, 0.016857579350471497, 0.04356609657406807, 0.04432597756385803, 0.013598703779280186, 0.04646984860301018, 0.045955583453178406, 0.016028039157390594, 0.02499791420996189, 0.06634633988142014, 0.06413595378398895, 0.07249192148447037, 0.12130936235189438]"
F8,"[0.006413593888282776, 0.0437486357986927, 0.0034011092502623796, 0.01936572790145874, 0.04963347688317299, 0.07606510818004608, 0.018615253269672394, 0.010563514195382595, 0.03413333743810654, 0.005442521534860134, 0.06189741939306259, 0.07231662422418594, 0.013405145145952702, 0.0017947083106264472, 0.06520967930555344, 0.052242256700992584, 0.09727688133716583, 0.0006416293326765299, 0.03715294227004051, 0.07715031504631042, 0.04623306915163994, 0.02448338456451893, 0.020175103098154068, 0.0775168240070343, 0.028451645746827126, 0.007839446887373924, 0.046046942472457886, 0.08407992869615555, 0.05138504505157471, 0.02105112001299858, 0.006550634745508432, 0.061538439244031906, 0.10851471871137619, 0.040935393422842026, 0.025081859901547432, 0.0798722356557846, 0.022586999461054802, 0.05099109560251236, 0.0024091172963380814, 0.05368300527334213, 0.0979408398270607, 0.1626182645559311, 0.04425407946109772, 0.02696414291858673, 0.04550837725400925, 0.014144771732389927, 0.04514998942613602, 0.11672899127006531, 0.04936084523797035, 0.054829709231853485, 0.11179763823747635, 0.020898615941405296, 0.048642486333847046, 0.12166348844766617, 0.015447576530277729, 0.010439270175993443, 0.039737917482852936, 0.10103791207075119, 0.05884996056556702, 0.050004806369543076, 0.0032683229073882103, 0.10688192397356033, 0.06874168664216995, 0.05638245865702629, 0.07316222041845322, 0.06686300784349442, 0.0030684545636177063, 0.03165057301521301, 0.07127697020769119, 0.008379570208489895, 0.019427036866545677, 0.011842167004942894, 0.007300849072635174, 0.0573045089840889, 0.0164848230779171, 0.02787850983440876, 0.09199739992618561, 0.0020735892467200756, 0.07376720011234283, 0.05967099964618683, 0.0780700296163559, 0.009429216384887695, 0.04441263526678085, 0.022417379543185234, 0.04463663324713707, 0.03527800366282463, 0.03587489575147629, 0.09421781450510025, 0.04914811626076698, 0.05361446365714073, 0.07628504931926727, 0.056679826229810715, 0.036093682050704956, 0.01481158472597599, 0.08066046237945557, 0.018354268744587898, 0.024774635210633278, 0.007298967335373163, 0.03168036416172981, 0.05364668741822243, 0.06589848548173904, 0.00538600841537118, 0.02169078402221203, 0.025591013953089714, 0.0019282661378383636, 0.01579858735203743, 0.006686722859740257, 0.036913737654685974, 0.0461420938372612, 0.08843646943569183, 0.10442636907100677, 0.09287780523300171, 0.02057568170130253, 0.024396035820245743, 0.09561900049448013, 0.016493022441864014, 0.10386361926794052, 0.053321994841098785, 0.08536093682050705, 0.04177512601017952, 0.004567344672977924, 0.030053509399294853, 0.017079640179872513, 0.014933602884411812, 0.04961490258574486, 0.01548516284674406, 0.005195767153054476, 0.03012782149016857]"
F9,"[0.05566537752747536, 0.0712088793516159, 0.032438937574625015, 0.003046819008886814, 0.04488212987780571, 0.10312207043170929, 0.04090430215001106, 0.008145180530846119, 0.015098447911441326, 0.023323118686676025, 0.025130733847618103, 0.06446920335292816, 0.037672653794288635, 0.07890409231185913, 0.01945127360522747, 0.09446832537651062, 0.09222188591957092, 0.07437009364366531, 0.03380628675222397, 0.07091210037469864, 0.05308539420366287, 0.016933053731918335, 0.022207092493772507, 0.10202176123857498, 0.08702464401721954, 0.03714515641331673, 0.07802274078130722, 0.0006599413463845849, 0.06802152097225189, 0.07686631381511688, 0.0034758495166897774, 0.009349759668111801, 0.07472670823335648, 0.06735225021839142, 0.03300415724515915, 0.11177769303321838, 0.03218379244208336, 0.005157105624675751, 0.07640390843153, 0.04190065339207649, 0.08624027669429779, 0.09348457306623459, 0.08663041889667511, 0.006551927421241999, 0.04884185642004013, 0.021321749314665794, 0.1175348237156868, 0.03217051550745964, 0.0044607664458453655, 0.0005354516324587166, 0.07405787706375122, 0.06606123596429825, 0.06860341876745224, 0.042758308351039886, 0.029619399458169937, 0.01659976691007614, 0.05682549253106117, 0.10438106209039688, 0.019068067893385887, 0.11015887558460236, 0.016708914190530777, 0.004544936586171389, 0.10108762979507446, 0.022031405940651894, 0.00522461486980319, 0.013821741566061974, 0.020980145782232285, 0.034312546253204346, 0.07288113236427307, 0.005127751734107733, 0.01836642622947693, 0.05275152996182442, 0.08043379336595535, 0.01750142127275467, 0.07495138794183731, 0.09304796904325485, 0.06883125007152557, 0.013593687675893307, 0.06231485307216644, 0.06073085963726044, 0.08098398149013519, 0.009285618551075459, 0.07249490171670914, 0.028391007333993912, 0.06074175238609314, 0.08104310184717178, 0.0180704016238451, 0.043858323246240616, 0.05600710213184357, 0.006325166672468185, 0.059020671993494034, 0.025084419175982475, 0.02846411056816578, 0.007713998667895794, 0.07909851521253586, 0.054195743054151535, 0.001983574591577053, 0.020369580015540123, 0.017706431448459625, 0.04170624539256096, 0.03155536204576492, 0.06809993088245392, 0.08999472856521606, 0.027916304767131805, 0.011386861093342304, 0.07178393751382828, 0.01803315244615078, 0.010441349819302559, 0.018308041617274284, 0.009992762468755245, 0.10921545326709747, 0.04227133467793465, 0.01746976748108864, 0.04896636679768562, 0.031568095088005066, 0.08339833468198776, 0.028209885582327843, 0.06511970609426498, 0.054348576813936234, 0.06265920400619507, 0.016881749033927917, 0.05350698530673981, 0.016204601153731346, 0.03363889083266258, 0.01719268038868904, 0.0597289502620697, 0.06505706906318665, 0.018936915323138237]"
F10,"[0.0653570145368576, 0.016427533701062202, 0.16180789470672607, 0.07557729631662369, 0.05126877874135971, 0.022850073873996735, 0.08727935701608658, 0.03841562941670418, 0.14452220499515533, 0.14329618215560913, 0.028479285538196564, 0.0754767581820488, 0.11013641208410263, 0.024739257991313934, 0.1451302319765091, 0.11614614725112915, 0.036706000566482544, 0.17424048483371735, 0.1819278448820114, 0.02825314551591873, 0.005375000648200512, 0.04199003428220749, 0.0330829843878746, 0.06048900634050369, 0.07281285524368286, 0.039705097675323486, 0.013930657878518105, 0.1223430186510086, 0.028875786811113358, 0.10663674026727676, 0.05740509182214737, 0.12465766817331314, 0.06015636399388313, 0.11090611666440964, 0.08586205542087555, 0.007539909798651934, 0.06101221218705177, 0.049018744379282, 0.11150474846363068, 0.0008022686233744025, 0.1312190294265747, 0.18042506277561188, 0.14053429663181305, 0.0696013793349266, 0.12525196373462677, 0.035345178097486496, 0.04802056774497032, 0.00784052349627018, 0.1085154190659523, 0.08714178204536438, 0.05174876004457474, 0.08375760167837143, 0.12190130352973938, 0.004286306444555521, 0.0640861913561821, 0.11030059307813644, 0.04363567382097244, 0.15648314356803894, 0.05061646178364754, 0.0024868836626410484, 0.002074213232845068, 0.05400896444916725, 0.038583505898714066, 0.025331348180770874, 0.08687029033899307, 0.14083416759967804, 0.10872837901115417, 0.16917771100997925, 0.09820116311311722, 0.1676301509141922, 0.051708728075027466, 0.0069285184144973755, 0.06127670407295227, 0.10462342202663422, 0.16117806732654572, 0.08162575215101242, 0.01765531860291958, 0.007979931309819221, 0.0847005695104599, 0.10251002013683319, 0.1856018453836441, 0.09425418823957443, 0.024231871590018272, 0.12110267579555511, 0.03153907135128975, 0.005538179539144039, 0.14794836938381195, 0.01475044246762991, 0.12758545577526093, 0.08062246441841125, 0.07544881105422974, 0.047043103724718094, 0.11409473419189453, 0.05796707794070244, 0.10404164344072342, 0.036092594265937805, 0.09411273896694183, 0.11740410327911377, 0.037915024906396866, 0.07277786731719971, 0.08920163661241531, 0.029156029224395752, 0.031691774725914, 0.04375480115413666, 0.12869121134281158, 0.08617135882377625, 0.033132921904325485, 0.03952498361468315, 0.0891588106751442, 0.011832483112812042, 0.013632246293127537, 0.03304704278707504, 0.001942909206263721, 0.10571449995040894, 0.13134202361106873, 0.18302062153816223, 0.012820614501833916, 0.03767247870564461, 0.11354267597198486, 0.03903328999876976, 0.028455227613449097, 0.1431608349084854, 0.09055211395025253, 0.06591375917196274, 0.07291067391633987, 0.04313548281788826, 0.04499990493059158, 0.07926639914512634]"
