feature,feature_name,max_abs_weight_score
F41,feature_41,0.3159968852996826
F179,feature_179,0.2825884521007538
F178,feature_178,0.2657034397125244
F218,feature_218,0.26373207569122314
F77,feature_77,0.2621529698371887
F172,feature_172,0.26117798686027527
F279,feature_279,0.25494930148124695
F242,feature_242,0.25080540776252747
F268,feature_268,0.24808840453624725
F212,feature_212,0.24775250256061554
F16,feature_16,0.24739281833171844
F188,feature_188,0.2449711561203003
F269,feature_269,0.24433162808418274
F182,feature_182,0.2413942515850067
F199,feature_199,0.23797328770160675
F219,feature_219,0.2326827347278595
F272,feature_272,0.22938255965709686
F278,feature_278,0.22714419662952423
F169,feature_169,0.22697371244430542
F161,feature_161,0.22630542516708374
F42,feature_42,0.22193379700183868
F263,feature_263,0.2206171602010727
F40,feature_40,0.21673257648944855
F13,feature_13,0.21430985629558563
F259,feature_259,0.21333399415016174
F2,feature_2,0.21212300658226013
F189,feature_189,0.20994524657726288
F277,feature_277,0.20752529799938202
F209,feature_209,0.20682691037654877
F183,feature_183,0.20660825073719025
F262,feature_262,0.20625869929790497
F173,feature_173,0.2046443372964859
F202,feature_202,0.204008549451828
F253,feature_253,0.2039547711610794
F10,feature_10,0.20313678681850433
F257,feature_257,0.2027066946029663
F271,feature_271,0.20102764666080475
F65,feature_65,0.20077809691429138
F30,feature_30,0.20076091587543488
F29,feature_29,0.20063211023807526
F162,feature_162,0.20048382878303528
F273,feature_273,0.19563567638397217
F5,feature_5,0.19468694925308228
F192,feature_192,0.19364339113235474
F78,feature_78,0.19331520795822144
F258,feature_258,0.19232042133808136
F206,feature_206,0.19158659875392914
F191,feature_191,0.19069665670394897
F81,feature_81,0.19023782014846802
F66,feature_66,0.1898442506790161
F69,feature_69,0.18946516513824463
F249,feature_249,0.1881178319454193
F252,feature_252,0.18595100939273834
F76,feature_76,0.1845080405473709
F21,feature_21,0.1837530881166458
F33,feature_33,0.18173564970493317
