class_label,accuracy,precision,recall,f1,mse,rmse,class_count,metrics_path,classification_predictions_path
1,0.5652173913043478,0.5151515151515151,0.8095238095238095,0.6296296296296297,1.3456594944000244,1.1600256438544903,245,outputs/Classification/arrhythmia_data/1_arrhythmia_data/metrics/ORG_test_metrics.json,outputs/Classification/arrhythmia_data/1_arrhythmia_data/ORG_classification_predictions.csv
2,0.9130434782608695,0.9130434782608695,1.0,0.9545454545454546,7.744213104248047,2.782842630162196,44,outputs/Classification/arrhythmia_data/2_arrhythmia_data/metrics/ORG_test_metrics.json,outputs/Classification/arrhythmia_data/2_arrhythmia_data/ORG_classification_predictions.csv
3,0.9565217391304348,0.9565217391304348,1.0,0.9777777777777777,1.8215153217315674,1.349635255071372,15,outputs/Classification/arrhythmia_data/3_arrhythmia_data/metrics/ORG_test_metrics.json,outputs/Classification/arrhythmia_data/3_arrhythmia_data/ORG_classification_predictions.csv
4,0.9565217391304348,0.9565217391304348,1.0,0.9777777777777777,1.2992545366287231,1.1398484709068673,15,outputs/Classification/arrhythmia_data/4_arrhythmia_data/metrics/ORG_test_metrics.json,outputs/Classification/arrhythmia_data/4_arrhythmia_data/ORG_classification_predictions.csv
5,0.9782608695652174,0.9782608695652174,1.0,0.989010989010989,1.3920371532440186,1.179846241356906,13,outputs/Classification/arrhythmia_data/5_arrhythmia_data/metrics/ORG_test_metrics.json,outputs/Classification/arrhythmia_data/5_arrhythmia_data/ORG_classification_predictions.csv
6,0.9347826086956522,0.9347826086956522,1.0,0.9662921348314607,0.9726589918136597,0.9862347549207844,25,outputs/Classification/arrhythmia_data/6_arrhythmia_data/metrics/ORG_test_metrics.json,outputs/Classification/arrhythmia_data/6_arrhythmia_data/ORG_classification_predictions.csv
7,1.0,1.0,1.0,1.0,1.06959068775177,1.0342101758113629,3,outputs/Classification/arrhythmia_data/7_arrhythmia_data/metrics/ORG_test_metrics.json,outputs/Classification/arrhythmia_data/7_arrhythmia_data/ORG_classification_predictions.csv
8,1.0,1.0,1.0,1.0,1.2367254495620728,1.1120815840405203,2,outputs/Classification/arrhythmia_data/8_arrhythmia_data/metrics/ORG_test_metrics.json,outputs/Classification/arrhythmia_data/8_arrhythmia_data/ORG_classification_predictions.csv
9,0.9782608695652174,0.9782608695652174,1.0,0.989010989010989,1.1357625722885132,1.0657216204471565,9,outputs/Classification/arrhythmia_data/9_arrhythmia_data/metrics/ORG_test_metrics.json,outputs/Classification/arrhythmia_data/9_arrhythmia_data/ORG_classification_predictions.csv
10,0.8913043478260869,0.8913043478260869,1.0,0.9425287356321839,1.996856689453125,1.413101797271918,50,outputs/Classification/arrhythmia_data/10_arrhythmia_data/metrics/ORG_test_metrics.json,outputs/Classification/arrhythmia_data/10_arrhythmia_data/ORG_classification_predictions.csv
14,1.0,1.0,1.0,1.0,1.235620379447937,1.1115846254100212,4,outputs/Classification/arrhythmia_data/14_arrhythmia_data/metrics/ORG_test_metrics.json,outputs/Classification/arrhythmia_data/14_arrhythmia_data/ORG_classification_predictions.csv
15,0.9782608695652174,0.9782608695652174,1.0,0.989010989010989,2.5604171752929688,1.6001303619683518,5,outputs/Classification/arrhythmia_data/15_arrhythmia_data/metrics/ORG_test_metrics.json,outputs/Classification/arrhythmia_data/15_arrhythmia_data/ORG_classification_predictions.csv
16,0.9565217391304348,0.9565217391304348,1.0,0.9777777777777777,0.5341556072235107,0.7308594989623592,22,outputs/Classification/arrhythmia_data/16_arrhythmia_data/metrics/ORG_test_metrics.json,outputs/Classification/arrhythmia_data/16_arrhythmia_data/ORG_classification_predictions.csv
