class_label,accuracy,precision,recall,f1,mse,rmse,class_count,metrics_path,classification_predictions_path
1,0.6086956521739131,0.56,0.6666666666666666,0.6086956521739131,1.0595134496688843,1.029326697248684,245,outputs/Classification/arrhythmia_data/1_arrhythmia_data/metrics/top_20_test_metrics.json,outputs/Classification/arrhythmia_data/1_arrhythmia_data/top_20_classification_predictions.csv
2,0.9130434782608695,0.9130434782608695,1.0,0.9545454545454546,0.9645309448242188,0.9821053634026334,44,outputs/Classification/arrhythmia_data/2_arrhythmia_data/metrics/top_20_test_metrics.json,outputs/Classification/arrhythmia_data/2_arrhythmia_data/top_20_classification_predictions.csv
3,0.9565217391304348,0.9565217391304348,1.0,0.9777777777777777,1.1258864402770996,1.0610779614510424,15,outputs/Classification/arrhythmia_data/3_arrhythmia_data/metrics/top_20_test_metrics.json,outputs/Classification/arrhythmia_data/3_arrhythmia_data/top_20_classification_predictions.csv
4,0.9565217391304348,0.9565217391304348,1.0,0.9777777777777777,1.0976544618606567,1.047690060018065,15,outputs/Classification/arrhythmia_data/4_arrhythmia_data/metrics/top_20_test_metrics.json,outputs/Classification/arrhythmia_data/4_arrhythmia_data/top_20_classification_predictions.csv
5,0.9782608695652174,0.9782608695652174,1.0,0.989010989010989,0.9263404607772827,0.9624658231736245,13,outputs/Classification/arrhythmia_data/5_arrhythmia_data/metrics/top_20_test_metrics.json,outputs/Classification/arrhythmia_data/5_arrhythmia_data/top_20_classification_predictions.csv
6,0.9347826086956522,0.9347826086956522,1.0,0.9662921348314607,0.8015952706336975,0.8953185302637813,25,outputs/Classification/arrhythmia_data/6_arrhythmia_data/metrics/top_20_test_metrics.json,outputs/Classification/arrhythmia_data/6_arrhythmia_data/top_20_classification_predictions.csv
7,1.0,1.0,1.0,1.0,1.067367434501648,1.0331347610557142,3,outputs/Classification/arrhythmia_data/7_arrhythmia_data/metrics/top_20_test_metrics.json,outputs/Classification/arrhythmia_data/7_arrhythmia_data/top_20_classification_predictions.csv
8,1.0,1.0,1.0,1.0,0.9305324554443359,0.9646411018841857,2,outputs/Classification/arrhythmia_data/8_arrhythmia_data/metrics/top_20_test_metrics.json,outputs/Classification/arrhythmia_data/8_arrhythmia_data/top_20_classification_predictions.csv
9,0.9782608695652174,0.9782608695652174,1.0,0.989010989010989,0.8392974138259888,0.9161317666285722,9,outputs/Classification/arrhythmia_data/9_arrhythmia_data/metrics/top_20_test_metrics.json,outputs/Classification/arrhythmia_data/9_arrhythmia_data/top_20_classification_predictions.csv
10,0.8913043478260869,0.8913043478260869,1.0,0.9425287356321839,1.1068285703659058,1.0520592047817012,50,outputs/Classification/arrhythmia_data/10_arrhythmia_data/metrics/top_20_test_metrics.json,outputs/Classification/arrhythmia_data/10_arrhythmia_data/top_20_classification_predictions.csv
14,1.0,1.0,1.0,1.0,1.12752103805542,1.0618479354669481,4,outputs/Classification/arrhythmia_data/14_arrhythmia_data/metrics/top_20_test_metrics.json,outputs/Classification/arrhythmia_data/14_arrhythmia_data/top_20_classification_predictions.csv
15,0.9782608695652174,0.9782608695652174,1.0,0.989010989010989,1.1906832456588745,1.0911843316593557,5,outputs/Classification/arrhythmia_data/15_arrhythmia_data/metrics/top_20_test_metrics.json,outputs/Classification/arrhythmia_data/15_arrhythmia_data/top_20_classification_predictions.csv
16,0.9565217391304348,0.9565217391304348,1.0,0.9777777777777777,0.6358169913291931,0.7973813336974933,22,outputs/Classification/arrhythmia_data/16_arrhythmia_data/metrics/top_20_test_metrics.json,outputs/Classification/arrhythmia_data/16_arrhythmia_data/top_20_classification_predictions.csv
