feature,weight_list
F1,"[0.16274034976959229, 0.11147036403417587, 0.08467476814985275, 0.08608611673116684, 0.08002366870641708, 0.06222422048449516, 0.29175060987472534, 0.17217977344989777, 0.15505453944206238, 0.057420238852500916, 0.16149833798408508, 0.23792240023612976, 0.35774940252304077, 0.19372820854187012, 0.05858301371335983, 0.25466620922088623, 0.22106842696666718, 0.013326508924365044, 0.17058128118515015, 0.03797430917620659, 0.17590844631195068, 0.26830917596817017, 0.08738692104816437, 0.3194342851638794, 0.024805868044495583, 0.1993565410375595, 0.10789942741394043, 0.26774150133132935, 0.057044435292482376, 0.1905626505613327, 0.24430449306964874, 0.33290207386016846, 0.17826874554157257, 0.12489570677280426, 0.1553453505039215, 0.1477983444929123, 0.3433578610420227, 0.14417754113674164, 0.08756530284881592, 0.13875067234039307, 0.06060435622930527, 0.024558385834097862, 0.16001836955547333, 0.034187912940979004, 0.33669185638427734, 0.0851084515452385, 0.07316967844963074, 0.20405974984169006, 0.02713809907436371, 0.015303801745176315, 0.1453578621149063, 0.08343137055635452, 0.19590851664543152, 0.16627562046051025, 0.08533614873886108, 0.3616872727870941, 0.19440726935863495, 0.10029762238264084, 0.2653496563434601, 0.08763869851827621, 0.2907094955444336, 0.35633987188339233, 0.011290973983705044, 0.08397214859724045, 0.012875556014478207, 0.35878410935401917, 0.1374645084142685, 0.18244785070419312, 0.2689868211746216, 0.27903032302856445, 0.11356678605079651, 0.012677007354795933, 0.11836296319961548, 0.12148537486791611, 0.17169266939163208, 0.06410351395606995, 0.07051373273134232, 0.15574431419372559, 0.13458660244941711, 0.10440316051244736, 0.13140888512134552, 0.026178179308772087, 0.17129208147525787, 0.06729800999164581, 0.017475083470344543, 0.07016343623399734, 0.0777006447315216, 0.1483183652162552, 0.0942687913775444, 0.02250070497393608, 0.14163163304328918, 0.25869885087013245, 0.041589487344026566, 0.060095541179180145, 0.08954992145299911, 0.07799263298511505, 0.23575447499752045, 0.018589172512292862, 0.04034387320280075, 0.13909117877483368, 0.21415001153945923, 0.34933242201805115, 0.18901225924491882, 0.07946415990591049, 0.0056967539712786674, 0.30925247073173523, 0.0542881153523922, 0.019792897626757622, 0.3467469811439514, 0.13480742275714874, 0.2032390832901001, 0.2269466519355774, 0.2289409041404724, 0.25326189398765564, 0.15955238044261932, 0.0695432797074318, 0.017148569226264954, 0.1585494428873062, 0.061763226985931396, 0.043661125004291534, 0.0622439906001091, 0.07692799717187881, 0.2400110810995102, 0.09952637553215027, 0.32658466696739197, 0.07543576508760452, 0.0404418408870697, 0.13403429090976715]"
F2,"[0.06489916145801544, 0.1367318481206894, 0.10287366807460785, 0.14972138404846191, 0.014749336987733841, 0.04147980734705925, 0.03191534802317619, 0.14673437178134918, 0.01761472597718239, 0.022814204916357994, 0.23879298567771912, 0.15188871324062347, 0.07026657462120056, 0.07910634577274323, 0.10284297913312912, 0.1279444843530655, 0.008870653808116913, 0.10073596984148026, 0.05454986169934273, 0.19787536561489105, 0.022184517234563828, 0.06495829671621323, 0.0646323561668396, 0.15944144129753113, 0.019999206066131592, 0.042342409491539, 0.07718075811862946, 0.15435674786567688, 0.11802445352077484, 0.13823333382606506, 0.061244942247867584, 0.1746654510498047, 0.07785530388355255, 0.17545153200626373, 0.16762450337409973, 0.05350910499691963, 0.18946650624275208, 0.10872255265712738, 0.17139166593551636, 0.12322725355625153, 0.053078848868608475, 0.10635821521282196, 0.09102745354175568, 0.05600761994719505, 0.08043015748262405, 0.07563544809818268, 0.09433365613222122, 0.037952836602926254, 0.22503401339054108, 0.17341823875904083, 0.08682315051555634, 0.06955525279045105, 0.023893708363175392, 0.0841958075761795, 0.2536746859550476, 0.32775428891181946, 0.0035760144237428904, 0.016577690839767456, 0.10866662114858627, 0.04521220177412033, 0.018380846828222275, 0.21204239130020142, 0.022387834265828133, 0.15596875548362732, 0.014097748324275017, 0.0261493232101202, 0.17577596008777618, 0.059682708233594894, 0.045041438192129135, 0.005665190517902374, 0.0013369478983804584, 0.0083468584343791, 0.22845855355262756, 0.031673233956098557, 0.0694529190659523, 0.020952744409441948, 0.06906625628471375, 0.05621558427810669, 0.1264062374830246, 0.05705489590764046, 0.0071496362797915936, 0.20778870582580566, 0.12097808718681335, 0.06701907515525818, 0.12980733811855316, 0.10042675584554672, 0.2346096932888031, 0.08234083652496338, 0.09960360080003738, 0.23956479132175446, 0.0527397096157074, 0.10702413320541382, 0.056369222700595856, 0.13730177283287048, 0.08923478424549103, 0.30187463760375977, 0.010911727324128151, 0.1350490003824234, 0.09386195987462997, 0.03910849615931511, 0.025956308469176292, 0.1338195651769638, 0.07583286613225937, 0.004029132891446352, 0.18162567913532257, 0.09503296762704849, 0.1111011803150177, 0.05436969920992851, 0.06581531465053558, 0.03519831970334053, 0.1722601354122162, 0.0173583272844553, 0.013012018986046314, 0.07740484923124313, 0.028357261791825294, 0.0422704704105854, 0.008992698974907398, 0.06934959441423416, 0.092500701546669, 0.007553068920969963, 0.058497354388237, 0.10286930948495865, 0.11779437959194183, 0.04797107353806496, 0.014786369167268276, 0.017132772132754326, 0.004045342560857534, 0.2433442622423172]"
F3,"[0.07478294521570206, 0.06326819956302643, 0.023331675678491592, 0.006992352195084095, 0.01498393900692463, 0.12341898679733276, 0.24049657583236694, 0.06203322485089302, 0.006146963220089674, 0.027285294607281685, 0.07835647463798523, 0.14855793118476868, 0.3405117392539978, 0.12568879127502441, 0.17207781970500946, 0.2513970136642456, 0.11247560381889343, 0.2329980432987213, 0.24068038165569305, 0.22041675448417664, 0.14307154715061188, 0.2536904215812683, 0.021847499534487724, 0.22740744054317474, 0.05438806861639023, 0.03773099556565285, 0.20446015894412994, 0.2894839346408844, 0.015682654455304146, 0.05233416706323624, 0.10917440801858902, 0.1853056699037552, 0.008265207521617413, 0.1113128513097763, 0.03061036206781864, 0.0504828542470932, 0.268385648727417, 0.14751097559928894, 0.09451907873153687, 0.20901808142662048, 0.2001577913761139, 0.07931120693683624, 0.06213384121656418, 0.09460730850696564, 0.23841506242752075, 0.04298630729317665, 0.046530626714229584, 0.16306322813034058, 0.04010049253702164, 0.1920068860054016, 0.23531192541122437, 0.20362719893455505, 0.39252471923828125, 0.06655242294073105, 0.029387934133410454, 0.39615970849990845, 0.29768654704093933, 0.16955679655075073, 0.025969136506319046, 0.3525157868862152, 0.28942978382110596, 0.2599973976612091, 0.0005449727759696543, 0.13033972680568695, 0.005334942135959864, 0.334159255027771, 0.09563545882701874, 0.19293589890003204, 0.02793383039534092, 0.11126163601875305, 0.2635318636894226, 0.0460042841732502, 0.16152048110961914, 0.14083433151245117, 0.26230406761169434, 0.03356727585196495, 0.10230188071727753, 0.10068394243717194, 0.15091025829315186, 0.07323446869850159, 0.09608105570077896, 0.2047625482082367, 0.14877264201641083, 0.23230789601802826, 0.17783182859420776, 0.1107301115989685, 0.11805678904056549, 0.17718929052352905, 0.051653195172548294, 0.008715308271348476, 0.16456007957458496, 0.33207187056541443, 0.06331398338079453, 0.09544558823108673, 0.02862057462334633, 0.07974810153245926, 0.26045945286750793, 0.13240651786327362, 0.0002814806066453457, 0.1264171004295349, 0.06969331949949265, 0.24319510161876678, 0.3243509829044342, 0.08440648019313812, 0.052465904504060745, 0.322820782661438, 0.13474415242671967, 0.05030210688710213, 0.12772247195243835, 0.004947227891534567, 0.25541624426841736, 0.2905496656894684, 0.1314774453639984, 0.0971628800034523, 0.11232032626867294, 0.023979539051651955, 0.008832654915750027, 0.0016427772352471948, 0.1742405891418457, 0.010048726573586464, 0.041270721703767776, 0.11345576494932175, 0.14197026193141937, 0.05381300300359726, 0.07833973318338394, 0.07109221071004868, 0.21495211124420166, 0.05203254148364067]"
F4,"[0.03725164383649826, 0.018115699291229248, 0.10679928958415985, 0.1836777925491333, 0.15459172427654266, 0.08554451167583466, 0.031096700578927994, 0.11718881130218506, 0.16943129897117615, 0.056050434708595276, 0.11876596510410309, 0.1472911387681961, 0.2809428572654724, 0.22252899408340454, 0.0019026234513148665, 0.10336028039455414, 0.25077301263809204, 0.1041952595114708, 0.0009365701116621494, 0.00939827598631382, 0.03855058178305626, 0.07289233803749084, 0.166163370013237, 0.3917333483695984, 0.12194367498159409, 0.08145754784345627, 0.1495341956615448, 0.37819981575012207, 0.042098186910152435, 0.27398520708084106, 0.1747037172317505, 0.3022577166557312, 0.014498556032776833, 0.016000846400856972, 0.01062080729752779, 0.19813202321529388, 0.26836955547332764, 0.18877144157886505, 0.019431624561548233, 0.18487535417079926, 0.0857374370098114, 0.055215440690517426, 0.32620468735694885, 0.1722109317779541, 0.07843030244112015, 0.20089559257030487, 0.24395932257175446, 0.26133033633232117, 0.006291608791798353, 0.03296612948179245, 0.12005116045475006, 0.008788540959358215, 0.3764188289642334, 0.0263837818056345, 0.05121125653386116, 0.07813089340925217, 0.299948126077652, 0.0812770277261734, 0.03747408092021942, 0.032600048929452896, 0.2733629643917084, 0.3865553140640259, 0.07051092386245728, 0.26420530676841736, 0.1425711065530777, 0.2598996162414551, 0.1562483012676239, 0.2496052384376526, 0.32943716645240784, 0.22704724967479706, 0.2844782769680023, 0.20303262770175934, 0.15251679718494415, 0.18134775757789612, 0.2230076938867569, 0.14179490506649017, 0.08391743898391724, 0.010745781473815441, 0.3075239956378937, 0.09912948310375214, 0.1194910928606987, 0.11915217339992523, 0.026987161487340927, 0.19433708488941193, 0.029968488961458206, 0.06777828186750412, 0.03310907632112503, 0.3008851110935211, 0.05273205041885376, 0.19362707436084747, 0.3051460385322571, 0.30572107434272766, 0.01625722646713257, 0.02433413825929165, 0.03567563742399216, 0.11744053661823273, 0.036250293254852295, 0.022906700149178505, 0.11477375030517578, 0.04066474735736847, 0.03210528567433357, 0.325739324092865, 0.12527097761631012, 0.26785001158714294, 0.05788670480251312, 0.3354170620441437, 0.09794633835554123, 0.057246770709753036, 0.32591596245765686, 0.03914753720164299, 0.15656040608882904, 0.1249818280339241, 0.32614216208457947, 0.0731472596526146, 0.1285887360572815, 0.005487463902682066, 0.24390429258346558, 0.05623806267976761, 0.13349242508411407, 0.013399091549217701, 0.06768444925546646, 0.27487415075302124, 0.025823689997196198, 0.12582054734230042, 0.2681162357330322, 0.14754506945610046, 0.22434110939502716, 0.08898937702178955]"
F5,"[0.060922250151634216, 0.04485739395022392, 0.062165457755327225, 0.1145123690366745, 0.028568457812070847, 0.1634248048067093, 0.11350608617067337, 0.022836588323116302, 0.1525135040283203, 0.07734692841768265, 0.06103815138339996, 0.3677669167518616, 0.016252242028713226, 0.11905184388160706, 0.006154982373118401, 0.07511668652296066, 0.023199595510959625, 0.037776388227939606, 0.003978853579610586, 0.0945705696940422, 0.12402627617120743, 0.13469374179840088, 0.14060081541538239, 0.09171003103256226, 0.007539165671914816, 0.03338998183608055, 0.05719311162829399, 0.017838122323155403, 0.04375055432319641, 0.0539402961730957, 0.030193446204066277, 0.14050959050655365, 0.11840984970331192, 0.07877317816019058, 0.0824667438864708, 0.030206112191081047, 0.06165483593940735, 0.21382734179496765, 0.025536291301250458, 0.05521121993660927, 0.10245347023010254, 0.1520426869392395, 0.04744905233383179, 0.04958854615688324, 0.002724817954003811, 0.09271792322397232, 0.05206700786948204, 0.017622297629714012, 0.1220783144235611, 0.10951070487499237, 0.17173416912555695, 0.18468084931373596, 0.21984902024269104, 0.03545110672712326, 0.05137336254119873, 0.1713135987520218, 0.001901220646686852, 0.07964449375867844, 0.02058153599500656, 0.055250510573387146, 0.1435437798500061, 0.014584731310606003, 0.1475631594657898, 0.10249868780374527, 0.08198731392621994, 0.21943047642707825, 0.028569849207997322, 0.07120639830827713, 0.025252025574445724, 0.07833001762628555, 0.009824682958424091, 0.3069147765636444, 0.1243463084101677, 0.1187649518251419, 0.024479171261191368, 0.21264706552028656, 0.18309129774570465, 0.004400847479701042, 0.1488591879606247, 0.007622582837939262, 0.1355370581150055, 0.3721127510070801, 0.18497128784656525, 0.1517282873392105, 0.014843619428575039, 0.05543198436498642, 0.022977933287620544, 0.37174099683761597, 0.06623572111129761, 0.13517537713050842, 0.1001138910651207, 0.08569419384002686, 0.10775034874677658, 0.017711224034428596, 0.05483153462409973, 0.07199949026107788, 0.0487530454993248, 0.030773019418120384, 0.024519124999642372, 0.2125481218099594, 0.17276298999786377, 0.27719783782958984, 0.2120911329984665, 0.004741939716041088, 0.16352175176143646, 0.12638486921787262, 0.03661516681313515, 0.0070314244367182255, 0.12398331612348557, 0.08102468401193619, 0.07364907115697861, 0.09341294318437576, 0.11666706204414368, 0.0971885621547699, 0.02242868021130562, 0.09444814920425415, 0.14348362386226654, 0.043339237570762634, 0.029775157570838928, 0.16329063475131989, 0.036885395646095276, 0.07595466077327728, 0.08221953362226486, 0.009193661622703075, 0.11292079091072083, 0.06234920024871826, 0.059139132499694824, 0.1482221484184265]"
F6,"[0.04671940580010414, 0.02420763298869133, 0.1457882523536682, 0.05354568362236023, 0.2814737856388092, 0.05230620875954628, 0.00950914341956377, 0.05193337798118591, 0.08293087780475616, 0.11931843310594559, 0.05465429276227951, 0.15309448540210724, 0.04054046422243118, 0.1787284016609192, 0.012805962935090065, 0.05338311940431595, 0.2313956618309021, 0.04507354646921158, 0.11968526244163513, 0.17749200761318207, 0.02769427001476288, 0.036443907767534256, 0.13051331043243408, 0.16657371819019318, 0.19901743531227112, 0.17811009287834167, 0.029630975797772408, 0.003113248385488987, 0.04035460576415062, 0.04778904840350151, 0.11788790673017502, 0.02980661764740944, 0.06208071857690811, 0.1787608563899994, 0.02899877354502678, 0.005801196675747633, 0.019563212990760803, 0.17144523561000824, 0.00766208628192544, 0.12589465081691742, 0.027614623308181763, 0.12268882244825363, 0.12591958045959473, 0.18022027611732483, 0.12380613386631012, 0.10640555620193481, 0.037802211940288544, 0.13815662264823914, 0.05841098725795746, 0.007033512461930513, 0.023494040593504906, 0.0008657053112983704, 0.16045619547367096, 0.15126819908618927, 0.012623090296983719, 0.0647994801402092, 0.1461038738489151, 0.07327534258365631, 0.14138363301753998, 0.05037422850728035, 0.0002825214178301394, 0.17775923013687134, 0.19993998110294342, 0.17256546020507812, 0.08224227279424667, 0.0976613387465477, 0.1432967334985733, 0.23193016648292542, 0.18321079015731812, 0.21945425868034363, 0.04682378098368645, 0.22939947247505188, 0.20904774963855743, 0.24152936041355133, 0.17328336834907532, 0.07680411636829376, 0.2050304412841797, 0.08673575520515442, 0.0036326663102954626, 0.21891018748283386, 0.21079151332378387, 0.21917429566383362, 0.04352523013949394, 0.032802384346723557, 0.03580847382545471, 0.13449278473854065, 0.17610374093055725, 0.24131271243095398, 0.1748228818178177, 0.061764370650053024, 0.06072178855538368, 0.2228783667087555, 0.17620788514614105, 0.11243997514247894, 0.06164504587650299, 0.008182628080248833, 0.027277445420622826, 0.007050271611660719, 0.1933656483888626, 0.039084840565919876, 0.06498506665229797, 0.4453318119049072, 0.20174305140972137, 0.15081723034381866, 0.2368670254945755, 0.08391841500997543, 0.06376825273036957, 0.07685597985982895, 0.05343157425522804, 0.0036346830893307924, 0.035903673619031906, 0.15238690376281738, 0.04943138360977173, 0.12643034756183624, 0.055399321019649506, 0.03511876240372658, 0.20470350980758667, 0.12937986850738525, 0.13961724936962128, 0.06732728332281113, 0.12200873345136642, 0.023261308670043945, 0.01454739086329937, 0.060040928423404694, 0.12318860739469528, 0.17732404172420502, 0.12050761282444, 0.04497138410806656]"
F7,"[0.059453338384628296, 0.0403299480676651, 0.05702657997608185, 0.053406357765197754, 0.21456852555274963, 0.08392179757356644, 0.03969050943851471, 0.11356579512357712, 0.08160735666751862, 0.020069338381290436, 0.08022412657737732, 0.16775527596473694, 0.030519617721438408, 0.15855012834072113, 0.15684787929058075, 0.0757637470960617, 0.2545955777168274, 0.20591089129447937, 0.043191611766815186, 0.01868504099547863, 0.1060182973742485, 0.06280699372291565, 0.03285062685608864, 0.1399616301059723, 0.14605848491191864, 0.020627614110708237, 0.04081492871046066, 0.210317000746727, 0.11651332676410675, 0.11166159063577652, 0.22806809842586517, 0.04832124337553978, 0.18032236397266388, 0.06014637276530266, 0.10721417516469955, 0.04911797121167183, 0.008171919733285904, 0.007967527955770493, 0.02218334749341011, 0.005010597407817841, 0.04841526597738266, 0.023132704198360443, 0.09516225755214691, 0.059619124978780746, 0.0028348127380013466, 0.12343409657478333, 0.09500815719366074, 0.04053424298763275, 0.04649250581860542, 0.05850054323673248, 0.053042493760585785, 0.014951017685234547, 0.04694667458534241, 0.006499460898339748, 0.11635459214448929, 0.012690269388258457, 0.18604092299938202, 0.0008822942618280649, 0.04518468305468559, 0.05473441258072853, 0.01575418934226036, 0.25450918078422546, 0.09574604779481888, 0.01214034017175436, 0.03650888800621033, 0.02992231957614422, 0.15846022963523865, 0.19621948897838593, 0.018346764147281647, 0.05635989084839821, 0.06496342271566391, 0.19995875656604767, 0.11888636648654938, 0.1610565036535263, 0.18468935787677765, 0.0757349357008934, 0.10242965072393417, 0.1322794258594513, 0.013482985086739063, 0.017291653901338577, 0.04307326674461365, 0.0554058775305748, 0.09843225032091141, 0.170751690864563, 0.04027024284005165, 0.07469919323921204, 0.1885022222995758, 0.19786536693572998, 0.15075498819351196, 0.04942091926932335, 0.02840905450284481, 0.04534635692834854, 0.006795966532081366, 0.04564482346177101, 0.02788970246911049, 0.11157628148794174, 0.038938168436288834, 0.025539172813296318, 0.0562666617333889, 0.0781245306134224, 0.00017789681442081928, 0.08762841671705246, 0.0405726321041584, 0.1409502476453781, 0.2495555430650711, 0.0011987767647951841, 0.03823728486895561, 0.028173616155982018, 0.08842915296554565, 0.0494108647108078, 0.014424019493162632, 0.16545286774635315, 0.05764660984277725, 0.10522227734327316, 0.15196451544761658, 0.08613602817058563, 0.1339183747768402, 0.14473088085651398, 0.027646226808428764, 0.1824241280555725, 0.06192898377776146, 0.08115755766630173, 0.08483942598104477, 0.05679449439048767, 0.03834649920463562, 0.2539012134075165, 0.07486388087272644, 0.057903215289115906]"
F8,"[0.10011297464370728, 0.06382708251476288, 0.03289246931672096, 0.1287001371383667, 0.009809721261262894, 0.12524789571762085, 0.08265937864780426, 0.09822855144739151, 0.0365636944770813, 0.024138174951076508, 0.06918977946043015, 0.01824500598013401, 0.1484849900007248, 0.04386964067816734, 0.028525542467832565, 0.16924279928207397, 0.06765549629926682, 0.07631024718284607, 0.20992378890514374, 0.12193146347999573, 0.10582499951124191, 0.06089560315012932, 0.0860729068517685, 0.07614944875240326, 0.051361847668886185, 0.03223840892314911, 0.125404953956604, 0.24423086643218994, 0.06041375547647476, 0.06284686923027039, 0.06468714773654938, 0.037465985864400864, 0.01179733406752348, 0.010833021253347397, 0.08014863729476929, 0.15247474610805511, 0.080612912774086, 0.05540907010436058, 0.09771538525819778, 0.1804742068052292, 0.050971534103155136, 0.05376749858260155, 0.019552219659090042, 0.10557004809379578, 0.22153493762016296, 0.09130322933197021, 0.02673606388270855, 0.13385240733623505, 0.07498359680175781, 0.033785272389650345, 0.07018788158893585, 0.08163121342658997, 0.24370035529136658, 0.12802840769290924, 0.04000541940331459, 0.05389542132616043, 0.17973458766937256, 0.13362333178520203, 0.09753936529159546, 0.07090569287538528, 0.12152580916881561, 0.07475777715444565, 0.13227145373821259, 0.13874270021915436, 0.18450218439102173, 0.1954805850982666, 0.025730721652507782, 0.20260295271873474, 0.038201671093702316, 0.06869779527187347, 0.13001610338687897, 0.1533546894788742, 0.1193637102842331, 0.11977831274271011, 0.01925799809396267, 0.06734166294336319, 0.10180895775556564, 0.021902529522776604, 0.1880427449941635, 0.14232948422431946, 0.1875056028366089, 0.02219708263874054, 0.12423770874738693, 0.07958965003490448, 0.08613871037960052, 0.07358615845441818, 0.10177900642156601, 0.13319799304008484, 0.05819595977663994, 0.08779985457658768, 0.01794654130935669, 0.016058702021837234, 0.10759329050779343, 0.1351047307252884, 0.1484828144311905, 0.1392313539981842, 0.14454162120819092, 0.093979611992836, 0.15245813131332397, 0.011054563336074352, 0.14426112174987793, 0.034245144575834274, 0.08865442872047424, 0.04768085479736328, 0.0340895876288414, 0.2092141956090927, 0.027339255437254906, 0.12780308723449707, 0.01086096279323101, 0.1434328705072403, 0.07807912677526474, 0.10118662565946579, 0.10615269839763641, 0.061421945691108704, 0.09401907026767731, 0.09170164167881012, 0.009196806699037552, 0.002532729646191001, 0.09535405784845352, 0.009281028993427753, 0.02744538150727749, 0.052797846496105194, 0.13222092390060425, 0.09258701652288437, 0.11591868847608566, 0.12591664493083954, 0.0693584755063057, 0.013098634779453278]"
F9,"[0.10929176211357117, 0.035651855170726776, 0.011830631643533707, 0.014025956392288208, 0.14188091456890106, 0.06244942918419838, 0.22474849224090576, 0.0043160440400242805, 0.1775549054145813, 0.004698899108916521, 0.000612858624663204, 0.3451526463031769, 0.11930815130472183, 0.1501389592885971, 0.07946990430355072, 0.011945328675210476, 0.004272253252565861, 0.0034744711592793465, 0.10890063643455505, 0.08814354240894318, 0.02919822186231613, 0.16506889462471008, 0.018942147493362427, 0.12866085767745972, 0.10390536487102509, 0.05185544490814209, 0.24785396456718445, 0.14611198008060455, 0.05100032687187195, 0.14291657507419586, 0.007466988638043404, 0.02478840947151184, 0.08626416325569153, 0.12703776359558105, 0.02621166594326496, 0.10033845156431198, 0.022270841524004936, 0.141635000705719, 0.08007312566041946, 0.029382050037384033, 0.17052705585956573, 0.1281573474407196, 0.203140988945961, 0.09296958893537521, 0.23987433314323425, 0.03426017239689827, 0.03526914864778519, 0.07415390759706497, 0.0494605116546154, 0.1359969973564148, 0.07964470237493515, 0.0002411847235634923, 0.30516138672828674, 0.018473859876394272, 0.046366479247808456, 0.045441869646310806, 0.2095453143119812, 0.1029491275548935, 0.07778055965900421, 0.10968372225761414, 0.13368089497089386, 0.12366035580635071, 0.08449375629425049, 0.013841022737324238, 0.13071654736995697, 0.3227498531341553, 0.21060198545455933, 0.0682988241314888, 0.19368037581443787, 0.130702942609787, 0.007983284071087837, 0.3093757629394531, 0.04806980490684509, 0.06895056366920471, 0.011773718520998955, 0.13004055619239807, 0.12606292963027954, 0.03351486474275589, 0.13924911618232727, 0.16872629523277283, 0.04444071650505066, 0.18232473731040955, 0.14315666258335114, 0.1094621941447258, 0.007637293543666601, 0.08766571432352066, 0.15280738472938538, 0.374154657125473, 0.1254613995552063, 0.06964471191167831, 0.1538982093334198, 0.06237480416893959, 0.026150831952691078, 0.13480249047279358, 0.1173536404967308, 0.0352848656475544, 0.04064387083053589, 0.007895030081272125, 0.005250238813459873, 0.1377963423728943, 0.17329438030719757, 0.26028144359588623, 0.14306704699993134, 0.09508328884840012, 0.018088448792696, 0.07227066159248352, 0.2034919261932373, 0.15460875630378723, 0.03716571629047394, 0.01818915456533432, 0.0750524252653122, 0.12252579629421234, 0.17614251375198364, 0.06530823558568954, 0.14891405403614044, 0.14583973586559296, 0.049854204058647156, 0.0846104696393013, 0.18565160036087036, 0.05942969769239426, 0.09148062020540237, 0.03288792073726654, 0.0434596873819828, 0.21774907410144806, 0.018825560808181763, 0.05295754224061966, 0.16326875984668732, 0.08897000551223755]"
F10,"[0.1351395845413208, 0.10661892592906952, 0.03564775362610817, 0.06838895380496979, 0.049963753670454025, 0.04797416180372238, 0.4082758128643036, 0.13818827271461487, 0.3437826335430145, 0.027275554835796356, 0.0035175923258066177, 0.5560129284858704, 0.057899415493011475, 0.10285385698080063, 0.006366887595504522, 0.13409052789211273, 0.00168970029335469, 0.02145429141819477, 0.27598878741264343, 0.1420111209154129, 0.10582657903432846, 0.19615553319454193, 0.07214655727148056, 0.18784812092781067, 0.04922407865524292, 0.12046968191862106, 0.19504414498806, 0.035352639853954315, 0.1620005965232849, 0.03155135363340378, 0.09446898847818375, 0.1919741928577423, 0.03830556198954582, 0.38049590587615967, 0.08374226093292236, 0.07890074700117111, 0.1516769975423813, 0.5369220972061157, 0.022837689146399498, 0.006374456454068422, 0.041202351450920105, 0.22916896641254425, 0.10616704821586609, 0.13864274322986603, 0.4353332817554474, 0.0011267976369708776, 0.037150394171476364, 0.07181493192911148, 0.2999705970287323, 0.16749343276023865, 0.01768076792359352, 0.1448570042848587, 0.4915252923965454, 0.02772153541445732, 0.2530571520328522, 0.4077514111995697, 0.06418547034263611, 0.05840173363685608, 0.22962462902069092, 0.2805485129356384, 0.08881063014268875, 0.11489087343215942, 0.045784883201122284, 0.033856190741062164, 0.05104673653841019, 0.39239501953125, 0.05982836335897446, 0.028727887198328972, 0.1338718682527542, 0.15284834802150726, 0.1675359159708023, 0.2319760024547577, 0.02248612605035305, 0.0863620787858963, 0.18287652730941772, 0.09444883465766907, 0.08469226956367493, 0.033288732171058655, 0.1528698205947876, 0.10369926691055298, 0.10905011743307114, 0.5254974961280823, 0.07051687687635422, 0.04938122257590294, 0.17206697165966034, 0.11169654130935669, 0.03389968350529671, 0.6317844390869141, 0.11130501329898834, 0.04926596209406853, 0.10933735221624374, 0.07385516166687012, 0.2572201192378998, 0.09147078543901443, 0.09816586971282959, 0.08946350961923599, 0.14457257091999054, 0.03691647946834564, 0.06071740761399269, 0.13459384441375732, 0.19660584628582, 0.4748730957508087, 0.517541229724884, 0.03537186607718468, 0.05295800790190697, 0.0029856530018150806, 0.11359648406505585, 0.23174935579299927, 0.004391066264361143, 0.10032946616411209, 0.15521055459976196, 0.08973781019449234, 0.02068329229950905, 0.003992677666246891, 0.3388309180736542, 0.10436328500509262, 0.07793887704610825, 0.13772155344486237, 0.07910778373479843, 0.22920572757720947, 0.12926185131072998, 0.44907426834106445, 0.14681869745254517, 0.24540925025939941, 0.20743055641651154, 0.17239190638065338, 0.17164479196071625, 0.039978209882974625]"
