feature,feature_name,max_abs_weight_score
F10,feature_10,0.6317844390869141
F30,feature_30,0.5349931120872498
F25,feature_25,0.48227566480636597
F26,feature_26,0.4798135459423065
F21,feature_21,0.4493449330329895
F6,feature_6,0.4453318119049072
F29,feature_29,0.42538881301879883
F20,feature_20,0.4247419536113739
F3,feature_3,0.39615970849990845
F4,feature_4,0.3917333483695984
F9,feature_9,0.374154657125473
F5,feature_5,0.3721127510070801
F24,feature_24,0.36971524357795715
F1,feature_1,0.3616872727870941
F28,feature_28,0.3321271538734436
F23,feature_23,0.33142760396003723
F2,feature_2,0.32775428891181946
F14,feature_14,0.3264269530773163
F16,feature_16,0.31702423095703125
F11,feature_11,0.29507261514663696
F19,feature_19,0.2694030702114105
