k,inertia,cluster_rmse,silhouette_score
2,3260.813720703125,3.2805123768194746,0.1754707396030426
3,2991.462890625,3.142103566171006,0.12976978719234467
4,2794.98486328125,3.0371652055949694,0.13484667241573334
5,2659.818359375,2.9628159601600093,0.1149095818400383
6,2548.1181640625,2.8999363621460215,0.11345624923706055
7,2447.17626953125,2.841916490396395,0.1108555793762207
8,2359.2578125,2.790399507990105,0.10594877600669861
9,2288.7734375,2.7484009377311476,0.11670946329832077
10,2221.2822265625,2.7075753810560217,0.10236470401287079
11,2166.505859375,2.673982863515198,0.10505489259958267
12,2132.40283203125,2.652853766986418,0.11049635708332062
13,2068.643798828125,2.6128925077121905,0.10699432343244553
14,2013.716552734375,2.5779699798378437,0.11191213876008987
15,1987.2828369140625,2.5609937974816495,0.10967966914176941
