k,inertia,cluster_rmse,silhouette_score
2,4350.779296875,3.298021868057806,0.23936951160430908
3,3909.808837890625,3.126423211071489,0.2114214301109314
4,3547.396728515625,2.9780013131778604,0.20832009613513947
5,3160.3818359375,2.8108636732939845,0.2119641751050949
6,2842.8828125,2.6659345511940087,0.22036325931549072
7,2681.774658203125,2.5892926921280672,0.2031245082616806
8,2527.57275390625,2.51374857230504,0.14685381948947906
9,2412.05078125,2.455631681080247,0.1325622797012329
10,2341.45263671875,2.4194279472215894,0.11559422314167023
11,2254.255859375,2.3739502202947516,0.109061099588871
12,2183.415283203125,2.3363514735603914,0.10944973677396774
13,2126.787109375,2.305855106774383,0.11559080332517624
14,2063.584716796875,2.271334804028721,0.10062616318464279
15,2035.033935546875,2.2555675203520704,0.10122911632061005
