pc1,pc2,cluster,pc1_variance,pc2_variance
-4.002578,0.8289712,1,32.406555,12.119713
0.0875699,-1.3239979,6,32.406555,12.119713
-2.8807547,-1.6284499,5,32.406555,12.119713
1.3365206,-0.054524414,2,32.406555,12.119713
2.4511797,-0.60752475,0,32.406555,12.119713
-1.798801,-2.7627249,6,32.406555,12.119713
-5.6154623,-0.13134187,7,32.406555,12.119713
0.034444883,-0.15967336,3,32.406555,12.119713
-1.0187708,-0.57504815,3,32.406555,12.119713
1.7893695,-0.08926013,0,32.406555,12.119713
-0.7236153,-0.31844848,3,32.406555,12.119713
2.4548101,0.17520091,0,32.406555,12.119713
-1.8695582,1.0585515,9,32.406555,12.119713
3.13847,-0.42116883,0,32.406555,12.119713
-0.2826918,0.83188397,9,32.406555,12.119713
2.8612192,-0.42875424,0,32.406555,12.119713
0.49917105,-0.73126674,3,32.406555,12.119713
-2.279304,-1.7874556,5,32.406555,12.119713
-0.3344342,0.5196978,9,32.406555,12.119713
2.6907487,-0.13842651,2,32.406555,12.119713
-0.7101648,3.31246,10,32.406555,12.119713
-0.20905599,0.14745346,3,32.406555,12.119713
2.8771167,-0.49412873,0,32.406555,12.119713
0.3604437,-0.15138625,9,32.406555,12.119713
1.6258407,-0.3481497,2,32.406555,12.119713
2.1948125,-0.4019268,2,32.406555,12.119713
1.7190983,-0.3648652,2,32.406555,12.119713
3.1154761,-0.026220322,0,32.406555,12.119713
1.2881696,-0.08375739,2,32.406555,12.119713
2.4539862,-0.5811261,0,32.406555,12.119713
0.27434224,0.7073357,3,32.406555,12.119713
0.15729833,0.7073707,3,32.406555,12.119713
-0.16700628,3.6618955,10,32.406555,12.119713
0.6077324,0.103816554,11,32.406555,12.119713
0.63781434,-0.4087659,2,32.406555,12.119713
-3.847072,1.8395354,1,32.406555,12.119713
-1.1783099,1.2762418,9,32.406555,12.119713
-2.2291336,0.5059585,9,32.406555,12.119713
2.161562,-0.44719064,2,32.406555,12.119713
1.4646955,-0.8320596,0,32.406555,12.119713
-0.07028832,0.010427123,11,32.406555,12.119713
-0.6962888,-0.62034625,9,32.406555,12.119713
2.0523458,-0.023091512,2,32.406555,12.119713
-1.4563179,-0.36668488,3,32.406555,12.119713
-3.6039116,2.0670242,7,32.406555,12.119713
-0.70254296,-0.33498707,3,32.406555,12.119713
2.3538928,0.42148846,2,32.406555,12.119713
-0.12012721,0.28283495,9,32.406555,12.119713
1.6222078,-0.71876067,0,32.406555,12.119713
0.29059574,0.25653622,3,32.406555,12.119713
-1.8625286,3.3684027,12,32.406555,12.119713
2.0437834,0.3438211,2,32.406555,12.119713
-1.778014,-1.0892593,9,32.406555,12.119713
-0.64301014,-1.3811644,6,32.406555,12.119713
2.3617046,0.33018193,2,32.406555,12.119713
-2.0066514,-2.9241807,6,32.406555,12.119713
2.0224943,-0.41308764,2,32.406555,12.119713
-1.6407639,-0.1992211,9,32.406555,12.119713
-0.3903498,2.3433936,10,32.406555,12.119713
-3.5271335,-1.3063458,7,32.406555,12.119713
1.468617,0.024598302,2,32.406555,12.119713
2.6098688,-0.34848237,0,32.406555,12.119713
2.7070696,-0.9222249,0,32.406555,12.119713
1.7368413,0.014904698,0,32.406555,12.119713
1.9435223,-0.50216097,0,32.406555,12.119713
-0.32208174,0.8048709,9,32.406555,12.119713
1.6694214,-0.14913245,2,32.406555,12.119713
1.0099412,-0.36532843,2,32.406555,12.119713
-0.17344224,-0.215199,11,32.406555,12.119713
2.7924507,-0.498564,0,32.406555,12.119713
3.1171196,-0.7212878,0,32.406555,12.119713
-4.758738,-2.8223166,5,32.406555,12.119713
-0.42487898,0.3373968,9,32.406555,12.119713
2.898095,-0.80327725,0,32.406555,12.119713
-0.88099575,-0.6033075,3,32.406555,12.119713
3.3663044,-0.39807346,0,32.406555,12.119713
0.6633066,-0.13459897,9,32.406555,12.119713
-1.598399,1.9627707,10,32.406555,12.119713
-0.23482499,-0.5381814,3,32.406555,12.119713
1.3162965,0.18854025,0,32.406555,12.119713
-1.9112706,1.9786589,3,32.406555,12.119713
-0.95281315,-0.08308567,9,32.406555,12.119713
1.6198323,-0.21855107,2,32.406555,12.119713
-1.9754494,2.625728,12,32.406555,12.119713
-0.2962988,-0.4243297,9,32.406555,12.119713
0.9913676,0.03356196,2,32.406555,12.119713
-1.9898782,-0.14202528,3,32.406555,12.119713
-0.21226636,1.1357584,10,32.406555,12.119713
2.5431426,-0.6509555,2,32.406555,12.119713
-0.89784247,3.0306945,10,32.406555,12.119713
1.4406652,0.12192802,2,32.406555,12.119713
-0.96206605,-0.5662523,9,32.406555,12.119713
2.8679137,-0.82924646,0,32.406555,12.119713
0.9265757,-0.4311283,0,32.406555,12.119713
-1.4999835,-1.3402326,6,32.406555,12.119713
-0.75400203,1.9216655,12,32.406555,12.119713
-0.59089994,0.10428946,9,32.406555,12.119713
1.1354481,-0.516015,11,32.406555,12.119713
0.44724005,-0.0066814534,9,32.406555,12.119713
-3.3100803,-2.2206821,5,32.406555,12.119713
-4.7434444,-4.8144565,5,32.406555,12.119713
-1.2789981,-0.02424668,11,32.406555,12.119713
1.7933418,-0.10675961,2,32.406555,12.119713
-0.93050057,3.603416,12,32.406555,12.119713
0.09954098,0.026865682,3,32.406555,12.119713
2.4341683,-0.44732425,0,32.406555,12.119713
-0.09019865,0.62513953,3,32.406555,12.119713
-2.61102,4.4441357,12,32.406555,12.119713
-0.13920422,1.5682678,3,32.406555,12.119713
2.3147557,-0.2785218,2,32.406555,12.119713
2.208255,0.21212006,2,32.406555,12.119713
2.4688742,-0.34649366,0,32.406555,12.119713
2.3506293,0.7081603,2,32.406555,12.119713
-1.1687003,-0.10038598,3,32.406555,12.119713
-1.4955494,0.4513403,11,32.406555,12.119713
2.248534,0.11786121,0,32.406555,12.119713
-2.302028,3.3232782,12,32.406555,12.119713
-1.2020442,0.40037343,7,32.406555,12.119713
-0.16804247,0.5478335,3,32.406555,12.119713
-4.43482,-1.6042325,5,32.406555,12.119713
1.7409481,-0.085419334,0,32.406555,12.119713
-0.12370638,-0.14935072,3,32.406555,12.119713
2.4581454,-0.39687485,0,32.406555,12.119713
-1.136022,-0.95200884,6,32.406555,12.119713
1.5815457,-0.5642871,0,32.406555,12.119713
0.21603435,0.5141954,3,32.406555,12.119713
-2.1130497,0.22641893,7,32.406555,12.119713
1.7928749,0.1176274,2,32.406555,12.119713
1.7701613,-0.029596409,0,32.406555,12.119713
2.1120355,-0.46403396,0,32.406555,12.119713
0.072854735,1.1095107,3,32.406555,12.119713
2.0619075,-0.42356384,0,32.406555,12.119713
0.14428468,0.40712303,3,32.406555,12.119713
1.8301841,0.1131882,2,32.406555,12.119713
1.8636333,0.16337785,2,32.406555,12.119713
1.7298363,0.28122923,2,32.406555,12.119713
-0.44354936,-0.38273603,9,32.406555,12.119713
0.9554854,-0.36431873,2,32.406555,12.119713
2.9058537,0.51363826,2,32.406555,12.119713
-1.5949042,0.27661407,9,32.406555,12.119713
2.6058981,-0.70008683,0,32.406555,12.119713
0.017385423,-0.15129113,9,32.406555,12.119713
1.0586038,-0.13336089,3,32.406555,12.119713
-4.4453273,1.4284766,1,32.406555,12.119713
-0.7385831,-0.5697737,9,32.406555,12.119713
0.6114365,-0.47789007,2,32.406555,12.119713
-3.4836247,-1.285167,5,32.406555,12.119713
-1.58507,1.3941042,9,32.406555,12.119713
1.9596063,-0.61075956,2,32.406555,12.119713
2.9346094,-0.16743925,2,32.406555,12.119713
-0.56837255,0.012899386,3,32.406555,12.119713
-2.7558491,2.7752547,12,32.406555,12.119713
-1.9285398,-0.9963426,6,32.406555,12.119713
-0.29530317,-1.8083427,6,32.406555,12.119713
2.2835107,-0.5080496,2,32.406555,12.119713
0.37210456,-0.019271825,3,32.406555,12.119713
-1.68559,0.2912569,11,32.406555,12.119713
-0.12278452,-0.4394278,3,32.406555,12.119713
-3.2124608,0.87439173,1,32.406555,12.119713
-2.0040689,-2.4750168,6,32.406555,12.119713
1.6882589,0.11152602,2,32.406555,12.119713
0.21648577,-0.29954636,11,32.406555,12.119713
-0.13141698,-1.0154741,6,32.406555,12.119713
0.21451207,-0.18995193,3,32.406555,12.119713
-6.351965,-0.5392686,8,32.406555,12.119713
1.3184859,-0.2291519,2,32.406555,12.119713
2.662532,0.28151566,0,32.406555,12.119713
-2.5078313,1.0913746,1,32.406555,12.119713
1.1183891,-0.2330237,2,32.406555,12.119713
-1.2406706,-0.9082219,6,32.406555,12.119713
-3.5317051,-2.354507,5,32.406555,12.119713
-0.8682912,0.9287537,9,32.406555,12.119713
-0.668808,-0.32353476,3,32.406555,12.119713
1.8926708,-0.13753127,2,32.406555,12.119713
-0.9485478,0.23461442,9,32.406555,12.119713
2.3423965,-0.5670041,2,32.406555,12.119713
2.7561371,-0.45776156,0,32.406555,12.119713
1.6381348,-0.43306732,0,32.406555,12.119713
-2.0455754,3.5754871,12,32.406555,12.119713
-2.886516,-0.056205057,11,32.406555,12.119713
0.27542374,-0.8958212,3,32.406555,12.119713
-2.9886458,1.0650249,1,32.406555,12.119713
3.1377814,-0.3903529,0,32.406555,12.119713
1.937697,-0.49089655,0,32.406555,12.119713
2.6853757,-0.19987771,2,32.406555,12.119713
-0.683363,0.4002544,9,32.406555,12.119713
0.515573,-0.4062441,11,32.406555,12.119713
-3.9322305,4.9313545,12,32.406555,12.119713
-3.6912746,-1.8251203,5,32.406555,12.119713
-3.045928,3.9707322,12,32.406555,12.119713
-2.650887,-1.7802205,7,32.406555,12.119713
2.1792057,-0.7585571,0,32.406555,12.119713
1.907964,-0.08541766,2,32.406555,12.119713
1.677073,0.25691754,2,32.406555,12.119713
-1.5960082,0.8500059,9,32.406555,12.119713
2.897595,0.16477354,2,32.406555,12.119713
2.837751,-0.27555305,0,32.406555,12.119713
-1.100069,0.71118605,3,32.406555,12.119713
-1.3369755,2.943918,10,32.406555,12.119713
