k,inertia,cluster_rmse,silhouette_score
2,10176.5068359375,13.602477605827751,0.14545157551765442
3,9007.38671875,12.797291417078707,0.15300701558589935
4,8144.0966796875,12.168585993665298,0.12082947790622711
5,7706.4609375,11.837122606060525,0.09848732501268387
6,7068.2509765625,11.336386290141942,0.1403903067111969
7,6745.2177734375,11.074309150164135,0.12201175838708878
8,6221.3046875,10.635536219759594,0.1315687745809555
9,6027.92626953125,10.46893783752787,0.11387372761964798
10,5620.0712890625,10.108566384339122,0.14123104512691498
11,5331.40576171875,9.845539610050237,0.1315649300813675
12,5052.458984375,9.584513061444488,0.13522426784038544
13,4756.91552734375,9.299966302327757,0.1511063128709793
14,4490.56201171875,9.035849823411741,0.11301635205745697
15,4204.84912109375,8.743672123410423,0.15271247923374176
16,4001.498046875,8.529625428070204,0.14315855503082275
