k,inertia,cluster_rmse,silhouette_score
2,521405.4375,26.261944561339266,0.0924798846244812
3,491112.25,25.48763186933769,0.08631643652915955
4,466029.625,24.828236000772446,0.08694371581077576
5,452026.71875,24.4523810731287,0.08511707931756973
6,438963.625,24.096466869822756,0.0655345469713211
7,425807.875,23.732634280546687,0.05181311443448067
8,414988.03125,23.429169154323525,0.05916144326329231
9,409300.625,23.268067025898244,0.051114168018102646
10,399717.25,22.994054039338543,0.048452701419591904
11,395022.25,22.858613337289373,0.04115821048617363
12,383027.0625,22.50887721703214,0.04931552708148956
13,376479.28125,22.315655205749724,0.047030009329319
14,367919.4375,22.060505946579003,0.058758221566677094
15,364079.875,21.945093671328593,0.04961254075169563
16,361131.4375,21.85605377556094,0.047605808824300766
