pc1,pc2,cluster,pc1_variance,pc2_variance
-1.9249111,-7.5550447,4,12.962002,9.390044
10.008959,-1.0883725,2,12.962002,9.390044
9.81752,1.060611,2,12.962002,9.390044
20.327284,-13.370676,5,12.962002,9.390044
5.117671,-3.236435,2,12.962002,9.390044
21.631857,-12.478259,5,12.962002,9.390044
10.317218,-7.3134503,2,12.962002,9.390044
-2.482371,3.1696365,0,12.962002,9.390044
4.3022103,13.728946,0,12.962002,9.390044
-3.8771856,5.7446313,0,12.962002,9.390044
-1.5694051,2.9963906,0,12.962002,9.390044
7.249636,2.9482327,2,12.962002,9.390044
-8.004368,-5.89206,4,12.962002,9.390044
-5.7074037,-3.9228287,4,12.962002,9.390044
13.3476515,-14.868715,5,12.962002,9.390044
-0.532191,9.712185,0,12.962002,9.390044
-1.5398942,-9.104415,4,12.962002,9.390044
-16.338305,-7.2944503,6,12.962002,9.390044
2.6038249,17.576757,3,12.962002,9.390044
18.972553,-7.061829,2,12.962002,9.390044
13.528754,-18.790674,5,12.962002,9.390044
21.57757,-0.159238,2,12.962002,9.390044
25.173058,-21.63899,1,12.962002,9.390044
-3.7189298,6.4786725,0,12.962002,9.390044
3.1318722,-10.415854,4,12.962002,9.390044
-0.14834945,-0.7072702,0,12.962002,9.390044
7.2418213,5.5165462,2,12.962002,9.390044
-4.086323,3.0589836,0,12.962002,9.390044
10.214349,13.771703,3,12.962002,9.390044
4.1005654,11.234037,0,12.962002,9.390044
7.932343,4.1919227,2,12.962002,9.390044
-5.95857,7.6607647,0,12.962002,9.390044
-15.317084,0.36686632,6,12.962002,9.390044
19.952011,-6.635785,5,12.962002,9.390044
2.4495888,-11.344693,4,12.962002,9.390044
2.3218296,3.1140895,0,12.962002,9.390044
-4.732846,-9.662321,4,12.962002,9.390044
9.318282,-1.9634401,2,12.962002,9.390044
-0.8539429,-7.2171617,4,12.962002,9.390044
0.23521924,3.7793221,0,12.962002,9.390044
4.4937563,13.925032,3,12.962002,9.390044
3.233051,-8.782505,4,12.962002,9.390044
7.274894,-7.0084224,4,12.962002,9.390044
-2.0389616,6.933004,0,12.962002,9.390044
-6.6120625,6.343173,0,12.962002,9.390044
-16.282093,13.2153425,0,12.962002,9.390044
-8.102063,-0.40487856,6,12.962002,9.390044
-17.432419,-6.8496127,6,12.962002,9.390044
-1.252301,-5.5197926,4,12.962002,9.390044
0.784591,7.4032636,0,12.962002,9.390044
0.058137078,-1.062166,0,12.962002,9.390044
-6.7950783,5.3290467,0,12.962002,9.390044
2.7692018,-5.0124464,4,12.962002,9.390044
4.487248,7.537941,0,12.962002,9.390044
4.151118,7.0732164,3,12.962002,9.390044
-0.16452491,-6.7079587,4,12.962002,9.390044
-1.7500683,3.8110013,0,12.962002,9.390044
14.975599,0.77032334,1,12.962002,9.390044
-1.2646147,3.214159,0,12.962002,9.390044
-5.591602,8.841418,0,12.962002,9.390044
12.047399,11.566173,3,12.962002,9.390044
7.9511228,-3.7378373,2,12.962002,9.390044
-2.9743187,5.501617,0,12.962002,9.390044
6.489019,15.104946,3,12.962002,9.390044
5.8975925,11.99517,3,12.962002,9.390044
16.474266,-5.507396,2,12.962002,9.390044
3.03992,-2.8023355,4,12.962002,9.390044
9.8660345,-18.676344,5,12.962002,9.390044
-11.580513,0.71273583,6,12.962002,9.390044
-14.623066,-3.103854,6,12.962002,9.390044
14.0877075,2.5356803,2,12.962002,9.390044
7.352927,15.117304,3,12.962002,9.390044
-16.73986,-3.2764463,6,12.962002,9.390044
-14.514278,-9.02495,6,12.962002,9.390044
5.0805345,0.9550581,2,12.962002,9.390044
18.982075,-0.7909118,2,12.962002,9.390044
6.292213,4.139799,2,12.962002,9.390044
17.25856,-14.612135,5,12.962002,9.390044
-9.391927,-1.569667,6,12.962002,9.390044
-13.050365,8.48259,6,12.962002,9.390044
-14.161794,-4.825117,6,12.962002,9.390044
-14.426828,-13.050159,6,12.962002,9.390044
11.793369,-20.440912,5,12.962002,9.390044
0.94088185,7.9367375,3,12.962002,9.390044
-7.3515654,6.797489,0,12.962002,9.390044
-19.74395,-8.250942,6,12.962002,9.390044
3.1081557,-13.426756,4,12.962002,9.390044
4.149283,6.4437494,3,12.962002,9.390044
10.937264,-1.8371726,2,12.962002,9.390044
-1.248779,6.3352838,0,12.962002,9.390044
-7.9177704,-1.6274874,6,12.962002,9.390044
20.478165,-8.168576,5,12.962002,9.390044
-3.2387793,3.5183592,0,12.962002,9.390044
17.258387,-2.1056626,2,12.962002,9.390044
-14.707425,1.5153983,6,12.962002,9.390044
5.0060067,-4.761851,2,12.962002,9.390044
-7.085627,-2.7722378,4,12.962002,9.390044
-6.13937,6.270592,0,12.962002,9.390044
-3.0134914,-13.81591,4,12.962002,9.390044
5.936714,17.822489,3,12.962002,9.390044
-4.8787274,11.020904,3,12.962002,9.390044
7.856197,-8.504916,2,12.962002,9.390044
11.940989,12.147572,3,12.962002,9.390044
5.437903,6.541628,0,12.962002,9.390044
-4.668935,3.532415,0,12.962002,9.390044
-10.370595,1.5754302,6,12.962002,9.390044
0.18796091,4.4274755,0,12.962002,9.390044
-1.1526691,-0.17006625,0,12.962002,9.390044
13.50316,-1.2515423,2,12.962002,9.390044
12.597707,-2.6583142,2,12.962002,9.390044
-3.6396935,5.6500297,0,12.962002,9.390044
2.1142144,8.745469,0,12.962002,9.390044
-1.0697663,1.0837069,0,12.962002,9.390044
-9.644479,13.71988,0,12.962002,9.390044
1.7640185,-2.5876007,4,12.962002,9.390044
4.0977845,9.698815,0,12.962002,9.390044
2.7266724,6.4863224,0,12.962002,9.390044
4.3242617,-1.7225442,2,12.962002,9.390044
-2.5830815,-8.995144,4,12.962002,9.390044
-1.1535692,-2.018101,0,12.962002,9.390044
-14.760139,-2.0566905,6,12.962002,9.390044
-9.875015,13.227432,0,12.962002,9.390044
5.6714573,3.7687519,0,12.962002,9.390044
-18.613295,-2.182006,6,12.962002,9.390044
10.774769,5.231204,2,12.962002,9.390044
9.695284,3.247356,2,12.962002,9.390044
5.8047237,6.405722,0,12.962002,9.390044
-4.253621,18.157543,7,12.962002,9.390044
2.1854918,-2.9761047,4,12.962002,9.390044
7.6149154,0.17591733,2,12.962002,9.390044
6.5062976,-8.982935,4,12.962002,9.390044
-20.579351,-8.821706,6,12.962002,9.390044
-12.196641,-4.0600495,6,12.962002,9.390044
-2.6381116,13.787302,0,12.962002,9.390044
2.8949332,1.4053379,0,12.962002,9.390044
-6.6915145,5.34614,0,12.962002,9.390044
2.5815141,6.802349,0,12.962002,9.390044
-3.4682248,-1.5111727,0,12.962002,9.390044
-33.82879,-28.610973,6,12.962002,9.390044
-6.8935184,-6.168542,6,12.962002,9.390044
-21.883226,-11.028581,6,12.962002,9.390044
-11.514271,-21.788162,4,12.962002,9.390044
-13.054189,-4.0768576,6,12.962002,9.390044
4.311813,3.8496907,0,12.962002,9.390044
-9.453445,8.834036,0,12.962002,9.390044
7.600221,-3.462346,2,12.962002,9.390044
-17.918661,-3.9929733,6,12.962002,9.390044
1.7526398,-3.957025,4,12.962002,9.390044
-5.3270907,1.4519367,6,12.962002,9.390044
-0.0035510124,9.568801,0,12.962002,9.390044
-22.310822,6.4806485,6,12.962002,9.390044
-5.3985777,8.573462,0,12.962002,9.390044
-4.8462434,2.81263,0,12.962002,9.390044
11.535496,-1.3887105,2,12.962002,9.390044
-5.7709174,4.64162,0,12.962002,9.390044
-18.682283,0.07858894,6,12.962002,9.390044
12.03513,0.13493225,2,12.962002,9.390044
6.8510714,4.575727,2,12.962002,9.390044
10.40174,-2.6511543,2,12.962002,9.390044
-4.741071,9.473127,0,12.962002,9.390044
5.840062,-8.7416115,4,12.962002,9.390044
-13.487889,-8.172595,6,12.962002,9.390044
-5.8665395,-11.928543,4,12.962002,9.390044
-7.569565,-3.788365,6,12.962002,9.390044
18.532827,-1.8689264,2,12.962002,9.390044
-2.8238604,3.6818187,0,12.962002,9.390044
-1.9255196,0.20824568,3,12.962002,9.390044
-12.657275,1.6633414,6,12.962002,9.390044
10.022685,-19.337208,5,12.962002,9.390044
-0.8409285,9.500694,0,12.962002,9.390044
-1.1960002,-17.891842,4,12.962002,9.390044
4.8323383,9.942765,0,12.962002,9.390044
-6.1734805,-11.022375,4,12.962002,9.390044
23.393116,-8.96399,2,12.962002,9.390044
-0.089902274,-11.8054905,4,12.962002,9.390044
13.0977955,-10.968472,2,12.962002,9.390044
-20.707573,-9.9076,6,12.962002,9.390044
-24.13368,-11.445639,6,12.962002,9.390044
3.00734,3.9380977,3,12.962002,9.390044
4.6892886,3.2474246,2,12.962002,9.390044
1.1412386,-2.3040266,4,12.962002,9.390044
-3.4571023,-0.9987399,4,12.962002,9.390044
8.41344,-1.923773,2,12.962002,9.390044
0.91058195,-1.0293003,0,12.962002,9.390044
-1.0414087,9.632069,0,12.962002,9.390044
7.2912197,3.5956569,2,12.962002,9.390044
-7.749792,2.2644517,0,12.962002,9.390044
-9.970624,-2.3506207,6,12.962002,9.390044
-10.529496,-4.0437074,6,12.962002,9.390044
-5.116965,8.507809,0,12.962002,9.390044
18.751617,3.2011776,2,12.962002,9.390044
-3.1425903,5.193231,0,12.962002,9.390044
17.90792,2.6555133,2,12.962002,9.390044
-1.4835083,4.8548174,0,12.962002,9.390044
-15.226001,-3.680872,6,12.962002,9.390044
-9.110125,5.683256,0,12.962002,9.390044
-5.908056,4.650652,0,12.962002,9.390044
-4.133334,-7.6948185,4,12.962002,9.390044
-1.0766987,-4.704919,4,12.962002,9.390044
-9.891172,8.198021,6,12.962002,9.390044
4.5624466,-5.1456056,4,12.962002,9.390044
1.4462606,7.4713063,0,12.962002,9.390044
-4.9251275,7.2777877,3,12.962002,9.390044
14.328331,-11.420684,1,12.962002,9.390044
-18.676586,-1.2521628,6,12.962002,9.390044
1.5643457,-13.044229,4,12.962002,9.390044
-2.487471,3.3946388,0,12.962002,9.390044
-21.073402,-12.729892,6,12.962002,9.390044
5.920706,-5.4678802,4,12.962002,9.390044
-3.423656,-8.563611,4,12.962002,9.390044
9.73545,-11.939132,2,12.962002,9.390044
-9.129388,1.1658235,0,12.962002,9.390044
9.672616,-4.1722255,2,12.962002,9.390044
2.1391118,2.3541408,3,12.962002,9.390044
5.714293,13.349698,3,12.962002,9.390044
-3.0153122,-12.773722,4,12.962002,9.390044
3.9759302,-10.250736,4,12.962002,9.390044
-9.639656,1.2634877,6,12.962002,9.390044
16.581142,-16.258862,5,12.962002,9.390044
-4.7085705,5.466886,0,12.962002,9.390044
-13.92791,1.8869272,6,12.962002,9.390044
-7.701243,3.906541,0,12.962002,9.390044
8.602856,17.669657,3,12.962002,9.390044
14.374088,1.5794244,2,12.962002,9.390044
10.06798,-8.276921,2,12.962002,9.390044
-4.4370303,-8.265353,4,12.962002,9.390044
-6.2023497,5.7715898,0,12.962002,9.390044
6.7324643,3.3277426,2,12.962002,9.390044
9.469755,3.8168805,2,12.962002,9.390044
10.064479,-2.210405,2,12.962002,9.390044
-0.26828206,2.338089,0,12.962002,9.390044
-10.329813,-1.3090883,6,12.962002,9.390044
9.67057,-2.8243663,2,12.962002,9.390044
-1.8279346,-14.842052,4,12.962002,9.390044
1.9724474,-15.068527,4,12.962002,9.390044
-11.958055,-10.485986,6,12.962002,9.390044
-3.9315906,5.412028,0,12.962002,9.390044
-30.13174,-10.581719,6,12.962002,9.390044
-2.1133597,-11.17332,4,12.962002,9.390044
-7.432801,5.411954,0,12.962002,9.390044
-8.69129,2.877191,6,12.962002,9.390044
3.8845282,0.20707157,2,12.962002,9.390044
-0.61548007,4.1585655,0,12.962002,9.390044
3.2550502,3.8310037,3,12.962002,9.390044
-2.244987,-15.898383,4,12.962002,9.390044
-9.294269,6.736068,0,12.962002,9.390044
-5.441529,0.49802303,0,12.962002,9.390044
-11.49709,-7.2772994,6,12.962002,9.390044
-13.430635,1.4475188,6,12.962002,9.390044
9.029846,2.4368482,2,12.962002,9.390044
-3.7106516,9.86205,0,12.962002,9.390044
4.1580896,2.683362,3,12.962002,9.390044
-5.2729034,8.212861,0,12.962002,9.390044
-8.530086,7.3902416,0,12.962002,9.390044
-2.5281553,-3.976933,4,12.962002,9.390044
-7.370339,7.812985,0,12.962002,9.390044
-0.43172902,9.700828,3,12.962002,9.390044
9.541957,-14.017775,4,12.962002,9.390044
9.745765,1.7954758,2,12.962002,9.390044
-2.606435,8.978624,0,12.962002,9.390044
-10.307974,0.006217969,6,12.962002,9.390044
7.167061,-7.7115793,4,12.962002,9.390044
-3.9590194,-5.235238,4,12.962002,9.390044
4.1878014,8.9362335,3,12.962002,9.390044
6.209898,10.802753,0,12.962002,9.390044
10.928685,0.9573725,2,12.962002,9.390044
10.3787985,-0.36086026,2,12.962002,9.390044
-8.499872,4.7645116,6,12.962002,9.390044
-11.518108,1.0525924,6,12.962002,9.390044
3.402665,13.972636,0,12.962002,9.390044
-5.653805,7.2799125,0,12.962002,9.390044
0.81529564,-13.214773,4,12.962002,9.390044
1.9175315,3.9369285,3,12.962002,9.390044
2.7177804,-2.3467817,4,12.962002,9.390044
3.3270535,-5.9356728,4,12.962002,9.390044
3.8300195,8.363428,3,12.962002,9.390044
0.58314705,10.767451,3,12.962002,9.390044
23.247066,-10.809488,5,12.962002,9.390044
3.7858741,2.1840801,3,12.962002,9.390044
15.914477,-0.921688,2,12.962002,9.390044
-4.108259,0.2980051,0,12.962002,9.390044
2.2787328,-2.5381143,4,12.962002,9.390044
-8.268434,1.3163391,6,12.962002,9.390044
-10.987962,-2.2646344,6,12.962002,9.390044
-10.253229,-1.5039598,6,12.962002,9.390044
-9.364629,-4.5086246,6,12.962002,9.390044
-15.301177,1.6609633,6,12.962002,9.390044
4.410647,-4.937541,4,12.962002,9.390044
15.047379,-8.166236,2,12.962002,9.390044
-5.2281036,6.8635635,0,12.962002,9.390044
-1.4095169,2.71445,0,12.962002,9.390044
2.8247085,7.9155116,3,12.962002,9.390044
18.71702,-10.421991,5,12.962002,9.390044
5.4410243,-10.986036,4,12.962002,9.390044
-11.9387665,0.8839023,6,12.962002,9.390044
4.246507,8.239423,0,12.962002,9.390044
-1.9670203,4.6442294,3,12.962002,9.390044
-2.261433,-8.81362,4,12.962002,9.390044
-6.5793767,0.8520991,0,12.962002,9.390044
-4.6812496,33.666027,7,12.962002,9.390044
-7.6769953,2.6322312,0,12.962002,9.390044
-0.5027809,0.65272534,3,12.962002,9.390044
-0.22004634,4.168751,0,12.962002,9.390044
19.216576,-4.5965095,2,12.962002,9.390044
-4.072647,6.2114234,0,12.962002,9.390044
14.060872,-0.5672084,2,12.962002,9.390044
4.622866,2.3169377,2,12.962002,9.390044
1.0901064,5.9438233,3,12.962002,9.390044
7.594934,4.563136,2,12.962002,9.390044
-14.51385,1.5223924,6,12.962002,9.390044
8.994551,-1.9915323,2,12.962002,9.390044
1.7005775,2.6240103,0,12.962002,9.390044
-14.19901,14.060334,0,12.962002,9.390044
-0.40043712,-10.470406,4,12.962002,9.390044
-20.17336,3.5020146,6,12.962002,9.390044
16.465168,1.5087806,2,12.962002,9.390044
-12.202001,-2.9558508,6,12.962002,9.390044
-1.7581729,-25.865694,1,12.962002,9.390044
-7.1388364,35.696075,7,12.962002,9.390044
-4.0456667,7.198631,0,12.962002,9.390044
20.968641,-3.0087388,2,12.962002,9.390044
5.348772,-5.479275,4,12.962002,9.390044
5.852964,5.5549407,0,12.962002,9.390044
8.989971,-17.486538,5,12.962002,9.390044
13.3492565,-0.32905024,2,12.962002,9.390044
-7.6752076,-6.8791304,4,12.962002,9.390044
-14.642291,-0.76829726,6,12.962002,9.390044
-0.8580551,2.9651282,0,12.962002,9.390044
-7.130665,7.556066,0,12.962002,9.390044
-7.741901,10.2250805,0,12.962002,9.390044
-14.183916,1.9128923,6,12.962002,9.390044
-18.894758,-9.675811,6,12.962002,9.390044
-4.8957415,10.652035,0,12.962002,9.390044
7.5686893,12.98524,3,12.962002,9.390044
2.3900306,-8.987441,4,12.962002,9.390044
4.5305614,10.246272,0,12.962002,9.390044
-21.160912,-9.830017,6,12.962002,9.390044
18.168516,1.4618748,2,12.962002,9.390044
1.7874321,11.167146,0,12.962002,9.390044
-1.4737848,6.474654,0,12.962002,9.390044
1.740606,-4.8821526,4,12.962002,9.390044
-8.106593,4.436046,0,12.962002,9.390044
0.027499758,8.723288,0,12.962002,9.390044
11.820687,11.096011,3,12.962002,9.390044
-10.629495,-0.2079724,6,12.962002,9.390044
0.5784493,-13.80587,4,12.962002,9.390044
-2.8257759,6.8955364,0,12.962002,9.390044
-7.8559203,-0.0042403876,0,12.962002,9.390044
5.5217943,14.05108,3,12.962002,9.390044
-8.951448,13.135027,0,12.962002,9.390044
-7.3123116,9.254849,0,12.962002,9.390044
-4.008769,1.6724911,3,12.962002,9.390044
-13.695717,-0.54051197,6,12.962002,9.390044
-3.651685,-10.802713,4,12.962002,9.390044
-3.892859,5.7158885,0,12.962002,9.390044
15.662852,-15.093282,5,12.962002,9.390044
-16.489817,3.437955,6,12.962002,9.390044
-4.053196,2.2572932,0,12.962002,9.390044
