pc1,pc2,cluster,pc1_variance,pc2_variance
-0.7278444,-1.3958359,1,28.537315,18.694721
-0.51965505,-2.9692428,1,28.537315,18.694721
-0.7440741,-0.8266509,1,28.537315,18.694721
-0.92214084,0.27168128,1,28.537315,18.694721
0.6841068,2.6916347,0,28.537315,18.694721
-1.5145202,-0.81196755,1,28.537315,18.694721
-0.30844977,-0.35325256,1,28.537315,18.694721
-1.5239406,-0.36672267,1,28.537315,18.694721
3.501988,-1.8112952,0,28.537315,18.694721
1.3673615,-1.8330047,0,28.537315,18.694721
0.059177987,-0.36989895,1,28.537315,18.694721
0.40011752,0.5258657,0,28.537315,18.694721
1.4190905,1.6317493,0,28.537315,18.694721
0.62324506,1.4007053,0,28.537315,18.694721
-1.9016707,0.3688808,1,28.537315,18.694721
-3.0067086,0.85268104,1,28.537315,18.694721
0.8181576,-1.1338274,0,28.537315,18.694721
0.7883848,3.6888912,0,28.537315,18.694721
-2.45943,-0.22856978,1,28.537315,18.694721
-0.042150676,1.7099969,0,28.537315,18.694721
2.887263,-0.51373756,0,28.537315,18.694721
-1.9810143,0.03851839,1,28.537315,18.694721
0.9514937,-1.0630097,0,28.537315,18.694721
1.442162,1.1671443,0,28.537315,18.694721
-0.4531445,-0.7195139,1,28.537315,18.694721
0.049645863,-0.064861566,1,28.537315,18.694721
1.2301626,-2.1823742,0,28.537315,18.694721
-0.39005616,-1.8511486,1,28.537315,18.694721
1.7523642,3.420588,0,28.537315,18.694721
1.809009,1.9594688,0,28.537315,18.694721
1.8380867,-2.2727907,0,28.537315,18.694721
1.9835142,-1.7866853,0,28.537315,18.694721
-0.20387593,-0.32187364,1,28.537315,18.694721
0.4511162,0.71621484,0,28.537315,18.694721
-1.6227185,-0.5641002,1,28.537315,18.694721
1.2313923,-0.3165035,0,28.537315,18.694721
-3.7210054,-0.7415724,1,28.537315,18.694721
-0.06956523,0.40188617,1,28.537315,18.694721
1.1637778,0.35563484,0,28.537315,18.694721
-1.456064,0.1137697,1,28.537315,18.694721
-0.09033356,-0.5223373,1,28.537315,18.694721
-0.71999454,-1.4806284,1,28.537315,18.694721
-0.49380884,-0.7156062,1,28.537315,18.694721
0.62436205,-2.216554,1,28.537315,18.694721
-0.36868742,-1.4673018,1,28.537315,18.694721
-0.08576999,0.5929724,1,28.537315,18.694721
-3.573085,1.0436409,1,28.537315,18.694721
0.64156026,1.101238,0,28.537315,18.694721
-0.23236722,1.1756355,1,28.537315,18.694721
-1.2533975,-0.5544498,1,28.537315,18.694721
-1.8494774,0.08291369,1,28.537315,18.694721
0.2904766,1.5664473,0,28.537315,18.694721
-1.9892305,1.2293615,1,28.537315,18.694721
-1.6937245,0.08368886,1,28.537315,18.694721
-0.5513192,0.14322373,1,28.537315,18.694721
-1.489049,0.06618523,1,28.537315,18.694721
-2.6730168,0.074536234,1,28.537315,18.694721
-0.015841406,0.25368416,1,28.537315,18.694721
0.24753131,-0.38607162,0,28.537315,18.694721
1.451293,-0.70316535,0,28.537315,18.694721
-2.5907373,-0.17509188,1,28.537315,18.694721
0.22331075,-0.034892574,0,28.537315,18.694721
1.0686045,0.6543819,0,28.537315,18.694721
-0.46785435,0.9972575,1,28.537315,18.694721
1.8420179,-1.138046,0,28.537315,18.694721
0.42324597,0.76132727,0,28.537315,18.694721
1.5098748,0.090288974,0,28.537315,18.694721
-1.6520735,-0.28993863,1,28.537315,18.694721
